iso_time,unix_s,class,goal_x,goal_y,goal_z,tcp_x,tcp_y,tcp_z,first_x,first_y,first_z,err_x_mm,err_y_mm,err_z_mm,err_mm,first_err_mm,refine_iter,z_margin_m,vis_std_x_mm,vis_std_y_mm,vis_std_z_mm,vis_n,ik_seed,ik_solves,ik_ms,ik_tilt_deg,ik_gap_rad,ik_gap_axis,ik_pos_err_mm
2026-07-29T17:38:59,1785314339,apple,0.726901,-0.133970,0.344718,0.734777,-0.129213,0.346518,0.704142,-0.210610,0.315747,7.88,4.76,1.80,9.38,85.03,2,0.150,0.10,0.26,0.86,15,0,1,0.231,0.00,0.8444,3,0.00
2026-07-29T17:39:15,1785314355,tennis_ball,0.695436,0.033768,0.322426,0.692968,0.027398,0.322171,0.708478,0.079902,0.321544,-2.47,-6.37,-0.26,6.84,47.95,2,0.150,0.46,0.06,0.66,15,0,1,0.191,0.00,0.3098,3,0.00
2026-07-29T17:39:31,1785314371,orange,0.899706,0.037540,0.337564,0.899788,0.043711,0.339452,0.889452,0.007471,0.356786,0.08,6.17,1.89,6.45,37.13,2,0.150,0.06,0.03,0.50,15,0,1,0.236,0.00,0.7254,2,0.00
2026-07-29T17:39:46,1785314386,banana,0.797543,0.165459,0.258399,0.793816,0.160398,0.249417,0.814455,0.202659,0.300903,-3.73,-5.06,-8.98,10.96,58.96,2,0.150,1.94,1.13,1.39,15,0,1,0.251,0.00,0.5463,2,0.00
2026-07-29T17:39:57,1785314397,mustard_bottle,0.697852,0.358123,0.386305,0.699215,0.361747,0.397157,0.714571,0.333780,0.401474,1.36,3.62,10.85,11.52,33.20,1,0.150,1.07,1.70,2.27,15,0,8,12.553,29.25,0.3778,2,0.00
2026-07-29T18:02:15,1785315735,apple,0.726955,-0.133830,0.345180,0.735219,-0.128872,0.347132,0.703976,-0.210590,0.315720,8.26,4.96,1.95,9.83,85.37,2,0.150,0.09,0.22,0.74,15,0,1,0.228,0.00,0.8448,3,0.00
2026-07-29T18:02:30,1785315750,tennis_ball,0.695788,0.033932,0.324710,0.694568,0.027793,0.325242,0.708489,0.080527,0.324911,-1.22,-6.14,0.53,6.28,48.30,2,0.150,0.58,0.15,1.95,15,0,1,0.216,0.00,0.3118,3,0.00
2026-07-29T18:02:45,1785315765,orange,0.899721,0.037531,0.337431,0.899994,0.043447,0.339989,0.889335,0.007567,0.356495,0.27,5.92,2.56,6.45,37.00,2,0.150,0.00,0.00,0.00,15,0,1,0.223,0.00,0.7254,2,0.00
2026-07-29T18:03:00,1785315780,banana,0.796358,0.165536,0.256586,0.794922,0.160601,0.251161,0.813676,0.203192,0.297748,-1.44,-4.94,-5.42,7.47,58.41,2,0.150,1.81,1.22,1.95,15,0,1,0.220,0.00,0.5428,2,0.00
2026-07-29T18:03:14,1785315794,mustard_bottle,0.697723,0.357146,0.387173,0.694856,0.357633,0.386203,0.714915,0.331364,0.400657,-2.87,0.49,-0.97,3.07,33.79,2,0.150,1.52,1.74,2.08,15,0,8,12.407,29.15,0.3761,2,0.00
