capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1784729007,152259033,2318.717,4.253,2322.93,,1
1784729008,811017334,698.142,0.731,698.843,34.67,1
1784729008,877596680,639.351,0.902,640.239,7.959,1
1784729008,944173828,589.888,0.751,590.615,16.969,1
1784729009,10838135,526.872,0.551,527.398,3.45,1
1784729009,77501221,464.742,0.616,465.336,4.603,1
1784729009,144163330,402.999,0.747,403.711,5.036,1
1784729009,210824219,342.879,0.571,343.429,6.377,1
1784729009,244154297,315.834,0.852,316.661,6.552,1
1784729009,277484131,292.337,0.721,293.036,9.715,1
1784729009,344143066,234.74,0.669,235.387,9.01,1
1784729009,410800781,174.648,0.835,175.466,6.73,1
1784729009,444129150,146.624,0.84,147.445,5.309,1
1784729009,544113037,94.228,0.608,94.815,47.362,1
1784729009,610767578,91.102,0.656,91.735,63.571,1
1784729009,677420898,90.609,0.66,91.248,66.166,1
1784729009,744073242,93.756,0.551,94.283,69.692,1
1784729009,810724609,97.164,0.561,97.703,70.072,1
1784729009,844049805,113.637,0.629,114.241,49.862,1
1784729009,877374756,125.435,0.572,125.983,45.067,1
1784729009,944024170,98.272,0.582,98.833,39.5,1
1784729010,11027588,93.862,0.553,94.392,62.563,1
1784729010,78039551,90.349,0.679,91.01,63.624,1
1784729010,145060547,93.22,0.572,93.77,69.786,1
1784729010,212090088,93.74,0.621,94.337,67.596,1
1784729010,279128662,90.92,0.655,91.554,64.251,1
1784729010,346175781,91.934,0.554,92.467,67.966,1
1784729010,413231934,93.294,0.728,94.004,68.581,1
1784729010,446763184,110.893,1.76,112.636,52.166,1
1784729010,513832520,92.922,0.549,93.449,47.891,1
1784729010,580910645,87.358,0.57,87.908,61.536,1
1784729010,647997559,87.938,0.554,88.472,67.652,1
1784729010,715093262,88.381,0.634,88.992,67.612,1
1784729010,782197510,91.376,0.621,91.972,70.087,1
1784729010,849310791,96.805,0.74,97.521,72.659,1
1784729010,882870850,110.219,0.707,110.9,46.94,1
1784729010,916432861,128.495,0.68,129.144,51.806,1
1784729010,983301514,96.591,0.659,97.221,34.947,1
1784729011,49916748,86.267,0.573,86.819,56.214,1
1784729011,116529297,85.624,0.582,86.183,65.977,1
1784729011,183138672,85.512,0.601,86.093,66.519,1
1784729011,249745117,85.294,0.558,85.831,66.345,1
1784729011,316348389,87.743,0.653,88.375,69.145,1
1784729011,382948975,86.484,0.631,87.097,65.323,1
1784729011,449546387,89.725,0.606,90.314,69.812,1
1784729011,516140625,88.87,0.567,89.417,65.701,1
1784729011,582732178,86.391,0.638,87.006,64.181,1
1784729011,649320557,87.532,0.572,88.08,67.662,1
1784729011,715906006,88.325,0.611,88.975,67.418,1
1784729011,782488281,88.395,0.643,89.013,66.681,1
1784729011,849067871,91.471,0.569,92.018,69.586,1
1784729011,915644287,87.819,0.628,88.423,62.98,1
1784729011,982254883,89.034,0.596,89.606,67.795,1
1784729012,48897217,93.571,0.726,94.272,71.305,1
1784729012,115537842,107.583,0.879,108.455,80.798,1
1784729012,148857422,134.666,0.756,135.398,60.286,1
1784729012,215495361,121.798,0.579,122.355,53.601,1
1784729012,282131592,93.797,0.564,94.336,38.618,1
1784729012,348765869,92.22,0.568,92.765,65.063,1
1784729012,415398438,90.653,0.563,91.194,65.062,1
1784729012,482029053,91.464,0.617,92.045,67.479,1
1784729012,548658203,89.437,0.566,89.98,64.566,1
1784729012,615285400,91.878,0.579,92.435,69.082,1
1784729012,681910645,90.462,0.587,91.027,65.217,1
1784729012,748534424,89.936,0.575,90.476,66.074,1
1784729012,815156250,90.838,0.59,91.404,67.549,1
1784729012,881776367,91.882,0.552,92.411,67.627,1
1784729012,948395508,90.083,0.565,90.611,64.82,1
1784729013,15057129,89.744,0.568,90.291,66.341,1
1784729013,81717285,89.608,0.563,90.15,66.519,1
1784729013,148376709,88.012,0.571,88.561,65.07,1
1784729013,215034668,90.587,0.578,91.13,69.227,1
1784729013,281691650,95.241,0.726,95.946,71.47,1
1784729013,348347656,92.753,1.13,93.86,64.571,1
1784729013,415002441,91.415,0.564,91.958,64.755,1
1784729013,481656006,91.328,0.596,91.902,66.596,1
1784729013,548308594,90.533,0.552,91.063,65.816,1
1784729013,614959961,89.346,0.703,90.03,65.613,1
1784729013,681610352,90.395,0.554,90.926,67.551,1
1784729013,748259521,90.987,0.589,91.555,67.277,1
1784729013,814907715,95.256,1.017,96.264,71.335,1
1784729013,848231445,108.4,0.669,109.028,46.105,1
1784729013,914877686,92.481,0.571,93.029,50.653,1
1784729013,981536865,89.933,0.572,90.484,64.114,1
1784729014,48207520,88.751,0.555,89.282,65.469,1
1784729014,114877686,89.291,0.57,89.84,67.227,1
1784729014,181546631,95.778,0.57,96.327,73.156,1
1784729014,248215088,91.297,0.573,91.851,62.191,1
1784729014,314882813,89.845,0.578,90.391,65.208,1
1784729014,381549561,90.734,0.666,91.377,67.653,1
1784729014,448215576,92.413,0.618,93.006,68.295,1
1784729014,514881104,90.214,0.573,90.764,64.424,1
1784729014,581545410,90.406,0.599,90.982,66.883,1
1784729014,648209229,89.741,0.634,90.353,66.033,1
1784729014,714872314,90.71,0.67,91.252,67.563,1
1784729014,781534424,91.075,0.556,91.608,67.018,1
1784729014,848195801,93.122,0.595,93.695,68.747,1
1784729014,914856445,93.966,0.632,94.578,67.543,1
1784729014,981548340,91.891,0.622,92.493,64.607,1
1784729015,48272217,90.868,0.564,91.412,65.643,1
1784729015,114997314,90.665,0.611,91.255,66.568,1
1784729015,181723633,91.07,0.55,91.598,67.071,1
1784729015,248450928,90.858,0.567,91.402,66.531,1
1784729015,315179688,92.034,0.641,92.653,67.979,1
1784729015,381909180,92.56,0.654,93.19,67.263,1
1784729015,448640137,90.814,0.57,91.361,64.907,1
1784729015,515372314,91.293,0.551,91.82,67.191,1
1784729015,582105469,90.299,0.636,90.914,65.825,1
1784729015,648839844,90.398,0.577,90.954,66.775,1
1784729015,715575195,91.362,0.559,91.9,67.681,1
1784729015,782312012,92.402,0.779,93.157,67.992,1
1784729015,849049805,92.708,0.642,93.286,66.868,1
1784729015,915788818,93.318,0.558,93.856,67.31,1
1784729015,982501465,91.371,0.618,91.966,64.822,1
1784729016,49187256,90.225,0.578,90.779,65.5,1
1784729016,115872559,89.762,0.572,90.311,66.216,1
1784729016,182557373,89.919,0.604,90.502,66.876,1
1784729016,249241699,90.076,0.731,90.784,66.967,1
1784729016,315925537,91.008,0.56,91.541,67.441,1
1784729016,382608887,92.381,0.715,92.98,68.123,1
1784729016,449291748,93.755,0.569,94.303,68.005,1
1784729016,515974121,93.659,0.553,94.185,66.565,1
1784729016,582656250,91.27,0.552,91.811,64.294,1
1784729016,649337646,91.229,0.628,91.834,66.718,1
1784729016,716018555,91.965,0.652,92.595,67.441,1
1784729016,782698975,91.469,0.57,92.019,66.105,1
1784729016,849379150,93.563,0.671,94.21,68.869,1
1784729016,916058594,91.44,0.619,92.038,64.51,1
1784729016,982741943,90.938,0.556,91.472,66.118,1
1784729017,49429199,96.117,0.593,96.688,71.901,1
1784729017,116115723,94.974,0.698,95.649,65.645,1
1784729017,182801758,94.682,0.648,95.306,66.346,1
1784729017,249487549,91.204,0.555,91.734,63.114,1
1784729017,316172852,91.09,0.572,91.64,66.591,1
1784729017,382857666,92.155,0.664,92.801,67.841,1
1784729017,449541992,93.76,0.571,94.31,68.199,1
1784729017,516225830,91.961,0.646,92.584,64.953,1
1784729017,582909424,90.664,0.572,91.215,65.319,1
1784729017,649592285,92.944,0.583,93.503,68.97,1
1784729017,716274902,92.797,0.575,93.353,66.531,1
1784729017,782957031,91.337,0.571,91.882,65.212,1
1784729017,849638672,94.831,0.69,95.502,70.3,1
1784729017,916319824,93.399,0.56,93.931,65.113,1
1784729017,983004150,92.227,0.575,92.777,65.53,1
1784729018,49691406,92.211,0.553,92.739,66.649,1
1784729018,116378174,91.62,0.576,92.17,66.118,1
1784729018,183064453,93.452,0.682,94.111,68.625,1
1784729018,249750244,96.44,0.657,97.076,69.65,1
1784729018,316435547,95.701,0.576,96.251,65.863,1
1784729018,383120605,91.626,0.579,92.168,62.602,1
1784729018,449804932,94.336,1.265,95.582,70.093,1
1784729018,516489014,93.179,0.562,93.719,64.826,1
1784729018,583172852,94.573,0.554,95.105,68.07,1
1784729018,649855957,92.831,0.554,93.364,64.942,1
1784729018,716538574,92.261,0.552,92.792,66.11,1
1784729018,783220947,93.616,0.554,94.147,68.038,1
1784729018,849902832,97.792,0.581,98.35,70.884,1
1784729018,916584229,94.648,0.565,95.192,63.525,1
1784729018,983292236,91.533,0.559,92.069,63.584,1
1784729019,50027588,91.988,0.555,92.52,67.187,1
1784729019,116763916,91.75,0.575,92.301,66.517,1
1784729019,183501221,92.935,0.572,93.482,67.918,1
1784729019,250239502,92.196,0.567,92.741,65.998,1
1784729019,316979004,91.883,0.554,92.416,66.414,1
1784729019,383719238,93.935,0.572,94.486,68.81,1
1784729019,450460449,94.397,0.692,95.064,67.317,1
1784729019,517202637,93.659,0.567,94.205,65.886,1
1784729019,583946045,94.526,0.553,95.054,67.592,1
1784729019,650690186,91.816,0.569,92.364,64.054,1
1784729019,717435547,94.003,0.572,94.551,68.933,1
1784729019,784181641,93.189,0.704,93.872,66.065,1
1784729019,850928955,94.408,0.704,95.089,67.966,1
1784729019,917677246,90.944,0.575,91.481,63.141,1
1784729019,984396240,91.809,0.565,92.353,67.591,1
1784729020,51086426,91.379,0.58,91.938,66.275,1
1784729020,117776123,91.949,0.557,92.483,67.235,1
1784729020,184465332,92.488,0.559,93.026,67.232,1
1784729020,251154297,124.353,0.655,124.99,98.647,1
1784729020,284498535,138.82,0.778,139.57,47.93,1
1784729020,317842529,549.668,0.664,550.301,444.072,1
1784729020,351186768,580.756,0.608,581.339,64.385,1
1784729020,417874512,577.931,0.606,578.515,63.864,1
1784729020,817992188,237.584,0.767,238.222,59.823,1
1784729020,884677002,220.491,0.582,221.052,49.518,1
1784729020,951472656,199.759,0.564,200.302,46.046,1
1784729021,18270264,189.391,0.644,189.998,56.492,1
1784729021,51669922,204.247,1.812,206.034,49.417,1
1784729021,118470703,187.386,0.761,188.127,48.912,1
1784729021,185273682,160.84,0.688,161.507,40.184,1
1784729021,285481934,145.042,0.626,145.637,84.337,1
1784729021,352290039,118.688,0.576,119.24,40.412,1
1784729021,419100098,113.545,0.582,114.105,61.675,1
1784729021,485912354,120.493,0.655,121.125,73.828,1
1784729021,519319336,126.002,0.712,126.689,38.969,1
1784729021,586134521,111.861,0.681,112.524,52.653,1
1784729021,652951904,111.374,1.033,112.409,66.674,1
1784729021,719771484,114.373,0.717,115.071,69.508,1
1784729021,786593018,134.027,1.658,135.648,87.365,1
1784729021,820004639,137.132,0.784,137.897,35.692,1
1784729021,886827881,132.813,0.719,133.481,62.413,1
1784729021,953538330,118.422,0.589,118.988,52.218,1
1784729021,986887207,135.008,0.765,135.75,50.109,1
1784729022,20235840,155.226,1.282,156.494,54.078,1
1784729022,86933105,131.973,0.752,132.704,42.92,1
1784729022,120281738,137.695,0.811,138.506,39.131,1
1784729022,186978516,125.814,1.705,127.442,55.636,1
1784729022,253674805,122.09,0.601,122.667,61.941,1
1784729022,320371094,120.181,0.631,120.792,64.819,1
1784729022,387066895,115.408,0.797,116.174,62.076,1
1784729022,453762451,112.069,0.594,112.639,63.165,1
1784729022,520457520,112.084,0.638,112.702,66.755,1
1784729022,587152588,114.043,0.753,114.705,68.699,1
1784729022,653847168,109.335,0.777,110.195,62.074,1
1784729022,720541260,119.582,0.827,120.388,76.999,1
1784729022,787235352,117.264,0.582,117.823,64.131,1
1784729022,853928955,116.898,0.778,117.654,66.52,1
1784729022,887275635,145.736,0.759,146.472,62.164,1
1784729022,953968994,122.485,0.618,123.078,43.303,1
1784729022,987318115,132.522,0.822,133.324,43.586,1
1784729023,54016113,116.986,0.551,117.516,50.901,1
1784729023,120713867,111.395,0.578,111.949,61.13,1
1784729023,187411377,112.68,0.682,113.342,68.09,1
1784729023,254108398,115.596,0.926,116.522,69.853,1
1784729023,287457031,143.322,1.022,144.333,61.169,1
1784729023,320805420,168.585,1.556,169.951,58.947,1
1784729023,387501953,150.164,0.562,150.704,47.484,1
1784729023,454198242,133.67,0.737,134.376,50.364,1
1784729023,487546143,154.185,0.64,154.795,53.769,1
1784729023,554241943,133.639,0.71,134.325,46.222,1
1784729023,587589600,149.115,0.714,149.805,48.831,1
1784729023,654284912,127.901,0.746,128.63,45.514,1
1784729023,687632568,148.888,0.67,149.764,54.261,1
1784729023,754327393,118.656,1.852,120.523,37.644,1
1784729023,821021973,114.417,0.583,114.978,61.189,1
1784729023,887716309,115.408,0.708,116.099,67.808,1
1784729023,921063232,131.043,0.805,131.842,49.082,1
1784729023,987759766,118.616,0.601,119.195,54.063,1
1784729024,21109375,124.698,0.833,125.507,39.655,1
1784729024,87808105,112.634,0.602,113.214,54.414,1
1784729024,154506836,117.931,0.742,118.65,72.134,1
1784729024,187855957,123.693,0.871,124.55,39.231,1
1784729024,254553955,111.506,0.688,112.17,54.336,1
1784729024,321251953,109.918,0.831,110.725,65.249,1
1784729024,387949463,123.037,0.914,123.937,79.9,1
1784729024,454646729,111.96,0.849,112.785,55.557,1
1784729024,521343506,111.979,0.742,112.701,66.612,1
1784729024,588040283,127.966,0.877,128.827,82.819,1
1784729024,621388428,146.039,0.809,146.817,51.34,1
1784729024,688084717,130.409,0.626,131.013,50.899,1
1784729024,721432861,137.021,0.728,137.719,40.051,1
1784729024,788128662,126.535,0.803,127.314,56.285,1
1784729024,821476563,151.161,0.647,151.785,57.827,1
1784729024,888171875,129.256,0.784,130.002,44.907,1
1784729024,921519531,158.17,0.683,158.833,62.179,1
1784729024,988216553,147.086,0.614,147.677,55.545,1
1784729025,54915771,115.413,0.584,115.976,35.0,1
1784729025,121614502,114.322,0.649,114.946,65.669,1
1784729025,188312988,110.579,0.788,111.344,63.093,1
1784729025,255010986,114.369,0.632,114.985,70.338,1
1784729025,321708984,112.595,0.581,113.154,64.873,1
1784729025,388406494,110.979,0.683,111.638,65.177,1
1784729025,455104004,118.983,0.574,119.535,74.598,1
1784729025,521801025,113.074,0.595,113.646,60.807,1
1784729025,588497803,112.03,0.624,112.633,65.684,1
1784729025,655194336,115.157,0.814,115.954,70.008,1
1784729025,688542480,128.378,0.778,129.131,46.525,1
1784729025,721890625,140.901,0.616,141.493,45.721,1
1784729025,821934326,119.968,0.657,120.601,79.148,1
1784729025,855282227,127.417,0.766,128.163,40.91,1
1784729025,921977539,127.965,1.057,129.006,67.528,1
1784729025,988718262,131.07,0.592,131.64,69.387,1
1784729026,55505371,118.759,0.636,119.367,54.517,1
1784729026,122294678,111.594,0.818,112.387,59.804,1
1784729026,189086182,114.032,0.586,114.594,69.003,1
1784729026,255879395,112.293,0.99,113.265,65.456,1
1784729026,322674561,111.421,0.659,112.058,65.595,1
1784729026,389471924,114.1,0.763,114.836,69.576,1
1784729026,456271240,111.349,0.721,112.045,64.01,1
1784729026,523072510,110.653,0.574,111.201,65.957,1
1784729026,589875977,114.788,0.658,115.421,71.02,1
1784729026,656681152,110.222,0.634,110.832,62.217,1
1784729026,723488525,109.146,0.708,109.839,65.81,1
1784729026,790297852,118.016,0.592,118.586,75.562,1
1784729026,857109131,124.868,1.58,126.434,74.649,1
1784729026,890515625,147.242,0.799,148.024,55.001,1
1784729026,957328613,129.527,0.751,130.258,49.046,1
1784729026,990685059,150.416,1.497,151.905,54.993,1
1784729027,57397705,136.526,0.953,137.452,52.266,1
1784729027,90753906,160.453,0.777,161.21,57.124,1
1784729027,157466553,139.276,1.199,140.315,45.805,1
1784729027,190822754,162.118,0.982,163.049,56.1,1
1784729027,257535156,143.466,0.591,144.034,47.703,1
1784729027,324247803,118.344,0.549,118.871,41.551,1
1784729027,390960205,113.1,0.622,113.703,61.538,1
1784729027,457672363,111.929,0.556,112.463,65.477,1
1784729027,524384766,116.328,0.6,116.909,71.155,1
1784729027,591097168,120.253,0.646,120.877,70.684,1
1784729027,624453125,127.23,0.746,127.946,40.424,1
1784729027,691165283,112.499,1.354,113.854,52.598,1
1784729027,757877441,111.267,0.745,111.992,64.87,1
1784729027,824589600,125.89,0.623,126.488,81.212,1
1784729027,857945801,146.524,0.982,147.494,54.348,1
1784729027,924657715,126.88,0.731,127.583,46.808,1
1784729027,958013916,133.521,0.876,134.383,40.152,1
1784729028,24726807,145.229,0.639,145.873,78.186,1
1784729028,91439453,128.515,0.569,129.063,49.93,1
1784729028,124795898,143.644,0.757,144.385,48.669,1
1784729028,191508545,127.151,0.827,127.964,50.292,1
1784729028,224864990,134.708,0.61,135.293,40.693,1
