stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1784729007,152259033,1784729007,152259033,,5,848,480,68.238,67.371,9.724,57.647,25.067,10.796,17.029,4.755,32.58,0.863,0.004,53.361,121.625
1784729007,185393066,1784729007,185393066,74.44,5,848,480,64.512,63.55,16.23,47.32,14.065,9.929,17.555,5.772,33.255,0.955,0.007,98.411,162.954
1784729007,284744385,1784729007,284744385,44.615,5,848,480,43.528,42.762,1.029,41.734,8.281,11.138,17.021,5.295,33.453,0.762,0.004,64.641,108.188
1784729007,384019775,1784729007,384019775,68.997,5,848,480,40.756,39.979,1.733,38.246,7.508,8.803,17.194,4.741,30.738,0.773,0.004,37.128,77.911
1784729007,450161133,1784729007,450161133,68.632,5,848,480,43.333,42.56,2.004,40.556,8.774,9.113,17.352,5.316,31.782,0.766,0.007,37.045,80.434
1784729007,516269043,1784729007,516269043,67.199,5,848,480,41.807,41.066,3.197,37.869,8.056,8.447,17.138,4.227,29.812,0.737,0.004,39.661,81.493
1784729007,582343018,1784729007,582343018,64.253,5,848,480,41.257,40.494,1.974,38.521,8.253,8.864,17.335,4.069,30.268,0.76,0.004,38.387,79.667
1784729007,648383301,1784729007,648383301,67.977,5,848,480,42.107,41.193,2.304,38.889,8.107,8.794,17.335,4.653,30.781,0.909,0.005,39.478,86.642
1784729007,681390625,1784729007,681390625,46.87,5,848,480,40.968,40.068,1.785,38.283,7.589,9.011,17.134,4.549,30.694,0.894,0.006,54.472,95.493
1784729007,747380371,1784729007,747380371,64.289,5,848,480,40.46,39.634,1.392,38.243,7.17,9.139,17.232,4.701,31.072,0.82,0.005,53.291,93.779
1784729007,813336426,1784729007,813336426,54.848,5,848,480,40.729,39.747,0.792,38.955,8.929,8.365,17.098,4.563,30.026,0.975,0.007,41.912,84.911
1784729007,879258545,1784729007,879258545,115.779,5,848,480,84.288,83.125,2.715,80.409,9.566,23.985,35.461,11.398,70.843,1.158,0.006,48.22,135.461
1784729007,945156982,1784729007,945156982,58.843,5,848,480,55.138,54.412,15.096,39.317,7.577,9.894,17.357,4.488,31.74,0.722,0.004,70.302,125.499
1784729008,11783447,1784729008,11783447,52.823,5,848,480,52.369,51.691,1.512,50.179,9.445,11.461,24.455,4.819,40.734,0.674,0.004,59.25,111.659
1784729008,78406006,1784729008,78406006,40.286,5,848,480,38.907,38.168,1.251,36.917,7.147,8.167,17.13,4.473,29.77,0.735,0.004,46.385,85.325
1784729008,145025146,1784729008,145025146,64.292,5,848,480,39.762,38.705,2.246,36.459,6.672,8.285,17.037,4.465,29.787,1.051,0.007,43.21,83.036
1784729008,211640381,1784729008,211640381,66.924,5,848,480,39.994,39.021,0.861,38.159,8.128,8.336,17.137,4.559,30.032,0.967,0.006,43.288,83.325
1784729008,244946777,1784729008,244946777,108.027,5,848,480,93.0,91.899,28.12,63.779,17.52,15.504,17.493,13.263,46.259,1.095,0.006,65.011,158.05
1784729008,344860596,1784729008,344860596,53.794,5,848,480,53.309,52.532,1.11,51.422,10.194,17.701,16.959,6.568,41.228,0.774,0.003,58.557,111.906
1784729008,411465088,1784729008,411465088,44.978,5,848,480,43.563,42.637,2.698,39.939,7.676,9.277,17.389,5.598,32.263,0.921,0.005,46.683,90.288
1784729008,478066162,1784729008,478066162,65.246,5,848,480,43.913,43.09,3.701,39.388,6.949,8.194,17.983,6.261,32.439,0.819,0.004,44.985,88.926
1784729008,544663574,1784729008,544663574,66.352,5,848,480,45.265,39.853,1.768,38.085,7.194,8.204,17.004,5.683,30.892,5.405,0.007,43.388,88.695
1784729008,577960938,1784729008,577960938,40.894,5,848,480,40.447,39.711,1.727,37.984,6.836,9.855,17.082,4.21,31.148,0.731,0.004,55.786,96.275
1784729008,644552979,1784729008,644552979,55.186,5,848,480,41.321,40.609,2.616,37.993,8.315,8.3,17.081,4.297,29.678,0.708,0.004,43.52,84.869
1784729008,711141357,1784729008,711141357,66.54,5,848,480,41.03,40.195,2.537,37.658,7.869,8.25,17.107,4.432,29.789,0.831,0.004,43.81,84.826
1784729008,744434326,1784729008,744434326,44.977,5,848,480,39.017,38.288,1.826,36.462,6.614,8.668,17.018,4.162,29.848,0.725,0.004,57.459,96.504
1784729008,811017334,1784729008,811017334,57.934,5,848,480,42.48,41.758,3.059,38.7,6.808,8.552,17.196,6.144,31.892,0.717,0.004,45.349,87.855
1784729008,877596680,1784729008,877596680,66.456,5,848,480,43.179,42.375,2.255,40.12,7.6,8.409,19.137,4.975,32.52,0.799,0.005,44.527,87.741
