capture_sec,capture_nanosec,stamp_sec,stamp_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,base_target_valid,handoff_det_to_pick_ms,handoff_pick_to_3d_ms,handoff_3d_to_base_ms
1784729007,152259033,1784729007,152259033,,5,848,480,68.238,67.371,9.724,57.647,25.067,10.796,17.029,4.755,32.58,0.863,0.004,53.361,121.625,123.913,20.782,144.335,5,1,126.988,2184.216,2311.063,74.688,1,2318.717,4.253,2322.93,,1,2.288,-17.347,7.654
1784729007,185393066,1784729007,185393066,74.44,5,848,480,64.512,63.55,16.23,47.32,14.065,9.929,17.555,5.772,33.255,0.955,0.007,98.411,162.954,165.179,1.475,166.563,5,1,,,,,,,,,,,2.225,,
1784729007,284744385,1784729007,284744385,44.615,5,848,480,43.528,42.762,1.029,41.734,8.281,11.138,17.021,5.295,33.453,0.762,0.004,64.641,108.188,110.066,0.706,110.698,5,1,,,,,,,,,,,1.878,,
1784729007,384019775,1784729007,384019775,68.997,5,848,480,40.756,39.979,1.733,38.246,7.508,8.803,17.194,4.741,30.738,0.773,0.004,37.128,77.911,79.819,0.954,80.692,5,1,,,,,,,,,,,1.908,,
1784729007,450161133,1784729007,450161133,68.632,5,848,480,43.333,42.56,2.004,40.556,8.774,9.113,17.352,5.316,31.782,0.766,0.007,37.045,80.434,82.483,1.063,83.462,5,1,,,,,,,,,,,2.049,,
1784729007,516269043,1784729007,516269043,67.199,5,848,480,41.807,41.066,3.197,37.869,8.056,8.447,17.138,4.227,29.812,0.737,0.004,39.661,81.493,83.294,0.766,83.986,5,1,,,,,,,,,,,1.801,,
1784729007,582343018,1784729007,582343018,64.253,5,848,480,41.257,40.494,1.974,38.521,8.253,8.864,17.335,4.069,30.268,0.76,0.004,38.387,79.667,82.049,0.852,82.762,5,1,,,,,,,,,,,2.382,,
1784729007,648383301,1784729007,648383301,67.977,5,848,480,42.107,41.193,2.304,38.889,8.107,8.794,17.335,4.653,30.781,0.909,0.005,39.478,86.642,83.514,0.991,84.424,5,1,,,,,,,,,,,-3.128,,
1784729007,681390625,1784729007,681390625,46.87,5,848,480,40.968,40.068,1.785,38.283,7.589,9.011,17.134,4.549,30.694,0.894,0.006,54.472,95.493,98.154,1.414,99.46,5,1,,,,,,,,,,,2.661,,
1784729007,747380371,1784729007,747380371,64.289,5,848,480,40.46,39.634,1.392,38.243,7.17,9.139,17.232,4.701,31.072,0.82,0.005,53.291,93.779,96.138,1.394,97.443,5,1,,,,,,,,,,,2.359,,
1784729007,813336426,1784729007,813336426,54.848,5,848,480,40.729,39.747,0.792,38.955,8.929,8.365,17.098,4.563,30.026,0.975,0.007,41.912,84.911,84.551,1.568,86.041,5,1,,,,,,,,,,,-0.36,,
1784729007,879258545,1784729007,879258545,115.779,5,848,480,84.288,83.125,2.715,80.409,9.566,23.985,35.461,11.398,70.843,1.158,0.006,48.22,135.461,135.07,4.405,139.35,5,1,,,,,,,,,,,-0.391,,
1784729007,945156982,1784729007,945156982,58.843,5,848,480,55.138,54.412,15.096,39.317,7.577,9.894,17.357,4.488,31.74,0.722,0.004,70.302,125.499,127.738,1.153,128.714,5,1,,,,,,,,,,,2.239,,
1784729008,11783447,1784729008,11783447,52.823,5,848,480,52.369,51.691,1.512,50.179,9.445,11.461,24.455,4.819,40.734,0.674,0.004,59.25,111.659,114.017,1.397,115.201,5,1,,,,,,,,,,,2.358,,
1784729008,78406006,1784729008,78406006,40.286,5,848,480,38.907,38.168,1.251,36.917,7.147,8.167,17.13,4.473,29.77,0.735,0.004,46.385,85.325,87.184,0.941,88.049,5,1,,,,,,,,,,,1.859,,
1784729008,145025146,1784729008,145025146,64.292,5,848,480,39.762,38.705,2.246,36.459,6.672,8.285,17.037,4.465,29.787,1.051,0.007,43.21,83.036,86.194,0.894,87.007,5,1,,,,,,,,,,,3.158,,
1784729008,211640381,1784729008,211640381,66.924,5,848,480,39.994,39.021,0.861,38.159,8.128,8.336,17.137,4.559,30.032,0.967,0.006,43.288,83.325,88.922,10.306,99.085,5,1,,,,,,,,,,,5.597,,
1784729008,244946777,1784729008,244946777,108.027,5,848,480,93.0,91.899,28.12,63.779,17.52,15.504,17.493,13.263,46.259,1.095,0.006,65.011,158.05,160.127,0.766,160.814,5,1,,,,,,,,,,,2.077,,
1784729008,344860596,1784729008,344860596,53.794,5,848,480,53.309,52.532,1.11,51.422,10.194,17.701,16.959,6.568,41.228,0.774,0.003,58.557,111.906,113.749,1.103,114.76,5,1,,,,,,,,,,,1.843,,
1784729008,411465088,1784729008,411465088,44.978,5,848,480,43.563,42.637,2.698,39.939,7.676,9.277,17.389,5.598,32.263,0.921,0.005,46.683,90.288,91.993,0.713,92.631,5,1,,,,,,,,,,,1.705,,
1784729008,478066162,1784729008,478066162,65.246,5,848,480,43.913,43.09,3.701,39.388,6.949,8.194,17.983,6.261,32.439,0.819,0.004,44.985,88.926,90.616,0.78,91.321,5,1,,,,,,,,,,,1.69,,
1784729008,544663574,1784729008,544663574,66.352,5,848,480,45.265,39.853,1.768,38.085,7.194,8.204,17.004,5.683,30.892,5.405,0.007,43.388,88.695,86.009,0.719,86.647,5,1,,,,,,,,,,,-2.686,,
1784729008,577960938,1784729008,577960938,40.894,5,848,480,40.447,39.711,1.727,37.984,6.836,9.855,17.082,4.21,31.148,0.731,0.004,55.786,96.275,98.073,0.936,98.929,5,1,,,,,,,,,,,1.798,,
1784729008,644552979,1784729008,644552979,55.186,5,848,480,41.321,40.609,2.616,37.993,8.315,8.3,17.081,4.297,29.678,0.708,0.004,43.52,84.869,86.608,0.753,87.285,5,1,,,,,,,,,,,1.739,,
1784729008,711141357,1784729008,711141357,66.54,5,848,480,41.03,40.195,2.537,37.658,7.869,8.25,17.107,4.432,29.789,0.831,0.004,43.81,84.826,88.871,1.07,89.859,5,1,,,,,,,,,,,4.045,,
1784729008,744434326,1784729008,744434326,44.977,5,848,480,39.017,38.288,1.826,36.462,6.614,8.668,17.018,4.162,29.848,0.725,0.004,57.459,96.504,98.282,0.911,99.114,5,1,,,,,,,,,,,1.778,,
1784729008,811017334,1784729008,811017334,57.934,5,848,480,42.48,41.758,3.059,38.7,6.808,8.552,17.196,6.144,31.892,0.717,0.004,45.349,87.855,89.672,0.729,90.323,5,1,672.612,3.383,675.818,-1584.07,1,698.142,0.731,698.843,34.67,1,1.817,582.289,22.324
1784729008,877596680,1784729008,877596680,66.456,5,848,480,43.179,42.375,2.255,40.12,7.6,8.409,19.137,4.975,32.52,0.799,0.005,44.527,87.741,89.829,0.817,90.568,5,1,628.54,8.272,636.689,606.9,1,639.351,0.902,640.239,7.959,1,2.088,537.972,2.662
1784729008,944173828,1784729008,944173828,66.178,5,848,480,43.279,42.521,2.124,40.397,10.185,8.182,16.935,5.095,30.212,0.754,0.004,44.025,87.336,89.078,0.716,89.72,5,1,578.08,2.698,580.639,540.323,1,589.888,0.751,590.615,16.969,1,1.742,488.36,9.249
1784729009,10838135,1784729009,10838135,68.32,5,848,480,44.548,43.798,1.77,42.028,6.954,8.982,17.122,8.97,35.074,0.746,0.004,44.413,88.99,90.664,0.71,91.299,5,1,518.863,2.268,521.015,473.658,1,526.872,0.551,527.398,3.45,1,1.674,427.564,5.857
1784729009,77501221,1784729009,77501221,62.062,5,848,480,39.628,38.581,1.801,36.78,6.866,8.49,17.128,4.296,29.915,1.04,0.006,44.735,84.406,87.007,0.749,87.679,5,1,458.797,2.358,461.011,406.995,1,464.742,0.616,465.336,4.603,1,2.601,371.118,3.731
1784729009,144163330,1784729009,144163330,70.638,5,848,480,43.899,43.12,1.908,41.212,6.903,8.411,17.075,8.822,34.309,0.775,0.004,44.474,88.369,89.942,0.741,90.607,5,1,398.058,2.311,400.256,340.333,1,402.999,0.747,403.711,5.036,1,1.573,307.451,2.743
1784729009,210824219,1784729009,210824219,66.36,5,848,480,43.578,42.857,1.617,41.24,6.927,8.559,17.023,8.73,34.313,0.717,0.004,44.456,88.063,89.812,8.231,97.902,5,1,336.726,4.017,340.582,273.672,1,342.879,0.571,343.429,6.377,1,1.749,238.824,2.297
1784729009,244154297,1784729009,244154297,49.861,5,848,480,45.238,44.287,2.017,42.269,9.335,11.219,16.756,4.958,32.934,0.945,0.006,59.332,104.617,109.03,1.315,110.246,5,1,310.621,2.872,313.372,240.342,1,315.834,0.852,316.661,6.552,1,4.413,200.375,2.462
1784729009,277484131,1784729009,277484131,45.536,5,848,480,45.006,44.224,2.477,41.747,8.674,11.013,17.076,4.984,33.073,0.779,0.004,71.755,116.805,119.591,1.331,120.828,5,1,287.789,2.357,290.03,207.012,1,292.337,0.721,293.036,9.715,1,2.786,166.961,2.307
1784729009,344143066,1784729009,344143066,41.624,5,848,480,41.193,40.463,0.893,39.57,7.796,9.179,17.527,5.069,31.775,0.726,0.005,50.53,91.766,93.718,0.883,94.522,5,1,230.493,2.056,232.456,206.967,1,234.74,0.669,235.387,9.01,1,1.952,135.971,2.284
1784729009,410800781,1784729009,410800781,71.633,5,848,480,49.783,49.002,1.748,47.253,7.096,9.243,18.579,12.336,40.157,0.775,0.006,46.943,96.758,103.097,2.23,105.207,5,1,169.094,2.726,171.702,140.309,1,174.648,0.835,175.466,6.73,1,6.339,63.887,2.946
1784729009,444129150,1784729009,444129150,48.588,5,848,480,48.073,47.333,1.189,46.145,11.97,12.264,17.274,4.636,34.174,0.735,0.005,63.89,111.999,114.544,4.998,115.447,5,1,141.926,2.633,144.444,106.981,1,146.624,0.84,147.445,5.309,1,2.545,26.479,2.18
1784729009,544113037,1784729009,544113037,73.384,5,848,480,39.987,39.088,2.01,37.078,7.956,8.093,16.993,4.036,29.122,0.893,0.005,45.39,85.422,87.121,0.893,87.928,5,1,90.473,1.984,92.361,73.609,1,94.228,0.608,94.815,47.362,1,1.699,2.545,1.867
1784729009,610767578,1784729009,610767578,63.88,5,848,480,38.496,37.608,1.587,36.021,6.737,8.12,16.981,4.184,29.284,0.865,0.023,44.119,82.667,84.538,0.959,85.403,5,1,86.848,2.156,88.882,6.954,1,91.102,0.656,91.735,63.571,1,1.871,1.445,2.22
1784729009,677420898,1784729009,677420898,66.904,5,848,480,38.449,37.621,1.703,35.918,6.682,8.094,16.882,4.26,29.236,0.822,0.006,44.399,82.899,84.806,0.959,85.678,5,1,86.747,2.062,88.704,6.912,1,90.609,0.66,91.248,66.166,1,1.907,1.069,1.905
1784729009,744073242,1784729009,744073242,67.681,5,848,480,38.781,37.977,1.669,36.308,6.979,8.337,16.893,4.1,29.33,0.799,0.005,45.096,83.924,86.051,1.099,87.066,5,1,90.004,1.922,91.833,73.478,1,93.756,0.551,94.283,69.692,1,2.127,2.938,1.923
1784729009,810724609,1784729009,810724609,68.177,5,848,480,41.177,39.61,1.908,37.702,7.462,8.711,17.108,4.422,30.241,1.56,0.007,44.228,88.921,88.447,2.572,90.931,5,1,92.485,2.637,94.98,73.434,1,97.164,0.561,97.703,70.072,1,-0.474,1.554,2.184
1784729009,844049805,1784729009,844049805,50.964,5,848,480,46.946,45.977,2.335,43.642,12.28,9.803,16.604,4.956,31.362,0.962,0.006,56.086,103.086,105.552,1.036,106.488,5,1,107.912,3.363,111.127,40.109,1,113.637,0.629,114.241,49.862,1,2.466,1.424,2.51
1784729009,877374756,1784729009,877374756,46.368,5,848,480,45.805,45.129,2.288,42.841,10.159,10.758,16.74,5.185,32.682,0.672,0.003,70.266,116.139,117.898,1.039,118.835,5,1,120.5,2.659,123.023,73.394,1,125.435,0.572,125.983,45.067,1,1.759,1.665,2.412
1784729009,944024170,1784729009,944024170,41.527,5,848,480,41.098,40.342,2.145,38.197,7.596,8.73,17.348,4.524,30.601,0.751,0.004,49.849,90.993,92.717,0.761,93.403,5,1,94.408,2.13,96.432,73.738,1,98.272,0.582,98.833,39.5,1,1.724,1.005,1.84
1784729010,11027588,1784729010,11027588,60.494,5,848,480,38.681,37.938,1.532,36.406,6.755,8.644,16.96,4.046,29.65,0.738,0.005,45.771,84.493,86.848,1.153,87.798,5,1,90.036,2.008,91.947,73.706,1,93.862,0.553,94.392,62.563,1,2.355,2.238,1.915
1784729010,78039551,1784729010,78039551,64.843,5,848,480,38.292,37.416,1.649,35.767,6.403,8.116,16.927,4.321,29.364,0.872,0.005,43.99,82.347,84.206,0.895,85.013,5,1,86.229,2.29,88.415,6.694,1,90.349,0.679,91.01,63.624,1,1.859,1.216,1.934
1784729010,145060547,1784729010,145060547,67.079,5,848,480,38.904,38.04,1.252,36.787,6.493,8.21,16.857,5.228,30.294,0.859,0.005,43.436,82.383,84.44,0.822,85.177,5,1,89.436,2.023,91.366,73.64,1,93.22,0.572,93.77,69.786,1,2.057,4.259,1.854
1784729010,212090088,1784729010,212090088,67.097,5,848,480,39.173,38.287,1.497,36.791,6.532,8.18,16.951,5.128,30.259,0.878,0.008,43.238,82.456,84.543,0.833,85.266,5,1,89.867,2.101,91.876,73.606,1,93.74,0.621,94.337,67.596,1,2.087,4.601,1.864
1784729010,279128662,1784729010,279128662,67.289,5,848,480,39.517,38.676,1.457,37.219,6.896,8.484,16.954,4.885,30.323,0.833,0.007,43.144,82.711,84.872,5.106,89.856,5,1,86.711,2.008,88.616,6.568,1,90.92,0.655,91.554,64.251,1,2.161,-3.145,2.304
1784729010,346175781,1784729010,346175781,66.366,5,848,480,39.039,38.184,1.507,36.677,6.577,8.078,16.981,5.041,30.1,0.85,0.005,42.938,82.027,84.725,1.076,85.711,5,1,88.219,1.95,90.074,73.54,1,91.934,0.554,92.467,67.966,1,2.698,2.508,1.86
1784729010,413231934,1784729010,413231934,74.958,5,848,480,47.188,41.178,1.563,39.615,7.202,9.874,17.235,5.304,32.413,6.003,0.007,42.693,89.927,86.908,0.78,87.607,5,1,88.92,2.242,91.052,73.508,1,93.294,0.728,94.004,68.581,1,-3.019,1.313,2.242
1784729010,446763184,1784729010,446763184,39.057,5,848,480,38.508,37.732,1.289,36.443,6.976,8.85,16.635,3.982,29.467,0.772,0.004,56.884,95.435,97.209,0.835,97.964,5,1,106.062,2.502,108.432,39.976,1,110.893,1.76,112.636,52.166,1,1.774,8.098,2.461
1784729010,513832520,1784729010,513832520,56.791,5,848,480,41.501,40.694,1.417,39.277,8.657,8.853,17.168,4.599,30.62,0.802,0.005,43.629,85.164,87.112,0.996,88.026,5,1,89.148,2.02,91.067,39.938,1,92.922,0.549,93.449,47.891,1,1.948,1.122,1.855
1784729010,580910645,1784729010,580910645,62.019,5,848,480,38.541,37.811,1.632,36.179,6.803,8.254,16.889,4.233,29.376,0.726,0.004,41.525,80.095,81.729,0.652,82.308,5,1,83.364,2.2,85.458,39.901,1,87.358,0.57,87.908,61.536,1,1.634,1.056,1.9
1784729010,647997559,1784729010,647997559,67.617,5,848,480,39.548,38.875,1.525,37.349,7.584,8.781,16.988,3.997,29.766,0.67,0.003,41.049,80.624,82.189,0.652,82.769,5,1,83.98,2.125,86.004,39.863,1,87.938,0.554,88.472,67.652,1,1.565,1.211,1.934
1784729010,715093262,1784729010,715093262,66.521,5,848,480,38.895,38.128,1.626,36.502,7.052,8.229,16.917,4.304,29.45,0.764,0.004,41.129,80.053,81.755,0.741,82.419,5,1,83.869,2.566,86.309,39.826,1,88.381,0.634,88.992,67.612,1,1.702,1.45,2.072
1784729010,782197510,1784729010,782197510,70.108,5,848,480,41.984,41.242,2.019,39.223,8.643,8.935,17.153,4.492,30.58,0.738,0.004,41.047,83.059,84.696,0.733,85.351,5,1,86.436,2.327,88.569,39.789,1,91.376,0.621,91.972,70.087,1,1.637,1.085,2.807
1784729010,849310791,1784729010,849310791,70.962,5,848,480,45.078,44.336,6.019,38.317,7.588,8.964,17.297,4.468,30.728,0.739,0.004,41.8,86.902,88.977,0.847,89.736,5,1,91.143,3.194,94.105,39.751,1,96.805,0.74,97.521,72.659,1,2.075,1.407,2.7
1784729010,882870850,1784729010,882870850,46.297,5,848,480,45.893,44.619,0.855,43.764,7.421,14.823,17.145,4.375,36.343,1.266,0.007,53.75,99.677,101.804,0.86,102.572,5,1,105.344,2.271,107.496,73.236,1,110.219,0.707,110.9,46.94,1,2.127,2.772,2.723
1784729010,916432861,1784729010,916432861,50.765,5,848,480,50.031,49.295,6.868,42.427,12.38,8.199,17.059,4.789,30.047,0.733,0.003,66.784,116.842,118.831,0.978,119.722,5,1,121.087,2.943,123.864,106.236,1,128.495,0.68,129.144,51.806,1,1.989,1.365,4.631
1784729010,983301514,1784729010,983301514,39.236,5,848,480,38.783,38.02,1.023,36.997,7.348,8.709,17.011,3.929,29.649,0.759,0.004,50.387,89.217,90.83,0.696,91.454,5,1,92.525,2.014,94.436,39.367,1,96.591,0.659,97.221,34.947,1,1.613,1.071,2.155
1784729011,49916748,1784729011,49916748,56.728,5,848,480,38.868,38.154,1.73,36.424,7.4,8.204,16.938,3.883,29.024,0.71,0.004,40.427,79.321,80.884,0.641,81.45,5,1,82.517,1.947,84.369,39.324,1,86.267,0.573,86.819,56.214,1,1.563,1.067,1.898
1784729011,116529297,1784729011,116529297,65.662,5,848,480,38.944,38.198,1.419,36.779,7.028,8.781,16.927,4.043,29.751,0.742,0.004,39.4,78.371,79.947,0.732,80.588,5,1,81.696,2.079,83.672,39.279,1,85.624,0.582,86.183,65.977,1,1.576,1.108,1.952
1784729011,183138672,1784729011,183138672,66.651,5,848,480,38.795,38.119,1.577,36.542,7.248,8.27,16.951,4.073,29.294,0.673,0.004,39.632,78.41,79.942,0.839,80.707,5,1,81.771,1.972,83.644,39.235,1,85.512,0.601,86.093,66.519,1,1.532,1.064,1.868
1784729011,249745117,1784729011,249745117,65.937,5,848,480,38.128,37.473,1.282,36.191,6.904,8.294,16.913,4.081,29.287,0.651,0.004,39.587,77.743,79.346,0.703,79.973,5,1,81.147,2.297,83.328,39.191,1,85.294,0.558,85.831,66.345,1,1.603,1.174,1.966
1784729011,316348389,1784729011,316348389,69.49,5,848,480,39.589,38.863,1.688,37.175,7.478,8.186,16.952,4.56,29.697,0.722,0.004,41.014,80.629,82.173,4.19,86.244,5,1,83.819,1.99,85.71,39.147,1,87.743,0.653,88.375,69.145,1,1.544,-2.425,2.033
1784729011,382948975,1784729011,382948975,65.508,5,848,480,38.809,38.147,1.68,36.467,7.101,8.385,17.003,3.978,29.366,0.658,0.004,40.708,79.549,81.092,0.665,81.683,5,1,82.756,2.022,84.674,39.102,1,86.484,0.631,87.097,65.323,1,1.543,1.073,1.81
1784729011,449546387,1784729011,449546387,69.517,5,848,480,40.844,40.132,2.854,37.278,7.409,8.555,17.111,4.203,29.869,0.706,0.006,41.591,82.457,84.166,0.658,84.752,5,1,85.802,2.021,87.679,39.059,1,89.725,0.606,90.314,69.812,1,1.709,1.05,2.046
1784729011,516140625,1784729011,516140625,65.996,5,848,480,40.676,39.971,1.694,38.278,8.916,8.308,17.18,3.873,29.361,0.701,0.004,41.155,81.858,83.412,0.642,83.981,5,1,85.038,1.945,86.888,39.014,1,88.87,0.567,89.417,65.701,1,1.554,1.057,1.982
