capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1784729007,152259033,123.913,20.782,144.335,5,1
1784729007,185393066,165.179,1.475,166.563,5,1
1784729007,284744385,110.066,0.706,110.698,5,1
1784729007,384019775,79.819,0.954,80.692,5,1
1784729007,450161133,82.483,1.063,83.462,5,1
1784729007,516269043,83.294,0.766,83.986,5,1
1784729007,582343018,82.049,0.852,82.762,5,1
1784729007,648383301,83.514,0.991,84.424,5,1
1784729007,681390625,98.154,1.414,99.46,5,1
1784729007,747380371,96.138,1.394,97.443,5,1
1784729007,813336426,84.551,1.568,86.041,5,1
1784729007,879258545,135.07,4.405,139.35,5,1
1784729007,945156982,127.738,1.153,128.714,5,1
1784729008,11783447,114.017,1.397,115.201,5,1
1784729008,78406006,87.184,0.941,88.049,5,1
1784729008,145025146,86.194,0.894,87.007,5,1
1784729008,211640381,88.922,10.306,99.085,5,1
1784729008,244946777,160.127,0.766,160.814,5,1
1784729008,344860596,113.749,1.103,114.76,5,1
1784729008,411465088,91.993,0.713,92.631,5,1
1784729008,478066162,90.616,0.78,91.321,5,1
1784729008,544663574,86.009,0.719,86.647,5,1
1784729008,577960938,98.073,0.936,98.929,5,1
1784729008,644552979,86.608,0.753,87.285,5,1
1784729008,711141357,88.871,1.07,89.859,5,1
1784729008,744434326,98.282,0.911,99.114,5,1
1784729008,811017334,89.672,0.729,90.323,5,1
1784729008,877596680,89.829,0.817,90.568,5,1
1784729008,944173828,89.078,0.716,89.72,5,1
1784729009,10838135,90.664,0.71,91.299,5,1
1784729009,77501221,87.007,0.749,87.679,5,1
1784729009,144163330,89.942,0.741,90.607,5,1
1784729009,210824219,89.812,8.231,97.902,5,1
1784729009,244154297,109.03,1.315,110.246,5,1
1784729009,277484131,119.591,1.331,120.828,5,1
1784729009,344143066,93.718,0.883,94.522,5,1
1784729009,410800781,103.097,2.23,105.207,5,1
1784729009,444129150,114.544,4.998,115.447,5,1
1784729009,544113037,87.121,0.893,87.928,5,1
1784729009,610767578,84.538,0.959,85.403,5,1
1784729009,677420898,84.806,0.959,85.678,5,1
1784729009,744073242,86.051,1.099,87.066,5,1
1784729009,810724609,88.447,2.572,90.931,5,1
1784729009,844049805,105.552,1.036,106.488,5,1
1784729009,877374756,117.898,1.039,118.835,5,1
1784729009,944024170,92.717,0.761,93.403,5,1
1784729010,11027588,86.848,1.153,87.798,5,1
1784729010,78039551,84.206,0.895,85.013,5,1
1784729010,145060547,84.44,0.822,85.177,5,1
1784729010,212090088,84.543,0.833,85.266,5,1
1784729010,279128662,84.872,5.106,89.856,5,1
1784729010,346175781,84.725,1.076,85.711,5,1
1784729010,413231934,86.908,0.78,87.607,5,1
1784729010,446763184,97.209,0.835,97.964,5,1
1784729010,513832520,87.112,0.996,88.026,5,1
1784729010,580910645,81.729,0.652,82.308,5,1
1784729010,647997559,82.189,0.652,82.769,5,1
1784729010,715093262,81.755,0.741,82.419,5,1
1784729010,782197510,84.696,0.733,85.351,5,1
1784729010,849310791,88.977,0.847,89.736,5,1
1784729010,882870850,101.804,0.86,102.572,5,1
1784729010,916432861,118.831,0.978,119.722,5,1
1784729010,983301514,90.83,0.696,91.454,5,1
1784729011,49916748,80.884,0.641,81.45,5,1
1784729011,116529297,79.947,0.732,80.588,5,1
1784729011,183138672,79.942,0.839,80.707,5,1
1784729011,249745117,79.346,0.703,79.973,5,1
1784729011,316348389,82.173,4.19,86.244,5,1
1784729011,382948975,81.092,0.665,81.683,5,1
1784729011,449546387,84.166,0.658,84.752,5,1
1784729011,516140625,83.412,0.642,83.981,5,1
1784729011,582732178,80.8,0.689,81.416,5,1
1784729011,649320557,82.002,0.65,82.58,5,1
1784729011,715906006,82.371,0.784,83.077,5,1
1784729011,782488281,81.865,0.692,82.481,5,1
1784729011,849067871,85.784,0.653,86.364,5,1
1784729011,915644287,81.624,0.877,82.351,5,1
1784729011,982254883,83.274,0.765,83.962,5,1
1784729012,48897217,86.203,0.822,86.945,5,1
1784729012,115537842,98.616,0.854,99.387,5,1
1784729012,148857422,126.577,2.418,128.894,5,1
1784729012,215495361,114.488,0.979,115.385,5,1
1784729012,282131592,87.311,0.755,87.988,5,1
1784729012,348765869,84.288,4.537,88.683,5,1
1784729012,415398438,82.257,0.8,82.966,5,1
1784729012,482029053,83.149,0.884,83.938,5,1
1784729012,548658203,82.344,0.824,83.079,5,1
