metric,n,mean,std,p50,p95,p99,min,max
true_e2e_ms,5081,123.806,40.348,117.391,153.934,172.759,85.831,2322.93
frame_age_ms,5077,111.699,19.282,106.923,140.95,155.011,77.743,565.38
age_in_ms,5077,67.283,16.334,62.935,89.718,101.541,37.045,518.054
handoff_det_to_pick_ms,5077,2.012,1.496,1.918,3.661,6.473,-16.0,25.594
handoff_pick_to_3d_ms,5053,2.005,17.005,1.29,4.55,8.424,-35.946,582.289
handoff_3d_to_base_ms,5081,2.609,2.724,2.255,4.399,7.497,1.81,180.046
pick_logic_compute_ms,5078,1.665,2.631,0.901,6.452,14.154,0.628,39.2
target3d_compute_ms,5081,3.211,30.622,2.47,4.59,8.074,1.894,2184.216
base_compute_ms,5081,0.786,0.496,0.67,1.304,2.669,0.531,13.072
processing_ms,5077,44.284,5.649,42.425,55.695,62.754,37.41,93.0
dpu_ms,5077,17.212,0.899,17.025,18.06,21.448,16.604,35.461
detect_period_ms,5076,59.094,12.003,60.465,74.152,86.291,38.462,444.698
output_period_ms,5080,59.097,15.6,60.809,75.837,87.471,3.45,614.765
depth_vs_color_skew_ms,5081,57.391,50.862,60.549,111.64,130.74,-1584.07,606.9
