capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid
1784729007,152259033,126.988,2184.216,2311.063,74.688,1
1784729008,811017334,672.612,3.383,675.818,-1584.07,1
1784729008,877596680,628.54,8.272,636.689,606.9,1
1784729008,944173828,578.08,2.698,580.639,540.323,1
1784729009,10838135,518.863,2.268,521.015,473.658,1
1784729009,77501221,458.797,2.358,461.011,406.995,1
1784729009,144163330,398.058,2.311,400.256,340.333,1
1784729009,210824219,336.726,4.017,340.582,273.672,1
1784729009,244154297,310.621,2.872,313.372,240.342,1
1784729009,277484131,287.789,2.357,290.03,207.012,1
1784729009,344143066,230.493,2.056,232.456,206.967,1
1784729009,410800781,169.094,2.726,171.702,140.309,1
1784729009,444129150,141.926,2.633,144.444,106.981,1
1784729009,544113037,90.473,1.984,92.361,73.609,1
1784729009,610767578,86.848,2.156,88.882,6.954,1
1784729009,677420898,86.747,2.062,88.704,6.912,1
1784729009,744073242,90.004,1.922,91.833,73.478,1
1784729009,810724609,92.485,2.637,94.98,73.434,1
1784729009,844049805,107.912,3.363,111.127,40.109,1
1784729009,877374756,120.5,2.659,123.023,73.394,1
1784729009,944024170,94.408,2.13,96.432,73.738,1
1784729010,11027588,90.036,2.008,91.947,73.706,1
1784729010,78039551,86.229,2.29,88.415,6.694,1
1784729010,145060547,89.436,2.023,91.366,73.64,1
1784729010,212090088,89.867,2.101,91.876,73.606,1
1784729010,279128662,86.711,2.008,88.616,6.568,1
1784729010,346175781,88.219,1.95,90.074,73.54,1
1784729010,413231934,88.92,2.242,91.052,73.508,1
1784729010,446763184,106.062,2.502,108.432,39.976,1
1784729010,513832520,89.148,2.02,91.067,39.938,1
1784729010,580910645,83.364,2.2,85.458,39.901,1
1784729010,647997559,83.98,2.125,86.004,39.863,1
1784729010,715093262,83.869,2.566,86.309,39.826,1
1784729010,782197510,86.436,2.327,88.569,39.789,1
1784729010,849310791,91.143,3.194,94.105,39.751,1
1784729010,882870850,105.344,2.271,107.496,73.236,1
1784729010,916432861,121.087,2.943,123.864,106.236,1
1784729010,983301514,92.525,2.014,94.436,39.367,1
1784729011,49916748,82.517,1.947,84.369,39.324,1
1784729011,116529297,81.696,2.079,83.672,39.279,1
1784729011,183138672,81.771,1.972,83.644,39.235,1
1784729011,249745117,81.147,2.297,83.328,39.191,1
1784729011,316348389,83.819,1.99,85.71,39.147,1
1784729011,382948975,82.756,2.022,84.674,39.102,1
1784729011,449546387,85.802,2.021,87.679,39.059,1
1784729011,516140625,85.038,1.945,86.888,39.014,1
1784729011,582732178,82.428,1.958,84.291,38.97,1
1784729011,649320557,83.64,1.955,85.498,38.926,1
1784729011,715906006,84.284,2.128,86.307,38.882,1
1784729011,782488281,83.745,2.512,86.142,38.837,1
1784729011,849067871,87.527,2.156,89.58,-27.742,1
1784729011,915644287,83.513,2.319,85.714,38.763,1
1784729011,982254883,85.037,2.088,87.015,38.747,1
1784729012,48897217,88.32,2.693,90.895,38.704,1
1784729012,115537842,100.895,3.33,104.021,38.66,1
1784729012,148857422,129.25,3.022,132.15,71.936,1
1784729012,215495361,116.848,3.082,119.787,71.891,1
1784729012,282131592,89.194,2.586,91.667,71.847,1
1784729012,348765869,86.653,2.473,89.021,71.803,1
1784729012,415398438,86.456,2.439,88.784,71.759,1
1784729012,482029053,87.043,2.2,89.135,71.714,1
1784729012,548658203,85.715,1.938,87.558,71.67,1
1784729012,615285400,88.027,2.009,89.944,71.625,1
1784729012,681910645,86.579,2.068,88.548,71.582,1
1784729012,748534424,86.096,1.98,87.978,71.536,1
1784729012,815156250,86.946,2.025,88.863,71.493,1
1784729012,881776367,88.048,2.032,89.978,71.455,1
1784729012,948395508,86.171,1.977,88.053,71.452,1
1784729013,15057129,85.922,1.973,87.797,71.408,1
1784729013,81717285,85.843,1.946,87.679,71.365,1
1784729013,148376709,84.18,2.087,86.146,4.706,1
1784729013,215034668,86.764,2.02,88.682,71.278,1
1784729013,281691650,90.263,2.486,92.624,4.621,1
1784729013,348347656,88.082,2.344,90.306,71.19,1
1784729013,415002441,87.427,2.151,89.476,71.147,1
1784729013,481656006,86.927,2.379,89.118,71.103,1
1784729013,548308594,86.641,2.091,88.638,71.06,1
1784729013,614959961,85.176,2.35,87.412,4.408,1
1784729013,681610352,86.473,2.106,88.483,70.973,1
1784729013,748259521,87.049,2.057,89.003,70.928,1
1784729013,814907715,89.931,2.826,92.605,70.885,1
1784729013,848231445,103.456,2.883,106.191,37.562,1
1784729013,914877686,88.678,1.973,90.55,37.522,1
1784729013,981536865,86.222,1.963,88.085,37.49,1
1784729014,48207520,85.03,1.951,86.885,-29.18,1
1784729014,114877686,85.287,2.15,87.334,37.405,1
1784729014,181546631,91.844,2.28,93.936,37.361,1
1784729014,248215088,87.539,2.041,89.477,37.319,1
1784729014,314882813,86.054,2.014,87.959,-29.349,1
1784729014,381549561,85.487,3.095,88.475,37.233,1
1784729014,448215576,88.475,1.967,90.341,37.19,1
1784729014,514881104,86.365,1.938,88.207,37.147,1
1784729014,581545410,86.5,1.961,88.367,37.104,1
1784729014,648209229,85.884,2.005,87.792,-29.56,1
1784729014,714872314,86.444,2.415,88.647,37.019,1
1784729014,781534424,87.152,2.037,89.085,36.976,1
1784729014,848195801,88.751,2.355,90.996,36.933,1
1784729014,914856445,90.127,1.977,92.003,36.892,1
1784729014,981548340,88.004,2.043,89.942,36.883,1
1784729015,48272217,87.128,1.979,89.006,36.841,1
1784729015,114997314,86.892,1.989,88.777,36.799,1
1784729015,181723633,87.107,2.02,89.027,36.757,1
1784729015,248450928,86.837,2.125,88.86,36.716,1
1784729015,315179688,88.186,2.008,90.093,36.673,1
1784729015,381909180,87.499,2.702,90.078,36.632,1
1784729015,448640137,86.753,2.213,88.861,36.59,1
1784729015,515372314,87.372,2.159,89.429,36.548,1
1784729015,582105469,86.144,2.329,88.36,36.506,1
1784729015,648839844,86.591,1.99,88.477,36.464,1
1784729015,715575195,87.354,2.199,89.452,36.422,1
1784729015,782312012,88.03,2.231,90.153,36.381,1
1784729015,849049805,88.463,2.363,90.711,-30.357,1
1784729015,915788818,89.366,2.141,91.407,36.295,1
1784729015,982501465,87.348,2.218,89.462,36.224,1
1784729016,49187256,86.166,2.251,88.288,36.182,1
1784729016,115872559,85.762,2.225,87.883,36.14,1
1784729016,182557373,85.975,2.171,88.043,36.097,1
1784729016,249241699,86.318,1.99,88.209,36.054,1
1784729016,315925537,87.113,2.143,89.153,36.011,1
1784729016,382608887,87.116,2.389,89.382,35.969,1
1784729016,449291748,89.89,2.057,91.847,35.926,1
1784729016,515974121,89.803,2.065,91.762,-30.757,1
1784729016,582656250,87.295,2.182,89.379,35.84,1
1784729016,649337646,87.303,2.137,89.341,35.798,1
1784729016,716018555,87.981,2.045,89.925,35.755,1
1784729016,782698975,87.533,2.146,89.567,35.713,1
1784729016,849379150,88.803,2.646,91.336,35.669,1
1784729016,916058594,87.642,2.048,89.548,35.628,1
1784729016,982741943,87.085,2.058,89.041,35.589,1
1784729017,49429199,91.961,2.189,94.038,35.546,1
1784729017,116115723,90.668,2.25,92.796,-31.14,1
1784729017,182801758,90.68,2.239,92.668,35.461,1
1784729017,249487549,87.267,2.161,89.324,-31.225,1
1784729017,316172852,87.122,2.228,89.247,35.375,1
1784729017,382857666,87.922,2.196,90.003,35.333,1
