wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1784728997.007,1,0.8175,0,2,64804,0,1570,0.6281,0,3,44728,0,1412,,,0.7876,0,0,51908,0,2352,0.9372,0,2,33032,0,1453,0.9172,0,1,33232,0,1947,0.01,0,3,36876,0,294,1.0,1.0,1.0,1.0,1.0,1484960,29303036,122756,1795,1200,1783,1784,1783,1784,855,1797,597,716,1195,1801,1250,0,860,843,847,1799,600,0,715,857,1796,1793,842,842,837,32189,31816,32531,15,1248,5016,6260000,0,,,,,,,,,,,
1784728998.012,2,0.0578,0,2,66028,0,1577,0.6836,0,2,47436,0,2346,,,0.5873,0,1,57764,0,3397,0.5488,0,2,46328,0,2051,0.5584,0,0,46368,0,2633,0.0096,0,3,36876,0,294,0.9871,0.9898,0.9588,1.0,1.0,1455364,29303036,122756,1795,1194,1784,1783,1783,1784,854,1797,598,719,1197,1802,1250,0,858,845,839,1798,600,0,716,855,1799,1793,844,842,840,32484,31132,31241,15,1226,5016,6150000,0,,,,,,,,,,,
1784728999.003,3,0.0099,0,2,66028,0,1577,0.8241,0,3,53676,0,2985,,,0.0199,0,1,57904,0,3412,0.695,0,0,71032,0,3070,0.695,0,1,48036,0,3438,0.0199,0,3,37140,0,294,0.9162,0.6667,1.0,1.0,0.99,1422124,29303036,115936,1793,1183,1782,1783,1782,1783,854,1797,597,715,1196,1802,1250,0,859,842,841,1797,600,0,715,857,1798,1791,836,842,843,31257,32158,31925,15,1228,5016,6260000,0,,,,,,,,,,,
1784728999.954,4,0.0605,0,2,66184,0,1577,0.7763,0,1,64376,0,3883,,,0.0202,0,1,58036,0,3412,0.4839,0,3,73768,0,3818,0.7461,0,2,74100,0,4483,0.0202,0,3,37140,0,294,0.9788,0.9158,1.0,1.0,0.9895,1394880,29303036,102296,1795,1199,1783,1784,1784,1785,853,1797,596,715,1198,1801,1251,0,858,844,839,1796,599,0,715,858,1798,1794,841,842,840,30961,31645,30744,15,1168,5016,5870000,0,,,,,,,,,,,
1784729000.926,5,0.0204,0,2,66328,0,1577,1.2358,0,2,105416,0,4123,,,0.0102,0,1,58176,0,3412,0.0102,0,0,73972,0,3820,0.1634,0,3,74660,0,4525,0.0,0,3,37140,0,294,0.4257,0.1753,0.9109,0.2772,0.3333,1380880,29303036,95416,1794,1198,1783,1783,1782,1783,856,1795,596,717,1197,1800,1249,0,859,842,839,1799,600,0,716,856,1794,1793,842,841,838,31054,31023,30557,15,1118,5016,5610000,0,41138,80291,41386,52912,53568,26185,,,,,
1784729001.929,6,0.0,0,2,66328,0,1577,0.9758,0,2,130976,0,4558,,,0.0,0,1,58176,0,3412,0.01,0,3,73972,0,3822,0.0199,0,1,74832,0,4527,0.0199,0,3,37312,0,294,0.322,0.0745,0.0426,1.0,0.1458,1367272,29303036,88720,1795,1199,1783,1783,1783,1783,855,1796,596,718,1195,1802,1250,0,858,844,842,1797,599,0,715,856,1795,1793,841,842,840,32142,30557,31241,15,1123,5016,5640000,0,,,,,,,,,,,
1784729002.951,7,0.0098,0,2,66328,0,1577,0.8624,0,3,157308,0,4998,,9572,0.0098,0,1,58176,0,3412,0.0392,0,0,74208,0,3827,0.0196,0,1,75092,0,4527,0.0098,0,0,37424,0,298,0.3821,0.2121,0.2574,0.8824,0.1683,1337584,29303036,74212,1793,1205,1782,1783,1782,1783,853,1797,597,716,1199,1800,1250,0,857,843,841,1801,600,0,715,856,1795,1791,839,842,839,31567,31132,31101,15,1257,5016,6310000,0,,,,,,,,1,0,82,
1784729003.928,8,0.4194,0,2,81444,0,1637,0.0409,0,3,157624,0,4998,0.941,42808,0.0307,0,1,58332,0,3412,0.0818,0,0,77936,0,3908,0.0409,0,1,75092,0,4555,0.0716,0,0,37424,0,347,0.5958,0.4066,0.5312,0.4316,0.9898,1330136,29303036,73288,1794,1199,1783,1783,1783,1785,856,1795,597,718,1196,1801,1249,0,857,844,838,1797,600,0,716,855,1797,1794,842,841,836,30495,31023,30122,15,1147,5015,5760000,0,,,,,,,0,3,0,748,
1784729004.956,9,0.283,0,2,87416,0,1637,0.039,0,3,160704,0,4998,0.9954,53692,0.0,0,1,58332,0,3412,0.1854,0,1,78724,0,4137,0.0,0,1,75092,0,4555,0.0,0,0,37424,0,347,0.4777,0.3,0.3529,0.2673,1.0,1318796,29303036,67956,1793,1197,1782,1783,1782,1783,856,1794,596,718,1200,1800,1250,0,857,845,838,1797,600,0,714,856,1797,1793,842,841,838,31474,31257,30868,15,1205,5015,6040000,0,,,,,,,0,3,0,899,
1784729005.945,10,0.2627,0,2,87416,0,1637,0.0303,0,3,160704,0,4998,1.0105,70924,0.0,0,1,58332,0,3412,0.0909,0,1,78724,0,4190,0.0,0,1,75092,0,4555,0.0,0,0,37424,0,347,0.4425,0.2525,0.3204,0.1748,1.0,1311488,29303036,64360,1794,1202,1782,1783,1783,1783,855,1797,596,719,1198,1801,1251,1,857,842,836,1800,600,0,714,857,1798,1792,840,841,843,30852,31630,30837,15,1198,5016,6010000,0,59291,107569,41020,56378,53114,26005,0,3,0,1038,37950
