capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785813279,603981689,196.848,12.692,,,0
1785813279,704647217,185.65,0.728,,77.512,0
1785813279,838906738,2398.795,5.822,2404.589,2352.497,1
1785813281,571554688,689.547,0.769,690.258,18.319,1
1785813281,638241455,633.244,1.082,634.302,10.72,1
1785813281,738270264,537.191,0.527,537.69,3.427,1
1785813281,804955322,473.9,0.676,474.55,3.542,1
1785813281,871639648,410.593,0.921,411.497,3.627,1
1785813281,904981689,381.026,0.583,381.588,3.439,1
1785813281,971664795,318.466,0.647,319.086,4.181,1
1785813282,38348145,259.751,0.824,260.451,8.049,1
1785813282,71665771,231.199,0.706,231.879,4.746,1
1785813282,138299561,168.374,0.645,168.988,3.744,1
1785813282,204931152,127.372,0.677,128.023,25.668,1
1785813282,271560059,94.475,0.569,95.084,33.627,1
1785813282,338186768,102.316,0.658,102.947,74.547,1
1785813282,371499268,120.082,0.578,120.635,51.006,1
1785813282,438122559,92.674,0.624,93.279,39.263,1
1785813282,504743408,90.629,0.645,91.246,64.591,1
1785813282,571361816,86.831,0.716,87.518,62.887,1
1785813282,637977783,90.581,0.619,91.174,70.276,1
1785813282,704591553,93.494,2.882,96.369,71.78,1
1785813282,771202881,93.717,0.663,94.356,64.627,1
1785813282,837811768,87.846,1.079,88.903,61.145,1
1785813282,904418457,87.367,0.712,88.051,65.76,1
1785813282,971022705,89.539,1.043,90.544,69.096,1
1785813283,37625977,87.842,0.931,88.756,64.807,1
1785813283,104527832,88.411,0.713,89.104,67.252,1
1785813283,171433105,90.884,0.589,91.448,69.263,1
1785813283,238342041,90.41,0.569,90.952,66.413,1
1785813283,305254395,88.584,0.665,89.223,65.178,1
1785813283,372170166,89.858,0.586,90.418,68.115,1
1785813283,472550293,91.542,0.573,92.09,102.052,1
1785813283,539474854,85.573,0.583,86.13,60.965,1
1785813283,606402832,91.633,0.771,92.373,73.169,1
1785813283,673334473,87.704,0.663,88.395,62.903,1
1785813283,740269531,91.695,0.773,92.446,71.035,1
1785813283,807208008,89.458,0.891,90.327,64.815,1
1785813283,840678467,102.369,0.715,103.063,46.208,1
1785813283,941095459,88.963,0.591,89.531,86.892,1
1785813284,8044434,86.834,0.625,87.437,64.855,1
1785813284,74828125,86.083,0.631,86.692,66.039,1
1785813284,141447266,87.087,0.579,87.632,67.559,1
1785813284,208063965,86.336,0.676,86.989,65.974,1
1785813284,274678223,89.679,0.645,90.297,69.923,1
1785813284,341290283,85.92,0.646,86.538,62.851,1
1785813284,407899902,85.552,0.631,86.158,66.231,1
1785813284,474507080,90.557,0.582,91.114,71.563,1
1785813284,541112061,86.768,0.578,87.321,62.812,1
1785813284,607714844,89.31,0.636,89.922,69.201,1
1785813284,674314941,91.374,0.574,91.922,68.604,1
1785813284,740912842,93.293,0.77,94.038,68.714,1
1785813284,807508545,86.347,0.569,86.905,59.448,1
1785813284,874101563,86.606,0.65,87.161,66.864,1
1785813284,940692627,85.484,0.609,86.065,65.495,1
1785813285,7281006,91.377,0.573,91.924,72.448,1
1785813285,73995117,88.205,0.661,88.843,63.633,1
1785813285,140834717,86.53,0.583,87.088,65.085,1
1785813285,207675781,90.002,0.636,90.615,70.368,1
1785813285,274518555,90.072,0.643,90.692,66.92,1
1785813285,341363037,89.564,0.815,90.364,66.501,1
1785813285,408209229,87.437,0.619,87.999,64.496,1
1785813285,475057129,91.308,0.576,91.861,70.71,1
1785813285,541906738,85.739,0.64,86.357,61.345,1
1785813285,608757813,86.379,0.569,86.925,67.42,1
1785813285,675610840,87.407,0.716,88.101,68.026,1
1785813285,742465332,86.989,0.646,87.613,66.369,1
1785813285,809321533,85.132,0.768,85.877,65.12,1
1785813285,876179443,92.422,0.57,92.967,73.949,1
1785813285,909609131,105.364,0.782,106.027,46.486,1
1785813285,976469482,89.785,0.819,90.58,51.413,1
1785813286,43330078,88.381,0.576,88.933,65.218,1
1785813286,109951416,84.798,0.758,85.527,63.214,1
1785813286,176570801,85.785,0.594,86.35,67.443,1
1785813286,243188232,86.497,0.651,87.126,67.392,1
1785813286,309803955,85.382,0.607,85.963,65.455,1
1785813286,376417480,86.221,0.909,87.103,67.745,1
1785813286,443029053,86.085,0.746,86.809,66.321,1
1785813286,509638672,86.261,0.658,86.892,66.696,1
1785813286,576246094,86.732,0.761,87.462,67.178,1
1785813286,642851807,86.734,0.567,87.279,66.424,1
1785813286,709455566,87.453,0.615,88.046,67.367,1
1785813286,776057373,87.892,1.173,89.056,67.598,1
1785813286,842656982,86.507,0.644,87.131,64.687,1
1785813286,909254883,86.873,0.733,87.585,67.045,1
1785813286,975850586,90.417,0.642,91.036,70.057,1
1785813287,42446045,90.625,0.612,91.218,66.777,1
1785813287,109129639,86.636,0.619,87.234,62.7,1
1785813287,175813477,87.848,0.62,88.444,67.893,1
1785813287,242497314,86.264,0.84,87.086,65.32,1
1785813287,309181641,86.183,0.74,86.901,66.504,1
1785813287,375865967,87.487,0.756,88.214,68.0,1
1785813287,442550537,87.548,0.696,88.212,66.684,1
1785813287,509235352,87.693,0.587,88.257,66.73,1
1785813287,575920166,87.625,0.64,88.243,66.669,1
1785813287,642605469,90.608,0.588,91.172,69.617,1
1785813287,709290771,101.534,0.701,102.208,77.717,1
1785813287,775976318,92.693,0.57,93.238,57.72,1
1785813287,842661865,86.908,0.808,87.544,60.991,1
1785813287,909347900,88.09,0.888,88.979,68.076,1
1785813287,976033936,87.45,0.622,88.051,65.801,1
1785813288,42720703,89.378,0.58,89.933,68.573,1
1785813288,109493164,87.995,0.549,88.52,65.359,1
1785813288,176318604,88.366,0.805,89.15,67.452,1
1785813288,243145020,87.192,0.639,87.808,65.487,1
1785813288,309972900,87.236,0.764,87.983,66.998,1
1785813288,376802002,88.386,0.761,89.125,67.973,1
1785813288,443632080,87.171,0.566,87.715,65.424,1
1785813288,510463623,85.632,0.678,86.288,65.404,1
1785813288,577296143,87.602,0.767,88.342,68.885,1
1785813288,644129883,89.103,0.664,89.746,68.236,1
1785813288,710964844,88.62,0.681,89.281,66.366,1
1785813288,744382813,111.18,0.58,111.734,55.879,1
1785813288,777801025,128.534,0.63,129.135,50.819,1
1785813288,844638672,102.786,0.688,103.43,41.127,1
1785813288,911477051,95.876,0.64,96.49,59.904,1
1785813288,978316895,88.256,0.634,88.866,59.215,1
1785813289,45157959,89.712,0.671,90.362,68.335,1
1785813289,111975830,86.696,0.764,87.44,63.897,1
1785813289,178772949,88.095,0.687,88.758,68.114,1
1785813289,245570801,84.56,0.655,85.193,63.236,1
1785813289,312369141,85.875,0.629,86.483,68.088,1
1785813289,379168213,87.23,0.777,87.979,68.295,1
1785813289,445968018,85.41,0.645,86.032,64.854,1
1785813289,512768555,86.934,0.653,87.566,68.331,1
1785813289,579569580,85.97,0.858,86.807,66.044,1
1785813289,646371582,91.662,0.689,92.329,72.324,1
1785813289,713174072,94.755,0.721,95.453,69.921,1
1785813289,746575439,103.944,0.813,104.639,42.592,1
1785813289,813378906,94.374,0.559,94.911,57.078,1
1785813289,880183105,90.647,0.547,91.171,63.064,1
1785813289,946988037,85.513,0.884,86.376,62.004,1
1785813289,980390625,110.866,0.758,111.956,58.632,1
1785813290,13793457,120.516,0.62,121.084,42.886,1
1785813290,80598877,101.523,0.808,102.239,47.951,1
1785813290,113943359,118.839,0.692,119.506,50.621,1
1785813290,180632813,90.681,0.569,91.223,38.408,1
1785813290,247322754,89.836,0.575,90.386,65.853,1
1785813290,314012695,85.898,0.66,86.453,62.757,1
1785813290,380703369,85.553,0.794,86.314,66.551,1
1785813290,447394043,83.255,0.602,83.835,64.209,1
1785813290,514085205,85.743,0.668,86.354,69.21,1
1785813290,580776611,89.327,0.574,89.876,70.216,1
1785813290,647468262,89.463,0.58,90.019,66.835,1
1785813290,714160400,86.286,0.659,86.9,63.569,1
1785813290,780852783,90.652,0.555,91.181,70.978,1
1785813290,847545654,89.131,0.555,89.663,65.174,1
1785813290,914238525,86.517,0.639,87.135,64.162,1
1785813290,980932129,86.556,0.621,87.151,66.711,1
1785813291,47625732,91.149,0.59,91.716,71.259,1
1785813291,114335205,85.286,0.565,85.826,60.822,1
1785813291,181124023,89.276,0.611,89.973,70.824,1
1785813291,247913574,84.508,0.571,85.041,61.969,1
1785813291,314703369,84.111,0.694,84.783,66.53,1
1785813291,381493896,88.875,0.547,89.4,71.408,1
1785813291,448284912,84.566,0.777,85.324,62.711,1
1785813291,515076416,86.787,0.602,87.365,68.838,1
1785813291,581868408,84.509,0.655,85.138,64.562,1
1785813291,648661133,87.656,0.575,88.188,69.846,1
1785813291,715454346,89.164,0.643,89.784,68.388,1
1785813291,782248047,90.365,0.553,90.895,67.905,1
1785813291,849042236,83.829,0.647,84.458,60.352,1
1785813291,915836914,87.244,0.569,87.787,70.128,1
1785813291,982632324,85.21,0.564,85.75,64.758,1
1785813292,16030273,110.942,0.676,111.592,59.236,1
1785813292,82826416,92.312,0.725,93.014,48.218,1
1785813292,149555176,84.082,0.577,84.637,58.357,1
1785813292,216175537,84.76,0.73,85.469,67.451,1
1785813292,282794189,82.753,0.642,83.358,64.508,1
1785813292,349411133,84.96,0.693,85.627,68.885,1
1785813292,416026367,84.803,0.64,85.421,66.409,1
1785813292,482640137,83.138,0.673,83.789,64.98,1
1785813292,549252197,84.227,0.566,84.77,67.596,1
1785813292,615862793,85.975,0.564,86.515,68.356,1
1785813292,682471436,89.437,0.631,90.046,70.138,1
1785813292,782381836,88.584,0.562,89.123,98.988,1
1785813292,848986572,87.62,0.611,88.207,65.689,1
1785813292,915589600,84.526,0.641,85.138,63.533,1
1785813292,982191162,91.003,1.022,92.005,73.46,1
1785813293,15491211,100.019,0.777,100.777,42.074,1
1785813293,82090332,90.969,0.567,91.513,57.344,1
1785813293,148699219,85.718,0.592,86.284,61.379,1
1785813293,215323486,85.686,0.572,86.236,66.576,1
1785813293,281946045,84.199,0.665,84.842,65.229,1
1785813293,348567139,88.153,0.661,88.794,70.569,1
1785813293,415186523,87.424,0.552,87.953,65.782,1
1785813293,481804443,85.132,0.584,85.69,64.355,1
1785813293,548420654,87.455,0.575,88.008,68.933,1
1785813293,615035400,88.186,0.861,89.025,67.63,1
1785813293,681648682,88.938,0.655,89.569,67.159,1
1785813293,748260254,91.716,0.614,92.308,69.35,1
1785813293,814870361,88.312,0.64,88.93,63.233,1
1785813293,881478760,88.139,0.555,88.671,66.35,1
1785813293,948085693,85.369,0.641,85.988,63.922,1
1785813294,14690918,86.055,0.744,86.777,67.394,1
1785813294,81294678,87.141,0.562,87.664,67.492,1
1785813294,147997070,86.631,0.578,87.187,66.224,1
1785813294,214800049,89.356,0.587,89.921,69.537,1
1785813294,281603760,85.487,0.662,86.127,63.01,1
1785813294,348408203,86.86,0.725,87.458,68.134,1
1785813294,415213135,89.068,0.586,89.631,68.98,1
1785813294,482018799,86.29,0.574,86.836,64.011,1
1785813294,548825195,86.746,0.549,87.272,67.242,1
1785813294,615632080,89.672,0.604,90.251,69.786,1
1785813294,682439697,87.323,0.596,87.896,64.452,1
1785813294,749248047,90.087,1.47,91.535,70.446,1
1785813294,816057129,99.092,0.787,99.846,75.117,1
1785813294,849461914,97.712,0.71,98.395,31.954,1
1785813294,916271973,87.39,0.543,87.91,56.33,1
1785813294,983082520,87.065,0.565,87.607,66.507,1
1785813295,49894043,88.119,0.935,89.04,68.233,1
1785813295,83300049,99.791,0.904,100.675,45.045,1
1785813295,150128174,89.096,0.648,89.675,55.836,1
1785813295,216976318,85.953,0.762,86.692,63.861,1
1785813295,283826904,85.13,0.851,85.965,66.12,1
1785813295,350679688,86.296,0.704,86.977,67.869,1
1785813295,417534912,87.552,0.634,88.162,68.042,1
1785813295,484392334,86.369,0.555,86.901,65.597,1
1785813295,551252197,91.198,0.639,91.812,71.77,1
1785813295,584682861,107.038,0.73,107.741,49.358,1
1785813295,618114258,127.752,0.65,128.376,54.066,1
1785813295,684978760,126.944,0.586,127.507,65.998,1
1785813295,751845703,101.173,0.729,101.875,41.235,1
1785813295,852150146,85.085,0.646,85.633,84.062,1
1785813295,919022949,87.762,0.606,88.345,69.585,1
1785813295,985897705,82.468,0.569,83.015,61.545,1
1785813296,52775146,84.872,0.55,85.398,69.261,1
1785813296,119653076,83.813,0.545,84.336,65.814,1
1785813296,186417725,82.975,0.64,83.59,66.019,1
1785813296,253182373,84.808,0.569,85.354,68.528,1
1785813296,319947266,83.501,0.554,84.033,65.445,1
1785813296,353329590,102.461,1.415,103.853,53.199,1
1785813296,420094727,88.866,0.542,89.386,52.302,1
1785813296,486859619,86.05,0.556,86.58,63.959,1
1785813296,553625000,83.878,0.643,84.498,64.682,1
1785813296,620390137,83.376,0.569,83.922,66.19,1
1785813296,687155518,85.212,0.574,85.763,68.607,1
1785813296,753921143,88.584,0.594,89.154,70.157,1
1785813296,820686768,84.578,0.563,85.119,62.731,1
1785813296,887452393,83.574,0.569,84.12,65.766,1
1785813296,954218262,83.176,0.684,83.838,66.483,1
1785813297,20984131,88.876,0.6,89.452,72.379,1
1785813297,87750244,83.234,0.699,83.911,61.226,1
1785813297,154434814,84.486,0.562,85.025,67.799,1
1785813297,221036865,83.91,0.667,84.55,66.124,1
1785813297,287637207,84.529,0.574,85.08,67.133,1
1785813297,354235596,86.15,0.565,86.691,68.209,1
1785813297,420832275,88.904,0.548,89.429,69.335,1
1785813297,487427002,82.947,0.563,83.488,60.653,1
1785813297,554020020,87.822,0.567,88.366,71.471,1
1785813297,620611084,85.972,0.562,86.51,64.735,1
1785813297,687200439,92.026,0.664,92.67,72.746,1
1785813297,720494385,116.967,0.581,117.526,58.152,1
1785813297,787080811,92.554,0.637,93.164,42.223,1
1785813297,853665527,85.142,0.542,85.662,59.086,1
1785813297,920248291,84.079,0.563,84.618,65.539,1
1785813297,986829346,90.561,0.669,91.207,73.168,1
1785813298,20119141,93.802,0.615,94.392,36.475,1
