capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785813279,603981689,167.937,42.933,210.739,4,0
1785813279,704647217,179.498,1.457,180.861,4,0
1785813279,838906738,90.751,10.036,100.405,4,1
1785813279,872478516,116.303,1.367,117.58,4,1
1785813279,939630371,96.103,1.4,97.383,5,1
1785813279,973210205,112.5,1.326,113.736,5,1
1785813280,40374023,94.629,1.832,96.369,5,1
1785813280,73655029,116.708,1.342,117.965,5,1
1785813280,140211670,111.151,2.431,113.445,5,1
1785813280,173487305,118.481,1.136,119.54,4,1
1785813280,273303711,87.675,1.483,89.066,5,1
1785813280,306572266,105.054,1.269,106.242,5,1
1785813280,339839111,130.645,3.35,133.915,5,1
1785813280,406367432,123.772,4.788,128.418,4,1
1785813280,472888672,118.398,1.464,119.777,5,1
1785813280,539402832,113.778,1.625,115.311,5,1
1785813280,605909668,95.868,3.244,99.012,4,1
1785813280,639160645,124.356,2.482,126.655,5,1
1785813280,705656982,133.674,7.308,140.875,5,1
1785813280,772146240,144.08,2.911,146.901,5,1
1785813280,838628418,118.021,5.115,122.961,4,1
1785813280,938338379,96.206,1.391,97.505,5,1
1785813280,971571289,106.901,1.808,108.463,5,1
1785813281,4802734,117.045,2.961,119.928,5,1
1785813281,71381836,109.441,4.432,113.781,4,1
1785813281,104727783,121.399,1.16,122.484,5,1
1785813281,204765137,86.308,1.289,87.503,5,1
1785813281,271455566,85.893,1.07,86.886,4,1
1785813281,338145508,90.985,1.071,91.977,5,1
1785813281,404834717,98.508,9.551,107.976,5,1
1785813281,438178955,147.341,3.822,151.081,5,1
1785813281,538210938,99.598,3.458,102.964,5,1
1785813281,571554688,127.754,1.951,129.606,4,1
1785813281,638241455,104.712,0.998,105.632,4,1
1785813281,738270264,119.086,5.294,124.296,5,1
1785813281,804955322,116.596,9.495,125.988,5,1
1785813281,871639648,102.921,8.441,111.235,4,1
1785813281,904981689,128.325,1.507,129.751,4,1
1785813281,971664795,115.417,1.164,116.499,4,1
1785813282,38348145,95.426,1.268,96.618,5,1
1785813282,71665771,117.541,6.727,124.18,5,1
1785813282,138299561,91.721,1.152,92.798,4,1
1785813282,204931152,113.867,1.18,114.969,5,1
1785813282,271560059,88.217,0.965,89.105,4,1
1785813282,338186768,92.905,1.217,94.036,5,1
1785813282,371499268,112.0,1.199,113.115,5,1
