capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785813279,603981689,185.509,0.517,185.926,,116.316,0
1785813279,704647217,183.215,0.408,183.547,,149.829,0
1785813279,838906738,103.398,2293.328,2396.585,15.57,82.675,1
1785813281,571554688,667.344,2.952,670.169,-1649.973,-1649.973,1
1785813281,638241455,613.504,2.608,615.974,280.887,280.887,1
1785813281,738270264,519.108,2.641,521.63,180.859,180.859,1
1785813281,804955322,457.861,2.415,460.162,114.174,114.174,1
1785813281,871639648,396.518,2.709,399.108,47.489,47.489,1
1785813281,904981689,369.079,2.861,371.814,14.147,14.147,1
1785813281,971664795,308.079,2.404,310.375,-52.536,-52.536,1
1785813282,38348145,246.921,2.812,249.617,-119.219,-119.219,1
1785813282,71665771,219.413,3.114,222.247,-152.537,-152.537,1
1785813282,138299561,159.561,2.867,162.312,-219.171,-219.171,1
1785813282,204931152,117.407,3.431,120.675,-285.802,-285.802,1
1785813282,271560059,90.316,2.321,92.534,-352.431,-352.431,1
1785813282,338186768,95.485,3.965,98.064,47.151,47.151,1
1785813282,371499268,114.518,3.469,117.852,13.838,80.418,1
1785813282,438122559,87.859,2.942,90.682,13.795,13.795,1
1785813282,504743408,84.905,2.522,87.305,13.752,13.752,1
1785813282,571361816,82.49,2.159,84.544,13.709,13.709,1
1785813282,637977783,85.093,3.062,88.038,13.667,13.667,1
1785813282,704591553,88.343,2.574,90.792,13.623,13.623,1
1785813282,771202881,85.018,3.033,87.925,13.581,13.581,1
1785813282,837811768,83.425,2.198,85.464,13.537,13.537,1
1785813282,904418457,82.729,2.202,84.821,13.495,13.495,1
1785813282,971022705,83.452,2.643,85.987,13.451,13.451,1
1785813283,37625977,83.48,2.177,85.554,13.432,13.432,1
1785813283,104527832,83.3,2.27,85.458,13.427,13.427,1
1785813283,171433105,83.614,2.259,85.713,13.385,13.385,1
1785813283,238342041,84.007,2.263,86.131,-53.523,-53.523,1
1785813283,305254395,84.212,2.265,86.361,13.302,13.302,1
1785813283,372170166,83.901,2.693,86.473,13.26,13.26,1
1785813283,472550293,87.524,2.264,89.671,46.638,46.638,1
1785813283,539474854,81.622,2.049,83.568,-20.286,46.597,1
