wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785813267.886,1,0.5283,0,1,63152,0,614,0.5283,0,2,44972,0,831,,,0.5184,0,0,29940,0,740,0.5084,0,2,22620,0,487,0.628,0,1,30520,0,616,0.01,0,2,36728,0,274,0.7516,1.0,1.0,1.0,0.0,1988676,29359356,153820,1794,1200,1783,1784,1783,1784,855,1795,597,716,1198,1799,1250,0,858,859,865,1800,599,0,715,857,1797,1794,854,858,853,30852,32749,31661,15,1325,5017,6640000,0,,,,,,,,,,,
1785813268.982,2,0.1165,0,1,65992,0,614,0.5438,0,0,46056,0,1255,,,0.4661,0,2,53640,0,1059,0.6603,0,1,46076,0,885,0.5341,0,2,46048,0,953,0.0097,0,2,36924,0,274,0.7488,1.0,1.0,1.0,0.0,1935892,29359356,132616,1794,1198,1783,1783,1782,1783,856,1797,597,718,1198,1800,1250,0,859,863,862,1799,600,0,715,856,1795,1790,863,857,850,31738,32516,29998,15,1306,5016,6640000,0,,,,,,,,,,,
1785813269.949,3,0.0394,0,1,66000,0,614,0.5517,0,0,47964,0,1805,,,0.3645,0,2,57428,0,1330,0.463,0,1,47132,0,1158,0.4827,0,2,47192,0,1272,0.0099,0,2,37088,0,274,0.7494,1.0,1.0,1.0,0.0,1925528,29359356,127904,1794,1199,1783,1783,1783,1784,856,1797,597,717,1199,1801,1250,0,858,856,853,1797,600,0,715,856,1798,1794,858,858,861,31225,32298,31054,15,1295,5017,6620000,0,,,,,,,,,,,
1785813270.916,4,0.06,0,1,66280,0,614,0.3901,0,0,53348,0,2202,,,0.15,0,2,58084,0,1468,0.3401,0,0,70712,0,1409,0.3601,0,2,47980,0,1468,0.02,0,2,37196,0,274,0.75,1.0,1.0,1.0,0.0,1897096,29359356,114388,1795,1199,1784,1784,1784,1785,855,1797,597,717,1199,1799,1250,0,859,859,847,1797,599,0,715,856,1798,1793,856,857,851,31054,32142,31661,15,1315,5017,6600000,0,,,,,,,,,,,
1785813271.78,5,0.0209,0,0,66280,0,618,0.7437,0,1,64248,0,2880,,,0.0209,0,2,58084,0,1468,0.5342,0,1,74052,0,2033,0.7228,0,2,74092,0,1979,0.0209,0,2,37196,0,276,0.7054,0.9222,0.8989,1.0,0.0,1873360,29359356,102376,1795,1200,1784,1785,1784,1785,857,1796,597,718,1199,1800,1250,0,858,859,863,1797,599,0,714,857,1799,1793,856,857,852,31723,32345,30650,15,1283,5017,6440000,0,45309,47877,41404,53309,53492,26219,,,,,
1785813272.783,6,0.0,0,0,66280,0,618,1.1393,0,1,106264,0,3159,,,0.0099,0,2,58268,0,1468,0.0099,0,2,74052,0,2033,0.1684,0,2,74736,0,2016,0.0,0,2,37368,0,276,0.3854,0.1809,1.0,0.3505,0.0,1858272,29359356,95060,1794,1196,1782,1783,1783,1783,854,1798,596,715,1198,1799,1251,0,859,859,863,1799,600,0,715,858,1798,1792,861,858,857,32407,32469,29283,15,1220,5017,6120000,0,,,,,,,,,,,
1785813273.809,7,0.0,0,0,66280,0,618,0.9852,0,2,131212,0,3721,,,0.0,0,2,58268,0,1468,0.0,0,1,74052,0,2034,0.0,0,2,74736,0,2016,0.0098,0,2,37368,0,276,0.2985,0.1368,0.1188,0.9216,0.0,1845168,29359356,88488,1795,1198,1784,1784,1784,1784,852,1794,597,717,1199,1799,1249,0,858,863,858,1799,599,0,716,855,1799,1792,855,857,859,31396,32158,30215,15,1242,5017,6240000,0,,,,,,,,,,,
1785813274.78,8,0.3916,0,2,77908,0,731,0.6904,0,1,156368,0,4587,,,0.0309,0,2,58268,0,1468,0.0515,0,2,74320,0,2037,0.0515,0,2,75116,0,2032,0.0721,0,2,37480,0,306,0.4543,0.5532,0.6632,0.6146,0.0,1825288,29359356,80352,1794,1199,1783,1784,1784,1784,855,1798,597,717,1199,1798,1248,0,856,855,858,1797,600,0,714,856,1797,1793,860,858,861,33370,31303,31645,15,1270,5016,6370000,0,,,,,,,,,,,
1785813275.812,9,0.2349,0,2,87524,0,731,0.2447,0,2,160672,0,4668,,41684,0.0,0,2,58504,0,1468,0.2055,0,1,85252,0,2236,0.0098,0,2,75116,0,2032,0.0,0,2,37480,0,306,0.4647,0.8333,0.4757,0.5392,0.0,1792036,29359356,64872,1794,1200,1783,1784,1783,1785,856,1798,597,717,1199,1800,1250,0,858,863,852,1799,600,0,715,856,1799,1791,855,857,857,32080,31101,30884,15,1230,5016,6170000,0,,,,,,,,0,0,1250,
1785813276.787,10,0.2749,0,2,87524,0,731,0.0305,0,2,160672,0,4668,0.9671,46584,0.0,0,2,58504,0,1468,0.112,0,2,89252,0,2276,0.0,0,2,75116,0,2032,0.0,0,2,37480,0,306,0.4156,1.0,0.2673,0.3883,0.0,1787004,29359356,62392,1793,1198,1783,1783,1783,1783,855,1796,596,716,1194,1801,1249,0,857,865,855,1798,599,0,714,855,1797,1791,858,857,850,32282,31132,30106,15,1243,5017,6410000,0,60596,113964,41135,66832,53132,26027,0,0,0,2582,24352
