capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785490470,109260498,239.772,5.788,,,0
1785490470,276756348,156.51,0.516,,78.982,0
1785490470,377270752,3162.008,68.012,3230.0,3173.504,1
1785490472,881393311,747.594,3.641,751.114,25.237,1
1785490472,947988770,698.011,0.756,698.729,14.209,1
1785490472,981285400,669.583,0.836,670.393,4.969,1
1785490473,47876221,606.791,0.827,607.609,3.794,1
1785490473,114464111,544.544,0.596,545.114,4.103,1
1785490473,181048828,481.32,0.823,482.127,3.597,1
1785490473,214340332,452.21,8.606,460.798,11.958,1
1785490473,314209473,364.631,0.744,365.352,4.425,1
1785490473,380785156,310.051,0.632,310.662,11.889,1
1785490473,447357666,247.028,0.589,247.599,3.511,1
1785490473,513927246,183.981,0.648,184.599,3.569,1
1785490473,547210938,153.753,1.15,154.896,3.579,1
1785490473,613775879,121.742,0.623,122.345,34.014,1
1785490473,680341309,129.776,0.967,130.732,74.939,1
1785490473,746971924,124.792,0.825,125.66,61.511,1
1785490473,813600586,115.013,1.039,116.042,57.061,1
1785490473,846914307,138.153,3.079,143.128,58.492,1
1785490473,913539795,124.195,0.673,124.851,50.264,1
1785490473,980163330,111.284,0.68,111.945,53.717,1
1785490474,13474121,131.158,0.735,131.808,53.179,1
1785490474,80094482,144.806,0.651,145.434,80.245,1
1785490474,146712891,123.526,0.589,124.094,45.28,1
1785490474,213329102,122.061,0.743,122.785,65.3,1
1785490474,246636475,146.401,0.662,147.038,57.566,1
1785490474,313249756,134.613,0.795,135.4,54.954,1
1785490474,379860840,124.16,0.65,124.791,56.024,1
1785490474,413165771,142.557,0.63,143.173,51.681,1
1785490474,479773682,127.517,0.579,128.076,51.517,1
1785490474,546379639,119.523,0.595,120.097,58.627,1
1785490474,612983643,108.109,0.619,108.701,55.208,1
1785490474,679588379,95.498,0.607,96.082,53.986,1
1785490474,746237793,98.584,0.624,99.183,69.749,1
1785490474,812885742,91.006,0.573,91.556,59.023,1
1785490474,879532227,93.467,0.663,94.108,69.197,1
1785490474,946177246,90.752,0.597,91.33,63.868,1
1785490475,12820801,88.353,0.692,89.026,64.339,1
1785490475,79463135,89.801,0.632,90.43,68.03,1
1785490475,146103760,91.595,0.601,92.287,68.404,1
1785490475,212743164,90.26,0.632,90.873,65.337,1
1785490475,279381104,91.175,0.844,92.009,67.758,1
1785490475,312699463,107.926,1.677,109.619,50.906,1
1785490475,379335205,95.714,0.766,96.448,53.496,1
1785490475,445969482,89.682,0.708,90.369,60.561,1
1785490475,512602295,91.032,0.59,91.602,67.866,1
1785490475,579233643,92.066,0.552,92.6,67.63,1
1785490475,645863525,94.984,0.909,95.876,69.9,1
1785490475,712510742,117.25,0.626,117.863,88.634,1
1785490475,745840820,137.978,0.694,138.651,54.12,1
1785490475,812500244,125.395,1.019,126.397,54.401,1
1785490475,879158447,127.715,0.857,128.555,68.821,1
1785490475,945815674,118.384,0.652,119.016,57.121,1
1785490475,979143799,125.972,0.736,126.686,40.998,1
1785490476,79126709,89.928,0.572,90.483,63.78,1
1785490476,145780518,90.987,1.131,92.149,68.27,1
1785490476,212433350,101.428,0.905,102.312,76.86,1
1785490476,245759521,124.696,0.78,125.455,56.476,1
1785490476,279085205,127.412,0.803,128.199,36.067,1
1785490476,345735840,125.172,0.697,125.741,64.196,1
1785490476,412385254,110.412,0.713,111.113,52.012,1
1785490476,445709717,127.416,0.922,128.323,50.533,1
1785490476,512357422,125.179,0.697,125.856,64.191,1
1785490476,579004395,108.786,2.96,111.73,52.514,1
1785490476,612327393,132.176,1.0,133.155,54.749,1
1785490476,678974365,124.551,0.615,125.146,58.646,1
1785490476,745641602,110.851,1.207,112.045,53.551,1
1785490476,778975098,121.212,0.727,121.823,43.128,1
1785490476,878973877,93.747,0.68,94.409,72.583,1
1785490476,945638672,108.262,0.722,108.96,81.215,1
1785490477,12302490,92.695,0.588,93.264,50.97,1
1785490477,78965576,92.1,0.579,92.661,66.059,1
1785490477,145627686,93.83,0.692,94.535,68.503,1
1785490477,212288818,94.172,0.568,94.721,66.881,1
1785490477,278949219,90.353,0.628,90.896,62.836,1
