stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785490470,109260498,1785490470,109260498,,5,848,480,155.159,154.28,50.991,103.289,19.178,53.343,20.208,10.56,84.111,0.874,0.005,65.986,221.069
1785490470,276756348,1785490470,276756348,95.399,5,848,480,82.541,81.757,7.93,73.827,33.339,17.135,17.631,5.722,40.488,0.779,0.004,66.407,148.966
1785490470,377270752,1785490470,377270752,55.126,5,848,480,54.747,53.545,5.054,48.49,12.847,8.792,16.804,10.049,35.644,1.194,0.008,48.798,103.662
1785490470,410778564,1785490470,410778564,49.376,5,848,480,46.771,45.775,2.39,43.385,11.788,9.639,17.162,4.796,31.597,0.992,0.005,72.66,119.458
1785490470,477798096,1785490470,477798096,52.313,5,848,480,52.016,50.726,2.061,48.665,9.052,15.148,17.063,7.402,39.613,1.157,0.132,52.879,104.898
1785490470,511310059,1785490470,511310059,47.974,5,848,480,46.1,45.099,1.434,43.665,10.095,9.797,17.825,5.948,33.57,0.994,0.007,73.089,119.34
1785490470,544823242,1785490470,544823242,59.28,5,848,480,58.349,57.473,1.022,56.452,18.387,11.067,17.039,9.959,38.065,0.871,0.004,86.592,144.98
1785490470,645371582,1785490470,645371582,42.391,5,848,480,41.787,41.017,0.946,40.07,8.899,9.301,17.227,4.643,31.171,0.766,0.004,44.99,86.812
1785490470,712182373,1785490470,712182373,87.279,5,848,480,63.248,62.412,0.994,61.418,11.125,22.156,23.18,4.957,50.294,0.829,0.007,44.015,107.508
1785490470,745480225,1785490470,745480225,41.437,5,848,480,40.722,39.774,0.838,38.936,8.712,8.941,17.258,4.025,30.224,0.942,0.006,74.665,115.428
1785490470,845367432,1785490470,845367432,74.951,5,848,480,45.764,44.922,1.819,43.103,8.0,13.705,17.103,4.295,35.103,0.836,0.005,44.749,90.49
1785490470,878661133,1785490470,878661133,61.734,5,848,480,61.278,60.532,1.548,58.984,14.584,19.966,17.352,7.082,44.4,0.741,0.004,57.609,118.926
1785490470,945245605,1785490470,945245605,52.136,5,848,480,51.353,50.544,1.422,49.122,8.536,11.899,16.812,11.874,40.585,0.804,0.005,53.094,104.475
1785490470,978536377,1785490470,978536377,51.767,5,848,480,50.065,49.383,0.898,48.485,12.27,10.731,17.803,7.681,36.215,0.678,0.004,72.86,122.948
1785490471,45114990,1785490471,45114990,88.574,5,848,480,88.165,87.011,1.38,85.631,36.097,19.93,16.721,12.883,49.533,1.147,0.007,56.747,144.957
1785490471,144975342,1785490471,144975342,44.662,5,848,480,43.524,42.718,0.985,41.733,8.641,10.426,17.605,5.06,33.091,0.801,0.006,46.192,89.754
1785490471,178260010,1785490471,178260010,65.023,5,848,480,58.083,57.29,1.873,55.417,14.255,10.85,24.983,5.329,41.162,0.787,0.006,63.382,121.5
1785490471,244826660,1785490471,244826660,60.136,5,848,480,59.667,58.854,0.964,57.89,11.384,13.293,16.957,16.256,46.506,0.807,0.006,55.354,115.071
1785490471,311389404,1785490471,311389404,51.26,5,848,480,50.693,49.812,3.389,46.423,7.964,16.636,16.724,5.099,38.459,0.875,0.006,49.027,99.769
1785490471,344669189,1785490471,344669189,55.233,5,848,480,52.618,51.637,12.435,39.202,7.892,9.242,17.185,4.882,31.31,0.974,0.006,69.077,121.725
1785490471,411225830,1785490471,411225830,45.93,5,848,480,45.443,44.69,3.531,41.159,8.52,11.089,16.763,4.787,32.639,0.747,0.006,55.602,101.233
1785490471,477778564,1785490471,477778564,51.997,5,848,480,44.343,43.546,4.751,38.794,7.772,9.263,17.312,4.448,31.023,0.793,0.005,42.16,86.529
1785490471,544327148,1785490471,544327148,67.421,5,848,480,45.226,44.334,2.16,42.174,10.615,9.391,17.446,4.721,31.559,0.887,0.005,42.147,87.4
