capture_sec,capture_nanosec,stamp_sec,stamp_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,base_target_valid,handoff_det_to_pick_ms,handoff_pick_to_3d_ms,handoff_3d_to_base_ms
1785490470,109260498,1785490470,109260498,,5,848,480,155.159,154.28,50.991,103.289,19.178,53.343,20.208,10.56,84.111,0.874,0.005,65.986,221.069,223.385,5.749,229.004,5,0,231.296,0.646,231.813,166.807,0,239.772,5.788,,,0,2.316,2.292,7.959
1785490470,276756348,1785490470,276756348,95.399,5,848,480,82.541,81.757,7.93,73.827,33.339,17.135,17.631,5.722,40.488,0.779,0.004,66.407,148.966,151.597,1.488,152.607,5,0,153.907,0.461,154.28,133.248,0,156.51,0.516,,78.982,0,2.631,1.3,2.23
1785490470,377270752,1785490470,377270752,55.126,5,848,480,54.747,53.545,5.054,48.49,12.847,8.792,16.804,10.049,35.644,1.194,0.008,48.798,103.662,106.193,5.607,111.683,5,1,111.197,3048.559,3159.634,32.733,1,3162.008,68.012,3230.0,3173.504,1,2.531,-0.486,2.374
1785490470,410778564,1785490470,410778564,49.376,5,848,480,46.771,45.775,2.39,43.385,11.788,9.639,17.162,4.796,31.597,0.992,0.005,72.66,119.458,121.188,1.353,122.336,5,1,,,,,,,,,,,1.73,,
1785490470,477798096,1785490470,477798096,52.313,5,848,480,52.016,50.726,2.061,48.665,9.052,15.148,17.063,7.402,39.613,1.157,0.132,52.879,104.898,106.627,1.329,107.866,5,1,,,,,,,,,,,1.729,,
1785490470,511310059,1785490470,511310059,47.974,5,848,480,46.1,45.099,1.434,43.665,10.095,9.797,17.825,5.948,33.57,0.994,0.007,73.089,119.34,121.131,1.296,122.339,5,1,,,,,,,,,,,1.791,,
1785490470,544823242,1785490470,544823242,59.28,5,848,480,58.349,57.473,1.022,56.452,18.387,11.067,17.039,9.959,38.065,0.871,0.004,86.592,144.98,146.956,1.255,148.121,5,1,,,,,,,,,,,1.976,,
1785490470,645371582,1785490470,645371582,42.391,5,848,480,41.787,41.017,0.946,40.07,8.899,9.301,17.227,4.643,31.171,0.766,0.004,44.99,86.812,89.083,1.133,90.138,5,1,,,,,,,,,,,2.271,,
1785490470,712182373,1785490470,712182373,87.279,5,848,480,63.248,62.412,0.994,61.418,11.125,22.156,23.18,4.957,50.294,0.829,0.007,44.015,107.508,109.209,1.259,110.381,5,1,,,,,,,,,,,1.701,,
1785490470,745480225,1785490470,745480225,41.437,5,848,480,40.722,39.774,0.838,38.936,8.712,8.941,17.258,4.025,30.224,0.942,0.006,74.665,115.428,117.291,1.175,118.389,5,1,,,,,,,,,,,1.863,,
