capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785490470,109260498,223.385,5.749,229.004,5,0
1785490470,276756348,151.597,1.488,152.607,5,0
1785490470,377270752,106.193,5.607,111.683,5,1
1785490470,410778564,121.188,1.353,122.336,5,1
1785490470,477798096,106.627,1.329,107.866,5,1
1785490470,511310059,121.131,1.296,122.339,5,1
1785490470,544823242,146.956,1.255,148.121,5,1
1785490470,645371582,89.083,1.133,90.138,5,1
1785490470,712182373,109.209,1.259,110.381,5,1
1785490470,745480225,117.291,1.175,118.389,5,1
1785490470,845367432,92.385,6.226,98.523,5,1
1785490470,878661133,121.536,1.24,122.69,5,1
1785490470,945245605,107.373,1.224,108.509,5,1
1785490470,978536377,125.424,5.645,130.987,5,1
1785490471,45114990,147.176,1.32,148.411,5,1
1785490471,144975342,92.056,4.059,96.0,5,1
1785490471,178260010,123.698,1.294,124.902,5,1
1785490471,244826660,117.73,1.351,118.999,5,1
1785490471,311389404,112.836,3.042,115.784,5,1
1785490471,344669189,124.42,1.995,126.312,5,1
1785490471,411225830,103.942,10.863,114.557,5,1
1785490471,477778564,88.473,1.166,89.56,5,1
1785490471,544327148,90.229,1.775,91.92,5,1
1785490471,610872070,86.463,1.138,87.524,5,1
1785490471,677422119,92.44,1.53,93.887,5,1
1785490471,710878662,119.435,1.071,120.427,5,1
1785490471,777795410,119.491,1.129,120.538,5,1
1785490471,844716309,117.715,1.402,119.034,5,1
1785490471,911641846,122.542,1.051,123.515,5,1
1785490471,978571777,131.491,2.929,134.288,5,1
1785490472,12038330,165.124,1.262,166.306,5,1
1785490472,78974609,155.33,1.436,156.684,5,1
1785490472,145915527,178.676,1.01,179.608,5,1
1785490472,279810547,96.848,1.205,97.967,5,1
1785490472,313287109,119.046,1.611,120.573,5,1
1785490472,380243408,119.152,1.15,120.222,5,1
1785490472,413723145,136.588,9.007,145.463,5,1
1785490472,480686035,121.7,2.096,123.719,5,1
1785490472,547653320,116.238,2.511,118.672,5,1
1785490472,614625244,113.674,1.372,114.957,5,1
1785490472,681588379,90.587,3.284,93.787,5,1
1785490472,714891113,116.808,1.192,117.92,5,1
1785490472,781494385,117.464,1.242,118.623,5,1
1785490472,848094238,103.526,2.114,105.547,5,1
1785490472,881393311,125.766,1.515,127.187,5,1
1785490472,947988770,107.468,1.515,108.897,5,1
1785490472,981285400,143.359,1.54,144.807,5,1
1785490473,47876221,124.689,1.518,126.099,5,1
1785490473,114464111,119.707,1.758,121.379,5,1
1785490473,181048828,107.149,2.271,109.338,5,1
1785490473,214340332,141.509,1.171,142.6,5,1
1785490473,314209473,119.412,1.317,120.638,5,1
1785490473,380785156,100.132,1.798,101.836,5,1
1785490473,447357666,87.823,2.112,89.856,5,1
1785490473,513927246,102.296,29.964,132.038,5,1
1785490473,547210938,118.227,1.556,119.6,5,1
1785490473,613775879,114.117,1.522,115.559,5,1
1785490473,680341309,118.177,1.351,119.442,5,1
1785490473,746971924,114.664,5.467,119.997,5,1
1785490473,813600586,103.039,1.696,104.643,5,1
1785490473,846914307,125.348,1.442,126.701,5,1
1785490473,913539795,117.013,1.382,118.177,5,1
1785490473,980163330,101.946,10.866,112.634,5,1
1785490474,13474121,122.79,1.191,123.9,5,1
1785490474,80094482,119.731,1.663,121.306,5,1
1785490474,146712891,112.815,1.649,114.379,5,1
1785490474,213329102,105.479,1.366,106.759,5,1
1785490474,246636475,138.469,2.304,140.664,5,1
1785490474,313249756,124.213,2.399,126.532,5,1
1785490474,379860840,112.989,2.664,115.387,5,1
1785490474,413165771,131.441,2.525,133.877,5,1
1785490474,479773682,118.165,1.449,119.529,5,1
1785490474,546379639,113.238,9.12,122.235,5,1
1785490474,612983643,100.024,1.131,101.067,5,1
1785490474,679588379,88.389,1.015,89.328,5,1
1785490474,746237793,91.476,1.032,92.433,5,1
1785490474,812885742,84.54,1.013,85.446,5,1
1785490474,879532227,87.156,1.046,88.127,5,1
1785490474,946177246,84.345,0.967,85.238,5,1
1785490475,12820801,82.177,1.05,83.153,5,1
1785490475,79463135,83.725,1.13,84.782,5,1
1785490475,146103760,85.269,1.257,86.25,5,1
1785490475,212743164,82.789,1.105,83.818,5,1
1785490475,279381104,83.18,1.054,84.155,5,1
1785490475,312699463,97.235,1.686,98.808,5,1
1785490475,379335205,89.282,1.078,90.286,5,1
