metric,n,mean,std,p50,p95,p99,min,max
true_e2e_ms,5037,114.942,51.375,113.042,143.673,157.863,81.181,3230.0
frame_age_ms,5079,101.439,17.075,98.815,127.696,144.317,72.082,284.533
age_in_ms,5079,53.346,11.638,50.784,74.866,82.914,32.147,155.144
handoff_det_to_pick_ms,5079,2.157,1.27,1.94,4.064,6.511,-14.445,16.156
handoff_pick_to_3d_ms,5039,2.239,15.861,1.372,5.383,9.463,-20.18,543.814
handoff_3d_to_base_ms,5039,2.918,4.416,2.382,4.722,8.385,1.791,197.009
pick_logic_compute_ms,5080,2.144,2.491,1.333,6.612,13.878,0.92,29.964
target3d_compute_ms,5039,3.712,42.927,2.575,6.169,10.095,0.461,3048.559
base_compute_ms,5039,0.804,1.057,0.685,1.223,2.998,0.516,68.012
processing_ms,5079,48.023,8.238,46.536,62.906,70.117,37.301,166.649
dpu_ms,5079,17.407,1.279,17.112,19.529,23.48,16.505,33.119
detect_period_ms,5078,59.05,10.613,58.727,73.485,95.77,38.757,173.08
output_period_ms,5038,59.685,46.803,58.914,76.834,95.874,3.511,3173.504
depth_vs_color_skew_ms,5039,44.594,59.076,52.524,102.531,119.572,-2471.389,596.461
