capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid
1785490470,109260498,231.296,0.646,231.813,166.807,0
1785490470,276756348,153.907,0.461,154.28,133.248,0
1785490470,377270752,111.197,3048.559,3159.634,32.733,1
1785490472,881393311,671.001,3.616,674.446,-2471.389,1
1785490472,947988770,618.794,2.76,621.428,596.461,1
1785490472,981285400,591.486,2.595,593.961,563.165,1
1785490473,47876221,530.291,2.902,533.063,496.574,1
1785490473,114464111,469.56,3.099,472.524,429.986,1
1785490473,181048828,410.436,3.009,413.307,363.401,1
1785490473,214340332,383.463,2.74,386.087,330.11,1
1785490473,314209473,289.006,2.382,291.275,230.241,1
1785490473,380785156,228.25,2.97,231.076,163.665,1
1785490473,447357666,172.744,4.941,177.509,97.093,1
1785490473,513927246,118.242,2.499,120.624,30.523,1
1785490473,547210938,121.208,3.016,123.98,63.761,1
1785490473,613775879,117.261,2.225,119.377,63.717,1
1785490473,680341309,120.974,4.577,125.444,63.74,1
1785490473,746971924,117.292,4.053,121.228,63.696,1
1785490473,813600586,108.619,2.952,111.352,63.651,1
1785490473,846914307,130.871,2.683,133.429,96.92,1
1785490473,913539795,119.265,2.519,121.658,96.875,1
1785490473,980163330,105.486,3.442,108.798,30.251,1
1785490474,13474121,125.389,3.066,128.328,63.518,1
1785490474,80094482,124.025,8.896,132.788,63.474,1
1785490474,146712891,118.585,2.786,121.21,63.429,1
1785490474,213329102,108.676,8.267,116.792,63.385,1
1785490474,246636475,141.558,2.538,143.974,96.647,1
1785490474,313249756,129.871,2.281,132.024,96.603,1
1785490474,379860840,116.183,5.183,121.224,96.557,1
1785490474,413165771,136.913,3.725,140.5,63.252,1
1785490474,479773682,123.326,2.277,125.485,63.208,1
1785490474,546379639,115.657,2.042,117.59,63.163,1
1785490474,612983643,102.721,2.975,105.562,63.119,1
1785490474,679588379,90.704,2.654,93.246,63.121,1
1785490474,746237793,93.659,2.878,96.415,63.078,1
1785490474,812885742,86.688,2.312,88.893,63.033,1
1785490474,879532227,89.313,2.303,91.513,62.99,1
1785490474,946177246,86.404,2.442,88.736,62.946,1
1785490475,12820801,84.443,2.174,86.512,62.903,1
1785490475,79463135,85.847,2.083,87.828,62.858,1
1785490475,146103760,87.512,2.149,89.553,62.815,1
1785490475,212743164,86.0,2.247,88.053,62.771,1
1785490475,279381104,85.487,2.43,87.798,62.727,1
1785490475,312699463,102.587,3.402,105.856,29.409,1
1785490475,379335205,91.428,2.26,93.529,29.366,1
1785490475,445969482,85.624,2.113,87.629,29.323,1
1785490475,512602295,87.111,1.953,88.964,29.28,1
1785490475,579233643,85.493,2.158,87.54,29.237,1
1785490475,645863525,90.438,2.21,92.545,29.194,1
1785490475,712510742,112.359,2.87,115.094,29.165,1
1785490475,745840820,130.642,4.718,135.196,62.452,1
1785490475,812500244,120.909,2.481,123.285,-4.207,1
1785490475,879158447,119.697,5.574,125.124,62.365,1
1785490475,945815674,109.27,5.202,114.332,62.321,1
1785490475,979143799,121.437,2.615,123.947,95.606,1
1785490476,79126709,85.594,2.488,87.976,62.234,1
1785490476,145780518,86.906,2.191,88.993,62.191,1
1785490476,212433350,95.66,3.116,98.623,62.147,1
1785490476,245759521,119.621,2.826,122.33,95.43,1
1785490476,279085205,122.9,2.371,125.153,62.104,1
1785490476,345735840,120.206,2.616,122.705,62.06,1
1785490476,412385254,104.464,3.433,107.726,62.018,1
1785490476,445709717,122.694,2.208,124.775,95.297,1
1785490476,512357422,119.815,2.964,122.632,95.254,1
1785490476,579004395,102.576,3.427,105.532,28.607,1
1785490476,612327393,126.259,2.916,129.045,-4.716,1
1785490476,678974365,120.279,2.17,122.343,61.865,1
1785490476,745641602,104.725,2.334,106.936,61.823,1
1785490476,778975098,117.091,2.161,119.135,95.112,1
1785490476,878973877,89.583,2.159,91.641,61.736,1
1785490476,945638672,100.042,3.381,103.197,61.692,1
1785490477,12302490,88.569,2.255,90.721,61.649,1
