wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785490453.824,1,0.349,27,1,35864,0,1078,0.2194,61,0,38524,0,987,,,0.5583,1,1,29900,0,1586,0.8076,0,0,45896,0,2454,0.7278,0,2,28720,0,1440,0.0,0,0,36716,0,423,0.7413,1.0,0.9737,0.9913,0.0,980676,28596988,8340,1794,1204,1783,1784,1783,1785,856,1797,597,718,1198,1801,1250,1,857,862,853,1797,600,0,715,857,1796,1792,860,857,859,31536,31505,31443,15,1291,5015,6480000,0,,,,,,,,,,,
1785490455.084,2,0.3178,33,2,60140,0,1576,0.78,18,1,44460,0,2331,,,0.4815,2,0,53844,0,2434,0.7029,0,2,67264,0,3743,0.5296,0,2,45620,0,2145,0.0096,0,0,37004,0,423,0.7455,0.992,1.0,1.0,0.0,903888,28585724,6152,1794,1194,1782,1783,1782,1784,855,1798,597,717,1198,1801,1250,0,859,861,855,1798,600,0,715,856,1796,1793,855,857,852,31785,31365,30619,15,1313,5015,6590000,0,,,,,,,,,,,
1785490455.798,3,0.2439,32,2,65816,0,2177,0.3659,0,2,46944,0,2940,,,0.376,0,0,57624,0,3572,0.3049,0,2,70772,0,4526,0.3862,0,0,46620,0,2595,0.0508,0,2,37520,0,443,0.7399,0.9865,0.9865,0.9726,0.0,918196,28584700,1836,1794,1195,1783,1783,1784,1785,855,1799,597,718,1196,1801,1248,0,859,867,862,1798,601,0,715,857,1796,1793,854,857,858,31723,30526,32111,15,1300,5015,6570000,0,,,,,,,,,,,
1785490456.843,4,0.0395,0,2,65816,0,2184,0.6518,1,2,49544,0,3986,,,0.2074,1,0,58300,0,3733,0.5135,29,2,73880,0,5334,0.553,1,0,48000,0,3183,0.0099,0,2,37520,0,448,0.7353,1.0,1.0,0.951,0.0,901744,28584700,1872,1794,1197,1783,1782,1782,1783,855,1796,596,718,1200,1801,1248,0,859,861,863,1800,600,0,713,855,1796,1794,853,857,855,31443,31567,30106,15,1285,5015,6440000,0,,,,,,,,,,,
1785490457.776,5,0.0202,3,2,66020,0,2184,0.5646,3,2,59320,0,4577,,,0.0,0,0,58300,0,3733,0.0,0,0,73880,0,5340,0.4234,1,0,50760,0,3664,0.0,0,2,37520,0,448,0.5833,0.8021,0.7449,0.7835,0.0,856720,28578300,3548,1794,1198,1783,1784,1783,1784,852,1797,597,717,1195,1800,1252,0,857,858,858,1799,600,0,716,857,1797,1794,860,858,856,30153,31738,30402,15,1197,5015,6010000,0,44921,43057,41431,53242,31331,26239,,,,,
1785490458.809,6,0.0515,2,2,66224,0,2184,0.3397,19,1,63956,0,5099,,,0.0103,0,0,58480,0,3733,0.0206,0,1,74160,0,5351,0.278,7,2,72600,0,4184,0.0103,0,2,37700,0,448,0.5088,0.67,0.6869,0.6735,0.0,876420,28577020,3628,1794,1199,1783,1783,1783,1784,855,1798,597,717,1196,1802,1249,0,858,860,859,1799,600,0,717,857,1796,1792,857,857,853,31956,31241,31054,15,1267,5015,6360000,0,,,,,,,,,,,
1785490459.745,7,0.01,0,2,66224,0,2185,0.707,5,1,73864,0,6007,,,0.0199,0,0,58480,0,3733,0.0199,0,1,74160,0,5356,0.3187,19,2,75040,0,5210,0.01,0,1,37700,0,453,0.5405,0.6923,0.8462,0.6374,0.0,875872,28569340,536,1794,1198,1782,1783,1783,1783,853,1799,598,716,1197,1803,1250,1,858,860,856,1798,600,0,713,856,1795,1791,857,858,852,31241,31987,30915,15,1163,5016,5840000,0,,,,,,,,,,,
1785490460.783,8,0.0,0,2,66224,0,2185,0.9095,28,2,120784,0,6684,,,0.0,0,0,58480,0,3733,0.0,0,0,74160,0,5361,0.0,0,2,75040,0,5210,0.0,0,1,37700,0,453,0.3489,0.25,0.3592,0.7961,0.0,860568,28569340,1864,1794,1199,1784,1784,1783,1785,855,1797,596,719,1198,1799,1250,0,858,862,854,1798,600,0,714,857,1800,1794,865,858,866,30588,30371,29811,15,1222,5015,6130000,0,,,,,,,,,,,
1785490461.765,9,0.0102,0,2,66224,0,2185,0.8268,12,2,151044,0,7137,,,0.0,0,0,58480,0,3733,0.0102,0,1,74160,0,5368,0.0102,0,2,75040,0,5210,0.0102,0,1,37700,0,453,0.3551,0.2234,0.3368,0.8571,0.0,822340,28557052,496,1794,1199,1783,1784,1783,1785,855,1797,597,714,1198,1799,1251,0,859,859,860,1797,600,0,715,856,1799,1793,853,857,845,30806,31536,29718,15,1260,5016,6330000,0,,,,,,,,,,,
1785490462.743,10,0.0712,8,0,66464,0,2187,0.5695,3,2,156360,0,7665,,,0.0,0,0,58480,0,3733,0.0,0,1,74160,0,5375,0.0102,0,2,75040,0,5210,0.0,0,0,37700,0,459,0.301,0.3878,0.3131,0.5149,0.0,858552,28556284,1848,1794,1197,1784,1784,1783,1785,854,1799,598,716,1202,1802,1249,0,858,861,856,1799,600,0,716,855,1797,1792,861,857,858,31738,32857,31630,15,1301,5016,6520000,0,41602,119452,40944,51775,52861,26031,,,,,
