stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785492552,812292480,1785492552,812292480,,5,848,480,65.122,63.991,13.734,50.257,17.427,9.811,17.063,5.956,32.83,1.125,0.006,452.884,518.005
1785492552,945697754,1785492552,945697754,121.471,5,848,480,68.127,67.294,2.349,64.945,24.42,12.077,17.438,11.009,40.525,0.828,0.005,437.906,506.063
1785492553,12401367,1785492553,12401367,59.192,5,848,480,57.979,57.161,1.135,56.026,15.499,16.024,17.917,6.586,40.528,0.749,0.07,440.657,498.649
1785492553,79105469,1785492553,79105469,46.27,5,848,480,45.756,43.828,0.887,42.942,7.546,9.198,17.041,9.156,35.396,1.918,0.01,432.321,478.15
1785492553,212516113,1785492553,212516113,58.842,5,848,480,58.228,57.383,3.653,53.73,20.822,11.267,16.925,4.716,32.908,0.84,0.005,345.278,403.588
1785492553,279222168,1785492553,279222168,58.336,5,848,480,57.792,57.026,3.812,53.214,11.658,19.462,16.959,5.134,41.556,0.762,0.004,337.342,395.169
1785492553,345929199,1785492553,345929199,53.349,5,848,480,52.962,52.013,3.863,48.15,9.646,16.405,17.289,4.81,38.504,0.944,0.005,328.813,381.825
1785492553,412636719,1785492553,412636719,90.184,5,848,480,42.659,41.887,1.246,40.641,9.407,10.104,16.896,4.234,31.234,0.768,0.004,362.607,405.292
1785492553,479344727,1785492553,479344727,78.23,5,848,480,44.758,44.055,0.847,43.208,6.706,15.446,17.111,3.945,36.502,0.698,0.004,372.027,416.823
1785492553,612775879,1785492553,612775879,101.291,5,848,480,47.469,46.575,0.985,45.59,7.139,16.68,17.279,4.492,38.451,0.889,0.005,337.182,384.679
1785492553,679481689,1785492553,679481689,52.944,5,848,480,52.499,51.718,3.887,47.831,9.713,16.791,16.851,4.476,38.119,0.776,0.006,318.375,370.917
1785492553,746187988,1785492553,746187988,81.526,5,848,480,46.986,46.197,1.23,44.968,9.432,14.021,17.088,4.426,35.535,0.784,0.004,338.721,385.736
1785492553,812895020,1785492553,812895020,98.07,5,848,480,40.267,39.547,0.849,38.699,7.248,10.081,17.082,4.288,31.451,0.716,0.004,376.802,417.094
1785492553,879602295,1785492553,879602295,86.413,5,848,480,44.148,43.432,1.049,42.383,8.347,12.821,17.095,4.12,34.036,0.712,0.004,392.626,436.794
1785492554,13018799,1785492554,13018799,114.303,5,848,480,49.582,48.762,1.082,47.681,8.906,17.407,17.136,4.232,38.775,0.815,0.005,368.08,417.693
1785492554,79728027,1785492554,79728027,57.474,5,848,480,57.021,56.21,1.111,55.098,14.589,19.577,16.777,4.156,40.51,0.807,0.004,351.391,408.466
1785492554,146437500,1785492554,146437500,96.759,5,848,480,52.364,51.503,1.046,50.457,9.575,19.339,17.119,4.424,40.882,0.742,0.119,386.228,438.625
1785492554,213147705,1785492554,213147705,93.915,5,848,480,48.764,47.963,2.802,45.161,10.168,11.941,16.933,6.119,34.993,0.798,0.004,416.919,465.705
1785492554,346569824,1785492554,346569824,68.038,5,848,480,45.087,44.324,0.871,43.453,9.879,9.156,17.455,6.964,33.574,0.76,0.004,355.208,400.339
1785492554,413281738,1785492554,413281738,55.175,5,848,480,54.747,53.966,1.165,52.8,13.28,17.555,16.999,4.967,39.52,0.777,0.004,333.996,388.786
1785492554,479994141,1785492554,479994141,52.151,5,848,480,51.566,50.856,3.28,47.576,7.204,19.436,16.726,4.211,40.372,0.706,0.004,322.617,374.221
1785492554,546707031,1785492554,546707031,70.704,5,848,480,42.153,41.367,1.153,40.215,9.033,10.026,16.856,4.3,31.182,0.781,0.005,336.036,378.215
1785492554,680103516,1785492554,680103516,82.652,5,848,480,43.369,42.608,1.227,41.38,10.389,9.652,17.14,4.199,30.991,0.757,0.004,284.078,327.468
1785492554,813563965,1785492554,813563965,96.465,5,848,480,41.452,40.727,1.247,39.48,8.503,9.581,17.383,4.013,30.977,0.721,0.004,248.999,290.474
1785492554,880296387,1785492554,880296387,101.203,5,848,480,40.564,39.842,1.029,38.813,8.352,9.413,17.027,4.02,30.46,0.718,0.004,284.354,324.941
1785492554,947030518,1785492554,947030518,110.745,5,848,480,48.334,47.608,1.013,46.595,8.608,9.582,16.982,11.423,37.988,0.721,0.004,320.594,368.953
1785492555,13766113,1785492555,13766113,118.715,5,848,480,48.103,47.351,1.154,46.197,15.308,9.767,16.755,4.368,30.889,0.747,0.005,372.806,420.94
1785492555,80503418,1785492555,80503418,88.503,5,848,480,42.296,41.572,1.023,40.549,9.222,10.178,17.042,4.107,31.327,0.72,0.004,400.378,442.7
1785492555,147242188,1785492555,147242188,86.745,5,848,480,41.414,40.709,1.014,39.695,8.594,9.542,17.162,4.398,31.101,0.701,0.004,421.267,462.705
1785492555,213982666,1785492555,213982666,106.404,5,848,480,44.645,43.748,1.025,42.723,8.233,12.258,17.255,4.976,34.489,0.892,0.005,457.701,502.38
1785492555,280724365,1785492555,280724365,86.754,5,848,480,46.689,45.742,4.076,41.666,9.297,10.19,17.279,4.9,32.369,0.943,0.005,475.67,522.386
1785492555,414213135,1785492555,414213135,90.18,5,848,480,50.39,49.67,1.982,47.688,9.216,15.536,18.669,4.267,38.472,0.715,0.005,428.663,479.078
1785492555,480959717,1785492555,480959717,45.642,5,848,480,45.233,44.526,1.043,43.483,14.381,8.381,16.715,4.007,29.103,0.703,0.005,412.697,457.974
1785492555,614457520,1785492555,614457520,58.683,5,848,480,45.769,44.95,1.176,43.773,12.669,9.763,16.918,4.423,31.105,0.815,0.004,337.363,383.155
1785492555,814758057,1785492555,814758057,87.087,5,848,480,52.395,50.516,3.052,47.464,13.756,12.17,16.808,4.73,33.708,1.873,0.006,217.525,269.953
1785492555,881530518,1785492555,881530518,59.647,5,848,480,59.184,58.496,3.378,55.119,22.828,11.046,17.072,4.173,32.291,0.684,0.004,203.591,263.943
1785492555,948305420,1785492555,948305420,54.564,5,848,480,52.936,50.895,1.889,49.006,18.354,8.716,17.441,4.495,30.652,2.035,0.007,197.632,250.628
1785492556,15083008,1785492556,15083008,51.81,5,848,480,51.326,49.357,1.424,47.934,18.23,8.65,16.689,4.364,29.703,1.962,0.006,184.273,235.657
