capture_sec,capture_nanosec,stamp_sec,stamp_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,base_target_valid,handoff_det_to_pick_ms,handoff_pick_to_3d_ms,handoff_3d_to_base_ms
1785492552,812292480,1785492552,812292480,,5,848,480,65.122,63.991,13.734,50.257,17.427,9.811,17.063,5.956,32.83,1.125,0.006,452.884,518.005,521.135,29.456,550.447,5,0,552.252,0.522,552.685,133.405,0,559.764,5.239,,,0,3.13,1.805,7.079
1785492552,945697754,1785492552,945697754,121.471,5,848,480,68.127,67.294,2.349,64.945,24.42,12.077,17.438,11.009,40.525,0.828,0.005,437.906,506.063,508.832,1.634,510.358,5,0,511.855,0.634,512.298,133.408,0,514.527,0.624,,83.563,0,2.769,1.497,2.229
1785492553,12401367,1785492553,12401367,59.192,5,848,480,57.979,57.161,1.135,56.026,15.499,16.024,17.917,6.586,40.528,0.749,0.07,440.657,498.649,500.866,9.341,510.07,5,1,503.584,2297.393,2800.857,66.704,1,2803.11,6.762,2809.86,2361.428,1,2.217,-6.486,2.253
1785492553,79105469,1785492553,79105469,46.27,5,848,480,45.756,43.828,0.887,42.942,7.546,9.198,17.041,9.156,35.396,1.918,0.01,432.321,478.15,480.545,1.464,481.81,5,1,,,,,,,,,,,2.395,,
1785492553,212516113,1785492553,212516113,58.842,5,848,480,58.228,57.383,3.653,53.73,20.822,11.267,16.925,4.716,32.908,0.84,0.005,345.278,403.588,405.724,1.341,406.985,5,1,,,,,,,,,,,2.136,,
1785492553,279222168,1785492553,279222168,58.336,5,848,480,57.792,57.026,3.812,53.214,11.658,19.462,16.959,5.134,41.556,0.762,0.004,337.342,395.169,398.054,2.398,399.128,5,1,,,,,,,,,,,2.885,,
1785492553,345929199,1785492553,345929199,53.349,5,848,480,52.962,52.013,3.863,48.15,9.646,16.405,17.289,4.81,38.504,0.944,0.005,328.813,381.825,384.317,1.269,385.506,5,1,,,,,,,,,,,2.492,,
1785492553,412636719,1785492553,412636719,90.184,5,848,480,42.659,41.887,1.246,40.641,9.407,10.104,16.896,4.234,31.234,0.768,0.004,362.607,405.292,407.718,1.123,408.764,5,1,,,,,,,,,,,2.426,,
1785492553,479344727,1785492553,479344727,78.23,5,848,480,44.758,44.055,0.847,43.208,6.706,15.446,17.111,3.945,36.502,0.698,0.004,372.027,416.823,418.883,1.045,419.853,5,1,,,,,,,,,,,2.06,,
1785492553,612775879,1785492553,612775879,101.291,5,848,480,47.469,46.575,0.985,45.59,7.139,16.68,17.279,4.492,38.451,0.889,0.005,337.182,384.679,387.429,2.256,389.604,5,1,,,,,,,,,,,2.75,,
1785492553,679481689,1785492553,679481689,52.944,5,848,480,52.499,51.718,3.887,47.831,9.713,16.791,16.851,4.476,38.119,0.776,0.006,318.375,370.917,373.123,1.839,374.883,5,1,,,,,,,,,,,2.206,,
1785492553,746187988,1785492553,746187988,81.526,5,848,480,46.986,46.197,1.23,44.968,9.432,14.021,17.088,4.426,35.535,0.784,0.004,338.721,385.736,387.913,2.736,390.568,5,1,,,,,,,,,,,2.177,,
1785492553,812895020,1785492553,812895020,98.07,5,848,480,40.267,39.547,0.849,38.699,7.248,10.081,17.082,4.288,31.451,0.716,0.004,376.802,417.094,419.266,1.108,420.283,5,1,,,,,,,,,,,2.172,,
1785492553,879602295,1785492553,879602295,86.413,5,848,480,44.148,43.432,1.049,42.383,8.347,12.821,17.095,4.12,34.036,0.712,0.004,392.626,436.794,441.826,1.518,442.903,5,1,,,,,,,,,,,5.032,,
1785492554,13018799,1785492554,13018799,114.303,5,848,480,49.582,48.762,1.082,47.681,8.906,17.407,17.136,4.232,38.775,0.815,0.005,368.08,417.693,423.633,1.128,424.684,5,1,,,,,,,,,,,5.94,,
1785492554,79728027,1785492554,79728027,57.474,5,848,480,57.021,56.21,1.111,55.098,14.589,19.577,16.777,4.156,40.51,0.807,0.004,351.391,408.466,410.643,1.207,411.771,5,1,,,,,,,,,,,2.177,,
1785492554,146437500,1785492554,146437500,96.759,5,848,480,52.364,51.503,1.046,50.457,9.575,19.339,17.119,4.424,40.882,0.742,0.119,386.228,438.625,440.213,7.67,447.756,5,1,,,,,,,,,,,1.588,,
1785492554,213147705,1785492554,213147705,93.915,5,848,480,48.764,47.963,2.802,45.161,10.168,11.941,16.933,6.119,34.993,0.798,0.004,416.919,465.705,467.391,1.075,468.39,5,1,,,,,,,,,,,1.686,,
1785492554,346569824,1785492554,346569824,68.038,5,848,480,45.087,44.324,0.871,43.453,9.879,9.156,17.455,6.964,33.574,0.76,0.004,355.208,400.339,402.123,1.182,403.223,5,1,,,,,,,,,,,1.784,,
1785492554,413281738,1785492554,413281738,55.175,5,848,480,54.747,53.966,1.165,52.8,13.28,17.555,16.999,4.967,39.52,0.777,0.004,333.996,388.786,390.585,1.049,391.558,5,1,,,,,,,,,,,1.799,,
1785492554,479994141,1785492554,479994141,52.151,5,848,480,51.566,50.856,3.28,47.576,7.204,19.436,16.726,4.211,40.372,0.706,0.004,322.617,374.221,376.418,1.066,377.411,5,1,,,,,,,,,,,2.197,,
1785492554,546707031,1785492554,546707031,70.704,5,848,480,42.153,41.367,1.153,40.215,9.033,10.026,16.856,4.3,31.182,0.781,0.005,336.036,378.215,380.336,1.331,381.588,5,1,1269.428,1.652,1270.975,-1467.602,1,1290.202,0.921,1291.111,15.547,1,2.121,887.84,19.227
1785492554,680103516,1785492554,680103516,82.652,5,848,480,43.369,42.608,1.227,41.38,10.389,9.652,17.14,4.199,30.991,0.757,0.004,284.078,327.468,329.524,1.07,330.518,5,1,1148.172,1.548,1149.599,600.621,1,1161.687,1.644,1163.48,5.609,1,2.056,817.654,12.088
1785492554,813563965,1785492554,813563965,96.465,5,848,480,41.452,40.727,1.247,39.48,8.503,9.581,17.383,4.013,30.977,0.721,0.004,248.999,290.474,292.498,1.041,293.464,5,1,1019.617,1.61,1021.106,467.16,1,1053.629,2.288,1055.901,26.025,1,2.024,726.153,32.523
1785492554,880296387,1785492554,880296387,101.203,5,848,480,40.564,39.842,1.029,38.813,8.352,9.413,17.027,4.02,30.46,0.718,0.004,284.354,324.941,326.928,1.061,327.916,5,1,957.669,1.548,959.094,400.428,1,993.728,0.765,994.449,5.308,1,1.987,629.753,34.634
1785492554,947030518,1785492554,947030518,110.745,5,848,480,48.334,47.608,1.013,46.595,8.608,9.582,16.982,11.423,37.988,0.721,0.004,320.594,368.953,370.974,1.039,371.939,5,1,907.257,1.894,909.023,467.183,1,932.099,0.998,933.062,5.345,1,2.021,535.318,23.076
1785492555,13766113,1785492555,13766113,118.715,5,848,480,48.103,47.351,1.154,46.197,15.308,9.767,16.755,4.368,30.889,0.747,0.005,372.806,420.94,425.285,1.153,426.342,5,1,845.641,1.857,847.079,400.447,1,870.31,0.91,870.987,4.665,1,4.345,419.299,23.231
1785492555,80503418,1785492555,80503418,88.503,5,848,480,42.296,41.572,1.023,40.549,9.222,10.178,17.042,4.107,31.327,0.72,0.004,400.378,442.7,444.786,1.064,445.775,5,1,783.338,2.125,785.099,333.71,1,807.951,0.811,808.598,4.348,1,2.086,337.563,22.852
1785492555,147242188,1785492555,147242188,86.745,5,848,480,41.414,40.709,1.014,39.695,8.594,9.542,17.162,4.398,31.101,0.701,0.004,421.267,462.705,464.736,6.901,471.515,5,1,721.88,1.549,723.308,266.971,1,746.379,0.848,747.215,5.349,1,2.031,250.365,23.071
1785492555,213982666,1785492555,213982666,106.404,5,848,480,44.645,43.748,1.025,42.723,8.233,12.258,17.255,4.976,34.489,0.892,0.005,457.701,502.38,503.997,1.094,505.013,5,1,660.049,1.984,661.857,200.23,1,683.751,0.693,684.425,3.958,1,1.617,155.036,21.894
1785492555,280724365,1785492555,280724365,86.754,5,848,480,46.689,45.742,4.076,41.666,9.297,10.19,17.279,4.9,32.369,0.943,0.005,475.67,522.386,524.087,1.464,525.471,5,1,598.781,1.694,600.341,133.489,1,620.631,1.547,622.181,4.476,1,1.701,73.31,20.29
1785492555,414213135,1785492555,414213135,90.18,5,848,480,50.39,49.67,1.982,47.688,9.216,15.536,18.669,4.267,38.472,0.715,0.005,428.663,479.078,482.756,3.316,485.994,5,1,489.385,1.864,491.129,0.0,1,494.501,0.593,495.071,6.401,1,3.678,3.391,3.372
1785492555,480959717,1785492555,480959717,45.642,5,848,480,45.233,44.526,1.043,43.483,14.381,8.381,16.715,4.007,29.103,0.703,0.005,412.697,457.974,460.408,1.253,461.578,5,1,464.891,2.417,467.152,-66.747,1,477.706,0.678,478.358,50.031,1,2.434,3.313,10.554
1785492555,614457520,1785492555,614457520,58.683,5,848,480,45.769,44.95,1.176,43.773,12.669,9.763,16.918,4.423,31.105,0.815,0.004,337.363,383.155,384.845,1.014,385.787,5,1,388.148,1.442,389.475,-200.244,1,391.444,0.597,392.019,47.161,1,1.69,2.361,1.969
1785492555,814758057,1785492555,814758057,87.087,5,848,480,52.395,50.516,3.052,47.464,13.756,12.17,16.808,4.73,33.708,1.873,0.006,217.525,269.953,271.964,1.481,273.347,5,1,280.687,2.836,283.402,0.0,1,287.537,1.136,288.655,96.925,1,2.011,7.34,4.135
1785492555,881530518,1785492555,881530518,59.647,5,848,480,59.184,58.496,3.378,55.119,22.828,11.046,17.072,4.173,32.291,0.684,0.004,203.591,263.943,265.985,3.568,269.467,5,1,270.22,1.465,271.514,-66.772,1,274.116,0.93,275.033,53.154,1,2.042,0.753,2.602
1785492555,948305420,1785492555,948305420,54.564,5,848,480,52.936,50.895,1.889,49.006,18.354,8.716,17.441,4.495,30.652,2.035,0.007,197.632,250.628,253.601,3.665,257.181,5,1,257.938,1.528,259.361,66.778,1,261.644,0.608,262.229,53.978,1,2.973,0.757,2.283
1785492556,15083008,1785492556,15083008,51.81,5,848,480,51.326,49.357,1.424,47.934,18.23,8.65,16.689,4.364,29.703,1.962,0.006,184.273,235.657,238.919,2.311,241.097,5,1,242.139,1.648,243.664,66.78,1,246.392,0.601,246.969,51.516,1,3.262,1.042,2.728
1785492556,81863281,1785492556,81863281,55.205,5,848,480,43.092,42.226,1.09,41.135,10.68,9.236,16.964,4.255,30.455,0.863,0.004,180.946,224.058,226.212,1.561,227.697,5,1,228.73,1.417,230.039,0.0,1,232.45,2.231,234.659,54.467,1,2.154,1.033,2.411
