metric,n,mean,std,p50,p95,p99,min,max
true_e2e_ms,3997,356.761,64.618,355.282,419.965,445.806,196.024,2809.86
frame_age_ms,4016,344.69,42.472,345.419,409.807,434.935,187.245,679.798
age_in_ms,4016,298.502,42.252,299.518,363.672,386.897,146.115,635.752
handoff_det_to_pick_ms,4016,1.675,2.169,1.819,3.308,6.19,-23.487,19.516
handoff_pick_to_3d_ms,3999,2.496,27.815,1.413,5.329,11.516,-31.875,887.84
handoff_3d_to_base_ms,3999,2.872,3.963,2.378,4.662,8.578,1.819,232.38
pick_logic_compute_ms,4017,2.455,3.719,1.175,10.205,20.897,0.919,34.989
target3d_compute_ms,3999,2.458,36.315,1.556,3.848,6.855,0.522,2297.393
base_compute_ms,3999,0.821,0.536,0.678,1.694,3.378,0.529,10.633
processing_ms,4016,46.046,6.387,43.966,59.554,70.237,37.986,100.089
dpu_ms,4016,17.054,1.0,16.832,17.919,22.04,16.629,30.11
detect_period_ms,4015,74.718,18.587,70.438,121.806,142.156,40.123,221.417
output_period_ms,3998,75.241,42.97,70.517,119.889,144.676,3.958,2361.428
depth_vs_color_skew_ms,3999,3.254,45.077,0.0,66.734,67.099,-1467.602,600.621
