capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid
1785492552,812292480,552.252,0.522,552.685,133.405,0
1785492552,945697754,511.855,0.634,512.298,133.408,0
1785492553,12401367,503.584,2297.393,2800.857,66.704,1
1785492554,546707031,1269.428,1.652,1270.975,-1467.602,1
1785492554,680103516,1148.172,1.548,1149.599,600.621,1
1785492554,813563965,1019.617,1.61,1021.106,467.16,1
1785492554,880296387,957.669,1.548,959.094,400.428,1
1785492554,947030518,907.257,1.894,909.023,467.183,1
1785492555,13766113,845.641,1.857,847.079,400.447,1
1785492555,80503418,783.338,2.125,785.099,333.71,1
1785492555,147242188,721.88,1.549,723.308,266.971,1
1785492555,213982666,660.049,1.984,661.857,200.23,1
1785492555,280724365,598.781,1.694,600.341,133.489,1
1785492555,414213135,489.385,1.864,491.129,0.0,1
1785492555,480959717,464.891,2.417,467.152,-66.747,1
1785492555,614457520,388.148,1.442,389.475,-200.244,1
1785492555,814758057,280.687,2.836,283.402,0.0,1
1785492555,881530518,270.22,1.465,271.514,-66.772,1
1785492555,948305420,257.938,1.528,259.361,66.778,1
1785492556,15083008,242.139,1.648,243.664,66.78,1
1785492556,81863281,228.73,1.417,230.039,0.0,1
1785492556,148646240,241.578,1.442,242.911,0.0,1
1785492556,215431885,261.352,1.332,262.588,0.0,1
1785492556,282220215,258.991,2.761,261.633,0.0,1
1785492556,349011230,265.964,1.468,267.306,0.0,1
1785492556,415804932,274.038,1.428,275.361,0.0,1
1785492556,482601318,274.025,1.406,275.272,0.0,1
1785492556,549400391,278.775,1.597,280.277,0.0,1
1785492556,616200928,284.588,1.51,285.871,0.0,1
1785492556,682906738,287.197,1.394,288.493,0.0,1
1785492556,749617920,292.948,1.469,294.314,0.0,1
1785492556,816329102,293.446,1.355,294.704,0.0,1
1785492556,883040039,300.957,1.401,302.259,0.0,1
1785492556,949751221,299.257,1.477,300.633,0.0,1
1785492557,16462158,309.842,2.446,312.18,0.0,1
1785492557,83173340,327.133,2.244,328.948,66.711,1
1785492557,149884521,318.147,1.583,319.624,0.0,1
1785492557,216595459,321.571,1.905,323.25,0.0,1
1785492557,283306641,323.95,1.42,325.265,0.0,1
1785492557,350017578,326.825,2.061,328.77,0.0,1
1785492557,416728760,343.535,18.41,361.769,0.0,1
1785492557,483439697,338.247,1.497,339.586,-66.711,1
1785492557,550150879,332.894,1.366,334.103,-133.422,1
1785492557,616861816,339.67,1.326,340.897,0.0,1
1785492557,683573486,351.236,1.401,352.526,0.0,1
1785492557,750284912,351.222,1.364,352.491,0.0,1
1785492557,816996338,355.531,1.36,356.798,0.0,1
1785492557,883708008,361.331,1.317,362.541,0.0,1
1785492557,950419434,365.007,1.444,366.296,0.0,1
1785492558,17130859,372.106,1.628,373.621,0.0,1
1785492558,83842529,385.472,1.611,386.971,0.0,1
1785492558,150553955,390.442,1.392,391.723,0.0,1
1785492558,217265381,389.55,1.543,390.994,-66.711,1
1785492558,283976807,392.681,1.779,394.348,0.0,1
1785492558,350688232,397.854,1.58,399.242,0.0,1
