wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785492539.474,1,0.4585,34,2,36152,0,1197,0.3688,96,1,40832,0,1511,,,0.5183,0,0,26672,0,1058,0.6279,7,2,22276,0,1636,0.5382,0,1,20076,0,641,0.0,0,2,38148,0,614,0.7495,1.0,0.9917,0.9917,0.0,1076956,28463868,93316,1794,1197,1783,1783,1782,1783,853,1795,596,717,1199,1800,1251,1,859,861,854,1798,600,0,717,856,1797,1791,848,857,861,30837,32049,31459,15,1313,5015,6590000,0,,,,,,,,,,,
1785492540.515,2,0.4418,0,2,64616,0,2267,0.5955,0,0,44620,0,2470,,,0.4322,0,1,30432,0,1741,0.5763,12,2,45660,0,2300,0.4322,0,1,32084,0,1270,0.0288,0,2,38200,0,614,0.7506,1.0,1.0,1.0,0.0,1046884,28463868,93316,1793,1199,1781,1781,1781,1781,854,1795,597,715,1195,1800,1250,0,858,860,854,1801,600,0,714,856,1794,1792,853,856,856,30650,31583,30759,15,1310,5016,6570000,0,,,,,,,,,,,
1785492541.67,3,0.0409,0,2,65848,0,2267,0.6743,0,0,47620,0,3585,,,0.4393,0,1,55908,0,2409,0.6437,0,1,47060,0,2830,0.5006,0,2,46032,0,2110,0.0,0,2,38200,0,614,0.7505,1.0,1.0,1.0,0.0,1003912,28463868,93316,1793,1198,1781,1783,1782,1783,854,1796,596,719,1197,1800,1249,0,858,864,865,1800,600,0,715,856,1796,1792,852,858,851,30728,31692,30029,15,1310,5016,6570000,0,,,,,,,,,,,
1785492542.653,4,0.0782,0,2,66104,0,2267,0.4401,0,1,47620,0,4413,,,0.3228,0,2,57604,0,3183,0.3619,0,1,69864,0,3491,0.4499,0,2,46824,0,2495,0.0196,0,2,38252,0,614,0.7462,1.0,1.0,1.0,0.0,975072,28463868,93316,1794,1198,1782,1783,1782,1783,855,1797,596,717,1195,1801,1252,0,857,859,856,1799,600,0,715,856,1799,1792,862,858,856,31598,30884,30915,15,1316,5016,6640000,0,,,,,,,,,,,
1785492543.476,5,0.02,0,2,66104,0,2267,0.2804,14,2,52820,0,4925,,,0.1702,0,2,58024,0,3348,0.3004,0,1,71920,0,4023,0.3405,0,0,47940,0,2725,0.0,0,2,38304,0,614,0.7507,0.9889,1.0,1.0,0.0,971184,28463868,93316,1793,1199,1782,1783,1783,1784,854,1797,597,718,1195,1800,1251,0,858,862,858,1797,600,0,714,855,1796,1793,850,857,853,30961,31738,31039,15,1318,5016,6630000,0,46567,38405,41180,51291,29654,25881,,,,,
1785492544.373,6,0.0205,0,2,66236,0,2267,0.5528,9,1,61684,0,5710,,,0.0102,0,2,58088,0,3348,0.2457,0,1,73740,0,4438,0.4914,0,2,67856,0,3132,0.0205,0,2,38304,0,614,0.6728,0.9114,0.8171,0.9756,0.0,951548,28463868,93320,1794,1197,1783,1783,1783,1784,856,1794,596,715,1197,1802,1251,0,857,859,856,1797,600,0,715,856,1796,1792,857,857,858,31972,30713,30495,15,1225,5015,6140000,0,,,,,,,,,,,
1785492545.35,7,0.0,0,2,66236,0,2267,0.8161,43,2,73040,0,6026,,,0.0102,0,2,58156,0,3348,0.0408,0,1,74148,0,4441,0.4999,0,0,74352,0,3832,0.0102,0,2,38304,0,614,0.4378,0.5625,0.3298,0.8571,0.0,942580,28463868,93320,1794,1197,1781,1783,1782,1783,855,1797,597,716,1199,1800,1250,0,857,859,860,1797,599,0,717,856,1796,1792,852,857,857,30029,31194,30852,15,1227,5016,6160000,0,,,,,,,,,,,
1785492546.375,8,0.0098,0,2,66236,0,2267,1.1115,6,2,128936,0,6508,,,0.0098,0,2,58156,0,3348,0.0,0,0,74148,0,4447,0.0,0,0,74352,0,3832,0.0,0,2,38304,0,614,0.3548,0.2424,0.2079,0.9612,0.0,919852,28463868,93320,1794,1199,1782,1783,1782,1783,853,1796,596,717,1199,1801,1250,0,858,859,862,1798,600,0,714,856,1795,1793,859,856,858,30619,32313,31039,15,1240,5016,6220000,0,,,,,,,,,,,
1785492547.479,9,0.4068,0,0,77016,0,2342,0.9661,0,2,154936,0,7362,,,0.0407,0,2,58404,0,3348,0.061,0,2,74280,0,4466,0.1017,0,1,75076,0,3871,0.1119,0,0,38436,0,667,0.5617,0.7143,0.5321,1.0,0.0086,897860,28463868,89268,1793,1196,1781,1782,1781,1782,854,1794,597,717,1196,1800,1251,0,857,863,855,1798,600,0,715,855,1796,1791,859,857,858,29935,30184,30184,15,1316,5015,6610000,0,,,,,,,,,,,
1785492548.472,10,0.3941,0,1,105604,0,2483,0.5714,0,1,160488,0,8620,,8224,0.0296,0,2,58404,0,3348,0.1084,0,0,78092,0,4560,0.0296,0,1,75076,0,3879,0.0296,0,0,38436,0,675,0.5979,0.8144,0.7292,0.866,0.0,867584,28463868,89268,1794,1199,1782,1784,1783,1784,854,1795,596,718,1195,1801,1251,0,858,861,859,1800,600,0,714,855,1795,1791,855,858,853,31598,31086,30977,15,1287,5016,6460000,0,79823,122903,40908,55227,52868,25555,,1,0,236,3827
