capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785813619,537820313,205.638,5.622,,,0
1785813619,671096680,128.401,0.832,,51.246,0
1785813619,737733398,2424.086,3.585,2427.65,2365.086,1
1785813621,477761475,703.508,0.728,704.217,16.59,1
1785813621,544320068,650.012,0.649,650.633,12.981,1
1785813621,577597656,632.055,14.675,646.731,29.347,1
1785813621,644149902,590.023,4.82,594.861,14.669,1
1785813621,677424316,568.605,0.806,569.397,7.839,1
1785813621,743970215,513.403,0.701,514.08,11.241,1
1785813621,777241699,483.961,0.825,484.765,3.948,1
1785813621,843781006,422.568,1.092,423.928,5.402,1
1785813621,976996582,296.656,0.773,297.404,6.996,1
1785813622,10335449,267.901,1.033,268.918,4.847,1
1785813622,77013428,208.403,0.59,208.966,6.738,1
1785813622,143691162,156.549,0.837,157.37,15.077,1
1785813622,243707520,98.071,1.047,99.099,41.744,1
1785813622,310385254,95.909,0.586,96.627,64.042,1
1785813622,377062744,91.632,0.66,92.267,62.487,1
1785813622,443739990,91.016,0.617,91.67,66.024,1
1785813622,510417480,91.531,0.649,92.16,67.224,1
1785813622,577094727,90.371,0.622,90.973,65.49,1
1785813622,643771973,95.24,0.675,95.896,71.598,1
1785813622,710449219,92.043,0.639,92.661,63.444,1
1785813622,777126221,90.834,0.572,91.385,65.402,1
1785813622,843803223,90.453,0.612,91.044,66.334,1
1785813622,910480713,89.554,0.633,90.166,65.801,1
1785813622,977140381,93.358,0.562,93.9,70.393,1
1785813623,43798828,98.136,0.838,98.96,71.705,1
1785813623,77127441,119.066,0.721,119.766,54.143,1
1785813623,110455566,130.19,0.58,130.748,44.316,1
1785813623,177111084,102.739,2.385,105.197,41.003,1
1785813623,243765137,94.751,0.577,95.305,56.865,1
1785813623,310417725,91.529,0.556,92.061,63.409,1
1785813623,377069092,95.04,0.568,95.588,70.177,1
1785813623,443718994,91.858,0.627,92.464,63.525,1
1785813623,510367432,92.268,0.558,92.806,66.991,1
1785813623,577014404,93.911,0.559,94.45,68.292,1
1785813623,643660156,96.427,0.68,97.085,69.279,1
1785813623,710304443,93.012,0.573,93.56,63.122,1
1785813623,776947266,91.019,0.55,91.548,64.63,1
1785813623,843588623,92.272,0.681,92.931,68.023,1
1785813623,910229492,92.4,0.568,92.945,66.656,1
1785813623,976903320,90.434,0.641,91.052,64.781,1
1785813624,43575928,93.073,0.697,93.648,69.267,1
1785813624,110248047,94.302,0.559,94.839,67.864,1
1785813624,176919189,91.341,0.572,91.892,63.724,1
1785813624,243589600,90.591,0.643,91.214,65.992,1
1785813624,310259033,91.433,0.713,92.121,67.577,1
1785813624,376927734,91.697,0.555,92.229,66.777,1
1785813624,443595703,93.329,0.558,93.865,68.304,1
1785813624,510262939,91.109,0.634,91.72,64.521,1
1785813624,576929199,92.08,0.556,92.617,67.563,1
1785813624,643594482,94.978,0.622,95.576,69.625,1
1785813624,710259033,91.625,0.563,92.163,63.253,1
1785813624,776922852,95.973,0.564,96.515,71.015,1
1785813624,810254639,128.572,0.674,129.221,66.036,1
1785813624,876916992,97.268,0.636,97.882,35.325,1
1785813624,943588379,97.049,0.765,97.791,66.579,1
1785813625,10267334,95.339,0.803,96.12,65.008,1
1785813625,76945557,97.674,0.585,98.234,68.793,1
1785813625,143623291,93.09,0.548,93.617,62.061,1
1785813625,210300537,95.31,0.633,95.924,68.983,1
1785813625,276976807,92.425,0.637,93.041,63.794,1
1785813625,343652832,91.711,0.651,92.342,65.977,1
1785813625,410327881,93.782,0.577,94.337,68.669,1
1785813625,477002441,95.608,0.621,96.207,68.544,1
1785813625,543676270,94.736,0.606,95.319,65.786,1
1785813625,610349609,95.28,0.592,95.848,67.202,1
1785813625,677022217,95.154,0.571,95.703,66.529,1
1785813625,743694336,92.514,0.569,93.063,64.032,1
1785813625,810365723,95.681,0.738,96.402,70.001,1
1785813625,843701172,120.225,0.575,120.775,57.718,1
1785813625,877036377,129.222,0.954,130.162,42.706,1
1785813625,943715576,111.003,0.701,111.691,48.214,1
1785813625,977059082,124.337,0.596,124.913,46.575,1
1785813626,77089111,96.35,0.698,97.028,72.146,1
1785813626,143775391,92.686,0.632,93.297,62.957,1
1785813626,210460938,95.535,0.625,96.104,69.492,1
1785813626,277146240,94.801,0.574,95.353,65.935,1
1785813626,343831055,93.236,0.574,93.786,65.118,1
1785813626,410515381,93.33,0.552,93.858,66.756,1
1785813626,477199219,95.158,0.566,95.701,68.526,1
1785813626,543882813,95.577,0.555,96.11,67.094,1
1785813626,610565674,96.201,0.641,96.823,67.394,1
1785813626,677248291,96.267,0.621,96.864,66.723,1
1785813626,743930420,92.952,0.572,93.502,63.321,1
1785813626,810612061,94.482,0.682,95.142,68.321,1
1785813626,877293213,96.453,0.696,97.128,68.667,1
1785813626,944031250,94.095,0.722,94.797,64.406,1
1785813627,10827148,92.307,0.737,93.025,65.024,1
1785813627,77624023,101.474,0.765,102.215,75.985,1
1785813627,144422363,110.294,3.253,111.633,76.203,1
1785813627,244621582,93.224,0.597,93.801,82.383,1
1785813627,311422607,91.938,0.814,92.732,65.732,1
1785813627,378224854,95.324,0.551,95.854,69.925,1
1785813627,445028076,93.494,0.561,94.035,64.984,1
1785813627,511832520,93.303,0.736,94.017,66.781,1
1785813627,578638184,94.023,0.617,94.618,67.411,1
1785813627,645444824,103.548,0.682,104.209,76.394,1
1785813627,678848633,132.392,0.676,133.042,62.24,1
1785813627,745657227,106.316,1.863,108.175,41.921,1
1785813627,812466797,97.706,0.569,98.252,56.909,1
1785813627,879277588,91.242,0.558,91.778,60.336,1
1785813627,946018555,92.772,1.286,94.051,68.998,1
1785813628,12690918,92.285,0.576,92.839,65.476,1
1785813628,79362549,94.347,0.558,94.883,68.717,1
1785813628,146033447,91.959,0.601,92.539,64.327,1
1785813628,212703613,92.434,0.583,92.996,67.126,1
1785813628,279373047,92.809,0.567,93.354,67.028,1
1785813628,346041992,93.881,0.652,94.508,67.822,1
1785813628,412709961,96.606,0.569,97.154,69.314,1
1785813628,479377197,95.559,0.612,96.15,65.664,1
1785813628,546043701,94.641,0.555,95.174,65.691,1
1785813628,612709473,91.921,0.564,92.464,63.956,1
1785813628,679374512,91.774,0.574,92.329,66.53,1
1785813628,746039063,92.735,0.529,93.245,67.58,1
1785813628,812702637,91.872,0.562,92.411,65.829,1
1785813628,879365479,93.093,0.564,93.636,67.888,1
1785813628,946034668,90.241,0.605,90.823,63.856,1
1785813629,12709473,103.114,0.576,103.667,79.52,1
1785813629,79383545,104.871,0.706,105.556,68.556,1
1785813629,146057129,95.372,0.565,95.901,57.026,1
1785813629,212729736,91.783,0.564,92.327,63.098,1
1785813629,279401855,91.059,0.57,91.607,65.953,1
1785813629,346073242,92.525,0.558,93.062,68.126,1
1785813629,412744141,94.529,0.569,95.077,68.686,1
1785813629,479414063,93.341,0.551,93.87,65.464,1
1785813629,546083496,93.284,0.565,93.829,66.628,1
1785813629,612752197,95.559,0.603,96.142,68.981,1
1785813629,679420166,102.991,0.792,103.759,74.283,1
1785813629,712753906,120.004,0.657,120.639,50.215,1
1785813629,746087646,131.581,0.629,132.19,44.886,1
1785813629,846087402,94.312,0.651,94.94,62.75,1
1785813629,912753418,97.104,0.637,97.717,69.441,1
1785813629,946121094,119.836,0.57,120.383,56.035,1
1785813629,979489258,137.75,0.833,138.559,51.542,1
1785813630,12857422,166.97,0.584,167.529,62.341,1
1785813630,112964111,109.491,0.699,110.175,42.738,1
1785813630,179703369,97.955,0.622,98.556,55.134,1
1785813630,246443848,95.227,0.551,95.754,63.94,1
1785813630,313185547,92.549,0.558,93.085,64.072,1
1785813630,379928223,92.145,0.65,92.774,66.432,1
1785813630,446672119,93.282,0.73,93.992,67.957,1
1785813630,513417236,95.516,0.697,96.191,68.945,1
1785813630,580163574,93.871,0.564,94.414,64.973,1
1785813630,646910889,93.443,0.607,94.027,66.36,1
1785813630,713659424,93.942,0.629,94.547,67.268,1
1785813630,780409180,91.545,0.554,92.078,64.281,1
1785813630,847160156,91.076,0.575,91.632,66.304,1
1785813630,913911377,92.143,0.701,92.825,67.943,1
1785813630,980664307,93.934,0.622,94.536,68.465,1
1785813631,47418701,99.708,0.712,100.396,72.614,1
1785813631,114174316,93.548,0.556,94.083,60.444,1
1785813631,180931396,92.501,0.589,93.055,65.729,1
1785813631,247689941,92.438,0.648,93.067,66.77,1
1785813631,314449951,93.423,0.721,94.126,67.818,1
1785813631,414592773,91.223,0.599,91.802,97.821,1
1785813631,481356445,90.356,0.556,90.89,65.853,1
1785813631,548121338,94.758,0.573,95.31,71.184,1
1785813631,614887939,91.931,0.651,92.562,64.018,1
1785813631,681655762,96.942,0.546,97.468,71.675,1
1785813631,748425293,91.9,0.576,92.454,61.755,1
1785813631,815196045,94.053,0.57,94.603,68.92,1
1785813631,881968262,92.594,0.564,93.124,65.293,1
1785813631,948701904,97.166,0.673,97.835,71.427,1
1785813632,15397217,95.737,0.588,96.303,65.18,1
1785813632,82092041,98.023,0.764,98.769,69.156,1
1785813632,148786621,92.92,0.552,93.451,61.382,1
1785813632,215480713,92.398,0.557,92.933,66.176,1
1785813632,282174561,95.273,0.697,95.951,69.711,1
1785813632,348867920,92.926,0.551,93.456,64.199,1
1785813632,415561035,93.83,0.574,94.381,67.619,1
1785813632,482253662,91.634,0.633,92.248,64.559,1
1785813632,548946045,91.981,0.561,92.52,66.965,1
1785813632,615637939,92.558,0.568,93.105,67.277,1
1785813632,682329346,94.63,1.557,96.174,69.749,1
1785813632,749020752,92.975,0.551,93.521,64.034,1
1785813632,815711426,94.304,0.566,94.848,68.033,1
1785813632,882401855,91.789,0.578,92.346,64.188,1
1785813632,949092041,94.991,0.624,95.594,69.938,1
1785813633,15781006,96.067,0.573,96.616,67.71,1
1785813633,82469482,111.67,0.697,112.346,82.416,1
1785813633,115813721,125.069,0.563,125.611,46.613,1
1785813633,149157715,130.898,0.666,131.544,39.275,1
1785813633,249188965,93.756,0.561,94.296,62.785,1
1785813633,315875977,96.099,0.648,96.725,69.116,1
