capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785813619,537820313,190.102,5.462,195.438,4,0
1785813619,671096680,121.879,1.2,122.995,5,0
1785813619,737733398,98.355,9.436,107.621,5,1
1785813619,804369141,99.314,1.093,100.331,4,1
1785813619,871004150,100.558,1.362,101.846,5,1
1785813619,937862305,92.881,3.433,96.236,4,1
1785813620,4940430,101.722,3.632,105.113,5,1
1785813620,38484619,124.981,1.179,126.08,4,1
1785813620,105583496,108.792,4.361,112.827,5,1
1785813620,139138184,127.167,1.621,128.576,4,1
1785813620,206257813,123.526,2.255,125.692,4,1
1785813620,273391357,100.208,1.969,102.093,5,1
1785813620,306963379,123.834,1.425,125.175,5,1
1785813620,340538818,159.618,1.374,160.912,5,1
1785813620,441285645,104.84,2.947,106.022,4,1
1785813620,474875000,120.878,1.256,122.046,4,1
1785813620,542063721,103.905,1.636,105.429,4,1
1785813620,575663330,119.8,0.946,120.673,4,1
1785813620,642873047,104.612,1.693,106.225,4,1
1785813620,676483154,122.153,2.329,124.4,4,1
1785813620,743713379,121.988,5.971,127.832,4,1
1785813620,810957764,106.585,1.499,107.623,4,1
1785813620,844584961,125.779,1.35,127.042,5,1
1785813620,911843506,108.761,1.232,109.839,5,1
1785813620,945141357,153.266,1.429,154.619,5,1
1785813621,45028076,101.506,1.416,102.789,4,1
1785813621,78321777,120.365,1.188,121.476,5,1
1785813621,144905518,97.074,3.658,100.64,4,1
1785813621,178196045,120.728,1.526,122.156,5,1
1785813621,244773438,99.806,5.333,104.969,5,1
1785813621,344631836,85.504,1.248,86.618,5,1
1785813621,411198730,83.219,1.17,84.314,4,1
1785813621,477761475,84.881,1.016,85.825,5,1
1785813621,544320068,95.864,1.291,97.054,4,1
1785813621,577597656,120.743,1.689,122.303,4,1
1785813621,644149902,102.386,1.364,103.573,5,1
1785813621,677424316,123.356,1.695,124.977,4,1
1785813621,743970215,118.556,1.354,119.825,5,1
1785813621,777241699,135.831,8.721,144.424,5,1
1785813621,843781006,109.994,2.517,112.376,5,1
1785813621,976996582,90.89,1.464,92.252,5,1
1785813622,10335449,125.12,1.046,126.088,4,1
1785813622,77013428,144.203,1.259,145.388,5,1
1785813622,143691162,147.412,3.726,151.052,5,1
1785813622,243707520,91.989,0.929,92.849,4,1
1785813622,310385254,89.086,1.481,90.485,5,1
1785813622,377062744,85.348,0.994,86.258,5,1
1785813622,443739990,84.994,0.934,85.855,4,1
1785813622,510417480,85.825,0.927,86.678,4,1
1785813622,577094727,84.411,0.958,85.3,5,1
1785813622,643771973,88.389,1.003,89.317,4,1
1785813622,710449219,85.435,1.088,86.45,5,1
1785813622,777126221,84.701,0.95,85.582,5,1
1785813622,843803223,84.206,8.498,92.587,4,1
1785813622,910480713,83.555,1.389,84.871,5,1
1785813622,977140381,87.436,0.971,88.337,5,1
1785813623,43798828,88.637,0.922,89.474,4,1
1785813623,77127441,105.235,7.028,112.181,4,1
1785813623,110455566,121.369,1.237,122.524,4,1
1785813623,177111084,94.444,0.954,95.316,4,1
1785813623,243765137,87.871,0.992,88.791,4,1
1785813623,310417725,85.578,1.092,86.597,5,1
1785813623,377069092,89.309,0.911,90.151,4,1
1785813623,443718994,85.93,1.058,86.919,5,1
1785813623,510367432,86.169,0.924,87.007,4,1
1785813623,577014404,87.964,0.958,88.852,5,1
1785813623,643660156,89.018,0.906,89.856,4,1
1785813623,710304443,85.624,0.959,86.51,4,1
1785813623,776947266,85.131,0.946,86.008,5,1
1785813623,843588623,84.864,4.493,89.246,4,1
1785813623,910229492,86.428,0.939,87.282,4,1
1785813623,976903320,84.609,0.956,85.477,4,1
1785813624,43575928,86.416,0.921,87.268,4,1
1785813624,110248047,88.219,1.017,89.166,5,1
1785813624,176919189,85.276,1.05,86.194,5,1
1785813624,243589600,84.595,0.929,85.454,4,1
1785813624,310259033,85.434,1.091,86.452,5,1
1785813624,376927734,85.692,1.025,86.646,4,1
1785813624,443595703,85.914,0.895,86.739,4,1
1785813624,510262939,85.149,1.015,86.093,4,1
1785813624,576929199,86.388,0.944,87.246,4,1
1785813624,643594482,88.873,0.949,89.75,5,1
1785813624,710259033,85.185,0.985,86.071,5,1
1785813624,776922852,88.629,0.986,89.542,5,1
1785813624,810254639,118.31,7.779,125.96,5,1
1785813624,876916992,91.255,1.026,92.21,4,1
1785813624,943588379,90.397,1.056,91.38,5,1
1785813625,10267334,88.642,1.015,89.583,4,1
1785813625,76945557,91.498,1.046,92.472,4,1
1785813625,143623291,87.049,1.036,88.013,5,1
1785813625,210300537,89.158,1.084,90.172,5,1
1785813625,276976807,86.435,0.954,87.319,5,1
1785813625,343652832,85.751,1.091,86.773,4,1
1785813625,410327881,88.056,0.953,88.921,5,1
1785813625,477002441,89.517,1.161,90.605,5,1
1785813625,543676270,88.973,0.945,89.848,5,1
1785813625,610349609,88.687,1.053,89.666,4,1
1785813625,677022217,89.321,0.948,90.199,5,1
1785813625,743694336,86.478,0.954,87.363,5,1
1785813625,810365723,88.847,0.988,89.762,4,1
1785813625,843701172,105.233,12.784,117.835,4,1
1785813625,877036377,122.601,1.021,123.547,5,1
1785813625,943715576,102.557,1.342,103.816,4,1
1785813625,977059082,118.109,1.064,119.097,4,1
1785813626,77089111,88.501,1.029,89.454,4,1
1785813626,143775391,86.829,0.945,87.704,5,1
1785813626,210460938,89.451,0.949,90.33,5,1
1785813626,277146240,88.72,0.967,89.617,5,1
1785813626,343831055,87.248,0.948,88.125,5,1
1785813626,410515381,87.258,0.922,88.109,4,1
1785813626,477199219,89.342,0.953,90.223,5,1
1785813626,543882813,89.57,1.05,90.548,5,1
1785813626,610565674,90.159,0.951,91.041,5,1
1785813626,677248291,89.959,1.024,90.913,4,1
1785813626,743930420,87.052,0.912,87.894,4,1
1785813626,810612061,86.864,1.027,87.737,4,1
1785813626,877293213,89.288,4.389,93.576,4,1
1785813626,944031250,87.423,1.056,88.402,4,1
1785813627,10827148,86.247,0.999,87.174,5,1
1785813627,77624023,93.561,1.373,94.859,5,1
1785813627,144422363,98.943,1.257,100.124,4,1
1785813627,244621582,87.443,0.985,88.355,4,1
1785813627,311422607,86.055,0.947,86.933,5,1
1785813627,378224854,89.367,0.956,90.253,5,1
1785813627,445028076,87.49,0.981,88.398,5,1
1785813627,511832520,87.343,0.921,88.195,4,1
1785813627,578638184,88.081,0.954,88.965,5,1
1785813627,645444824,95.73,0.966,96.625,4,1
1785813627,678848633,124.84,1.506,126.269,5,1
1785813627,745657227,98.301,1.139,99.366,4,1
1785813627,812466797,90.438,1.191,91.551,5,1
1785813627,879277588,85.232,0.914,86.077,4,1
1785813627,946018555,84.369,7.419,91.667,4,1
1785813628,12690918,84.208,0.96,85.097,4,1
1785813628,79362549,88.299,1.258,89.48,4,1
1785813628,146033447,86.013,1.054,86.991,5,1
1785813628,212703613,85.87,0.992,86.789,4,1
1785813628,279373047,85.276,1.061,86.268,5,1
1785813628,346041992,87.701,0.938,88.567,4,1
1785813628,412709961,90.346,0.971,91.247,5,1
1785813628,479377197,89.687,0.963,90.581,5,1
1785813628,546043701,87.028,0.981,87.939,5,1
1785813628,612709473,85.907,0.979,86.815,5,1
1785813628,679374512,85.817,0.901,86.648,4,1
1785813628,746039063,86.285,1.164,87.363,5,1
1785813628,812702637,85.922,0.982,86.831,4,1
1785813628,879365479,86.49,1.278,87.692,4,1
1785813628,946034668,84.085,0.913,84.929,4,1
1785813629,12709473,91.899,8.117,99.892,5,1
1785813629,79383545,96.414,0.953,97.297,5,1
1785813629,146057129,89.581,0.958,90.469,4,1
1785813629,212729736,85.774,0.912,86.615,4,1
1785813629,279401855,84.816,1.012,85.754,5,1
1785813629,346073242,86.679,0.957,87.566,4,1
1785813629,412744141,88.755,0.984,89.67,4,1
1785813629,479414063,87.298,1.077,88.304,5,1
1785813629,546083496,87.343,1.025,88.299,5,1
1785813629,612752197,87.91,0.954,88.796,4,1
1785813629,679420166,93.638,1.35,94.906,5,1
1785813629,712753906,110.845,1.264,112.023,5,1
1785813629,746087646,125.719,1.039,126.687,4,1
1785813629,846087402,88.523,1.108,89.561,5,1
1785813629,912753418,90.015,1.065,91.005,5,1
1785813629,946121094,110.841,2.337,113.09,5,1
1785813629,979489258,130.77,9.279,139.934,4,1
1785813630,12857422,157.938,1.134,158.991,4,1
1785813630,112964111,101.326,1.177,102.425,5,1
1785813630,179703369,91.976,0.971,92.877,4,1
1785813630,246443848,89.313,0.907,90.151,4,1
1785813630,313185547,86.832,0.918,87.68,4,1
1785813630,379928223,86.185,0.951,87.066,5,1
1785813630,446672119,87.034,0.981,87.946,5,1
1785813630,513417236,85.612,0.916,86.459,4,1
1785813630,580163574,86.518,0.909,87.357,4,1
1785813630,646910889,86.331,1.006,87.263,4,1
1785813630,713659424,88.078,0.915,88.924,4,1
1785813630,780409180,85.401,0.883,86.213,4,1
1785813630,847160156,85.092,0.949,85.971,5,1
1785813630,913911377,85.941,1.021,86.89,4,1
1785813630,980664307,87.378,0.909,88.216,4,1
1785813631,47418701,91.138,14.499,105.505,4,1
1785813631,114174316,87.464,0.918,88.313,4,1
1785813631,180931396,86.581,0.951,87.448,5,1
1785813631,247689941,86.615,0.949,87.48,5,1
1785813631,314449951,87.528,0.973,88.431,4,1
1785813631,414592773,85.383,0.912,86.225,4,1
1785813631,481356445,84.477,0.907,85.314,4,1
1785813631,548121338,88.849,0.921,89.699,4,1
1785813631,614887939,86.092,0.947,86.969,5,1
1785813631,681655762,90.751,0.92,91.599,4,1
1785813631,748425293,85.729,1.097,86.756,5,1
1785813631,815196045,88.203,1.034,89.069,5,1
1785813631,881968262,86.78,1.016,87.726,5,1
1785813631,948701904,86.8,3.163,89.887,5,1
1785813632,15397217,87.08,1.434,88.423,4,1
1785813632,82092041,89.383,9.346,98.614,5,1
1785813632,148786621,86.779,0.957,87.665,5,1
1785813632,215480713,86.494,1.105,87.525,5,1
1785813632,282174561,89.408,1.067,90.404,5,1
1785813632,348867920,87.056,0.918,87.903,4,1
1785813632,415561035,87.996,0.912,88.823,4,1
1785813632,482253662,85.645,1.012,86.586,5,1
1785813632,548946045,85.767,1.045,86.742,5,1
1785813632,615637939,86.586,0.908,87.424,4,1
1785813632,682329346,88.743,0.959,89.629,4,1
1785813632,749020752,87.034,1.034,87.995,5,1
1785813632,815711426,88.239,0.951,89.121,5,1
1785813632,882401855,85.656,0.963,86.549,5,1
1785813632,949092041,85.636,1.091,86.65,4,1
1785813633,15781006,88.212,1.032,89.171,5,1
1785813633,82469482,92.527,8.197,100.592,5,1
1785813633,115813721,117.606,1.262,118.705,4,1
1785813633,149157715,124.463,1.091,125.481,4,1
1785813633,249188965,87.793,0.914,88.636,4,1
1785813633,315875977,90.142,0.984,91.054,5,1
1785813633,382562500,87.875,1.058,88.857,4,1
1785813633,449248535,88.647,0.907,89.485,4,1
1785813633,515934082,85.886,0.995,86.809,4,1
1785813633,582619385,87.493,0.972,88.395,5,1
1785813633,649303955,91.029,0.974,91.931,5,1
1785813633,715988281,89.449,0.953,90.32,5,1
1785813633,782672119,86.168,0.911,87.01,4,1
1785813633,849355469,91.17,1.016,92.115,5,1
1785813633,916038574,96.113,1.185,97.219,5,1
1785813633,949461914,119.293,0.959,120.18,4,1
1785813634,16309814,97.042,1.025,97.995,5,1
1785813634,83159424,105.038,11.961,116.868,4,1
1785813634,150010498,89.546,1.006,90.47,4,1
1785813634,216863281,86.387,0.965,87.28,5,1
1785813634,283717529,86.847,0.945,87.722,5,1
1785813634,350573242,86.275,0.94,87.146,5,1
1785813634,417430664,86.238,0.951,87.118,5,1
1785813634,484289551,87.565,0.989,88.483,5,1
1785813634,551150146,83.967,0.936,84.833,5,1
1785813634,618012207,86.486,0.934,87.348,4,1
1785813634,684875977,88.851,0.971,89.752,5,1
1785813634,751741211,85.73,0.997,86.654,5,1
1785813634,818608154,85.619,0.899,86.448,4,1
1785813634,885476563,84.348,0.908,85.185,4,1
1785813634,952247070,88.898,1.027,89.85,4,1
1785813635,18921631,87.258,1.023,88.204,5,1
1785813635,52258789,106.592,1.308,107.803,4,1
1785813635,85595703,121.607,8.27,129.735,5,1
1785813635,152269043,101.629,1.339,102.881,5,1
1785813635,185605225,116.891,1.28,118.089,5,1
1785813635,252277588,90.929,0.985,91.843,5,1
1785813635,318949219,83.693,0.942,84.552,5,1
1785813635,385620117,84.999,0.922,85.851,5,1
1785813635,452290283,85.026,0.909,85.865,4,1
1785813635,518959717,84.24,0.904,85.075,4,1
1785813635,585628418,88.393,0.998,89.322,5,1
1785813635,652296631,88.626,1.057,89.604,5,1
1785813635,718963867,88.001,0.972,88.903,5,1
1785813635,785630615,85.668,0.933,86.533,5,1
1785813635,852296631,85.048,0.9,85.88,4,1
1785813635,918962402,84.723,0.966,85.619,4,1
1785813635,985724854,84.089,1.16,85.17,5,1
1785813636,52488770,93.02,1.07,94.014,4,1
1785813636,85871338,115.994,1.161,117.073,5,1
1785813636,152637451,87.299,4.48,91.678,4,1
1785813636,219405273,87.173,0.914,88.016,4,1
1785813636,286174561,85.326,0.936,86.193,5,1
1785813636,352945557,83.558,0.883,84.372,4,1
1785813636,419718018,84.994,0.939,85.864,5,1
1785813636,486491943,86.118,0.952,87.0,4,1
1785813636,553267578,84.87,1.016,85.817,5,1
1785813636,620044922,83.869,1.11,84.817,4,1
1785813636,686823486,84.175,1.254,85.207,5,1
1785813636,786994629,83.478,1.086,84.493,4,1
1785813636,853777100,85.126,0.969,86.025,5,1
1785813636,920560547,87.43,0.911,88.272,4,1
1785813636,987249023,83.895,1.014,84.838,4,1
1785813637,53937012,90.016,2.384,92.321,4,1
1785813637,87280762,122.27,1.111,123.298,5,1
1785813637,153968262,116.932,5.177,121.967,5,1
1785813637,220655029,90.322,1.032,91.283,5,1
1785813637,287341309,86.654,0.94,87.525,5,1
1785813637,354027100,83.935,0.946,84.811,5,1
1785813637,420712646,86.26,1.039,87.102,4,1
1785813637,487397705,84.807,0.973,85.706,4,1
1785813637,554082031,84.824,0.939,85.694,5,1
1785813637,620766113,87.376,1.081,88.388,5,1
1785813637,687449707,88.035,0.993,88.941,5,1
1785813637,754132813,87.006,0.912,87.848,4,1
1785813637,820815430,85.031,0.902,85.864,4,1
1785813637,887497559,85.199,0.942,86.072,5,1
1785813637,954260742,85.458,1.147,86.528,5,1
1785813638,21105469,87.454,1.148,88.519,4,1
1785813638,87951660,87.892,1.216,89.034,5,1
1785813638,154799561,83.982,1.039,84.949,4,1
1785813638,188223877,96.611,7.57,104.067,4,1
1785813638,255073975,91.266,0.951,92.148,5,1
1785813638,321925537,84.066,0.98,84.977,5,1
1785813638,388778809,86.389,1.015,87.336,5,1
1785813638,455633545,89.368,0.951,90.247,5,1
1785813638,522489746,83.94,1.126,84.992,5,1
1785813638,589347412,84.089,0.96,84.976,4,1
1785813638,656206787,87.521,0.911,88.362,4,1
1785813638,723067627,85.261,0.916,86.108,5,1
1785813638,789929932,87.547,0.943,88.421,5,1
1785813638,856793945,82.378,1.046,83.354,4,1
1785813638,923657715,83.112,0.993,84.036,5,1
1785813638,990331543,84.061,1.174,85.163,4,1
1785813639,57004639,88.787,1.072,89.787,5,1
1785813639,157012939,83.107,1.042,84.073,5,1
1785813639,223684326,84.293,5.501,89.683,5,1
1785813639,290354980,86.397,1.046,87.373,4,1
1785813639,357024902,84.156,0.94,85.027,5,1
1785813639,423694336,82.544,0.957,83.431,4,1
1785813639,490362793,84.487,1.01,85.429,5,1
1785813639,557030518,81.954,1.055,82.94,4,1
1785813639,623697754,84.351,0.97,85.252,4,1
1785813639,690364258,86.737,1.119,87.782,5,1
1785813639,757030029,85.019,1.022,85.968,4,1
1785813639,823695068,84.249,0.915,85.094,4,1
1785813639,890359375,83.05,0.929,83.909,4,1
1785813639,957029297,85.555,0.955,86.44,5,1
1785813640,23703613,84.739,0.987,85.636,4,1
1785813640,90376953,89.371,1.141,90.437,5,1
1785813640,157049805,84.538,0.991,85.459,5,1
1785813640,223721680,83.065,1.098,84.09,4,1
1785813640,290393066,84.49,8.193,92.574,4,1
1785813640,357063721,82.866,0.948,83.744,5,1
1785813640,423733643,86.074,0.944,86.948,5,1
1785813640,490402832,84.514,1.043,85.487,5,1
1785813640,557071289,84.872,1.079,85.881,5,1
1785813640,623739258,84.223,1.144,85.287,4,1
1785813640,657072754,101.295,1.207,102.422,5,1
1785813640,723739502,85.337,1.079,86.342,4,1
1785813640,790405762,83.623,0.993,84.547,5,1
1785813640,857071045,84.09,0.905,84.926,4,1
1785813640,923736328,83.358,1.041,84.33,5,1
1785813640,990410645,84.558,1.024,85.513,5,1
1785813641,57084473,83.947,1.035,84.907,4,1
1785813641,123757324,84.618,1.051,85.594,4,1
1785813641,190429688,87.777,0.949,88.658,5,1
1785813641,257101318,84.455,1.031,85.413,5,1
1785813641,323771973,89.185,5.734,94.799,4,1
1785813641,390442139,85.011,0.948,85.889,5,1
1785813641,457111572,84.494,0.991,85.417,5,1
1785813641,523780273,87.953,1.028,88.904,4,1
1785813641,557114258,115.96,1.088,116.967,4,1
1785813641,623781982,94.409,1.182,95.508,4,1
1785813641,657115479,118.121,1.17,119.213,4,1
1785813641,723781982,108.327,2.718,110.958,5,1
1785813641,757114990,132.554,1.398,133.868,5,1
1785813641,823780518,119.273,1.438,120.627,4,1
1785813641,890445313,94.052,0.893,94.876,4,1
1785813641,957115479,89.639,1.061,90.624,5,1
1785813642,23790039,93.176,1.148,94.241,5,1
1785813642,57126953,115.507,1.158,116.583,5,1
1785813642,90463867,135.162,2.987,138.062,5,1
1785813642,157137207,117.508,1.152,118.584,4,1
1785813642,223809570,91.234,0.96,92.123,4,1
1785813642,290481445,86.817,1.024,87.768,5,1
1785813642,357152588,84.59,6.854,91.338,4,1
1785813642,423822998,83.091,0.946,83.968,5,1
1785813642,490492676,86.889,0.968,87.787,5,1
1785813642,557161865,85.438,0.923,86.291,5,1
1785813642,623830078,84.184,0.895,85.009,4,1
1785813642,690497803,85.987,0.972,86.858,4,1
1785813642,757164795,86.765,0.911,87.606,4,1
1785813642,823831055,83.656,0.886,84.473,4,1
1785813642,890496582,84.769,0.947,85.648,5,1
1785813642,957196045,84.892,1.136,85.952,4,1
1785813643,23929443,90.224,1.005,91.155,4,1
1785813643,90663330,90.867,0.982,91.777,5,1
1785813643,157397949,86.548,0.914,87.392,4,1
1785813643,224133545,88.866,0.907,89.704,4,1
1785813643,290869629,85.585,0.964,86.476,5,1
1785813643,357606689,85.516,6.968,92.373,5,1
1785813643,424344238,83.929,1.158,85.006,5,1
1785813643,491082764,85.946,1.051,86.863,4,1
1785813643,557822021,85.841,0.899,86.671,4,1
1785813643,624561768,86.575,1.043,87.549,5,1
1785813643,691302490,89.357,0.941,90.228,5,1
1785813643,758043945,85.176,0.936,86.044,5,1
1785813643,824786133,85.25,0.903,86.084,4,1
1785813643,891529053,84.611,0.951,85.492,5,1
1785813643,958258789,86.481,1.096,87.504,4,1
1785813644,25098389,86.433,1.182,87.423,5,1
1785813644,91939453,90.854,1.056,91.839,4,1
1785813644,158781738,88.975,0.987,89.892,4,1
1785813644,225625732,88.082,1.015,89.027,5,1
1785813644,292470947,86.978,0.957,87.862,4,1
1785813644,359317627,84.429,5.174,89.492,5,1
1785813644,426166016,82.533,1.005,83.468,5,1
1785813644,493015625,84.776,1.016,85.717,5,1
1785813644,559866699,83.909,0.977,84.818,4,1
1785813644,626719238,85.655,0.896,86.482,4,1
1785813644,693573242,86.9,0.902,87.731,4,1
1785813644,760428711,82.307,1.154,83.387,4,1
1785813644,827285400,81.832,0.907,82.67,4,1
1785813644,894143799,82.716,1.02,83.626,5,1
1785813644,961001953,83.216,0.942,84.087,4,1
1785813645,27670410,86.827,1.038,87.795,5,1
1785813645,94338135,90.039,1.12,91.089,5,1
1785813645,161005127,82.837,0.945,83.713,5,1
1785813645,227671143,83.788,1.053,84.77,4,1
1785813645,294336426,86.624,1.009,87.56,4,1
1785813645,361000732,81.933,0.979,82.839,5,1
1785813645,427664551,84.636,6.796,91.324,5,1
1785813645,494327393,82.843,0.898,83.673,4,1
1785813645,560989258,82.749,0.904,83.584,4,1
1785813645,627650635,84.717,1.064,85.712,5,1
1785813645,727640869,82.579,0.973,83.481,4,1
1785813645,794300049,84.922,1.375,86.222,4,1
1785813645,860958496,82.579,0.941,83.434,5,1
1785813645,927615967,84.032,0.915,84.876,4,1
1785813645,994283447,85.425,0.969,86.324,5,1
1785813646,60959229,87.821,1.048,88.791,5,1
1785813646,127634277,89.787,0.964,90.681,4,1
1785813646,194308594,82.197,1.02,83.148,4,1
1785813646,260982178,84.119,0.958,85.008,4,1
1785813646,327655029,87.588,0.962,88.48,5,1
1785813646,394327148,86.409,0.978,87.316,5,1
1785813646,427662842,108.466,10.644,118.982,4,1
1785813646,460998535,119.139,1.009,120.077,5,1
1785813646,561004395,85.844,0.985,86.759,4,1
1785813646,627674072,85.79,0.934,86.614,4,1
1785813646,694343018,87.194,0.948,88.07,5,1
1785813646,761011230,87.012,0.935,87.878,5,1
1785813646,827678711,84.072,0.946,84.949,5,1
1785813646,894345459,86.187,0.901,87.019,4,1
1785813646,961011963,88.369,1.135,89.425,5,1
1785813646,994345947,115.199,1.117,116.238,4,1
1785813647,27679443,127.006,1.123,128.053,5,1
1785813647,94345947,123.36,1.024,124.313,4,1
1785813647,161011719,111.413,2.793,112.869,4,1
1785813647,194344482,141.657,1.156,142.73,4,1
1785813647,261008789,117.776,1.567,118.654,4,1
1785813647,327672607,93.747,1.116,94.787,4,1
1785813647,394335449,88.105,1.062,89.096,5,1
1785813647,460997314,86.761,5.064,91.716,4,1
1785813647,527658447,86.708,1.136,87.769,5,1
1785813647,594318848,88.117,0.996,89.045,5,1
1785813647,660978271,89.679,0.912,90.509,4,1
1785813647,727636963,85.26,0.98,86.169,5,1
1785813647,794294922,85.62,0.901,86.453,4,1
1785813647,860951904,87.181,1.025,88.136,5,1
1785813647,927607910,84.43,0.951,85.313,4,1
1785813647,994272705,87.939,0.941,88.81,5,1
1785813648,60945068,89.904,1.022,90.852,4,1
1785813648,127616699,90.256,0.996,91.183,5,1
1785813648,194287354,86.15,0.936,87.016,5,1
1785813648,260957520,86.273,0.901,87.105,4,1
1785813648,327626953,85.66,0.93,86.52,4,1
1785813648,394295410,85.948,0.947,86.825,5,1
1785813648,460963379,87.934,8.516,96.337,4,1
1785813648,527630615,85.343,1.085,86.354,4,1
1785813648,594297119,85.946,0.942,86.819,5,1
1785813648,660962646,84.159,1.142,85.226,4,1
1785813648,727627686,85.027,0.961,85.919,4,1
1785813648,794291992,84.728,0.937,85.597,5,1
1785813648,860955566,84.23,0.905,85.068,4,1
1785813648,927618408,83.516,0.89,84.339,4,1
1785813648,994284180,88.914,0.96,89.806,5,1
1785813649,60951660,88.986,0.984,89.896,4,1
1785813649,127618652,88.028,0.944,88.89,5,1
1785813649,194284424,85.747,0.945,86.623,5,1
1785813649,260949707,85.599,0.979,86.509,5,1
1785813649,327614014,87.99,0.947,88.866,5,1
1785813649,394277588,87.604,1.057,88.59,4,1
1785813649,460940186,84.628,0.929,85.453,4,1
1785813649,527602051,89.41,21.838,111.134,4,1
1785813649,560932617,122.218,1.161,123.297,5,1
1785813649,627593262,104.312,1.3,105.523,5,1
1785813649,660923096,121.063,1.478,122.458,5,1
1785813649,727582520,117.975,1.643,119.544,5,1
1785813649,794241211,96.518,1.301,97.745,4,1
1785813649,827570068,119.162,1.04,120.129,4,1
1785813649,894227295,95.542,1.1,96.57,4,1
1785813649,960884277,92.457,0.958,93.343,5,1
1785813650,27649902,90.529,0.989,91.445,4,1
1785813650,94416748,90.658,0.943,91.531,4,1
1785813650,161185547,88.055,0.979,88.965,5,1
1785813650,227955566,87.788,1.013,88.731,4,1
1785813650,294727539,86.781,0.896,87.606,4,1
1785813650,361500977,87.391,0.991,88.312,5,1
1785813650,428275879,86.133,0.943,86.957,4,1
1785813650,495052490,86.472,0.933,87.336,5,1
1785813650,561830811,87.256,14.37,101.469,5,1
1785813650,595220459,101.88,1.116,102.92,5,1
1785813650,662000977,90.998,0.914,91.841,4,1
1785813650,695391846,121.506,1.178,122.604,5,1
1785813650,762175049,104.471,12.776,117.154,4,1
1785813650,795567139,117.454,0.997,118.375,4,1
1785813650,862352539,91.968,0.947,92.843,4,1
1785813650,929139404,90.241,0.982,91.153,4,1
1785813650,995951172,89.265,1.133,90.308,5,1
1785813651,62789307,88.295,1.171,89.392,4,1
1785813651,129628906,84.79,1.607,86.321,4,1
1785813651,196469971,85.553,0.945,86.427,5,1
1785813651,263312256,86.663,1.027,87.619,4,1
1785813651,330156250,87.421,0.897,88.248,4,1
1785813651,397001465,87.234,0.907,88.071,4,1
1785813651,463848145,83.957,1.081,84.893,5,1
1785813651,530696045,87.959,1.264,89.142,4,1
1785813651,597545654,86.176,7.972,94.034,5,1
1785813651,664396484,85.487,1.038,86.452,5,1
1785813651,731248779,83.854,0.923,84.707,4,1
1785813651,798102539,86.095,0.904,86.929,4,1
1785813651,864957520,83.511,1.053,84.493,5,1
1785813651,931814209,84.363,1.017,85.311,5,1
1785813651,998575439,85.766,0.963,86.656,4,1
1785813652,65243408,91.674,1.169,92.758,5,1
1785813652,98577148,121.576,2.08,123.582,5,1
1785813652,165243652,104.458,4.337,108.696,5,1
1785813652,198576660,113.963,1.125,115.014,5,1
1785813652,298574707,83.754,1.038,84.72,4,1
1785813652,365238770,84.291,1.011,85.232,5,1
1785813652,431902344,83.523,1.429,84.88,5,1
1785813652,498564941,83.522,1.165,84.617,5,1
1785813652,565226807,85.57,1.032,86.457,4,1
1785813652,631887939,82.206,9.625,91.712,5,1
1785813652,665218018,116.872,1.192,117.979,5,1
1785813652,731877930,96.465,2.308,98.655,5,1
1785813652,765207520,119.443,1.002,120.371,4,1
1785813652,831866211,105.764,1.498,107.161,5,1
1785813652,865195313,122.332,1.576,123.828,4,1
1785813652,931852539,115.614,1.082,116.62,5,1
1785813652,965181641,132.808,1.386,134.109,5,1
1785813653,31849121,122.272,1.137,123.328,5,1
1785813653,98515869,104.546,1.314,105.771,4,1
1785813653,131848877,123.764,1.141,124.824,5,1
1785813653,198514160,100.812,1.36,102.093,4,1
1785813653,231846436,117.189,1.245,118.351,5,1
1785813653,298510498,91.686,1.026,92.643,5,1
1785813653,365173828,87.136,0.876,87.945,4,1
1785813653,431836182,85.93,0.903,86.763,4,1
1785813653,498497803,86.109,0.909,86.947,4,1
1785813653,565158447,87.681,0.905,88.518,4,1
1785813653,631818359,85.625,4.817,90.332,4,1
1785813653,698477539,88.129,1.036,89.093,5,1
1785813653,765135742,85.773,0.942,86.647,5,1
1785813653,831792969,87.853,0.909,88.693,4,1
1785813653,898449463,88.336,0.99,89.257,5,1
1785813653,965105957,89.596,1.02,90.546,4,1
1785813654,31857666,91.899,0.966,92.792,4,1
1785813654,98611084,93.659,0.948,94.535,4,1
1785813654,165365723,87.614,0.936,88.482,5,1
