capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785813619,537820313,198.003,0.523,198.425,,133.276,0
1785813619,671096680,124.27,0.416,124.611,,33.319,0
1785813619,737733398,100.44,2321.551,2421.87,-33.318,33.318,1
1785813621,477761475,684.919,2.435,687.163,-1706.71,-1706.71,1
1785813621,544320068,630.98,2.767,633.568,532.693,532.693,1
1785813621,577597656,607.205,2.309,609.39,499.416,532.755,1
1785813621,644149902,546.088,2.763,548.728,432.864,466.202,1
1785813621,677424316,518.439,3.188,521.497,399.589,432.928,1
1785813621,743970215,459.11,2.953,461.929,333.043,366.382,1
1785813621,777241699,431.727,2.896,434.498,299.772,333.111,1
1785813621,843781006,371.288,2.657,373.824,233.232,266.571,1
1785813621,976996582,243.98,2.387,246.253,100.017,133.356,1
1785813622,10335449,215.999,3.74,219.615,66.678,100.017,1
1785813622,77013428,156.572,2.462,158.909,0.0,33.339,1
1785813622,143691162,152.143,2.073,154.118,0.0,66.677,1
1785813622,243707520,93.936,2.128,95.96,-33.339,-33.339,1
1785813622,310385254,91.59,2.221,93.707,0.0,33.339,1
1785813622,377062744,87.419,2.356,89.675,0.0,33.339,1
1785813622,443739990,86.957,2.093,88.95,0.0,33.339,1
1785813622,510417480,87.692,2.079,89.664,0.0,33.339,1
1785813622,577094727,86.41,2.073,88.382,0.0,33.339,1
1785813622,643771973,90.643,2.526,93.035,0.0,33.339,1
1785813622,710449219,87.607,2.374,89.865,0.0,33.339,1
1785813622,777126221,86.667,2.131,88.696,0.0,33.339,1
1785813622,843803223,86.281,2.113,88.291,0.0,33.339,1
1785813622,910480713,85.637,2.098,87.636,0.0,33.33,1
1785813622,977140381,89.364,2.144,91.409,0.0,33.329,1
1785813623,43798828,92.811,2.691,95.369,0.0,33.329,1
1785813623,77127441,114.614,2.31,116.8,0.0,0.0,1
1785813623,110455566,126.036,2.148,128.054,33.328,66.656,1
1785813623,177111084,97.171,2.985,99.967,0.0,33.327,1
1785813623,243765137,90.841,2.052,92.796,33.326,33.326,1
1785813623,310417725,87.587,2.092,89.576,0.0,33.326,1
1785813623,377069092,91.193,2.068,93.158,0.0,33.325,1
1785813623,443718994,87.97,2.094,89.963,0.0,33.324,1
1785813623,510367432,88.122,2.233,90.252,33.324,33.324,1
1785813623,577014404,89.891,2.119,91.914,0.0,33.323,1
1785813623,643660156,92.414,2.247,94.55,0.0,33.322,1
1785813623,710304443,89.047,2.099,91.024,0.0,33.322,1
1785813623,776947266,87.153,2.07,89.124,0.0,33.321,1
1785813623,843588623,88.02,2.302,90.216,0.0,33.32,1
1785813623,910229492,88.37,2.222,90.488,0.0,33.337,1
1785813623,976903320,86.337,2.29,88.528,0.0,33.336,1
1785813624,43575928,88.39,2.514,90.64,0.0,33.336,1
1785813624,110248047,90.165,2.215,92.26,0.0,33.336,1
1785813624,176919189,87.379,2.235,89.497,0.0,33.335,1
1785813624,243589600,86.534,2.159,88.597,0.0,33.335,1
1785813624,310259033,87.304,2.054,89.255,0.0,33.334,1
1785813624,376927734,87.707,2.047,89.653,0.0,33.334,1
1785813624,443595703,89.471,1.989,91.367,0.0,33.334,1
1785813624,510262939,87.088,2.124,89.11,33.333,33.333,1
1785813624,576929199,88.277,2.071,90.248,0.0,33.333,1
1785813624,643594482,90.766,2.284,92.947,0.0,33.333,1
1785813624,710259033,87.307,2.415,89.618,0.0,0.0,1
1785813624,776922852,90.895,3.05,93.822,0.0,33.332,1
1785813624,810254639,124.362,2.254,126.511,0.0,66.662,1
1785813624,876916992,93.247,2.149,95.296,0.0,33.332,1
1785813624,943588379,92.879,2.207,94.975,0.0,33.34,1
1785813625,10267334,91.201,2.207,93.298,0.0,33.339,1
1785813625,76945557,93.506,2.238,95.583,0.0,33.339,1
1785813625,143623291,89.023,2.157,91.077,0.0,33.339,1
1785813625,210300537,91.201,2.131,93.232,0.0,33.338,1
1785813625,276976807,88.451,2.099,90.405,0.0,33.338,1
1785813625,343652832,87.83,2.109,89.831,0.0,33.338,1
1785813625,410327881,89.933,2.083,91.912,-33.337,33.337,1
1785813625,477002441,91.653,2.084,93.639,0.0,33.337,1
1785813625,543676270,90.874,2.063,92.834,0.0,33.337,1
1785813625,610349609,90.939,2.425,93.117,0.0,33.336,1
1785813625,677022217,91.247,2.081,93.233,0.0,33.336,1
1785813625,743694336,88.562,2.146,90.615,0.0,33.336,1
1785813625,810365723,90.966,2.66,93.511,0.0,33.335,1
1785813625,843701172,111.405,2.554,113.844,0.0,33.335,1
1785813625,877036377,124.48,2.377,126.742,0.0,66.679,1
1785813625,943715576,106.154,2.598,108.61,0.0,0.0,1
1785813625,977059082,120.214,2.21,122.304,-33.344,33.344,1
1785813626,77089111,92.362,2.119,94.375,0.0,33.343,1
1785813626,143775391,88.757,2.055,90.714,0.0,33.343,1
1785813626,210460938,91.499,2.093,93.492,0.0,33.343,1
1785813626,277146240,90.763,2.103,92.766,0.0,33.343,1
1785813626,343831055,89.204,2.093,91.195,0.0,33.342,1
1785813626,410515381,89.191,2.344,91.435,0.0,33.342,1
1785813626,477199219,91.252,2.054,93.182,0.0,33.342,1
1785813626,543882813,91.626,2.108,93.633,0.0,33.342,1
1785813626,610565674,92.254,2.097,94.248,0.0,33.341,1
1785813626,677248291,91.956,2.417,94.262,0.0,33.341,1
1785813626,743930420,89.007,2.072,90.981,0.0,33.341,1
1785813626,810612061,90.193,2.149,92.238,0.0,33.341,1
1785813626,877293213,91.331,2.304,93.522,0.0,33.341,1
1785813626,944031250,89.819,2.305,92.012,0.0,33.398,1
1785813627,10827148,88.219,2.209,90.324,0.0,33.398,1
1785813627,77624023,96.961,2.357,99.203,0.0,33.399,1
1785813627,144422363,103.148,2.602,105.552,0.0,33.399,1
1785813627,244621582,89.322,2.037,91.256,0.0,33.4,1
1785813627,311422607,88.063,2.193,90.093,0.0,0.0,1
1785813627,378224854,91.292,2.111,93.304,33.401,33.401,1
1785813627,445028076,89.405,2.271,91.576,0.0,33.402,1
1785813627,511832520,89.222,2.168,91.294,0.0,33.403,1
1785813627,578638184,90.079,2.179,92.157,-33.403,33.403,1
1785813627,645444824,97.724,3.118,100.723,0.0,33.404,1
1785813627,678848633,127.509,2.769,130.15,0.0,66.809,1
1785813627,745657227,100.553,3.331,103.755,0.0,33.405,1
1785813627,812466797,92.575,3.247,95.713,0.0,33.405,1
1785813627,879277588,87.103,2.374,89.322,0.0,0.0,1
1785813627,946018555,86.542,2.294,88.717,33.336,33.336,1
1785813628,12690918,88.119,2.228,90.245,0.0,33.336,1
1785813628,79362549,90.357,2.13,92.384,0.0,33.335,1
1785813628,146033447,88.09,2.12,90.111,33.335,33.335,1
1785813628,212703613,87.88,2.702,90.392,-33.335,33.335,1
1785813628,279373047,88.941,2.168,90.974,0.0,33.334,1
1785813628,346041992,89.709,2.303,91.84,0.0,33.334,1
1785813628,412709961,92.593,2.172,94.648,0.0,33.334,1
1785813628,479377197,91.59,2.202,93.626,0.0,33.333,1
1785813628,546043701,90.773,2.083,92.763,0.0,33.333,1
1785813628,612709473,87.814,2.307,90.022,0.0,33.333,1
1785813628,679374512,87.751,2.269,89.913,33.332,33.332,1
1785813628,746039063,88.925,2.085,90.909,0.0,33.332,1
1785813628,812702637,87.925,2.238,89.89,0.0,33.332,1
1785813628,879365479,88.529,2.459,90.85,0.0,33.332,1
1785813628,946034668,85.944,2.39,88.215,-33.338,-33.338,1
1785813629,12709473,95.407,2.827,98.119,0.0,33.337,1
1785813629,79383545,99.445,3.16,102.479,0.0,33.337,1
1785813629,146057129,91.503,2.115,93.503,0.0,33.336,1
1785813629,212729736,87.69,2.25,89.744,0.0,33.336,1
1785813629,279401855,86.891,2.167,88.939,-33.336,-33.336,1
1785813629,346073242,88.584,2.097,90.577,0.0,0.0,1
1785813629,412744141,90.7,2.079,92.679,0.0,33.335,1
1785813629,479414063,89.37,2.129,91.401,0.0,33.335,1
1785813629,546083496,89.363,2.155,91.406,0.0,33.334,1
1785813629,612752197,91.737,2.012,93.642,0.0,33.334,1
1785813629,679420166,96.194,2.78,98.813,0.0,33.334,1
1785813629,712753906,114.771,2.596,117.239,0.0,66.667,1
1785813629,746087646,127.725,2.066,129.69,0.0,66.667,1
1785813629,846087402,90.533,2.042,92.437,0.0,33.333,1
1785813629,912753418,92.205,2.695,94.788,0.0,33.368,1
1785813629,946121094,114.719,2.312,116.921,0.0,66.736,1
1785813629,979489258,132.862,2.588,135.326,0.0,66.737,1
1785813630,12857422,162.659,2.32,164.86,0.0,100.107,1
1785813630,112964111,104.141,2.82,106.764,0.0,33.37,1
1785813630,179703369,93.918,2.215,96.031,0.0,33.37,1
1785813630,246443848,91.191,2.191,93.281,0.0,33.371,1
1785813630,313185547,88.69,2.068,90.651,0.0,33.371,1
1785813630,379928223,88.095,2.063,90.061,0.0,33.372,1
1785813630,446672119,89.165,2.14,91.205,0.0,33.372,1
1785813630,513417236,90.578,2.145,92.612,0.0,33.373,1
1785813630,580163574,90.0,2.022,91.928,0.0,33.374,1
1785813630,646910889,88.344,2.968,91.205,0.0,33.374,1
1785813630,713659424,90.03,2.081,92.013,0.0,33.375,1
1785813630,780409180,87.385,2.244,89.529,0.0,33.375,1
1785813630,847160156,87.058,2.121,89.078,-33.376,-33.376,1
1785813630,913911377,87.922,2.122,89.938,0.0,0.0,1
1785813630,980664307,89.37,2.577,91.841,0.0,33.377,1
1785813631,47418701,94.042,2.696,96.584,0.0,33.377,1
1785813631,114174316,89.468,2.17,91.536,0.0,33.378,1
1785813631,180931396,88.553,2.165,90.618,0.0,33.379,1
1785813631,247689941,88.543,2.036,90.479,0.0,33.38,1
1785813631,314449951,89.479,2.087,91.466,0.0,33.381,1
1785813631,414592773,87.266,2.068,89.233,0.0,33.382,1
1785813631,481356445,86.393,2.115,88.408,0.0,0.0,1
1785813631,548121338,90.798,2.072,92.77,0.0,33.383,1
1785813631,614887939,88.025,2.085,90.011,0.0,33.384,1
1785813631,681655762,92.611,2.39,94.898,-33.384,33.385,1
1785813631,748425293,87.77,2.267,89.926,0.0,33.385,1
1785813631,815196045,90.127,2.049,92.08,0.0,33.386,1
1785813631,881968262,88.75,2.029,90.676,0.0,33.386,1
1785813631,948701904,93.139,2.081,95.114,0.0,33.348,1
1785813632,15397217,91.654,2.176,93.658,0.0,33.347,1
