wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785813608.162,1,0.5086,0,2,65956,0,718,0.5485,0,2,44996,0,799,,,0.698,0,0,30196,0,699,0.5485,0,1,22364,0,817,0.7279,4,1,30512,0,675,0.0199,0,0,36932,0,112,0.7489,1.0,1.0,1.0,0.0,1987412,29359356,153328,1795,1200,1783,1784,1784,1785,855,1796,597,715,1199,1799,1249,0,857,856,853,1797,599,0,713,856,1795,1791,854,857,851,34894,32422,33977,15,1305,5016,6630000,0,,,,,,,,,,,
1785813609.211,2,0.0199,0,2,66064,0,718,0.5164,0,0,44996,0,1125,,,0.427,0,2,56008,0,1012,0.4866,0,0,44144,0,1077,0.566,0,1,46040,0,1043,0.0099,0,0,37064,0,112,0.7494,1.0,1.0,1.0,0.0,1931444,29359356,136588,1794,1200,1783,1784,1783,1784,854,1797,597,716,1197,1799,1250,0,858,860,856,1794,598,0,714,856,1795,1792,852,858,849,32935,33153,33588,15,1326,5017,6660000,0,,,,,,,,,,,
1785813610.24,3,0.0896,0,2,66064,0,724,0.3086,0,0,47548,0,1438,,,0.3882,0,2,58004,0,1762,0.3186,0,0,46332,0,1292,0.3783,0,1,46832,0,1305,0.01,0,2,37064,0,117,0.7512,1.0,1.0,1.0,0.0,1920264,29359356,131504,1794,1200,1783,1784,1783,1784,857,1797,597,718,1200,1799,1250,0,859,855,856,1798,599,0,717,856,1797,1793,856,858,865,34350,34101,34427,15,1331,5017,6680000,0,,,,,,,,,,,
1785813611.172,4,0.0,0,2,66064,0,724,0.6148,0,1,52292,0,1915,,,0.0806,0,2,58004,0,1819,0.4536,0,2,48972,0,1700,0.504,0,0,48224,0,1635,0.0,0,2,37064,0,117,0.7507,1.0,1.0,1.0,0.0,1909344,29359356,126064,1793,1198,1783,1783,1783,1783,854,1794,597,717,1196,1800,1251,0,857,856,852,1795,599,0,715,854,1793,1790,856,857,858,32889,33666,32236,15,1360,5017,6820000,0,,,,,,,,,,,
1785813612.118,5,0.0301,0,2,66192,0,726,0.8715,0,1,65004,0,2822,,,0.02,0,2,58132,0,1819,0.7913,0,1,74176,0,3027,0.8414,0,2,74592,0,2469,0.0401,0,1,37196,0,117,0.7347,0.9691,0.9898,0.9898,0.0,1869788,29359356,106348,1794,1200,1783,1783,1783,1784,854,1796,597,717,1197,1799,1249,0,857,859,858,1797,598,0,713,856,1798,1791,852,856,861,33417,32453,33230,15,1258,5017,6140000,0,45548,48821,41453,53442,53868,26195,,,,,
1785813613.129,6,0.0,0,2,66192,0,726,1.1364,0,2,107632,0,3087,,,0.0099,0,2,58296,0,1819,0.0099,0,1,74176,0,3030,0.0198,0,2,74888,0,2469,0.0,0,1,37368,0,117,0.3429,0.2211,0.1458,1.0,0.0,1853664,29359356,98412,1793,1199,1782,1783,1783,1784,855,1797,597,717,1196,1801,1251,1,857,855,859,1799,599,0,716,856,1798,1792,855,857,860,33122,32111,32686,15,1252,5017,6280000,0,,,,,,,,,,,
1785813614.155,7,0.0877,0,2,66364,0,731,0.9748,0,0,131212,0,3736,,,0.0,0,2,58296,0,1819,0.0097,0,0,74176,0,3036,0.0,0,2,74888,0,2471,0.0195,0,1,37368,0,117,0.3654,0.2121,0.6699,0.57,0.0,1857396,29359356,99512,1794,1199,1782,1783,1783,1784,855,1797,597,715,1198,1799,1250,0,856,857,853,1800,599,0,714,856,1797,1789,851,857,849,32966,32111,32702,15,1265,5017,6350000,0,,,,,,,,,,,
1785813615.139,8,0.4401,0,1,92592,0,763,0.8905,0,0,160548,0,5229,,,0.0409,0,2,58404,0,1819,0.2252,0,2,86732,0,3241,0.0512,0,2,75144,0,2486,0.0614,0,1,37480,0,148,0.5323,0.8854,0.5053,0.7551,0.0,1791548,29359356,69932,1794,1198,1783,1783,1783,1784,855,1796,597,718,1202,1800,1249,0,859,855,853,1796,599,0,714,857,1796,1791,857,857,856,31847,34769,33028,15,1300,5017,6530000,0,,,,,,,,,,,
1785813616.13,9,0.3551,0,1,93912,0,763,0.0406,0,0,160552,0,5229,,41692,0.0,0,2,58404,0,1819,0.3246,0,2,96524,0,3803,0.0101,0,2,75144,0,2486,0.0,0,1,37480,0,148,0.4898,0.8889,0.5408,0.5306,0.0,1773664,29359356,61352,1795,1199,1783,1783,1783,1784,854,1796,597,716,1195,1799,1248,0,857,862,854,1797,599,0,712,856,1796,1793,856,856,848,33246,33277,33417,15,1295,5016,6500000,0,,,,,,,,1,0,1466,
1785813617.129,10,0.3306,0,1,93912,0,763,0.0401,0,0,160552,0,5229,1.0218,51760,0.0,0,2,58404,0,1819,0.1603,0,2,95064,0,3880,0.0,0,2,75144,0,2486,0.0,0,1,37480,0,148,0.4554,0.31,1.0,0.5,0.0,1772620,29359356,60836,1794,1197,1783,1784,1783,1783,855,1797,597,717,1198,1800,1250,0,857,856,859,1797,600,0,714,856,1797,1793,857,857,861,34039,33479,32142,15,1243,5017,6240000,0,67398,112433,41143,72611,53144,26006,0,1,0,1614,26772
