capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785812492,197700684,186.798,5.12,,,0
1785812492,297738037,128.199,0.686,,37.008,0
1785812492,364429443,2472.558,6.122,2478.658,2416.484,1
1785812494,133114502,723.906,0.759,724.642,14.672,1
1785812494,199817139,674.158,0.887,675.024,17.079,1
1785812494,266519287,640.751,0.812,641.535,33.218,1
1785812494,333221191,577.825,0.549,578.354,3.524,1
1785812494,399923096,514.626,0.574,515.166,3.516,1
1785812494,466624756,453.365,3.016,456.371,7.883,1
1785812494,533325928,397.357,0.687,398.021,8.367,1
1785812494,600027100,347.087,0.806,347.876,16.554,1
1785812494,666728027,293.511,1.391,294.872,13.699,1
1785812494,700078369,287.27,0.724,287.972,26.451,1
1785812494,766779053,227.682,1.007,228.669,7.388,1
1785812494,833479492,200.731,0.638,201.351,39.396,1
1785812494,900179688,146.963,0.874,147.812,13.157,1
1785812494,933529785,133.848,0.687,134.515,20.055,1
1785812494,967003174,162.103,0.754,162.834,61.797,1
1785812495,33953369,160.435,0.763,161.182,65.292,1
1785812495,100908203,132.054,0.684,132.726,38.497,1
1785812495,134387451,150.876,0.631,151.485,52.247,1
1785812495,201349121,130.378,0.682,131.037,46.513,1
1785812495,268315918,110.501,0.864,111.349,47.263,1
1785812495,301800781,139.212,1.398,140.114,62.257,1
1785812495,335287109,153.308,0.618,153.903,47.284,1
1785812495,402262939,149.517,0.716,150.207,63.282,1
1785812495,469243652,132.13,0.722,132.831,49.601,1
1785812495,536229004,130.171,0.748,130.895,65.048,1
1785812495,603218994,113.867,0.663,114.504,50.601,1
1785812495,636715820,136.241,0.662,136.88,55.874,1
1785812495,703712891,172.967,0.692,173.63,103.744,1
1785812495,770714600,138.855,0.793,139.61,32.98,1
1785812495,837720947,116.414,0.723,117.115,44.514,1
1785812495,871226074,129.271,0.816,130.071,46.457,1
1785812495,938236084,119.031,3.491,122.508,59.436,1
1785812495,971606445,138.307,0.847,139.121,49.992,1
1785812496,38265381,157.955,0.704,158.629,86.176,1
1785812496,71594238,159.892,0.637,160.506,35.207,1
1785812496,138250732,158.592,0.595,159.162,65.314,1
1785812496,204905762,162.299,0.662,162.941,70.428,1
1785812496,304885254,127.205,0.638,127.818,64.859,1
1785812496,338211182,304.656,0.989,305.637,211.126,1
1785812496,438186279,235.211,0.71,235.895,30.251,1
1785812496,604803955,140.04,0.64,140.658,71.382,1
1785812496,671448486,134.801,0.707,135.484,61.469,1
1785812496,704770020,177.062,0.733,177.769,75.61,1
1785812496,771412109,157.573,0.817,158.375,47.236,1
1785812496,838052734,148.43,0.579,148.986,57.264,1
1785812496,904691895,126.006,0.703,126.687,44.334,1
1785812496,938010986,132.821,0.581,133.382,40.019,1
1785812497,71335449,109.635,0.683,110.303,110.24,1
1785812497,138004150,147.357,0.708,148.036,104.406,1
1785812497,171337891,149.767,1.506,151.2,36.475,1
