stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785812492,197700684,1785812492,197700684,,1,848,480,79.69,78.937,16.36,62.577,22.905,10.059,25.183,4.429,39.671,0.747,0.007,77.555,157.259
1785812492,297738037,1785812492,297738037,65.025,1,848,480,56.353,55.762,2.57,53.192,19.879,9.663,17.043,6.607,33.313,0.585,0.006,65.875,122.245
1785812492,364429443,1785812492,364429443,43.935,1,848,480,43.468,42.788,3.308,39.48,7.106,12.829,17.024,2.521,32.374,0.672,0.007,55.99,99.495
1785812492,431120850,1785812492,431120850,63.267,1,848,480,42.081,41.412,4.376,37.036,6.804,9.799,17.438,2.994,30.232,0.661,0.008,53.969,96.076
1785812492,497812012,1785812492,497812012,59.913,1,848,480,38.522,37.789,2.119,35.67,6.59,8.583,17.486,3.011,29.08,0.725,0.008,50.752,89.294
1785812492,564503174,1785812492,564503174,66.449,1,848,480,42.463,41.673,1.831,39.842,6.86,8.459,18.024,6.499,32.982,0.782,0.008,46.563,89.059
1785812492,631194092,1785812492,631194092,65.143,1,848,480,40.769,39.873,1.686,38.187,7.919,8.727,17.561,3.98,30.268,0.888,0.008,46.711,87.514
1785812492,697885010,1785812492,697885010,66.335,1,848,480,40.558,39.806,1.325,38.481,10.021,8.472,17.171,2.817,28.46,0.745,0.007,46.568,87.149
1785812492,764575928,1785812492,764575928,77.089,1,848,480,47.944,47.003,0.955,46.047,17.408,8.203,17.422,3.014,28.639,0.931,0.01,49.578,97.561
1785812492,797921387,1785812492,797921387,46.997,1,848,480,44.981,43.487,1.15,42.337,7.552,14.551,17.129,3.105,34.785,1.481,0.013,66.195,111.234
1785812492,831266602,1785812492,831266602,42.738,1,848,480,41.788,41.074,3.933,37.141,8.165,8.524,17.277,3.175,28.976,0.707,0.008,78.778,120.593
1785812492,931302490,1785812492,931302490,66.851,1,848,480,38.151,37.345,2.058,35.287,6.336,8.509,17.222,3.22,28.951,0.798,0.008,49.235,87.47
1785812492,998060791,1785812492,998060791,115.046,1,848,480,84.354,83.559,1.012,82.546,20.417,39.774,18.945,3.41,62.129,0.787,0.009,51.319,135.698
1785812493,64822266,1785812493,64822266,60.774,1,848,480,60.231,59.507,4.217,55.289,8.321,20.547,23.681,2.741,46.968,0.716,0.008,69.437,129.718
1785812493,98204102,1785812493,98204102,56.006,1,848,480,54.49,53.076,3.726,49.35,19.005,10.079,17.381,2.885,30.345,1.403,0.01,97.815,152.346
1785812493,164970215,1785812493,164970215,54.631,1,848,480,54.139,53.336,1.049,52.287,14.756,15.327,17.9,4.305,37.532,0.794,0.008,86.018,140.203
1785812493,198354492,1785812493,198354492,65.549,1,848,480,60.306,59.353,15.042,44.312,13.342,10.768,16.805,3.396,30.969,0.944,0.008,112.035,172.367
1785812493,298511963,1785812493,298511963,49.084,1,848,480,42.393,41.492,2.521,38.971,7.187,10.353,18.312,3.119,31.784,0.893,0.008,78.873,121.289
1785812493,398676758,1785812493,398676758,67.236,1,848,480,41.651,40.886,2.071,38.815,7.799,8.185,20.046,2.785,31.015,0.758,0.007,46.682,88.356
1785812493,465457031,1785812493,465457031,66.817,1,848,480,39.523,38.8,1.794,37.006,8.319,8.667,17.289,2.73,28.686,0.716,0.007,48.887,88.394
