capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785812492,197700684,159.034,14.869,164.431,1,0
1785812492,297738037,123.733,0.862,124.516,1,0
1785812492,364429443,101.042,9.282,110.189,1,1
1785812492,431120850,97.642,0.958,98.526,1,1
1785812492,497812012,90.572,0.833,91.335,1,1
1785812492,564503174,90.442,0.889,91.26,1,1
1785812492,631194092,88.748,0.843,89.521,1,1
1785812492,697885010,88.443,0.801,89.175,1,1
1785812492,764575928,99.25,1.036,100.205,1,1
1785812492,797921387,112.85,1.029,113.803,1,1
1785812492,831266602,122.173,0.974,123.027,1,1
1785812492,931302490,88.872,0.958,89.757,1,1
1785812492,998060791,137.318,1.007,138.245,1,1
1785812493,64822266,131.151,1.013,132.089,1,1
1785812493,98204102,153.854,0.902,154.68,1,1
1785812493,164970215,144.265,1.772,145.93,1,1
1785812493,198354492,173.783,0.895,174.604,1,1
1785812493,298511963,122.783,0.972,123.681,1,1
1785812493,398676758,89.878,7.488,97.238,1,1
1785812493,465457031,89.846,0.878,90.651,1,1
1785812493,532240479,98.289,0.919,99.118,1,1
1785812493,599027100,97.55,1.105,98.574,1,1
1785812493,632421387,110.856,0.958,111.739,1,1
1785812493,665816650,125.791,1.0,126.714,1,1
1785812493,732609619,97.988,1.003,98.767,1,1
1785812493,799405762,106.606,0.869,107.402,1,1
1785812493,832804932,121.985,2.564,124.473,1,1
1785812493,899605713,106.82,0.877,107.606,1,1
1785812493,933006104,139.331,0.954,140.206,1,1
1785812493,999708984,133.697,1.148,134.767,1,1
1785812494,66411865,124.753,1.333,126.012,1,1
1785812494,133114502,125.639,1.268,126.625,1,1
1785812494,199817139,97.273,0.967,98.092,1,1
1785812494,266519287,86.69,0.906,87.518,1,1
1785812494,333221191,85.522,0.843,86.295,1,1
1785812494,399923096,86.294,1.025,87.248,1,1
1785812494,466624756,87.407,8.216,95.503,1,1
1785812494,533325928,87.823,1.628,89.378,1,1
1785812494,600027100,87.892,1.287,89.101,1,1
1785812494,666728027,101.19,7.256,108.34,1,1
1785812494,700078369,128.595,1.913,129.527,1,1
1785812494,766779053,144.662,4.632,149.2,1,1
1785812494,833479492,129.546,1.369,130.754,1,1
1785812494,900179688,113.287,4.817,117.071,1,1
1785812494,933529785,124.457,1.233,125.607,1,1
1785812494,967003174,144.174,1.294,145.258,1,1
1785812495,33953369,129.563,1.029,130.504,1,1
1785812495,100908203,104.123,7.792,111.826,1,1
1785812495,134387451,128.85,1.63,130.325,1,1
1785812495,201349121,118.105,1.257,119.278,1,1
1785812495,268315918,94.575,1.108,95.607,1,1
1785812495,301800781,122.375,3.805,126.095,1,1
1785812495,335287109,143.227,3.402,146.554,1,1
1785812495,402262939,131.665,1.029,132.609,1,1
1785812495,469243652,123.396,11.935,135.209,1,1
1785812495,536229004,120.364,0.966,121.253,1,1
1785812495,603218994,104.745,3.69,108.358,1,1
1785812495,636715820,125.262,4.892,129.997,1,1
1785812495,703712891,123.463,1.107,124.493,1,1
1785812495,770714600,118.533,1.3,119.756,1,1
1785812495,837720947,103.774,1.147,104.842,1,1
1785812495,871226074,121.86,0.952,122.733,1,1
1785812495,938236084,111.736,1.077,112.739,1,1
1785812495,971606445,130.368,1.037,131.328,1,1
1785812496,38265381,134.787,1.139,135.836,1,1
1785812496,71594238,148.138,1.068,149.124,1,1
1785812496,138250732,133.273,1.034,134.224,1,1
1785812496,204905762,151.744,0.99,152.653,1,1
1785812496,304885254,114.108,1.383,115.381,1,1
1785812496,338211182,233.949,32.456,266.257,1,1
1785812496,438186279,224.191,2.369,226.48,1,1
1785812496,604803955,125.693,3.268,128.875,1,1
1785812496,671448486,110.23,1.11,111.263,1,1
1785812496,704770020,160.611,0.982,161.516,1,1
1785812496,771412109,147.823,1.361,149.102,1,1
1785812496,838052734,132.159,1.111,133.191,1,1
1785812496,904691895,116.155,1.114,117.193,1,1
1785812496,938010986,126.865,0.893,127.684,1,1
1785812497,71335449,94.86,7.722,102.504,1,1
1785812497,138004150,109.387,1.124,110.425,1,1
1785812497,171337891,125.484,1.001,126.402,1,1
1785812497,238004883,98.155,0.998,99.081,1,1
1785812497,304670898,86.233,0.878,87.037,1,1
1785812497,371335693,81.923,0.846,82.697,1,1
1785812497,437999512,82.559,0.804,83.292,1,1
1785812497,504662354,82.248,0.798,82.976,1,1
1785812497,571323975,84.301,6.048,89.003,1,1
1785812497,637984619,81.541,0.794,82.265,1,1
1785812497,704644043,83.339,0.968,84.231,1,1
1785812497,771302734,87.464,0.863,88.254,1,1
1785812497,837960205,102.108,1.207,103.224,1,1
1785812497,871288330,119.953,1.04,120.912,1,1
1785812497,937944336,94.048,0.813,94.791,1,1
1785812498,37952881,86.938,0.786,87.654,1,1
1785812498,104632568,87.081,0.799,87.811,1,1
1785812498,171311279,83.49,0.864,84.284,1,1
1785812498,237989502,82.75,0.784,83.465,1,1
1785812498,304666748,86.582,0.788,87.3,1,1
1785812498,371343262,87.686,0.981,88.592,1,1
1785812498,404681396,114.999,1.036,115.962,1,1
1785812498,471356934,86.455,0.821,87.206,1,1
1785812498,538031738,83.922,0.792,84.644,1,1
1785812498,604705566,82.1,7.479,89.473,1,1
1785812498,671378906,84.209,0.954,85.087,1,1
1785812498,738051514,93.234,1.079,94.23,1,1
1785812498,771387451,106.284,1.17,107.371,1,1
1785812498,804723389,128.568,1.082,129.566,1,1
1785812498,871394287,122.933,1.085,123.94,1,1
1785812498,938064697,99.786,1.021,100.73,1,1
1785812498,971400146,121.556,0.982,122.459,1,1
1785812499,38264160,107.683,1.218,108.823,1,1
1785812499,71696777,128.811,1.257,129.99,1,1
1785812499,138563721,121.849,1.11,122.88,1,1
1785812499,205432617,100.7,1.144,101.764,1,1
1785812499,238867676,116.985,1.12,118.026,1,1
1785812499,305739746,92.928,0.843,93.691,1,1
1785812499,372613525,85.503,0.935,86.365,1,1
1785812499,439489502,85.54,0.863,86.334,1,1
1785812499,506367676,82.497,0.794,83.22,1,1
1785812499,573247559,80.696,0.8,81.426,1,1
1785812499,640129639,83.87,6.639,90.406,1,1
1785812499,707013672,84.391,1.026,85.345,1,1
1785812499,773899658,83.808,0.893,84.612,1,1
1785812499,840787598,81.086,0.768,81.785,1,1
1785812499,907677734,80.38,0.813,81.123,1,1
1785812499,974567871,84.666,0.985,85.579,1,1
1785812500,41399902,81.39,0.796,82.103,1,1
1785812500,108233398,83.553,0.793,84.262,1,1
1785812500,175068115,83.201,0.841,83.969,1,1
1785812500,241904297,79.87,1.296,81.088,1,1
1785812500,308741699,78.367,0.794,79.091,1,1
1785812500,375580322,82.968,0.809,83.663,1,1
1785812500,442420410,79.479,0.899,80.306,1,1
1785812500,509261719,79.779,0.762,80.472,1,1
1785812500,576104248,80.249,0.868,81.043,1,1
1785812500,642948242,78.884,0.798,79.614,1,1
1785812500,709793457,78.351,10.927,89.157,1,1
1785812500,776640137,83.576,1.057,84.461,1,1
1785812500,843488037,81.01,0.774,81.714,1,1
1785812500,910337158,80.243,0.883,81.035,1,1
1785812500,977186279,82.032,1.248,83.205,1,1
1785812501,43831787,79.961,1.054,80.94,1,1
1785812501,110476074,79.158,0.806,79.894,1,1
1785812501,177118896,80.876,0.8,81.604,1,1
1785812501,243760498,80.53,0.796,81.256,1,1
1785812501,310400635,78.973,0.918,79.819,1,1
1785812501,377039551,79.274,0.838,80.041,1,1
1785812501,443677002,81.09,1.003,82.02,1,1
1785812501,510313232,78.871,0.877,79.678,1,1
1785812501,576948242,84.536,0.978,85.444,1,1
1785812501,643581787,90.105,0.853,90.884,1,1
1785812501,676897949,113.833,8.965,122.659,1,1
1785812501,743529541,98.063,1.031,99.016,1,1
1785812501,776844971,118.045,0.985,118.954,1,1
1785812501,843474365,90.39,0.856,91.174,1,1
1785812501,910102783,83.586,0.808,84.321,1,1
1785812501,976730957,81.083,1.306,82.305,1,1
1785812502,43383057,83.981,0.818,84.73,1,1
1785812502,110034180,81.369,0.801,82.101,1,1
1785812502,176684326,81.35,0.865,82.144,1,1
1785812502,243333252,83.499,0.8,84.229,1,1
1785812502,309980713,79.458,0.817,80.185,1,1
1785812502,376627441,80.155,0.803,80.888,1,1
1785812502,443272705,81.188,0.775,81.893,1,1
1785812502,509916992,79.73,0.916,80.573,1,1
1785812502,576560059,83.257,0.794,83.98,1,1
1785812502,643202148,80.039,0.934,80.901,1,1
1785812502,709842773,80.735,0.792,81.457,1,1
1785812502,776482422,80.863,8.822,89.571,1,1
1785812502,843121094,86.078,2.876,88.761,1,1
1785812502,909758301,83.726,0.794,84.451,1,1
1785812502,976395508,92.064,1.118,92.968,1,1
1785812503,43197266,115.058,1.09,116.069,1,1
1785812503,110080322,102.5,1.678,104.095,1,1
1785812503,143522705,117.991,0.966,118.86,1,1
1785812503,210410156,89.028,0.787,89.732,1,1
1785812503,277300293,77.968,0.785,78.685,1,1
1785812503,344193604,80.865,0.811,81.605,1,1
1785812503,411089600,83.374,0.868,84.173,1,1
1785812503,477988525,82.08,6.172,88.142,1,1
1785812503,544890625,79.147,0.863,79.935,1,1
1785812503,611795410,79.762,0.864,80.554,1,1
1785812503,678703125,82.675,0.801,83.407,1,1
1785812503,745613770,81.696,0.796,82.422,1,1
1785812503,812527344,81.662,7.037,88.593,1,1
1785812503,879443848,82.675,0.806,83.411,1,1
1785812503,946363281,83.377,0.901,84.127,1,1
1785812503,979823975,115.364,1.027,116.315,1,1
1785812504,46610596,96.496,7.358,103.748,1,1
1785812504,79937744,123.91,0.897,124.731,1,1
1785812504,146591064,110.217,1.249,111.375,1,1
1785812504,213243408,89.535,3.048,92.511,1,1
1785812504,246569092,110.223,1.195,111.237,1,1
1785812504,279894531,126.825,1.344,128.091,1,1
1785812504,346544678,105.31,1.336,106.554,1,1
1785812504,413193848,92.234,0.903,93.048,1,1
1785812504,479842041,81.3,1.326,82.396,1,1
1785812504,546489014,80.179,0.893,80.999,1,1
1785812504,579812012,96.788,0.966,97.675,1,1
1785812504,679779785,79.548,0.989,80.464,1,1
1785812504,746423584,81.088,0.902,81.915,1,1
1785812504,813066406,83.042,6.78,89.705,1,1
1785812504,879708252,79.455,0.924,80.305,1,1
1785812504,946348877,84.373,0.896,85.197,1,1
1785812505,12989746,91.493,1.164,92.571,1,1
1785812505,46393555,115.933,0.918,116.777,1,1
1785812505,113202148,89.792,0.831,90.553,1,1
1785812505,180011719,86.048,0.873,86.849,1,1
1785812505,246822266,82.857,0.872,83.658,1,1
1785812505,313633545,92.228,1.08,93.227,1,1
1785812505,347039551,116.905,1.043,117.817,1,1
1785812505,413852295,102.042,1.87,103.828,1,1
1785812505,447259033,117.182,0.868,117.98,1,1
1785812505,547480469,83.376,1.009,84.186,1,1
1785812505,580887939,100.632,1.254,101.808,1,1
1785812505,647703857,84.606,0.822,85.358,1,1
1785812505,714520752,79.283,0.835,80.045,1,1
1785812505,781338379,83.675,0.996,84.594,1,1
1785812505,848156982,80.199,4.243,84.323,1,1
1785812505,914976563,78.594,0.828,79.35,1,1
1785812505,981796875,89.604,1.154,90.539,1,1
1785812506,15206543,111.729,1.038,112.689,1,1
1785812506,82005127,91.833,1.252,93.013,1,1
1785812506,115404541,104.967,1.093,105.98,1,1
1785812506,148804199,117.868,1.129,118.919,1,1
1785812506,215604004,92.202,1.008,93.135,1,1
1785812506,282404785,86.357,0.774,87.061,1,1
1785812506,349206055,82.105,1.14,83.154,1,1
1785812506,416008057,79.263,0.867,80.056,1,1
1785812506,516212402,77.424,0.771,78.124,1,1
