capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785812492,197700684,165.723,0.519,166.13,,100.037,0
1785812492,297738037,125.732,0.475,126.122,,66.691,0
1785812492,364429443,103.104,2366.938,2469.89,0.0,33.346,1
1785812494,133114502,704.685,7.85,711.313,-1735.339,-1735.339,1
1785812494,199817139,668.611,2.973,671.452,533.612,533.612,1
1785812494,266519287,615.84,4.483,620.174,466.909,533.61,1
1785812494,333221191,561.525,2.502,563.906,400.208,466.908,1
1785812494,399923096,509.625,2.217,511.735,333.506,433.556,1
1785812494,466624756,447.899,2.066,449.859,266.804,366.855,1
1785812494,533325928,386.145,4.722,390.658,200.103,300.154,1
1785812494,600027100,340.577,3.673,344.09,133.402,233.452,1
1785812494,666728027,284.389,6.973,291.242,66.701,200.102,1
1785812494,700078369,270.725,14.264,284.596,33.35,166.751,1
1785812494,766779053,221.562,3.607,224.989,-33.35,100.051,1
1785812494,833479492,196.026,2.815,198.708,0.0,100.05,1
1785812494,900179688,140.573,4.173,144.582,33.35,33.35,1
1785812494,933529785,126.947,4.406,131.231,0.0,33.473,1
1785812494,967003174,156.968,3.063,159.901,0.0,66.95,1
1785812495,33953369,147.876,4.073,151.428,0.0,66.955,1
1785812495,100908203,114.405,12.674,126.956,0.0,33.479,1
1785812495,134387451,146.325,2.43,148.626,0.0,66.962,1
1785812495,201349121,125.617,2.028,127.542,0.0,66.967,1
1785812495,268315918,102.345,6.235,107.913,0.0,33.485,1
1785812495,301800781,128.507,4.943,133.316,0.0,33.486,1
1785812495,335287109,147.671,2.329,149.876,0.0,66.976,1
1785812495,402262939,135.294,7.683,142.855,0.0,66.981,1
1785812495,469243652,127.116,2.799,129.794,0.0,66.985,1
1785812495,536229004,123.886,3.27,126.984,0.0,66.99,1
1785812495,603218994,109.469,2.477,111.71,0.0,33.497,1
1785812495,636715820,128.148,4.137,132.163,0.0,66.997,1
1785812495,703712891,128.904,36.602,141.791,0.0,67.002,1
1785812495,770714600,132.134,3.059,135.053,0.0,33.503,1
1785812495,837720947,107.984,5.429,113.264,0.0,0.0,1
1785812495,871226074,123.873,3.089,126.838,-33.505,67.01,1
1785812495,938236084,113.906,2.54,116.326,0.0,33.37,1
1785812495,971606445,132.55,3.037,135.405,0.0,66.659,1
1785812496,38265381,149.43,3.773,153.065,0.0,66.657,1
1785812496,71594238,154.701,3.166,157.734,0.0,99.984,1
1785812496,138250732,142.543,13.837,156.227,0.0,66.655,1
1785812496,204905762,156.889,2.338,159.12,0.0,66.653,1
1785812496,304885254,117.713,5.494,123.076,33.326,33.326,1
1785812496,338211182,281.723,11.681,293.255,0.0,166.623,1
1785812496,438186279,230.458,2.381,232.708,0.0,133.295,1
1785812496,604803955,130.904,6.451,137.227,33.323,33.323,1
1785812496,671448486,130.158,2.463,132.481,0.0,66.643,1
1785812496,704770020,169.357,5.606,174.832,33.321,99.963,1
1785812496,771412109,152.666,2.592,155.124,0.0,66.641,1
1785812496,838052734,143.827,2.428,146.118,0.0,66.639,1
1785812496,904691895,118.23,5.336,123.434,0.0,33.319,1
1785812496,938010986,128.765,2.19,130.843,0.0,66.655,1
1785812497,71335449,103.864,3.729,107.464,0.0,0.0,1
1785812497,138004150,124.041,4.475,128.393,0.0,66.667,1
1785812497,171337891,129.643,14.511,143.993,0.0,66.667,1
1785812497,238004883,103.172,6.054,109.085,0.0,33.333,1
1785812497,304670898,88.262,3.518,91.581,0.0,0.0,1
1785812497,371335693,83.685,2.318,85.883,0.0,33.332,1
1785812497,437999512,84.393,2.202,86.395,0.0,33.332,1
1785812497,504662354,84.075,2.19,86.092,0.0,33.331,1
1785812497,571323975,86.669,2.909,89.466,0.0,0.0,1
1785812497,637984619,83.28,2.105,85.285,33.33,33.33,1
1785812497,704644043,89.074,2.321,91.289,-33.33,33.33,1
1785812497,771302734,91.704,2.594,94.182,0.0,0.0,1
1785812497,837960205,107.673,3.538,111.075,0.0,33.328,1
1785812497,871288330,123.863,2.541,126.278,0.0,66.656,1
1785812497,937944336,95.877,2.438,98.192,0.0,0.0,1
1785812498,37952881,88.773,2.094,90.764,33.34,33.34,1
1785812498,104632568,88.98,2.131,91.007,0.0,33.339,1
1785812498,171311279,85.32,2.133,87.351,0.0,0.0,1
1785812498,237989502,86.348,2.022,88.275,0.0,0.0,1
1785812498,304666748,88.398,2.269,90.55,0.0,33.338,1
1785812498,371343262,89.711,2.635,92.224,0.0,33.338,1
1785812498,404681396,118.358,2.889,121.109,0.0,33.338,1
1785812498,471356934,88.32,2.289,90.44,33.337,33.337,1
1785812498,538031738,85.757,2.173,87.827,0.0,33.337,1
1785812498,604705566,83.885,2.105,85.883,-33.337,33.337,1
1785812498,671378906,86.48,2.359,88.591,0.0,33.336,1
1785812498,738051514,102.366,10.412,112.648,0.0,33.336,1
1785812498,771387451,126.635,2.778,129.284,0.0,33.336,1
1785812498,804723389,131.498,4.048,135.373,0.0,33.335,1
1785812498,871394287,126.754,2.753,129.393,0.0,66.67,1
1785812498,938064697,110.775,2.991,113.646,0.0,33.335,1
1785812498,971400146,126.689,2.32,128.883,0.0,33.432,1
1785812499,38264160,112.223,2.893,114.969,-33.432,33.433,1
1785812499,71696777,131.212,2.609,133.618,0.0,66.867,1
1785812499,138563721,124.923,4.551,129.342,0.0,66.869,1
1785812499,205432617,104.562,4.282,108.661,0.0,33.435,1
1785812499,238867676,119.13,2.115,121.141,0.0,66.872,1
1785812499,305739746,94.911,2.354,97.14,0.0,33.437,1
1785812499,372613525,89.095,2.116,91.105,0.0,33.438,1
1785812499,439489502,87.376,2.161,89.373,0.0,33.439,1
1785812499,506367676,84.338,2.145,86.379,0.0,33.44,1
1785812499,573247559,82.505,2.008,84.414,0.0,0.0,1
1785812499,640129639,85.7,2.109,87.694,0.0,33.442,1
1785812499,707013672,88.567,1.968,90.442,0.0,33.443,1
1785812499,773899658,87.684,2.146,89.718,0.0,33.444,1
1785812499,840787598,82.97,2.084,84.953,0.0,33.445,1
1785812499,907677734,82.095,2.259,84.255,-33.445,33.446,1
1785812499,974567871,86.965,2.831,89.638,33.416,33.416,1
1785812500,41399902,83.137,2.075,85.074,-33.416,33.417,1
1785812500,108233398,85.36,2.025,87.286,0.0,33.417,1
1785812500,175068115,85.064,2.088,87.05,0.0,33.418,1
1785812500,241904297,82.565,2.147,84.598,0.0,33.418,1
1785812500,308741699,80.115,2.111,82.12,0.0,0.0,1
1785812500,375580322,84.755,2.225,86.877,0.0,33.42,1
1785812500,442420410,81.473,2.603,83.96,0.0,33.42,1
1785812500,509261719,81.476,2.229,83.604,0.0,33.421,1
1785812500,576104248,82.073,2.04,84.009,0.0,33.422,1
1785812500,642948242,80.602,2.144,82.631,-33.422,33.422,1
1785812500,709793457,80.409,2.313,82.599,-33.423,33.423,1
1785812500,776640137,86.15,2.448,88.472,0.0,33.424,1
1785812500,843488037,82.747,2.211,84.785,0.0,33.424,1
1785812500,910337158,82.382,2.455,84.734,0.0,0.0,1
1785812500,977186279,84.13,2.43,86.445,0.0,33.323,1
1785812501,43831787,81.75,2.22,83.858,0.0,33.322,1
1785812501,110476074,80.938,2.12,82.915,0.0,33.322,1
1785812501,177118896,82.655,2.589,85.119,0.0,33.321,1
1785812501,243760498,82.348,2.176,84.332,0.0,33.32,1
1785812501,310400635,80.767,2.339,83.003,0.0,33.32,1
1785812501,377039551,81.029,2.265,83.181,0.0,33.319,1
1785812501,443677002,85.44,2.225,87.543,0.0,33.318,1
