wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785812480.102,1,0.5584,0,0,65788,0,963,0.5284,1,1,44984,0,670,,,0.5384,0,0,29696,0,632,0.5284,0,2,28172,0,574,0.5484,0,2,22868,0,483,0.0199,0,0,36728,0,264,0.7506,1.0,1.0,1.0,0.0,1999080,29359356,146504,1795,1197,1783,1784,1783,1785,855,1796,597,716,1199,1800,1249,0,857,862,857,1800,599,0,717,857,1800,1792,863,857,852,31536,31101,31132,15,1307,5017,6580000,0,,,,,,,,,,,
1785812481.161,2,0.0199,0,0,66032,0,963,0.4986,0,1,46068,0,1008,,,0.5784,0,0,56124,0,1108,0.5285,0,2,45948,0,890,0.3989,0,2,37888,0,767,0.0,0,0,36956,0,264,0.7494,1.0,1.0,1.0,0.0,1947880,29359356,121332,1794,1200,1783,1784,1782,1783,853,1798,597,718,1197,1800,1250,1,859,858,858,1799,599,0,715,855,1800,1793,858,858,853,32453,32982,30573,15,1327,5016,6660000,0,,,,,,,,,,,
1785812482.248,3,0.0676,0,0,66032,0,963,0.3382,0,2,47976,0,1212,,,0.3768,0,0,57888,0,1389,0.3478,0,1,46816,0,1070,0.4348,0,0,46308,0,1022,0.0097,0,0,37056,0,264,0.7494,1.0,1.0,1.0,0.0,1928852,29359356,112900,1794,1193,1783,1784,1783,1784,856,1797,598,715,1200,1801,1249,0,857,849,851,1798,599,0,715,856,1798,1794,859,855,854,32904,32080,31241,15,1323,5016,6660000,0,,,,,,,,,,,
1785812483.279,4,0.0,0,0,66104,0,963,0.3353,0,2,47976,0,1419,,,0.0,0,0,57888,0,1389,0.2946,0,2,55292,0,1224,0.4673,0,0,47436,0,1625,0.0102,0,0,37056,0,264,0.7494,1.0,0.9904,1.0,0.0,1908408,29359356,102564,1794,1198,1783,1784,1783,1783,855,1797,597,716,1198,1800,1248,0,856,860,855,1799,600,0,714,857,1798,1792,855,857,855,31225,31723,32313,15,1317,5016,6600000,0,,,,,,,,,,,
1785812484.178,5,0.0396,0,0,66416,0,963,0.6532,0,0,57564,0,1949,,,0.0297,0,0,58260,0,1389,0.6532,0,2,73868,0,1926,0.7521,0,1,71240,0,2561,0.0198,0,0,37336,0,264,0.7299,1.0,0.9167,1.0,0.0,1879304,29359356,88228,1794,1204,1783,1784,1783,1785,854,1797,597,715,1200,1802,1251,0,858,858,858,1799,600,0,714,855,1797,1792,862,857,852,32329,33790,30837,15,1298,5017,6520000,0,46192,41693,41525,53358,50908,26219,,,,,
1785812485.091,6,0.0199,0,1,66416,0,965,0.8264,0,1,72420,0,2486,,,0.0199,0,0,58260,0,1389,0.0996,0,0,74140,0,1994,0.3983,0,2,75012,0,2871,0.01,0,2,37336,0,267,0.4627,0.75,0.6548,0.4578,0.0,1876780,29359356,87048,1795,1195,1784,1785,1784,1785,854,1796,597,718,1199,1800,1251,1,858,861,855,1798,599,0,714,855,1797,1791,860,857,850,31536,32842,31412,15,1221,5016,6120000,0,,,,,,,,,,,
1785812486.062,7,0.0,0,1,66416,0,965,1.1541,0,1,127920,0,2916,,,0.0,0,0,58260,0,1389,0.0,0,0,74140,0,1996,0.0,0,2,75012,0,2871,0.0,0,2,37336,0,267,0.3662,0.2234,1.0,0.2396,0.0,1851076,29359356,74152,1795,1202,1784,1784,1783,1784,855,1797,596,719,1199,1801,1250,0,858,854,863,1799,600,0,715,857,1796,1788,855,857,857,32562,31816,32469,15,1336,5016,6700000,0,,,,,,,,,,,
1785812487.148,8,0.4263,1,0,86588,0,1013,0.9518,0,1,154708,0,3800,,,0.0297,0,0,58468,0,1389,0.1884,0,0,83452,0,2220,0.0297,0,2,75012,0,2894,0.0694,0,0,37336,0,302,0.6183,0.7264,0.7905,0.9533,0.0,1812096,29359356,57656,1794,1199,1783,1784,1783,1783,855,1797,597,716,1200,1802,1252,0,859,859,862,1798,599,0,715,856,1800,1796,864,856,866,33401,32065,31847,15,1342,5016,7120000,0,,,,,,,,,,,
1785812488.08,9,0.2322,0,0,87380,0,1013,0.5956,0,2,157396,0,4647,,19288,0.0101,0,0,58468,0,1389,0.3533,0,0,96420,0,2697,0.0202,0,2,75224,0,2894,0.0202,0,0,37572,0,302,0.6486,0.8261,0.914,0.8587,0.0,1786808,29359356,45496,1795,1200,1784,1785,1784,1785,856,1795,597,716,1198,1799,1249,0,857,863,857,1798,599,0,715,856,1797,1793,857,857,854,31909,32531,31583,15,1311,5016,6580000,0,,,,,,,,1,0,175,
1785812489.058,10,0.2212,0,0,87380,0,1013,0.0,0,2,157396,0,4647,0.9752,44240,0.0101,0,0,58468,0,1389,0.2011,0,0,98816,0,3067,0.0,0,2,75224,0,2894,0.0,0,0,37572,0,302,0.4507,0.3939,0.4706,0.932,0.0,1784040,29359356,44268,1794,1199,1784,1784,1784,1785,855,1798,596,717,1198,1802,1251,0,857,860,860,1798,600,0,713,857,1796,1791,854,857,852,31412,32500,32003,15,1218,5017,6110000,0,61175,112218,41132,76482,53153,26003,0,2,0,664,22751
