capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785856371,278703125,274.96,7.054,,,0
1785856371,445259277,144.219,0.813,,29.583,0
1785856371,478569092,3098.676,104.54,3203.196,3091.508,1
1785856373,983251953,707.683,0.84,708.495,9.976,1
1785856374,49927246,644.485,0.564,645.03,3.22,1
1785856374,116602295,580.795,0.513,581.291,2.936,1
1785856374,183276855,516.998,0.618,517.596,2.978,1
1785856374,249951416,453.316,0.565,453.864,2.944,1
1785856374,316625732,391.38,0.676,392.036,4.846,1
1785856374,383300049,327.792,0.513,328.294,2.934,1
1785856374,416636963,299.113,0.655,299.745,4.786,1
1785856374,483310547,236.264,0.875,237.125,4.037,1
1785856374,549984863,173.69,0.623,174.29,3.854,1
1785856374,616645508,110.513,1.121,111.614,3.984,1
1785856374,683305176,95.685,0.642,96.307,51.352,1
1785856374,749963623,124.296,0.628,124.898,95.252,1
1785856374,816620850,100.653,0.8,101.388,43.143,1
1785856374,883276611,100.26,1.972,102.223,67.477,1
1785856374,949931396,97.624,1.151,98.461,62.858,1
1785856375,16584961,110.813,0.845,111.611,79.844,1
1785856375,49911133,124.656,0.997,125.648,47.351,1
1785856375,116562988,109.746,0.653,110.373,51.4,1
1785856375,183213379,100.63,1.064,101.67,57.948,1
1785856375,249862549,96.735,0.683,97.387,62.364,1
1785856375,316510742,94.739,0.773,95.493,64.751,1
1785856375,383157471,98.142,0.699,98.817,69.974,1
1785856375,449802979,113.235,2.339,115.586,83.379,1
1785856375,516447510,122.208,0.606,122.786,73.883,1
1785856375,549770020,146.622,0.654,147.258,57.79,1
1785856375,616626953,140.938,0.798,141.721,61.314,1
1785856375,683485596,131.618,0.599,132.194,57.342,1
1785856375,716915771,163.47,0.581,164.028,65.265,1
1785856375,817208984,113.55,0.739,114.268,50.522,1
1785856375,850641113,131.46,0.681,132.114,51.287,1
1785856375,917506836,129.376,0.783,130.055,64.806,1
1785856375,984374512,108.252,0.643,108.874,45.686,1
1785856376,51244141,93.17,0.582,93.728,51.727,1
1785856376,118115723,92.174,0.702,92.853,65.997,1
1785856376,184989258,91.211,0.643,91.83,65.85,1
1785856376,251864746,93.764,0.557,94.297,69.342,1
1785856376,318742188,89.831,0.612,90.421,63.001,1
1785856376,385621826,92.398,0.639,92.958,69.417,1
1785856376,452503174,88.928,0.663,89.566,63.488,1
1785856376,519386719,92.574,0.578,93.128,70.446,1
1785856376,586239014,91.964,0.649,92.517,66.241,1
1785856376,653063477,90.53,0.669,91.176,65.483,1
1785856376,719889160,102.33,0.816,103.045,78.691,1
1785856376,753302490,139.906,0.696,140.577,70.944,1
1785856376,820130127,121.638,0.625,122.238,48.492,1
1785856376,853544189,169.9,1.444,171.34,82.496,1
1785856376,920373535,147.656,0.637,148.267,43.778,1
1785856376,953788574,162.167,0.821,162.965,48.107,1
1785856377,54035645,115.761,0.823,116.574,53.844,1
1785856377,87452148,124.948,0.606,125.53,42.393,1
1785856377,187702637,92.306,0.661,92.945,67.663,1
1785856377,254537842,92.861,0.604,93.4,67.291,1
1785856377,321374268,90.034,0.555,90.565,64.002,1
1785856377,388211914,91.5,0.651,92.144,68.401,1
1785856377,455050781,91.367,0.617,91.96,66.671,1
1785856377,521890869,92.068,0.89,92.94,67.812,1
1785856377,555310059,107.672,0.813,108.465,48.947,1
1785856377,655257568,91.771,0.612,92.36,83.846,1
1785856377,721887207,94.846,0.657,95.481,69.749,1
1785856377,788515381,91.974,0.706,92.638,63.787,1
