stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785856371,278703125,1785856371,278703125,,5,848,480,165.463,164.539,80.683,83.856,14.225,47.966,16.696,4.968,69.631,0.918,0.007,72.95,238.443
1785856371,445259277,1785856371,445259277,61.582,5,848,480,49.567,48.625,6.675,41.95,8.821,11.403,17.101,4.625,33.129,0.937,0.005,83.867,133.46
1785856371,478569092,1785856371,478569092,51.986,5,848,480,51.528,50.846,2.588,48.259,17.015,8.657,17.453,5.135,31.244,0.678,0.004,100.559,152.125
1785856371,578694336,1785856371,578694336,39.981,5,848,480,39.59,38.658,1.003,37.655,7.261,8.581,17.4,4.414,30.394,0.927,0.006,52.353,91.988
1785856371,645640869,1785856371,645640869,66.083,5,848,480,43.266,42.501,1.557,40.945,9.077,9.131,17.55,5.187,31.868,0.76,0.005,47.827,91.125
1785856371,712593018,1785856371,712593018,64.982,5,848,480,42.479,41.737,2.217,39.52,7.251,8.605,17.52,6.145,32.269,0.737,0.004,46.648,89.151
1785856371,779550781,1785856371,779550781,80.095,5,848,480,48.555,47.504,0.85,46.654,15.274,8.547,18.635,4.198,31.381,1.045,0.006,53.706,102.306
1785856371,813031738,1785856371,813031738,47.682,5,848,480,51.882,46.398,1.318,45.081,11.47,9.538,19.251,4.822,33.611,0.739,4.745,69.307,121.267
1785856371,913483154,1785856371,913483154,72.527,5,848,480,43.702,42.954,1.097,41.857,9.327,8.766,17.309,6.455,32.53,0.744,0.005,44.835,88.56
1785856371,946969971,1785856371,946969971,47.67,5,848,480,45.161,43.861,1.374,42.488,9.185,10.511,18.481,4.311,33.302,1.292,0.008,57.559,102.784
1785856371,980458008,1785856371,980458008,59.002,5,848,480,53.935,53.166,8.49,44.676,6.674,9.114,17.661,11.227,38.002,0.765,0.004,74.31,128.261
1785856372,47438232,1785856372,47438232,40.566,5,848,480,40.159,39.228,1.015,38.213,8.558,8.603,16.64,4.411,29.654,0.926,0.006,61.646,101.861
1785856372,114424072,1785856372,114424072,48.895,5,848,480,39.195,38.457,0.939,37.518,7.178,8.654,17.151,4.535,30.34,0.733,0.005,44.54,83.758
1785856372,181415527,1785856372,181415527,66.859,5,848,480,40.491,39.714,1.756,37.958,7.856,8.692,17.215,4.195,30.102,0.772,0.005,43.11,83.629
1785856372,248412598,1785856372,248412598,71.619,5,848,480,44.443,43.713,1.894,41.819,7.379,8.853,20.884,4.702,34.44,0.726,0.004,43.773,88.245
1785856372,315415283,1785856372,315415283,62.563,5,848,480,40.497,39.376,1.685,37.691,6.475,9.256,17.337,4.623,31.216,1.114,0.007,43.282,83.823
1785856372,348918945,1785856372,348918945,71.497,5,848,480,51.067,49.66,2.453,47.208,16.152,8.662,17.003,5.39,31.055,1.402,0.005,70.705,121.807
1785856372,415929932,1785856372,415929932,62.676,5,848,480,62.229,61.495,1.032,60.464,20.728,15.688,16.95,7.098,39.736,0.712,0.022,55.211,117.479
1785856372,449437744,1785856372,449437744,46.931,5,848,480,46.495,45.683,2.622,43.062,8.075,13.698,17.127,4.162,34.987,0.806,0.006,84.351,130.944
1785856372,516457275,1785856372,516457275,50.092,5,848,480,49.185,48.379,1.452,46.927,13.197,12.015,16.904,4.811,33.73,0.801,0.004,64.74,113.964
1785856372,583296875,1785856372,583296875,42.06,5,848,480,41.633,40.681,1.029,39.652,7.78,10.483,17.384,4.005,31.872,0.947,0.004,47.505,89.185
1785856372,649958984,1785856372,649958984,67.043,5,848,480,46.796,46.055,1.898,44.156,7.089,8.298,17.247,11.523,37.067,0.737,0.004,42.739,89.56
1785856372,683290039,1785856372,683290039,60.886,5,848,480,60.465,59.39,0.994,58.396,11.45,15.196,17.016,14.734,46.946,1.067,0.009,56.614,117.128
1785856372,749951660,1785856372,749951660,67.182,5,848,480,64.295,63.584,1.62,61.964,31.126,8.472,17.308,5.059,30.839,0.707,0.004,53.312,117.652
1785856372,816612793,1785856372,816612793,48.417,5,848,480,47.991,46.854,5.29,41.564,7.524,12.05,16.872,5.118,34.04,1.131,0.006,51.36,99.425
