capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785856371,278703125,241.469,15.901,257.211,5,0
1785856371,445259277,135.685,1.777,137.309,5,0
1785856371,478569092,154.073,5.713,159.642,5,1
1785856371,578694336,93.626,1.055,94.607,5,1
1785856371,645640869,92.866,1.165,93.931,5,1
1785856371,712593018,91.207,1.213,92.338,5,1
1785856371,779550781,104.245,1.658,105.816,5,1
1785856371,813031738,118.194,1.013,119.131,5,1
1785856371,913483154,90.469,1.281,91.673,5,1
1785856371,946969971,106.139,3.794,109.822,5,1
1785856371,980458008,130.184,1.099,131.199,5,1
1785856372,47438232,104.343,1.205,105.464,5,1
1785856372,114424072,85.865,1.077,86.864,5,1
1785856372,181415527,85.859,7.34,93.12,5,1
1785856372,248412598,89.944,0.968,90.839,5,1
1785856372,315415283,89.693,1.192,90.801,5,1
1785856372,348918945,128.47,1.562,129.947,5,1
1785856372,415929932,126.729,1.4,127.964,5,1
1785856372,449437744,138.461,1.454,139.813,5,1
1785856372,516457275,115.9,1.16,116.978,5,1
1785856372,583296875,91.051,5.193,96.117,5,1
1785856372,649958984,91.513,1.279,92.707,5,1
1785856372,683290039,119.177,3.906,123.002,5,1
1785856372,749951660,120.232,1.038,121.196,5,1
1785856372,816612793,103.09,8.185,110.713,5,1
1785856372,849943359,131.384,1.161,132.458,5,1
1785856372,949933838,87.454,0.987,88.368,5,1
1785856373,49923584,89.384,1.209,90.516,5,1
1785856373,149912109,91.336,1.028,92.29,5,1
1785856373,216570557,86.613,1.083,87.616,5,1
1785856373,283228760,86.252,1.204,87.38,5,1
1785856373,349886475,88.513,1.183,89.619,5,1
1785856373,383215088,119.356,1.125,120.401,5,1
1785856373,449872070,96.301,1.306,97.519,5,1
1785856373,483200439,116.297,1.233,117.366,5,1
1785856373,549857422,90.434,1.363,91.72,5,1
1785856373,616534180,87.09,7.544,94.418,5,1
1785856373,683210693,90.179,1.442,91.494,5,1
1785856373,749886963,108.199,3.896,112.009,5,1
1785856373,783224854,127.452,1.06,128.438,5,1
1785856373,849900879,121.194,1.589,122.702,5,1
1785856373,916576416,94.716,1.582,96.213,5,1
1785856373,983251953,91.053,1.39,92.055,5,1
1785856374,49927246,88.194,1.31,89.427,5,1
1785856374,116602295,86.346,1.176,87.448,5,1
1785856374,183276855,87.511,1.256,88.685,5,1
1785856374,249951416,89.441,1.07,90.436,5,1
1785856374,316625732,89.13,1.23,90.279,5,1
1785856374,383300049,90.743,1.419,92.078,5,1
1785856374,416636963,109.423,1.409,110.748,5,1
1785856374,483310547,105.364,4.979,109.931,5,1
1785856374,549984863,92.766,1.249,93.94,5,1
1785856374,616645508,86.122,1.565,87.608,5,1
1785856374,683305176,88.322,23.885,112.074,5,1
1785856374,749963623,116.881,1.357,118.15,5,1
1785856374,816620850,93.539,1.022,94.488,5,1
1785856374,883276611,89.399,1.247,90.569,5,1
1785856374,949931396,91.057,0.938,91.923,5,1
1785856375,16584961,98.975,1.414,100.298,5,1
1785856375,49911133,116.725,0.977,117.625,5,1
1785856375,116562988,102.521,1.213,103.649,5,1
1785856375,183213379,91.135,1.302,92.358,5,1
1785856375,249862549,90.629,0.958,91.479,5,1
1785856375,316510742,86.99,0.927,87.832,5,1
1785856375,383157471,89.359,1.022,90.288,5,1
1785856375,449802979,98.232,1.369,99.483,5,1
