capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785856371,278703125,256.142,0.635,256.669,,199.866,0
1785856371,445259277,138.829,0.707,139.437,,66.62,0
1785856371,478569092,156.449,2940.095,3096.43,0.0,100.125,1
1785856373,849900879,727.669,2.328,729.888,-2271.207,-2271.207,1
1785856373,916576416,674.293,2.705,676.883,600.071,600.071,1
1785856373,983251953,613.193,2.412,615.492,533.396,533.396,1
1785856374,49927246,554.74,2.309,556.937,466.72,500.058,1
1785856374,116602295,492.801,2.055,494.757,400.045,433.383,1
1785856374,183276855,431.058,3.305,434.096,333.371,366.708,1
1785856374,249951416,372.242,2.872,374.98,266.696,300.033,1
1785856374,316625732,311.517,2.827,314.222,200.022,233.359,1
1785856374,383300049,250.85,2.209,252.95,133.347,166.685,1
1785856374,416636963,224.631,2.151,226.669,100.01,166.678,1
1785856374,483310547,162.632,2.331,164.847,33.337,100.005,1
1785856374,549984863,100.992,2.471,103.33,0.0,33.331,1
1785856374,616645508,88.364,2.176,90.438,0.0,0.0,1
1785856374,683305176,91.26,2.155,93.31,33.329,33.329,1
1785856374,749963623,119.615,2.569,122.074,33.329,66.657,1
1785856374,816620850,95.565,2.533,97.982,0.0,33.328,1
1785856374,883276611,91.815,2.59,94.289,0.0,33.328,1
1785856374,949931396,93.033,2.146,95.078,0.0,33.327,1
1785856375,16584961,105.73,2.991,108.462,0.0,0.0,1
1785856375,49911133,119.703,2.285,121.855,-33.326,33.326,1
1785856375,116562988,104.989,2.764,107.536,-33.326,-33.326,1
1785856375,183213379,93.395,2.662,95.95,0.0,33.325,1
1785856375,249862549,92.588,2.233,94.723,0.0,33.324,1
1785856375,316510742,88.918,3.6,92.4,0.0,33.323,1
1785856375,383157471,93.415,2.346,95.646,-33.323,-33.323,1
1785856375,449802979,100.926,7.947,108.757,0.0,33.323,1
1785856375,516447510,117.357,2.611,119.747,0.0,33.323,1
1785856375,549770020,141.391,3.025,144.277,0.0,66.857,1
1785856375,616626953,127.799,2.641,130.306,0.0,66.859,1
1785856375,683485596,125.683,3.873,129.422,0.0,0.0,1
1785856375,716915771,158.714,2.565,161.161,-33.43,100.293,1
1785856375,817208984,102.365,8.872,111.074,0.0,33.432,1
1785856375,850641113,127.167,2.155,129.211,0.0,66.866,1
1785856375,917506836,124.444,2.777,127.09,0.0,66.868,1
1785856375,984374512,100.965,2.737,103.558,0.0,33.435,1
1785856376,51244141,89.187,2.166,91.193,-33.435,33.436,1
1785856376,118115723,88.155,2.137,90.19,0.0,33.437,1
1785856376,184989258,87.214,1.997,89.114,0.0,33.438,1
1785856376,251864746,89.771,2.204,91.829,0.0,33.438,1
1785856376,318742188,85.836,2.205,87.937,0.0,33.44,1
1785856376,385621826,88.38,2.015,90.3,0.0,33.44,1
1785856376,452503174,84.85,2.162,86.91,0.0,33.441,1
1785856376,519386719,88.61,2.005,90.526,0.0,33.44,1
1785856376,586239014,87.96,2.103,89.96,0.0,33.412,1
1785856376,653063477,86.315,2.236,88.414,0.0,33.413,1
1785856376,719889160,97.139,2.655,99.545,0.0,33.413,1
1785856376,753302490,134.541,3.223,137.632,0.0,66.828,1
1785856376,820130127,115.627,2.515,118.014,0.0,33.414,1
1785856376,853544189,156.105,5.766,159.051,0.0,100.244,1
1785856376,920373535,139.705,5.433,144.995,0.0,66.831,1
1785856376,953788574,157.075,2.642,159.6,0.0,100.247,1
1785856377,54035645,110.503,2.794,113.151,0.0,33.417,1
1785856377,87452148,121.006,2.194,123.087,0.0,66.833,1
1785856377,187702637,88.021,2.221,90.134,0.0,33.417,1
1785856377,254537842,88.89,1.993,90.791,0.0,33.418,1
1785856377,321374268,85.985,2.054,87.939,0.0,33.419,1
1785856377,388211914,87.427,2.151,89.477,-33.419,33.419,1
1785856377,455050781,87.459,2.132,89.477,0.0,33.42,1
1785856377,521890869,86.18,3.802,89.871,0.0,33.419,1
1785856377,555310059,101.699,3.673,105.06,0.0,33.316,1
1785856377,655257568,87.058,2.718,89.673,0.0,33.315,1
1785856377,721887207,90.619,2.2,92.658,0.0,33.314,1
1785856377,788515381,87.465,2.377,89.734,0.0,33.313,1
1785856377,855141602,83.684,2.38,85.949,33.313,33.313,1
1785856377,921766602,90.074,2.124,92.094,0.0,33.312,1
1785856377,988389648,87.424,2.261,89.566,0.0,0.0,1
1785856378,55011230,83.391,2.053,85.345,0.0,33.31,1
1785856378,121631104,86.26,2.046,88.209,0.0,33.309,1
1785856378,188249268,86.776,2.259,88.936,33.309,33.309,1
1785856378,254865967,84.254,2.25,86.402,0.0,33.308,1
1785856378,321480957,83.93,2.364,86.177,0.0,33.307,1
1785856378,388094238,83.127,2.147,85.176,0.0,33.306,1
1785856378,454706055,84.097,2.177,86.175,33.305,33.305,1
1785856378,521316162,83.416,2.058,85.378,0.0,33.306,1
1785856378,587942627,84.251,2.58,86.621,0.0,33.321,1
1785856378,654583008,87.492,2.364,89.747,0.0,33.32,1
1785856378,721222168,101.337,3.324,104.481,0.0,33.319,1
1785856378,787859863,90.897,2.176,92.972,0.0,33.318,1
1785856378,854496338,85.631,2.099,87.631,0.0,33.318,1
1785856378,921131348,88.892,2.424,91.199,0.0,33.317,1
1785856378,987764893,94.637,3.139,97.506,33.316,33.316,1
1785856379,21081055,116.774,3.281,119.908,0.0,33.316,1
1785856379,87712646,89.964,2.206,92.064,33.315,33.315,1
1785856379,187657227,89.023,2.281,91.183,0.0,33.314,1
1785856379,287598877,83.526,2.067,85.497,0.0,33.313,1
1785856379,354224854,86.608,2.221,88.727,0.0,33.312,1
1785856379,420849609,83.393,2.142,85.433,-33.312,-33.312,1
1785856379,487472900,85.165,2.178,87.185,0.0,33.311,1
1785856379,554095703,85.457,2.045,87.407,-33.312,33.323,1
1785856379,620742188,85.073,2.336,87.298,0.0,0.0,1
1785856379,687387451,90.898,2.492,93.278,0.0,33.322,1
1785856379,754031250,104.861,10.579,114.539,0.0,33.322,1
1785856379,787352783,110.348,2.081,112.325,0.0,33.321,1
1785856379,887315430,87.903,2.066,89.871,0.0,0.0,1
1785856379,987275391,91.277,2.082,93.244,0.0,33.319,1
1785856380,53913818,86.988,2.168,89.058,0.0,33.319,1
1785856380,120551025,89.245,2.146,91.291,33.318,33.318,1
1785856380,187186768,89.454,2.468,91.807,0.0,33.318,1
1785856380,253821533,88.035,2.22,90.155,0.0,33.317,1
1785856380,320455078,88.023,2.022,89.935,0.0,33.316,1
1785856380,387087158,85.819,2.407,88.119,0.0,33.316,1
1785856380,453718262,85.987,2.154,88.036,0.0,0.0,1
1785856380,520347900,90.277,2.164,92.339,0.0,33.315,1
1785856380,587023193,87.68,2.061,89.642,0.0,33.36,1
1785856380,653743896,94.663,4.621,99.17,0.0,33.361,1
1785856380,687104492,153.746,5.747,159.021,0.0,100.083,1
1785856380,753826172,135.041,2.516,137.432,-33.361,66.723,1
1785856380,820548828,129.888,2.622,132.387,0.0,66.724,1
1785856380,887272461,119.698,2.233,121.831,0.0,66.724,1
1785856380,987359131,94.415,2.031,96.35,0.0,33.363,1
1785856381,54084717,90.52,2.096,92.491,0.0,33.363,1
1785856381,120811035,88.147,2.237,90.282,0.0,33.364,1
1785856381,187538330,90.315,2.159,92.37,0.0,33.364,1
1785856381,254266357,89.916,2.207,92.007,0.0,33.365,1
1785856381,320995361,88.678,2.194,90.77,0.0,33.365,1
1785856381,387725098,88.531,2.098,90.527,0.0,33.365,1
1785856381,454455566,86.381,2.181,88.459,-33.365,-33.365,1
1785856381,521187012,89.024,2.356,91.275,0.0,33.366,1
1785856381,587880615,86.714,2.192,88.803,0.0,33.328,1
1785856381,654535400,87.411,2.269,89.566,0.0,33.327,1
1785856381,687862305,123.559,2.686,126.111,0.0,66.653,1
1785856381,754515625,122.425,2.507,124.804,0.0,66.652,1
1785856381,821167725,121.769,2.785,124.428,0.0,66.651,1
1785856381,854493408,128.736,2.259,130.884,0.0,66.65,1
1785856381,987793213,89.1,2.616,91.601,0.0,33.324,1
1785856382,54441650,87.278,2.31,89.487,0.0,33.324,1
1785856382,121088867,88.613,2.159,90.669,0.0,33.323,1
1785856382,187735107,90.455,3.51,93.832,33.323,33.323,1
1785856382,254380127,89.324,2.224,91.448,0.0,33.322,1
1785856382,321024414,88.403,2.105,90.41,0.0,33.322,1
1785856382,387667236,91.278,2.169,93.346,0.0,33.321,1
1785856382,454309326,87.756,3.305,90.951,0.0,33.321,1
1785856382,520950195,86.428,2.212,88.517,0.0,0.0,1
1785856382,587598633,89.563,2.116,91.582,0.0,33.328,1
1785856382,654253418,87.803,2.999,90.685,0.0,0.0,1
1785856382,687580322,125.251,3.747,128.868,33.327,66.653,1
1785856382,754233398,120.43,2.012,122.324,0.0,66.652,1
1785856382,787559570,140.389,2.841,143.089,0.0,66.652,1
1785856382,854211182,121.172,2.187,123.255,0.0,33.325,1
1785856382,920861572,107.937,2.704,110.51,0.0,33.325,1
1785856382,954186279,136.854,3.051,139.783,0.0,66.649,1
1785856383,20835205,128.974,4.987,133.635,0.0,66.648,1
