wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785856352.755,1,0.0698,86,2,18320,0,378,0.2493,45,0,15524,0,668,,,0.708,0,0,30148,0,727,0.4388,20,2,18832,0,720,0.3191,54,0,18764,0,877,0.0698,51,1,36488,0,385,0.6612,0.8378,0.8762,0.9245,0.0,1861976,29359356,53104,1793,1199,1782,1782,1781,1782,855,1796,597,716,1197,1803,1250,0,857,858,862,1800,601,0,715,856,1796,1790,854,857,857,30013,29982,29718,15,1232,5016,6190000,0,,,,,,,,,,,
1785856353.773,2,0.167,103,2,24044,0,537,0.0393,60,0,18752,0,738,,,0.393,5,2,55736,0,1249,0.226,15,0,22756,0,931,0.2358,13,0,22676,0,1180,0.0098,0,1,36692,0,385,0.3747,0.4576,0.5455,0.49,0.0,1832972,29359356,31032,1794,1196,1783,1783,1782,1783,856,1796,596,719,1199,1800,1249,0,857,858,860,1796,599,0,715,856,1795,1790,857,857,852,30324,29702,29951,15,1241,5016,6220000,0,,,,,,,,,,,
1785856354.788,3,0.3048,104,1,30728,0,848,0.0295,48,0,21212,0,793,,,0.236,18,2,57248,0,1693,0.0885,35,1,29400,0,1059,0.0885,34,0,29320,0,1315,0.0098,0,2,36692,0,388,0.2531,0.4095,0.2673,0.3267,0.0,1825428,29359356,19748,1792,1199,1781,1782,1781,1782,854,1795,596,717,1198,1802,1249,0,857,856,857,1798,600,0,715,855,1794,1791,854,857,856,28366,29687,29780,15,1230,5016,6170000,0,,,,,,,,,,,
1785856355.797,4,0.1761,108,2,40516,0,1047,0.0518,48,2,24684,0,939,,,0.2072,13,0,57720,0,1953,0.6216,3,0,45820,0,1632,0.7044,3,1,46000,0,1824,0.0,0,2,36692,0,388,0.5087,0.6429,0.7129,0.68,0.0,1805136,29359356,5020,1793,1199,1782,1781,1781,1782,854,1795,597,718,1200,1802,1249,0,858,857,857,1799,600,0,716,854,1799,1794,854,856,855,30308,30029,29422,15,1297,5015,6510000,0,,,,,,,,,,,
1785856356.769,5,0.1381,70,2,54500,0,1183,0.0592,57,2,27428,0,1047,,,0.0,0,0,57720,0,1953,0.4438,0,2,47420,0,2055,0.3451,2,1,46848,0,2231,0.0,0,2,36692,0,388,0.3544,0.4388,0.4343,0.5612,0.0,1788984,29359356,4088,1792,1191,1781,1781,1781,1782,854,1796,597,715,1194,1801,1249,0,858,859,866,1799,600,0,714,856,1796,1791,857,858,853,30713,30371,29982,15,1302,5015,6530000,0,40719,20456,42311,30193,29576,26854,,,,,
1785856357.782,6,0.2366,44,1,65292,0,1640,0.2169,120,1,40952,0,1387,,,0.0197,0,0,57900,0,1953,0.5916,20,1,72760,0,3134,0.631,0,1,49308,0,3043,0.0296,0,2,36820,0,390,0.5641,0.8542,0.6939,0.7041,0.0,1743680,29359356,12204,1793,1201,1782,1783,1782,1782,853,1797,597,716,1198,1801,1248,0,857,860,866,1797,599,0,715,856,1796,1792,857,858,854,29827,30246,30573,15,1202,5016,6030000,0,,,,,,,,,,,
1785856358.815,7,0.0491,0,1,65636,0,1640,0.6481,42,0,42608,0,1822,,,0.0196,0,0,58060,0,1953,0.216,22,2,73680,0,3386,0.5204,17,1,73736,0,3577,0.0196,0,2,36992,0,390,0.5995,0.8462,0.7961,0.767,0.0,1722948,29359356,12188,1792,1198,1782,1782,1782,1782,855,1795,597,717,1196,1801,1251,0,858,856,858,1798,600,0,714,856,1797,1791,857,856,842,31257,29998,30044,15,1300,5016,6520000,0,,,,,,,,,,,
1785856359.835,8,0.0503,0,1,65636,0,1640,0.735,36,2,48656,0,2433,,,0.0,0,0,58192,0,1953,0.0101,0,2,73680,0,3388,0.0604,0,2,74000,0,3623,0.0,0,2,36992,0,390,0.651,0.9314,0.7778,0.9109,0.0,1714480,29359356,5432,1794,1198,1783,1783,1783,1783,854,1798,597,716,1198,1798,1252,0,858,855,857,1795,600,0,714,856,1794,1789,857,858,856,30091,29966,30215,15,1211,5015,6080000,0,,,,,,,,,,,
1785856360.804,9,0.0199,0,1,65768,0,1640,0.5959,114,1,60764,0,2909,,,0.0099,0,0,58192,0,1953,0.0099,0,2,73868,0,3390,0.0298,0,2,74500,0,3623,0.0099,0,2,36992,0,390,0.3743,0.2609,0.4583,0.7526,0.0,1712684,29359356,4428,1794,1191,1782,1783,1782,1784,855,1797,597,716,1194,1799,1249,0,857,861,861,1800,599,0,713,855,1796,1790,857,859,849,30542,30200,29609,15,1296,5015,6500000,0,,,,,,,,,,,
1785856361.776,10,0.0,0,1,65768,0,1640,0.6384,110,2,70040,0,3333,,,0.0,0,0,58192,0,1953,0.0103,0,1,73868,0,3395,0.0103,1,1,74864,0,3625,0.0103,0,2,37132,0,390,0.264,0.4184,0.3196,0.3367,0.0,1712036,29359356,4252,1794,1199,1782,1783,1782,1782,856,1797,597,715,1199,1800,1250,0,858,861,858,1798,600,0,715,857,1797,1792,854,857,851,30744,29640,30293,15,1278,5015,6410000,0,43655,52431,41489,53336,54275,26260,,,,,
