capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785988048,712634033,302.95,7.697,,,0
1785988048,912743896,177.146,0.704,,67.321,0
1785988048,979453369,2976.633,76.968,3053.578,2942.472,1
1785988051,381305176,663.143,5.004,664.324,12.585,1
1785988051,414687500,640.974,0.716,641.665,10.734,1
1785988051,448070313,612.463,0.51,612.95,4.672,1
1785988051,514837402,549.448,1.033,550.463,4.268,1
1785988051,581606445,486.831,0.634,487.6,3.759,1
1785988051,614991699,458.299,0.692,458.961,4.902,1
1785988051,648377441,428.955,0.936,429.867,4.288,1
1785988051,715150391,366.938,0.723,367.62,4.528,1
1785988051,748537598,340.851,3.704,344.556,10.3,1
1785988051,815312500,283.964,3.52,287.493,9.696,1
1785988051,882020508,225.892,1.995,227.886,7.122,1
1785988051,982082275,130.912,1.873,132.774,4.955,1
1785988052,15436035,138.499,0.673,139.146,39.74,1
1785988052,82143799,120.846,0.595,121.419,48.984,1
1785988052,115497559,130.469,0.613,131.063,42.995,1
1785988052,182205322,113.623,0.681,114.284,49.923,1
1785988052,215559082,126.369,0.585,126.932,46.01,1
1785988052,282266846,110.019,1.047,111.059,50.813,1
1785988052,315620605,119.746,0.615,120.344,42.656,1
1785988052,382328125,102.431,0.651,103.056,49.423,1
1785988052,415681885,118.717,0.621,119.315,49.611,1
1785988052,449035645,140.763,1.282,142.045,56.056,1
1785988052,515743164,130.854,0.738,131.57,56.26,1
1785988052,582450684,116.181,0.69,116.847,51.981,1
1785988052,615804443,145.491,0.906,146.374,62.886,1
1785988052,682511719,127.39,0.632,127.999,48.334,1
1785988052,749218994,99.653,0.713,100.47,39.053,1
1785988052,782572754,124.412,0.665,124.998,58.006,1
1785988052,815926270,137.824,0.809,138.559,46.91,1
1785988052,882822998,147.22,0.915,148.116,76.455,1
1785988052,949722656,132.55,0.66,133.189,51.975,1
1785988053,16625000,129.271,0.901,130.145,63.853,1
1785988053,83530273,105.254,0.696,105.929,42.694,1
1785988053,116983887,114.005,0.752,114.741,42.257,1
1785988053,150438477,131.956,0.751,132.602,51.324,1
1785988053,217349365,106.32,1.099,107.408,41.703,1
1785988053,250805908,122.525,0.918,123.418,49.472,1
1785988053,284263428,132.445,0.68,133.097,43.146,1
1785988053,351180176,109.914,1.627,111.509,45.318,1
1785988053,384639404,117.076,0.766,117.827,39.775,1
1785988053,418099609,129.819,0.624,130.419,46.066,1
1785988053,485022217,104.604,0.699,105.284,41.78,1
1785988053,518484375,123.245,0.795,124.015,52.194,1
1785988053,585411377,106.336,0.704,107.016,49.928,1
1785988053,618875732,109.137,0.575,109.689,36.145,1
1785988053,719273438,92.388,0.585,92.952,83.66,1
1785988053,752740723,104.458,0.959,105.398,45.907,1
1785988053,786208740,118.866,0.573,119.418,47.494,1
1785988053,819675049,141.443,0.683,142.11,56.151,1
1785988053,886380127,129.569,0.603,130.15,54.752,1
1785988053,953068115,116.626,0.638,117.243,53.78,1
1785988053,986412109,143.882,0.637,144.496,60.596,1
1785988054,53099365,133.46,0.641,134.1,56.27,1
1785988054,119786377,127.07,0.574,127.621,60.232,1
1785988054,186473145,102.148,0.624,102.748,41.812,1
1785988054,219816162,125.199,0.582,125.762,56.358,1
1785988054,286502197,100.825,0.648,101.446,42.369,1
1785988054,319845215,122.739,0.652,123.374,55.27,1
1785988054,386530762,100.428,0.668,101.071,44.383,1
1785988054,419873291,122.891,0.573,123.44,55.715,1
1785988054,486558105,104.016,0.581,104.572,47.816,1
1785988054,519900391,117.445,0.747,118.169,46.935,1
1785988054,553242676,129.407,0.653,130.04,45.218,1
1785988054,619926758,124.159,0.574,124.711,61.355,1
1785988054,686610596,99.138,0.665,99.778,41.748,1
1785988054,719952393,111.8,0.76,112.536,46.1,1
1785988054,753294189,123.15,0.571,123.698,44.506,1
1785988054,819977051,99.542,0.908,100.429,43.41,1
1785988054,853318848,112.261,0.616,112.856,45.77,1
1785988054,886673340,150.056,0.977,151.164,71.509,1
1785988054,953382080,130.122,0.637,130.74,46.44,1
1785988055,20090576,114.426,0.556,115.003,50.932,1
1785988055,53444824,135.538,0.831,136.354,54.741,1
1785988055,120152832,124.41,0.591,124.978,55.338,1
1785988055,186860840,100.083,0.839,100.899,42.625,1
1785988055,220214600,123.687,0.7,124.365,56.822,1
1785988055,253568359,130.441,0.595,131.016,40.005,1
1785988055,320275879,105.877,0.65,106.504,42.195,1
1785988055,353629395,128.32,0.6,128.896,55.748,1
1785988055,420336426,102.629,0.815,103.426,41.229,1
1785988055,453689697,120.061,0.616,120.652,50.585,1
1785988055,487043213,129.976,0.597,130.55,43.252,1
1785988055,553749756,101.621,0.665,102.259,38.413,1
1785988055,620455811,96.101,0.588,96.663,61.114,1
1785988055,653808838,102.344,0.661,102.982,39.669,1
1785988055,720514648,96.605,0.577,97.159,60.887,1
1785988055,753867676,106.257,0.709,106.953,43.136,1
1785988055,787220459,130.846,0.728,131.552,57.958,1
1785988055,853925781,130.092,0.584,130.655,65.812,1
1785988055,887295410,151.038,0.605,151.619,54.332,1
1785988055,954035156,156.536,0.606,157.119,72.238,1
1785988056,20776123,172.075,0.629,172.68,82.302,1
1785988056,87518311,188.921,0.739,189.647,83.7,1
1785988056,187633789,144.69,0.553,145.221,55.703,1
1785988056,254379150,146.773,0.637,147.388,68.909,1
1785988056,321125488,131.247,0.737,131.912,51.267,1
1785988056,387873047,129.676,0.595,130.243,65.085,1
1785988056,454621826,116.323,0.617,116.918,53.422,1
1785988056,487996582,129.58,0.61,130.163,46.62,1
1785988056,521371826,165.876,0.881,166.739,69.942,1
1785988056,588122803,152.581,0.793,153.353,53.369,1
1785988056,654875244,135.12,0.812,135.913,49.314,1
1785988056,721628906,114.403,0.631,115.015,45.855,1
1785988056,755006104,126.806,0.778,127.561,45.927,1
1785988056,821761475,102.051,1.126,103.163,42.344,1
1785988056,855139160,130.458,0.717,131.154,61.379,1
1785988056,921832764,108.813,0.756,109.551,45.088,1
1785988056,955179199,138.486,1.941,140.444,64.199,1
1785988057,21872314,116.641,0.735,117.352,43.642,1
1785988057,55218506,137.699,0.948,138.629,54.619,1
1785988057,121910889,122.573,0.569,123.121,51.195,1
1785988057,155256836,132.835,0.97,133.65,43.867,1
1785988057,221948486,117.429,0.693,118.1,51.14,1
1785988057,255294189,124.871,0.588,125.434,40.69,1
1785988057,321985352,108.875,0.704,109.559,50.813,1
1785988057,355330811,126.478,0.73,127.186,50.974,1
1785988057,388676025,129.479,0.636,130.086,36.245,1
1785988057,455366455,111.823,0.737,112.521,49.121,1
1785988057,488711426,128.615,0.564,129.153,49.983,1
1785988057,555401123,110.502,0.717,111.213,48.731,1
1785988057,622090332,101.526,0.865,102.365,57.857,1
1785988057,655435059,124.181,0.699,124.855,55.839,1
1785988057,722123535,98.897,0.593,99.464,41.298,1
1785988057,755467773,109.094,0.772,109.856,43.724,1
1785988057,788812012,129.805,1.044,130.836,54.324,1
1785988057,822156006,141.921,2.187,144.085,46.602,1
1785988057,855500244,165.024,0.621,165.626,54.885,1
1785988057,955545898,108.778,2.243,111.039,45.416,1
1785988057,988894287,128.836,0.575,129.389,51.746,1
1785988058,55590820,99.003,0.595,99.575,36.882,1
1785988058,88938965,116.563,0.809,117.355,51.12,1
1785988058,122287109,129.433,0.648,130.06,46.061,1
1785988058,188982910,112.901,0.68,113.563,50.191,1
1785988058,222330811,126.773,0.627,127.326,47.118,1
1785988058,289026123,100.874,0.822,101.673,41.039,1
1785988058,322373779,114.54,0.846,115.376,47.032,1
1785988058,355721191,126.269,0.697,126.942,44.936,1
1785988058,422416016,100.311,0.752,100.99,40.741,1
1785988058,455763428,107.23,0.795,107.997,40.351,1
1785988058,489110596,124.002,0.614,124.588,49.944,1
1785988058,555804688,115.55,0.737,116.263,58.358,1
1785988058,589151611,132.142,0.569,132.689,49.783,1
1785988058,655845215,104.517,0.567,105.064,39.067,1
1785988058,689191895,126.605,0.574,127.158,55.442,1
1785988058,755885254,101.481,0.568,102.028,41.563,1
1785988058,789231689,123.211,0.675,123.866,55.179,1
1785988058,855924561,104.189,0.655,104.825,47.653,1
1785988058,889273682,126.064,0.749,126.653,55.181,1
1785988058,955971191,125.409,0.588,125.977,66.018,1
1785988059,22668457,123.427,0.702,124.111,64.828,1
1785988059,89365723,104.181,0.782,104.939,47.531,1
1785988059,122714111,120.722,0.552,121.253,49.664,1
1785988059,156062256,129.017,0.584,129.58,41.674,1
1785988059,222758789,100.954,0.598,101.53,38.647,1
1785988059,256106934,126.486,0.568,127.034,58.852,1
1785988059,322802979,99.118,0.585,99.679,39.342,1
1785988059,356150879,117.08,0.625,117.657,51.323,1
1785988059,389498535,133.272,1.036,134.345,49.979,1
1785988059,456194092,105.011,0.797,106.13,38.186,1
1785988059,522889160,98.152,0.664,98.791,59.707,1
1785988059,556236572,126.458,0.595,127.031,61.59,1
1785988059,622931152,97.536,0.562,98.074,37.739,1
1785988059,656278320,106.034,0.574,106.586,41.858,1
1785988059,722972412,95.576,0.592,96.146,56.255,1
1785988059,756319580,110.705,0.689,111.375,48.571,1
1785988059,789666504,127.447,0.919,128.346,50.32,1
1785988059,856360352,126.592,0.598,127.168,65.518,1
1785988059,923056885,113.591,0.681,114.253,53.777,1
1785988059,956405273,131.808,0.59,132.359,51.46,1
1785988060,23101318,113.306,0.705,113.985,48.319,1
1785988060,56449463,148.297,0.696,148.966,68.327,1
1785988060,123145020,127.491,0.558,128.038,45.76,1
1785988060,189840332,103.885,0.701,104.559,43.224,1
1785988060,223187988,127.605,0.585,128.168,56.961,1
1785988060,289882813,104.12,0.695,104.79,43.311,1
1785988060,323230225,116.747,0.576,117.3,45.863,1
1785988060,356577393,130.161,0.614,130.753,46.798,1
1785988060,423271729,102.172,0.584,102.731,38.673,1
1785988060,456618652,126.753,0.66,127.397,58.007,1
1785988060,523312256,103.16,0.633,103.771,43.071,1
1785988060,556659180,124.62,0.645,125.248,54.822,1
1785988060,623352295,99.578,0.637,100.193,41.64,1
1785988060,656698975,118.352,0.641,118.973,52.126,1
1785988060,690045166,123.083,0.983,124.049,38.414,1
1785988060,756737793,100.812,0.578,101.369,44.024,1
1785988060,790083984,119.764,0.607,120.347,52.324,1
1785988060,823430176,130.248,0.698,130.925,43.921,1
1785988060,890203369,122.495,2.895,125.371,61.215,1
1785988060,923630615,129.942,0.776,130.704,38.759,1
1785988060,990486572,117.202,0.575,117.752,53.912,1
1785988061,23915039,127.654,0.838,128.473,44.146,1
1785988061,90773438,111.666,1.744,113.415,51.77,1
1785988061,124203369,128.051,0.661,128.602,48.651,1
1785988061,191064453,103.812,0.784,104.532,42.786,1
1785988061,224495361,110.054,0.825,110.868,39.757,1
1785988061,257927002,125.646,0.666,126.291,48.87,1
1785988061,324791504,105.101,1.161,108.491,46.81,1
1785988061,358224365,118.526,0.696,119.196,46.388,1
1785988061,425091309,94.881,0.714,95.58,43.244,1
1785988061,458525391,110.777,1.02,111.78,49.629,1
1785988061,491959961,124.359,0.701,125.035,46.706,1
1785988061,525394775,141.169,0.852,141.996,50.387,1
1785988061,592266113,116.705,0.682,117.359,42.241,1
1785988061,625702393,126.649,0.774,127.402,43.48,1
1785988061,692576172,100.699,0.803,101.52,40.952,1
1785988061,726013672,110.6,0.714,111.292,43.25,1
1785988061,759451660,116.347,0.72,116.941,39.088,1
1785988061,859766113,90.405,0.731,91.116,74.487,1
1785988061,893107178,97.107,0.76,97.844,40.067,1
1785988061,926447998,125.094,0.571,125.644,61.145,1
1785988061,993129150,110.48,0.771,111.227,52.261,1
1785988062,26469482,127.549,0.59,128.12,50.235,1
1785988062,93149902,122.229,0.839,123.06,61.605,1
1785988062,159829590,114.048,0.945,114.978,58.606,1
1785988062,193169189,120.645,0.762,121.248,39.617,1
1785988062,259847900,104.284,3.897,108.225,53.587,1
1785988062,293187256,126.312,0.67,126.961,52.143,1
1785988062,359865234,97.938,0.593,98.622,38.227,1
1785988062,393203857,109.943,0.833,110.759,45.575,1
1785988062,426542480,110.549,0.815,111.849,33.908,1
1785988062,459880859,129.154,0.594,129.726,51.749,1
1785988062,526557373,118.646,0.58,119.191,56.141,1
1785988062,559895508,132.671,0.691,133.338,47.481,1
1785988062,626571045,122.562,0.587,123.126,56.468,1
1785988062,693246094,95.746,0.576,96.298,39.848,1
1785988062,726583496,112.912,0.686,113.575,50.612,1
1785988062,759920654,125.188,0.573,125.738,45.503,1
1785988062,826594482,103.747,0.577,104.302,45.236,1
1785988062,859931641,131.166,0.621,131.764,60.798,1
1785988062,926614502,124.228,0.58,124.784,59.706,1
1785988062,993296631,120.269,0.632,120.901,62.772,1
1785988063,59978516,96.072,0.627,96.679,42.485,1
1785988063,93319092,115.398,0.651,116.044,52.691,1
1785988063,126659424,126.781,0.568,127.327,44.64,1
1785988063,193340088,118.766,0.586,119.33,58.683,1
1785988063,226680176,146.454,0.824,147.264,61.261,1
1785988063,293359863,127.227,0.575,127.777,47.205,1
1785988063,360039063,101.932,0.606,102.515,41.415,1
1785988063,393378418,125.281,0.707,125.97,56.788,1
1785988063,460056885,104.78,0.622,105.38,46.095,1
1785988063,493395752,117.192,0.723,117.899,45.854,1
