stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785988048,712634033,1785988048,712634033,,3,848,480,182.228,181.248,80.062,101.186,20.657,57.715,18.474,4.341,80.529,0.972,0.008,77.622,259.876
1785988048,912743896,1785988048,912743896,98.673,3,848,480,83.267,82.541,2.294,80.247,20.115,38.663,17.232,4.237,60.132,0.72,0.006,75.136,158.457
1785988048,979453369,1785988048,979453369,59.533,3,848,480,59.04,58.179,10.012,48.167,18.38,8.175,16.754,4.858,29.787,0.855,0.006,92.171,151.266
1785988049,79518311,1785988049,79518311,56.619,3,848,480,48.241,47.277,2.018,45.26,7.062,17.765,16.665,3.768,38.198,0.958,0.006,59.539,107.829
1785988049,112873291,1785988049,112873291,56.285,3,848,480,55.58,49.651,2.855,46.796,14.471,9.813,17.331,5.181,32.325,5.918,0.011,75.125,130.754
1785988049,179583740,1785988049,179583740,45.408,3,848,480,44.963,44.051,2.548,41.503,10.343,8.905,17.1,5.154,31.16,0.906,0.007,64.429,111.404
1785988049,212938965,1785988049,212938965,69.529,3,848,480,65.772,58.602,8.067,50.535,15.039,8.651,18.808,8.037,35.496,7.162,0.008,79.822,145.64
1785988049,246294189,1785988049,246294189,45.796,3,848,480,45.289,44.375,2.314,42.061,8.409,9.136,18.081,6.435,33.652,0.908,0.006,112.717,158.057
1785988049,279649658,1785988049,279649658,43.735,3,848,480,43.184,42.44,1.092,41.349,10.707,9.938,17.114,3.589,30.641,0.738,0.006,125.203,168.438
1785988049,379716309,1785988049,379716309,57.058,3,848,480,49.325,48.575,2.727,45.848,13.833,9.477,17.411,5.126,32.015,0.745,0.004,77.656,125.42
1785988049,446427734,1785988049,446427734,60.419,3,848,480,60.008,59.287,1.199,58.088,21.035,13.59,16.859,6.603,37.053,0.717,0.004,59.072,119.124
1785988049,513139404,1785988049,513139404,44.801,3,848,480,44.27,43.43,1.727,41.703,7.838,11.816,17.46,4.588,33.864,0.833,0.007,52.922,97.23
1785988049,546495361,1785988049,546495361,54.945,3,848,480,52.602,51.611,1.912,49.699,13.445,12.499,17.326,6.43,36.254,0.979,0.011,66.188,118.825
1785988049,613207520,1785988049,613207520,46.471,3,848,480,40.027,39.306,0.929,38.377,8.81,8.402,17.229,3.937,29.567,0.716,0.005,58.509,98.568
1785988049,646563721,1785988049,646563721,42.235,3,848,480,40.589,39.59,1.255,38.336,8.473,8.913,17.27,3.679,29.862,0.992,0.007,66.825,107.463
1785988049,679919922,1785988049,679919922,48.459,3,848,480,42.885,42.139,2.234,39.904,6.672,8.606,17.931,6.696,33.232,0.741,0.005,79.629,122.555
1785988049,746632568,1785988049,746632568,40.869,3,848,480,40.334,39.63,0.745,38.884,7.081,9.45,18.505,3.848,31.803,0.699,0.005,56.326,96.745
1785988049,779989014,1785988049,779989014,55.118,3,848,480,47.214,46.428,1.362,45.066,10.722,13.246,16.881,4.217,34.344,0.78,0.006,71.226,118.472
1785988049,846696289,1785988049,846696289,39.401,3,848,480,38.952,38.233,0.869,37.364,7.544,8.948,17.323,3.55,29.821,0.714,0.004,52.162,91.158
1785988049,880047363,1785988049,880047363,78.144,3,848,480,76.836,76.168,7.681,68.487,14.827,27.16,21.871,4.629,53.66,0.663,0.005,59.082,135.949
1785988049,913398438,1785988049,913398438,60.818,3,848,480,60.365,59.541,1.091,58.451,18.81,15.347,19.794,4.499,39.641,0.817,0.006,103.011,163.428
1785988049,946749756,1785988049,946749756,118.764,3,848,480,118.275,117.546,1.292,116.254,61.678,14.747,17.922,21.906,54.576,0.724,0.005,130.512,248.836
1785988050,80154297,1785988050,80154297,87.554,3,848,480,87.105,86.394,7.692,78.702,14.014,31.905,29.063,3.72,64.688,0.706,0.005,115.832,202.982
1785988050,180207764,1785988050,180207764,68.298,3,848,480,61.782,61.058,3.6,57.458,10.521,22.28,20.956,3.701,46.937,0.718,0.005,109.418,171.235
1785988050,280261475,1785988050,280261475,62.112,3,848,480,61.664,60.862,7.129,53.733,15.529,16.927,17.438,3.84,38.204,0.798,0.005,71.575,133.29
1785988050,346964111,1785988050,346964111,59.489,3,848,480,53.714,52.994,5.638,47.356,9.525,16.642,17.327,3.861,37.83,0.715,0.005,72.331,126.074
1785988050,380315186,1785988050,380315186,58.929,3,848,480,58.422,57.671,1.368,56.303,15.054,9.189,17.352,14.708,41.249,0.744,0.006,93.184,151.663
1785988050,447017822,1785988050,447017822,48.138,3,848,480,46.951,46.153,1.11,45.043,11.892,9.601,18.53,5.021,33.152,0.792,0.006,86.096,133.095
1785988050,513720459,1785988050,513720459,64.46,3,848,480,63.914,63.144,1.268,61.876,8.972,16.345,27.123,9.436,52.904,0.764,0.005,66.882,130.921
1785988050,580423096,1785988050,580423096,58.017,3,848,480,56.551,55.818,1.18,54.638,11.974,21.045,17.229,4.39,42.664,0.729,0.005,65.566,122.157
1785988050,613774414,1785988050,613774414,46.418,3,848,480,45.978,45.25,1.119,44.131,11.442,10.863,17.495,4.33,32.689,0.724,0.004,89.198,135.223
1785988050,680477051,1785988050,680477051,52.167,3,848,480,51.707,51.08,1.331,49.749,16.054,8.965,17.378,7.351,33.695,0.624,0.004,68.933,120.676
1785988050,747179932,1785988050,747179932,39.481,3,848,480,38.465,37.762,1.008,36.754,6.628,9.096,17.444,3.586,30.126,0.699,0.004,54.953,93.457
1785988050,780531250,1785988050,780531250,40.896,3,848,480,39.116,38.352,1.008,37.344,6.596,9.964,17.234,3.55,30.748,0.758,0.007,61.86,101.027
1785988050,813882324,1785988050,813882324,55.526,3,848,480,41.271,40.581,2.066,38.515,6.762,9.624,16.783,5.345,31.752,0.685,0.004,81.886,123.182
1785988050,880630615,1785988050,880630615,69.061,3,848,480,56.744,56.089,3.984,52.105,9.08,17.312,17.357,8.355,43.025,0.651,0.005,68.727,125.494
1785988050,947380859,1785988050,947380859,65.749,3,848,480,60.975,60.232,3.573,56.658,10.912,15.393,17.052,13.301,45.746,0.739,0.005,63.48,124.492
1785988051,14132813,1785988051,14132813,47.302,3,848,480,46.861,46.085,1.086,44.999,14.91,8.541,17.758,3.79,30.089,0.771,0.005,58.139,105.08
1785988051,47509766,1785988051,47509766,59.483,3,848,480,51.616,50.868,11.787,39.081,8.477,9.829,17.405,3.37,30.604,0.743,0.005,79.513,131.151
1785988051,114264893,1785988051,114264893,56.319,3,848,480,55.895,55.224,1.025,54.199,14.542,12.71,16.977,9.97,39.657,0.667,0.004,64.773,120.711
1785988051,181021973,1785988051,181021973,38.861,3,848,480,38.422,37.702,1.058,36.644,7.054,8.407,17.354,3.828,29.59,0.715,0.005,54.354,92.817
1785988051,247781006,1785988051,247781006,64.23,3,848,480,41.476,40.809,4.068,36.742,6.77,8.918,17.453,3.6,29.972,0.663,0.004,48.8,90.287
1785988051,281161377,1785988051,281161377,40.452,3,848,480,40.027,39.269,1.134,38.135,9.004,8.628,17.172,3.331,29.131,0.753,0.005,57.29,97.363
1785988051,314542236,1785988051,314542236,51.626,3,848,480,51.171,50.254,0.849,49.405,15.277,11.218,16.828,6.082,34.129,0.911,0.006,64.394,115.615
1785988051,381305176,1785988051,381305176,43.118,3,848,480,42.659,41.91,5.203,36.707,7.166,8.736,17.327,3.478,29.541,0.744,0.005,49.259,91.959
1785988051,414687500,1785988051,414687500,45.44,3,848,480,43.778,42.692,3.275,39.417,9.562,8.629,17.291,3.935,29.855,1.08,0.006,60.21,104.033
1785988051,448070313,1785988051,448070313,46.724,3,848,480,46.155,45.304,3.878,41.427,9.545,10.895,16.923,4.065,31.882,0.845,0.006,71.164,117.367
1785988051,514837402,1785988051,514837402,44.916,3,848,480,44.477,43.73,3.302,40.428,8.52,8.733,17.722,5.453,31.908,0.742,0.005,50.988,95.552
1785988051,581606445,1785988051,581606445,60.728,3,848,480,41.418,40.767,2.708,38.059,6.648,8.188,19.957,3.265,31.41,0.648,0.004,48.02,89.462
1785988051,614991699,1785988051,614991699,45.896,3,848,480,45.491,42.006,5.321,36.685,6.518,9.577,17.158,3.431,30.167,3.476,0.009,56.447,102.007
1785988051,648377441,1785988051,648377441,48.014,3,848,480,47.454,46.823,3.593,43.229,7.397,10.48,17.07,8.282,35.832,0.627,0.004,69.111,116.601
1785988051,715150391,1785988051,715150391,44.209,3,848,480,43.786,43.121,5.177,37.944,6.814,10.428,17.398,3.303,31.129,0.661,0.004,50.211,94.05
1785988051,748537598,1785988051,748537598,60.905,3,848,480,54.917,54.244,0.898,53.345,7.748,16.849,17.003,11.744,45.597,0.669,0.005,66.619,121.56
