capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785988048,712634033,265.28,12.974,277.99,3,0
1785988048,912743896,165.274,1.093,166.28,3,0
1785988048,979453369,154.221,4.34,158.448,3,1
1785988049,79518311,109.621,2.219,111.589,3,1
1785988049,112873291,127.934,1.276,129.13,3,1
1785988049,179583740,112.166,3.118,115.199,3,1
1785988049,212938965,141.605,1.62,143.112,3,1
1785988049,246294189,159.827,1.31,161.05,3,1
1785988049,279649658,172.037,4.707,176.564,3,1
1785988049,379716309,127.442,1.087,128.428,3,1
1785988049,446427734,120.879,1.146,121.948,3,1
1785988049,513139404,98.918,1.232,100.023,3,1
1785988049,546495361,120.812,2.03,122.519,3,1
1785988049,613207520,100.405,1.241,101.569,3,1
1785988049,646563721,111.433,2.823,114.173,3,1
1785988049,679919922,125.418,1.272,126.604,3,1
1785988049,746632568,98.349,1.069,99.341,3,1
1785988049,779989014,120.227,1.148,121.259,3,1
1785988049,846696289,94.323,1.039,95.286,3,1
1785988049,880047363,140.002,1.043,140.968,3,1
1785988049,913398438,170.198,1.294,171.398,3,1
1785988049,946749756,254.329,21.171,275.35,3,1
1785988050,80154297,206.05,1.067,206.991,3,1
1785988050,180207764,174.435,1.058,175.417,3,1
1785988050,280261475,135.757,1.074,136.753,3,1
1785988050,346964111,130.11,1.073,131.105,3,1
1785988050,380315186,153.786,1.208,154.906,3,1
1785988050,447017822,134.865,1.301,136.084,3,1
1785988050,513720459,132.502,1.209,133.599,3,1
1785988050,580423096,123.839,3.522,127.281,3,1
1785988050,613774414,137.06,1.228,138.205,3,1
1785988050,680477051,122.354,5.494,127.766,3,1
1785988050,747179932,95.052,4.495,99.426,3,1
1785988050,780531250,106.331,1.081,107.332,3,1
1785988050,813882324,125.522,5.135,130.578,3,1
1785988050,880630615,127.426,0.996,128.348,3,1
1785988050,947380859,128.693,1.006,129.623,3,1
1785988051,14132813,109.249,1.232,110.396,3,1
1785988051,47509766,132.932,1.161,134.014,3,1
1785988051,114264893,122.495,24.649,146.938,3,1
1785988051,181021973,94.409,1.103,95.439,3,1
1785988051,247781006,91.999,3.411,95.332,3,1
1785988051,281161377,100.028,1.079,100.992,3,1
1785988051,314542236,117.268,1.036,118.226,3,1
1785988051,381305176,93.518,1.156,94.599,3,1
1785988051,414687500,105.725,1.132,106.78,3,1
1785988051,448070313,118.982,0.985,119.893,3,1
1785988051,514837402,97.284,1.0,98.212,3,1
1785988051,581606445,92.26,0.97,93.157,3,1
1785988051,614991699,100.916,2.993,103.83,3,1
1785988051,648377441,119.346,0.952,120.225,3,1
1785988051,715150391,96.825,1.012,97.764,3,1
1785988051,748537598,123.34,2.275,125.542,3,1
1785988051,815312500,125.485,0.914,126.328,3,1
1785988051,882020508,128.867,1.136,129.923,3,1
1785988051,982082275,112.161,1.93,114.014,3,1
1785988052,15436035,131.002,1.038,131.962,3,1
1785988052,82143799,109.746,1.03,110.701,3,1
1785988052,115497559,122.617,16.622,138.447,3,1
1785988052,182205322,101.196,2.978,104.095,3,1
1785988052,215559082,119.062,1.083,120.065,3,1
1785988052,282266846,95.779,1.193,96.9,3,1
1785988052,315620605,109.747,1.16,110.778,3,1
1785988052,382328125,93.85,1.048,94.817,3,1
1785988052,415681885,108.606,4.566,113.087,3,1
1785988052,449035645,129.768,1.355,131.032,3,1
1785988052,515743164,122.261,1.277,123.455,3,1
1785988052,582450684,107.838,3.054,110.805,3,1
1785988052,615804443,129.841,1.074,130.837,3,1
1785988052,682511719,117.158,1.115,118.198,3,1
1785988052,749218994,91.814,1.077,92.81,3,1
1785988052,782572754,112.136,1.54,113.589,3,1
1785988052,815926270,130.949,0.944,131.822,3,1
1785988052,882822998,138.537,6.125,143.977,3,1
1785988052,949722656,125.345,1.349,126.621,3,1
1785988053,16625000,121.789,1.285,122.995,3,1
1785988053,83530273,97.02,1.38,98.31,3,1
1785988053,116983887,104.223,1.627,105.712,3,1
1785988053,150438477,121.695,10.909,132.434,3,1
1785988053,217349365,94.381,1.196,95.496,3,1
1785988053,250805908,109.036,1.205,110.164,3,1
1785988053,284263428,122.385,1.14,123.446,3,1
1785988053,351180176,97.027,1.274,98.228,3,1
1785988053,384639404,108.128,1.174,109.216,3,1
1785988053,418099609,121.922,1.715,123.557,3,1
1785988053,485022217,96.755,1.457,98.137,3,1
1785988053,518484375,115.845,1.253,117.015,3,1
1785988053,585411377,91.55,1.626,93.103,3,1
1785988053,618875732,102.05,1.108,103.084,3,1
1785988053,719273438,84.56,1.209,85.683,3,1
1785988053,752740723,95.199,1.298,96.415,3,1
1785988053,786208740,109.486,3.646,113.048,3,1
1785988053,819675049,128.202,0.925,129.056,3,1
1785988053,886380127,119.524,1.378,120.822,3,1
1785988053,953068115,106.011,2.481,108.374,3,1
1785988053,986412109,135.529,1.485,136.922,3,1
1785988054,53099365,126.444,1.182,127.545,3,1
1785988054,119786377,118.154,1.66,119.74,3,1
1785988054,186473145,94.661,9.37,103.809,3,1
1785988054,219816162,116.208,1.238,117.361,3,1
1785988054,286502197,91.363,2.903,94.189,3,1
1785988054,319845215,114.329,1.197,115.442,3,1
1785988054,386530762,93.122,1.006,94.054,3,1
1785988054,419873291,114.775,1.134,115.832,3,1
1785988054,486558105,93.212,2.103,95.237,3,1
1785988054,519900391,108.551,1.069,109.542,3,1
1785988054,553242676,121.845,1.06,122.828,3,1
1785988054,619926758,116.656,1.102,117.68,3,1
1785988054,686610596,89.64,1.256,90.823,3,1
1785988054,719952393,100.553,1.212,101.678,3,1
1785988054,753294189,114.443,1.064,115.433,3,1
1785988054,819977051,90.95,1.166,92.043,3,1
1785988054,853318848,105.221,0.946,106.095,3,1
1785988054,886673340,137.376,1.577,138.867,3,1
1785988054,953382080,122.163,1.032,123.117,3,1
1785988055,20090576,107.354,1.32,108.59,3,1
1785988055,53444824,128.232,1.083,129.233,3,1
1785988055,120152832,116.933,1.06,117.915,3,1
1785988055,186860840,90.146,1.12,91.191,3,1
1785988055,220214600,109.492,7.708,117.082,3,1
1785988055,253568359,121.073,1.059,122.056,3,1
1785988055,320275879,95.698,1.359,96.962,3,1
1785988055,353629395,119.211,1.523,120.654,3,1
1785988055,420336426,89.518,3.833,93.273,3,1
1785988055,453689697,108.235,2.591,109.872,3,1
1785988055,487043213,120.98,1.034,121.939,3,1
1785988055,553749756,94.874,0.873,95.679,3,1
1785988055,620455811,88.886,1.25,90.054,3,1
1785988055,653808838,95.772,0.93,96.634,3,1
1785988055,720514648,88.525,1.475,89.914,3,1
1785988055,753867676,96.962,1.283,98.165,3,1
1785988055,787220459,119.572,1.575,121.06,3,1
1785988055,853925781,120.533,1.321,121.779,3,1
1785988055,887295410,139.796,2.517,142.173,3,1
1785988055,954035156,145.969,1.27,147.158,3,1
1785988056,20776123,157.99,5.426,163.328,3,1
1785988056,87518311,177.587,1.169,178.616,3,1
1785988056,187633789,135.26,3.582,138.197,3,1
1785988056,254379150,135.294,15.365,150.506,3,1
1785988056,321125488,124.777,2.445,127.15,3,1
1785988056,387873047,120.373,1.068,121.357,3,1
1785988056,454621826,108.707,1.118,109.741,3,1
1785988056,487996582,117.877,6.038,123.828,3,1
1785988056,521371826,153.92,0.977,154.82,3,1
1785988056,588122803,139.218,2.714,141.844,3,1
1785988056,654875244,122.985,1.168,124.074,3,1
1785988056,721628906,101.042,1.215,102.173,3,1
1785988056,755006104,119.71,1.136,120.76,3,1
1785988056,821761475,91.896,2.053,93.871,3,1
1785988056,855139160,122.176,1.437,123.304,3,1
1785988056,921832764,100.238,1.05,101.212,3,1
1785988056,955179199,128.671,1.194,129.783,3,1
1785988057,21872314,104.743,1.853,106.502,3,1
1785988057,55218506,125.002,1.409,126.334,3,1
