capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785988048,712634033,279.482,0.575,279.949,,200.11,0
1785988048,912743896,171.267,0.463,171.646,,100.064,0
1785988048,979453369,156.195,2817.48,2973.535,-33.355,100.065,1
1785988051,381305176,595.799,4.669,600.354,-2301.787,-2301.787,1
1785988051,414687500,587.548,2.358,589.793,500.687,500.687,1
1785988051,448070313,559.289,2.08,561.257,467.304,467.304,1
1785988051,514837402,502.448,2.733,505.071,400.537,433.891,1
1785988051,581606445,442.003,3.47,445.341,333.768,367.122,1
1785988051,614991699,416.267,9.325,425.472,300.383,333.737,1
1785988051,648377441,404.996,3.26,408.079,266.997,300.351,1
1785988051,715150391,344.511,2.367,346.772,200.224,233.578,1
1785988051,748537598,316.401,2.614,318.902,166.837,200.191,1
1785988051,815312500,255.359,3.048,258.281,100.062,133.416,1
1785988051,882020508,194.762,3.069,197.698,33.354,66.708,1
1785988051,982082275,118.018,4.744,122.579,33.354,33.354,1
1785988052,15436035,133.145,2.95,135.875,0.0,33.354,1
1785988052,82143799,113.011,4.647,117.501,-33.354,33.354,1
1785988052,115497559,125.736,2.71,128.318,0.0,66.708,1
1785988052,182205322,107.993,3.113,110.975,0.0,33.354,1
1785988052,215559082,121.53,2.753,124.148,0.0,33.354,1
1785988052,282266846,101.739,5.397,106.862,33.354,33.354,1
1785988052,315620605,111.978,5.596,116.399,0.0,0.0,1
1785988052,382328125,96.911,2.833,99.595,0.0,33.354,1
1785988052,415681885,113.976,2.269,116.125,0.0,33.354,1
1785988052,449035645,132.756,4.932,137.546,0.0,66.708,1
1785988052,515743164,124.588,3.412,127.857,0.0,66.708,1
1785988052,582450684,111.835,2.342,114.067,0.0,33.354,1
1785988052,615804443,133.692,3.592,137.141,0.0,66.707,1
1785988052,682511719,121.739,3.395,125.003,0.0,0.0,1
1785988052,749218994,94.919,2.772,97.561,33.354,33.354,1
1785988052,782572754,118.504,2.566,120.948,0.0,66.802,1
1785988052,815926270,133.134,2.266,135.288,-33.354,66.897,1
1785988052,882822998,143.044,2.261,145.202,0.0,66.9,1
1785988052,949722656,127.848,2.59,130.302,0.0,66.902,1
1785988053,16625000,124.348,2.498,126.726,0.0,66.905,1
1785988053,83530273,99.55,3.028,102.355,0.0,33.454,1
1785988053,116983887,107.474,3.917,111.079,0.0,33.455,1
1785988053,150438477,126.849,2.901,129.334,0.0,66.911,1
1785988053,217349365,97.429,6.048,103.239,0.0,33.457,1
1785988053,250805908,113.65,2.535,116.061,0.0,33.458,1
1785988053,284263428,125.682,4.828,130.029,0.0,66.917,1
1785988053,351180176,102.197,5.405,107.176,0.0,33.459,1
1785988053,384639404,112.206,2.535,114.631,0.0,33.46,1
1785988053,418099609,125.022,2.901,127.798,0.0,66.923,1
1785988053,485022217,99.518,2.882,102.252,0.0,33.462,1
1785988053,518484375,118.609,2.399,120.879,0.0,33.463,1
1785988053,585411377,95.376,4.872,100.038,0.0,33.464,1
1785988053,618875732,104.348,2.953,107.159,0.0,33.465,1
1785988053,719273438,87.365,2.689,89.923,0.0,33.467,1
1785988053,752740723,98.373,2.809,101.062,0.0,0.0,1
1785988053,786208740,114.739,2.279,116.907,33.466,66.827,1
1785988053,819675049,134.174,4.133,138.184,0.0,66.705,1
1785988053,886380127,122.08,5.657,127.509,0.0,33.344,1
1785988053,953068115,110.615,2.942,113.429,-33.344,33.344,1
1785988053,986412109,138.35,3.1,141.323,0.0,66.687,1
1785988054,53099365,128.613,2.726,131.157,0.0,66.687,1
1785988054,119786377,121.474,3.721,124.938,0.0,66.687,1
1785988054,186473145,96.95,3.003,99.745,0.0,33.343,1
1785988054,219816162,120.677,2.598,123.149,0.0,66.686,1
1785988054,286502197,95.564,2.982,98.404,0.0,33.343,1
1785988054,319845215,117.204,3.429,120.501,0.0,33.343,1
1785988054,386530762,95.472,2.841,98.196,0.0,33.343,1
1785988054,419873291,117.037,3.293,120.197,0.0,66.685,1
1785988054,486558105,98.305,3.493,101.574,0.0,33.342,1
1785988054,519900391,111.538,3.706,115.118,0.0,33.342,1
1785988054,553242676,124.744,2.81,127.431,0.0,66.684,1
1785988054,619926758,119.514,2.644,122.025,0.0,66.684,1
1785988054,686610596,93.272,3.273,96.414,0.0,33.342,1
1785988054,719952393,102.997,6.082,108.305,0.0,33.342,1
1785988054,753294189,116.616,4.112,120.599,0.0,33.342,1
1785988054,819977051,93.881,3.28,97.028,0.0,33.342,1
1785988054,853318848,107.525,2.605,110.013,0.0,33.354,1
1785988054,886673340,145.301,2.518,147.697,0.0,66.709,1
1785988054,953382080,125.03,2.873,127.78,0.0,66.708,1
1785988055,20090576,110.424,2.084,112.41,0.0,0.0,1
1785988055,53444824,130.845,2.6,133.134,-33.354,-33.354,1
1785988055,120152832,119.538,2.766,122.178,33.354,66.708,1
1785988055,186860840,93.938,3.531,97.159,0.0,33.354,1
1785988055,220214600,116.468,4.664,121.007,0.0,66.708,1
1785988055,253568359,125.248,3.247,128.364,0.0,66.708,1
1785988055,320275879,98.24,3.672,101.757,0.0,33.354,1
1785988055,353629395,123.596,2.209,125.691,0.0,66.707,1
1785988055,420336426,95.798,4.346,100.018,0.0,33.353,1
1785988055,453689697,114.541,3.188,117.564,0.0,66.707,1
1785988055,487043213,122.994,5.014,127.884,0.0,66.707,1
1785988055,553749756,96.769,2.642,99.262,0.0,33.353,1
1785988055,620455811,91.208,2.37,93.463,0.0,33.353,1
1785988055,653808838,97.739,2.539,100.148,0.0,33.353,1
1785988055,720514648,92.426,2.39,94.693,0.0,33.353,1
1785988055,753867676,99.731,4.193,103.784,0.0,33.353,1
1785988055,787220459,126.429,2.431,128.739,0.0,66.705,1
1785988055,853925781,123.41,4.801,128.05,0.0,33.37,1
1785988055,887295410,144.376,3.384,147.633,0.0,0.0,1
1785988055,954035156,148.828,5.646,154.341,33.37,66.741,1
1785988056,20776123,160.646,4.643,165.163,0.0,66.742,1
1785988056,87518311,179.773,2.378,181.928,0.0,100.115,1
1785988056,187633789,139.728,2.945,142.545,0.0,66.745,1
1785988056,254379150,142.184,2.403,144.468,0.0,66.746,1
1785988056,321125488,126.796,2.383,129.065,0.0,0.0,1
1785988056,387873047,124.794,2.442,127.119,33.374,66.749,1
1785988056,454621826,111.187,2.924,113.99,0.0,33.375,1
1785988056,487996582,124.805,2.584,127.224,0.0,33.375,1
1785988056,521371826,159.395,4.432,163.47,0.0,100.127,1
1785988056,588122803,146.745,3.45,150.036,0.0,66.752,1
1785988056,654875244,128.398,4.031,132.302,0.0,66.754,1
1785988056,721628906,109.239,2.972,112.093,0.0,33.377,1
1785988056,755006104,122.111,2.642,124.622,0.0,66.755,1
1785988056,821761475,96.56,2.695,99.094,0.0,33.378,1
1785988056,855139160,125.486,2.851,128.107,0.0,66.694,1
1785988056,921832764,102.773,3.489,106.08,0.0,33.346,1
1785988056,955179199,131.279,3.274,134.349,0.0,66.693,1
1785988057,21872314,109.452,4.679,113.75,0.0,33.346,1
1785988057,55218506,130.979,3.895,134.705,0.0,66.692,1
1785988057,121910889,117.949,2.611,120.442,0.0,66.692,1
1785988057,155256836,123.207,4.065,126.543,0.0,66.692,1
1785988057,221948486,110.594,2.823,113.085,0.0,33.346,1
1785988057,255294189,118.597,3.109,121.433,0.0,33.346,1
1785988057,321985352,102.622,3.237,105.539,-33.345,-33.345,1
1785988057,355330811,109.539,14.647,124.057,33.345,33.345,1
1785988057,388676025,122.698,4.549,127.122,0.0,66.69,1
1785988057,455366455,106.796,2.734,109.388,0.0,33.345,1
1785988057,488711426,123.632,2.987,126.482,0.0,66.69,1
1785988057,555401123,105.13,3.4,108.391,0.0,33.345,1
1785988057,622090332,96.15,2.803,98.829,0.0,33.345,1
1785988057,655435059,119.6,2.647,122.12,0.0,66.688,1
1785988057,722123535,92.161,3.485,95.506,0.0,33.344,1
1785988057,755467773,103.88,3.121,106.865,0.0,33.344,1
1785988057,788812012,124.908,2.48,127.243,0.0,33.344,1
1785988057,822156006,124.433,2.202,126.529,0.0,66.693,1
1785988057,855500244,160.512,2.19,162.588,0.0,100.046,1
1785988057,955545898,97.274,2.534,99.669,0.0,33.348,1
1785988057,988894287,124.24,2.684,126.75,0.0,66.697,1
1785988058,55590820,93.774,2.767,96.41,0.0,33.348,1
1785988058,88938965,110.933,2.981,113.777,0.0,33.348,1
1785988058,122287109,123.461,3.58,126.906,0.0,66.696,1
1785988058,188982910,97.017,13.346,109.118,0.0,33.348,1
1785988058,222330811,121.996,2.608,124.486,0.0,66.695,1
1785988058,289026123,95.241,2.957,98.068,0.0,33.348,1
1785988058,322373779,109.325,2.578,111.751,0.0,33.347,1
1785988058,355721191,119.381,3.257,122.506,0.0,33.347,1
1785988058,422416016,95.676,2.39,97.933,-33.347,33.347,1
1785988058,455763428,99.334,2.971,102.175,0.0,33.347,1
1785988058,489110596,118.896,2.737,121.499,0.0,66.694,1
1785988058,555804688,110.787,2.552,113.21,0.0,33.347,1
1785988058,589151611,125.357,4.779,130.006,0.0,66.694,1
1785988058,655845215,99.068,3.304,102.247,0.0,33.347,1
1785988058,689191895,121.132,2.775,123.742,0.0,66.693,1
