wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785988029.938,1,0.0598,72,0,18816,0,360,0.1596,52,0,15740,0,792,,,0.6782,2,2,30408,0,1009,0.2693,46,0,18992,0,611,0.3989,43,0,18984,0,677,0.0499,28,1,36540,0,391,0.5625,0.7265,0.6442,0.875,0.0093,2123920,29359100,244,1793,1199,1782,1783,1782,1783,853,1794,596,716,1199,1798,1248,0,858,842,840,1798,599,0,714,854,1792,1791,843,841,840,31428,31614,28894,15,1087,5016,5460000,0,,,,,,,,,,,
1785988030.981,2,0.264,95,1,24988,0,597,0.0587,80,0,20100,0,944,,,0.3911,23,1,56576,0,1389,0.264,18,2,23724,0,933,0.2542,13,1,23744,0,996,0.0,0,1,36540,0,391,0.4499,0.6333,0.6538,0.4854,0.0,2091036,29359100,6512,1793,1198,1782,1782,1783,1783,854,1796,596,718,1202,1799,1250,0,858,844,840,1799,599,0,715,856,1797,1787,840,841,843,30604,31148,29795,15,1143,5016,5740000,0,,,,,,,,,,,
1785988031.956,3,0.2214,114,2,31232,0,836,0.0302,37,2,23232,0,996,,,0.1811,10,0,57584,0,1616,0.1409,40,1,30772,0,1101,0.1409,36,1,30744,0,1136,0.0,0,1,36540,0,391,0.2642,0.4062,0.2947,0.3646,0.0,2083440,29359100,2052,1793,1200,1782,1782,1782,1783,855,1796,596,718,1196,1799,1250,0,858,846,837,1796,600,0,713,854,1796,1790,838,840,834,30293,31521,29811,15,1200,5015,6020000,0,,,,,,,,,,,
1785988032.991,4,0.0877,80,2,38512,0,951,0.0292,25,0,24436,0,1050,,,0.1267,3,2,57820,0,1707,0.682,1,2,46540,0,1533,0.6723,1,0,46256,0,1972,0.0097,0,1,36780,0,391,0.6448,0.9515,0.9223,0.7059,0.0,2092008,29359100,3852,1792,1197,1782,1782,1781,1782,854,1795,596,718,1195,1802,1252,0,857,842,838,1797,599,0,713,856,1795,1792,842,840,840,30868,32018,30013,15,1191,5016,5980000,0,,,,,,,,,,,
1785988033.976,5,0.2344,79,0,51560,0,1088,0.0611,60,2,27064,0,1161,,,0.0102,0,2,57820,0,1707,0.4076,0,1,68068,0,1990,0.3872,2,2,47140,0,2409,0.0102,0,1,36780,0,391,0.403,0.505,0.47,0.6337,0.0,2101524,29359100,7388,1793,1196,1782,1784,1783,1784,853,1796,597,718,1199,1802,1248,0,856,845,838,1795,599,0,716,856,1798,1791,843,841,834,31132,30759,29065,15,1175,5015,5890000,0,38118,20253,41948,48579,29684,26605,,,,,
1785988035.042,6,0.2438,57,1,65356,0,1458,0.1658,98,0,40160,0,1497,,,0.0195,0,2,57948,0,1707,0.6242,42,1,73716,0,2713,0.6339,0,2,69160,0,3255,0.0098,0,1,36908,0,391,0.5512,0.7273,0.7692,0.7157,0.0,2108380,29359100,3556,1793,1199,1783,1783,1783,1784,854,1798,596,716,1198,1801,1251,0,857,843,840,1795,600,0,715,856,1793,1791,842,841,838,31567,30029,30293,15,1168,5015,5860000,0,,,,,,,,,,,
1785988035.995,7,0.0301,0,1,65692,0,1458,0.5822,57,1,42016,0,1881,,,0.01,0,2,58088,0,1707,0.0301,0,0,73824,0,2734,0.4818,18,1,74384,0,3635,0.0301,0,1,37168,0,391,0.5291,0.9271,0.5532,0.6421,0.0,2086724,29359100,2180,1792,1198,1781,1782,1781,1782,852,1795,596,716,1197,1799,1250,0,858,841,844,1796,599,0,715,852,1794,1794,841,840,835,31490,29733,30293,15,1147,5016,5760000,0,,,,,,,,,,,
1785988036.979,8,0.0711,0,1,65692,0,1458,0.7817,41,0,48632,0,2212,,,0.0102,0,2,58220,0,1707,0.0102,0,0,73824,0,2737,0.0102,0,1,74532,0,3635,0.0,0,1,37168,0,391,0.6031,0.7188,0.9898,0.7113,0.0,2077604,29359100,112,1793,1198,1781,1783,1782,1782,854,1797,597,717,1199,1800,1251,0,856,842,839,1796,599,0,714,857,1797,1791,839,841,840,30915,31194,28801,15,1140,5016,5720000,0,,,,,,,,,,,
1785988037.95,9,0.0204,0,1,65828,0,1458,0.5604,92,1,60196,0,2811,,,0.0,0,2,58220,0,1707,0.0204,0,1,73960,0,2739,0.0204,0,1,74836,0,3635,0.0,0,1,37168,0,391,0.376,0.7188,0.3511,0.4479,0.0,2066028,29359100,80,1793,1197,1781,1782,1782,1783,853,1794,597,714,1200,1798,1251,0,859,842,838,1796,599,0,716,856,1796,1789,841,841,843,30231,30604,29034,15,1087,5016,5460000,0,,,,,,,,,,,
1785988038.972,10,0.0,0,1,65828,0,1458,0.4506,89,0,65084,0,3129,,,0.0,0,2,58220,0,1707,0.0098,0,1,73960,0,2741,0.0,0,1,74836,0,3635,0.0,0,1,37168,0,391,0.3084,0.2871,0.5377,0.3981,0.0,2068756,29359100,776,1794,1194,1782,1783,1782,1783,856,1796,597,715,1199,1800,1248,0,857,841,840,1795,599,0,713,854,1794,1792,842,840,839,30479,31769,30184,15,1105,5016,5540000,0,44786,48346,41418,53244,54215,26225,,,,,
