capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785989394,506574707,182.179,7.268,,,0
1785989394,606523438,144.84,0.946,,56.291,0
1785989394,673152832,2966.127,5.33,2971.436,2892.3,1
1785989396,872921387,794.998,1.017,796.004,24.33,1
1785989396,972940918,701.725,2.302,703.972,7.974,1
1785989397,6280273,687.038,4.304,690.113,19.478,1
1785989397,106298096,593.86,1.145,594.985,4.913,1
1785989397,172976074,535.638,2.105,537.742,9.408,1
1785989397,206323730,508.611,2.538,532.17,6.75,1
1785989397,273019043,474.621,2.054,476.679,32.235,1
1785989397,339713867,418.824,1.784,420.607,10.611,1
1785989397,406408691,360.433,0.574,360.986,7.115,1
1785989397,473103027,298.737,0.801,299.438,5.145,1
1785989397,539797363,246.205,2.709,248.911,16.141,1
1785989397,573144287,222.382,0.686,223.039,7.5,1
1785989397,673184814,133.925,0.962,134.871,11.857,1
1785989397,706531494,151.822,0.835,152.63,51.116,1
1785989397,773224854,134.638,0.666,135.279,49.346,1
1785989397,839917969,111.949,0.674,112.6,44.017,1
1785989397,873264404,132.837,0.585,133.4,54.147,1
1785989397,939957031,107.724,0.992,108.696,41.985,1
1785989397,973303223,140.939,0.769,141.692,66.338,1
1785989398,39995605,115.967,0.813,116.763,41.763,1
1785989398,73341553,143.294,0.659,143.931,60.521,1
1785989398,140033447,132.297,0.595,132.854,55.616,1
1785989398,206765137,129.04,0.593,129.607,63.485,1
1785989398,273538330,126.225,0.606,126.807,63.973,1
1785989398,306925781,165.053,0.63,165.662,72.242,1
1785989398,373702393,150.302,0.903,151.188,52.291,1
1785989398,440481201,141.191,1.124,142.305,57.888,1
1785989398,507262451,128.216,0.702,128.892,53.384,1
1785989398,574045898,123.62,0.755,124.364,62.25,1
1785989398,640831787,111.627,0.731,112.338,54.763,1
1785989398,674225586,129.227,0.743,129.943,51.002,1
1785989398,741014648,105.771,0.938,106.686,43.528,1
1785989398,807806396,100.327,0.614,100.918,61.03,1
1785989398,841202881,110.534,0.661,111.168,43.646,1
1785989398,874600098,128.892,0.614,129.482,51.713,1
1785989398,941396240,147.932,0.652,148.531,85.844,1
1785989399,8194824,132.356,0.598,132.93,51.197,1
1785989399,74995361,120.556,0.693,121.225,55.092,1
1785989399,141798584,99.916,0.572,100.464,46.048,1
1785989399,175199707,113.514,1.138,114.637,47.549,1
1785989399,208548828,132.115,0.792,132.888,51.62,1
1785989399,275246582,116.222,0.708,116.91,50.722,1
1785989399,308595459,130.54,0.703,131.225,47.663,1
1785989399,375292725,130.594,0.936,131.533,66.983,1
1785989399,441989746,122.906,0.656,123.54,58.73,1
1785989399,475338135,132.162,0.718,132.862,42.664,1
1785989399,542034668,125.518,0.795,126.295,60.127,1
1785989399,608730957,105.417,0.866,106.26,46.662,1
1785989399,642079102,132.525,0.693,133.193,60.286,1
1785989399,708774658,118.953,1.158,120.095,53.59,1
1785989399,742122559,148.837,0.839,149.593,62.851,1
1785989399,808817871,122.15,1.011,123.127,40.226,1
1785989399,875512695,109.277,0.927,110.186,53.754,1
1785989399,908860107,126.978,0.738,127.695,50.865,1
1785989399,975554443,122.215,0.724,122.922,61.915,1
1785989400,8901611,150.448,0.987,151.418,61.838,1
1785989400,75595703,132.149,0.795,132.93,48.211,1
1785989400,108942383,143.253,0.713,143.946,44.366,1
1785989400,175636230,118.061,0.73,118.768,41.514,1
1785989400,209095215,143.641,0.614,144.226,58.922,1
1785989400,276015625,111.105,6.541,117.648,40.312,1
1785989400,309477051,131.024,3.536,134.76,50.373,1
1785989400,376402100,116.029,2.105,118.147,50.499,1
1785989400,409865723,136.469,1.659,138.128,53.462,1
1785989400,476795654,130.609,0.663,131.251,60.077,1
1785989400,543728516,111.34,0.586,111.905,47.589,1
1785989400,577196289,140.925,0.895,141.787,63.344,1
1785989400,644134033,126.465,0.641,127.085,52.241,1
1785989400,711074707,117.137,0.853,117.954,57.808,1
1785989400,744546387,149.566,1.058,150.607,66.116,1
1785989400,811491943,147.532,1.778,149.304,65.604,1
1785989400,878440674,121.417,0.68,122.075,39.767,1
1785989400,911916260,142.794,0.946,143.707,55.108,1
1785989400,978869629,129.999,1.112,131.088,54.327,1
1785989401,12347412,169.93,0.843,170.749,73.144,1
1785989401,112785889,127.577,0.717,128.272,57.963,1
1785989401,179745850,114.586,0.833,115.403,54.081,1
1785989401,213079346,130.304,0.735,131.018,48.957,1
1785989401,279746094,120.5,0.637,121.116,56.766,1
1785989401,313078857,136.492,0.963,137.44,49.646,1
1785989401,379743896,124.265,0.765,125.025,54.248,1
1785989401,446407959,116.43,0.782,117.209,58.843,1
1785989401,479739502,134.624,1.043,135.644,51.782,1
1785989401,546401855,132.934,0.942,136.349,64.867,1
1785989401,613063477,119.527,1.152,120.675,53.467,1
1785989401,646393799,170.141,0.748,171.07,83.54,1
1785989401,713053711,164.254,0.825,165.135,60.851,1
1785989401,813041748,126.94,0.583,127.498,62.436,1
1785989401,879699219,109.615,0.657,110.252,49.405,1
1785989401,913027344,128.748,0.729,129.456,52.536,1
1785989401,979683350,113.577,1.807,115.361,52.557,1
1785989402,13010986,144.905,0.672,145.557,63.526,1
1785989402,46338135,156.056,0.582,156.614,44.388,1
1785989402,112991943,135.44,0.701,136.119,46.158,1
1785989402,179645752,123.457,0.729,124.167,54.696,1
1785989402,212983643,153.261,0.718,153.958,63.126,1
1785989402,279659180,129.759,0.642,130.379,43.102,1
1785989402,346333984,128.305,0.686,129.003,65.264,1
1785989402,413007813,117.736,0.613,118.323,56.031,1
1785989402,446344727,154.155,0.72,154.856,69.869,1
1785989402,513017578,145.033,0.707,145.721,57.534,1
1785989402,579689697,128.822,0.71,129.512,50.467,1
1785989402,646361084,110.23,0.988,111.161,48.315,1
1785989402,679696533,131.403,0.946,132.309,54.485,1
1785989402,746366699,120.568,0.595,121.141,55.508,1
1785989402,779701660,127.187,0.617,127.776,39.97,1
1785989402,846370850,108.596,0.681,109.25,48.141,1
1785989402,879705322,129.017,0.743,129.748,53.826,1
1785989402,946373291,115.914,0.685,116.579,53.501,1
1785989402,979707031,139.532,0.761,140.271,57.024,1
1785989403,46374023,144.443,0.804,145.216,71.619,1
1785989403,113040283,126.687,0.602,127.266,48.717,1
1785989403,179706543,115.746,1.24,116.825,56.212,1
1785989403,213046631,126.509,0.712,127.201,43.726,1
1785989403,279726318,128.852,0.751,129.596,69.063,1
1785989403,346405518,113.36,0.824,114.16,51.254,1
1785989403,379744629,120.872,0.921,121.782,40.956,1
1785989403,413083740,129.383,0.753,130.123,41.68,1
1785989403,479761475,122.074,0.875,122.929,59.486,1
1785989403,513100098,134.616,0.705,135.299,45.717,1
1785989403,579776855,111.131,0.911,111.927,43.294,1
1785989403,613115234,149.509,2.002,151.496,72.905,1
1785989403,679791016,130.288,0.846,130.958,46.149,1
1785989403,746466064,118.185,1.049,119.215,54.924,1
1785989403,779803467,151.666,0.775,152.419,66.552,1
1785989403,846477539,139.085,0.906,139.963,54.212,1
1785989403,913151123,117.24,2.145,119.385,46.074,1
1785989403,946487549,131.993,0.9,132.877,46.84,1
1785989404,13160156,136.806,0.834,137.506,71.317,1
