stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785989394,506574707,1785989394,506574707,,5,848,480,92.544,91.658,27.452,64.206,20.599,11.979,18.297,13.331,43.607,0.881,0.005,63.773,156.337
1785989394,606523438,1785989394,606523438,77.821,5,848,480,56.731,55.725,11.471,44.254,11.023,11.34,17.384,4.507,33.231,1.0,0.006,77.464,134.227
1785989394,673152832,1785989394,673152832,54.663,5,848,480,54.209,53.387,1.164,52.223,19.682,9.396,17.814,5.331,32.541,0.817,0.004,67.996,122.242
1785989394,739779297,1785989394,739779297,66.983,5,848,480,66.581,62.475,0.959,61.516,20.644,12.986,16.905,10.98,40.872,4.097,0.009,55.984,122.626
1785989394,806403076,1785989394,806403076,47.82,5,848,480,46.537,45.54,1.856,43.684,8.484,13.443,16.638,5.119,35.201,0.989,0.007,57.231,103.825
1785989394,873024170,1785989394,873024170,56.22,5,848,480,48.003,47.085,2.219,44.866,11.53,9.187,17.361,6.789,33.336,0.912,0.006,45.371,93.404
1785989394,906333740,1785989394,906333740,57.166,5,848,480,56.725,55.043,4.049,50.995,14.832,10.247,16.879,9.037,36.163,1.672,0.01,60.494,117.291
1785989394,972950684,1785989394,972950684,55.271,5,848,480,53.817,48.95,3.613,45.337,9.538,12.675,16.876,6.248,35.799,0.877,3.99,56.147,109.931
1785989395,6258301,1785989395,6258301,80.903,5,848,480,73.83,73.009,4.913,68.096,22.73,21.694,18.41,5.262,45.366,0.816,0.005,79.649,153.503
1785989395,106176758,1785989395,106176758,78.09,5,848,480,71.017,70.056,3.34,66.715,27.492,16.32,18.555,4.348,39.223,0.956,0.005,60.635,131.677
1785989395,172786865,1785989395,172786865,61.227,5,848,480,54.806,53.992,14.156,39.836,7.875,9.082,18.174,4.705,31.96,0.809,0.005,73.026,126.295
1785989395,239459229,1785989395,239459229,43.903,5,848,480,43.407,42.393,1.04,41.353,8.129,10.533,17.405,5.286,33.224,1.007,0.006,60.077,103.537
1785989395,272794922,1785989395,272794922,69.89,5,848,480,68.377,67.455,1.029,66.426,25.712,14.477,18.067,8.17,40.714,0.916,0.006,71.675,140.089
1785989395,339465576,1785989395,339465576,55.3,5,848,480,54.684,53.879,2.063,51.816,10.241,9.593,26.593,5.388,41.575,0.8,0.005,73.985,128.73
1785989395,406135010,1785989395,406135010,43.796,5,848,480,43.296,42.27,1.28,40.99,7.754,10.475,17.251,5.51,33.236,1.02,0.006,62.631,105.844
1785989395,439469482,1785989395,439469482,54.235,5,848,480,51.087,50.268,1.435,48.832,16.907,9.718,17.494,4.714,31.926,0.814,0.005,75.629,126.833
1785989395,506136963,1785989395,506136963,58.444,5,848,480,55.327,54.57,6.144,48.426,14.475,11.194,17.687,5.07,33.951,0.752,0.005,63.211,118.513
1785989395,572803467,1785989395,572803467,62.886,5,848,480,62.439,61.738,3.891,57.847,19.813,11.745,16.94,9.349,38.034,0.696,0.005,52.252,114.726
1785989395,639468750,1785989395,639468750,70.324,5,848,480,59.743,58.957,1.13,57.827,10.578,15.226,16.726,15.298,47.25,0.781,0.004,58.62,118.384
1785989395,706133057,1785989395,706133057,54.005,5,848,480,53.601,52.764,4.012,48.752,9.484,17.478,16.84,4.949,39.267,0.831,0.006,52.087,105.736
1785989395,739464600,1785989395,739464600,78.497,5,848,480,76.786,76.019,9.126,66.893,18.322,20.672,16.816,11.084,48.571,0.762,0.004,74.081,150.892
1785989395,839457764,1785989395,839457764,41.111,5,848,480,40.55,39.842,0.974,38.868,7.815,9.484,17.254,4.316,31.053,0.704,0.005,51.422,92.008
1785989395,872788086,1785989395,872788086,61.92,5,848,480,54.954,54.217,1.666,52.551,18.503,9.422,16.933,7.693,34.048,0.733,0.005,65.632,120.597
1785989395,939448242,1785989395,939448242,46.328,5,848,480,45.926,45.012,5.385,39.628,7.375,10.54,17.07,4.643,32.253,0.909,0.005,54.302,100.28
1785989395,972777832,1785989395,972777832,55.178,5,848,480,53.517,52.815,0.897,51.918,9.934,11.502,16.862,13.62,41.984,0.698,0.004,68.577,122.112
1785989396,39436035,1785989396,39436035,71.884,5,848,480,71.445,68.614,4.947,63.667,12.896,17.375,17.132,16.265,50.772,2.823,0.008,55.863,127.37
1785989396,106093018,1785989396,106093018,94.292,5,848,480,93.777,93.002,1.99,91.012,37.961,21.389,17.046,14.616,53.051,0.77,0.005,61.164,154.991
1785989396,206092285,1785989396,206092285,68.708,5,848,480,62.457,61.653,5.029,56.625,13.655,11.996,25.211,5.764,42.97,0.799,0.004,61.206,123.687
1785989396,272777832,1785989396,272777832,60.683,5,848,480,60.005,59.016,0.908,58.108,14.152,16.38,16.809,10.768,43.956,0.984,0.005,57.642,117.689
1785989396,339462646,1785989396,339462646,53.033,5,848,480,52.651,51.048,0.986,50.062,10.705,17.679,16.891,4.787,39.357,1.537,0.066,51.405,104.13
1785989396,372804932,1785989396,372804932,56.158,5,848,480,49.808,48.848,0.801,48.047,11.044,14.953,17.535,4.516,37.003,0.954,0.005,77.022,126.851
1785989396,439489014,1785989396,439489014,60.199,5,848,480,59.765,58.891,0.989,57.902,20.512,11.629,21.314,4.449,37.391,0.869,0.005,60.56,120.36
1785989396,506172607,1785989396,506172607,65.215,5,848,480,59.865,59.046,2.47,56.575,16.624,14.73,16.818,8.403,39.952,0.814,0.005,59.005,118.896
1785989396,572855469,1785989396,572855469,45.527,5,848,480,45.079,44.25,0.936,43.314,8.856,11.101,17.557,5.8,34.458,0.825,0.005,52.619,97.736
1785989396,606196533,1785989396,606196533,58.607,5,848,480,45.216,44.489,6.445,38.044,7.173,8.564,17.32,4.988,30.872,0.722,0.005,77.766,123.017
1785989396,672878662,1785989396,672878662,42.175,5,848,480,41.689,40.864,0.804,40.061,7.689,10.767,17.198,4.407,32.372,0.82,0.005,56.769,98.5
1785989396,706219482,1785989396,706219482,61.85,5,848,480,60.201,59.367,1.767,57.6,10.729,11.852,17.943,17.076,46.871,0.829,0.004,66.783,127.003
1785989396,772900635,1785989396,772900635,53.395,5,848,480,52.979,51.867,1.227,50.641,10.629,18.975,16.77,4.267,40.012,1.106,0.006,60.703,113.732
1785989396,806240967,1785989396,806240967,79.807,5,848,480,77.86,77.136,8.83,68.306,18.706,18.58,17.347,13.673,49.6,0.719,0.005,82.299,160.187
1785989396,872921387,1785989396,872921387,61.839,5,848,480,61.419,60.521,4.382,56.139,15.925,18.066,17.3,4.848,40.214,0.893,0.005,93.885,155.346
1785989396,972940918,1785989396,972940918,55.588,5,848,480,55.169,53.752,1.025,52.727,8.624,19.117,18.383,6.604,44.103,1.408,0.009,55.708,110.945
1785989397,6280273,1785989397,6280273,80.692,5,848,480,77.738,76.931,9.375,67.557,14.219,22.128,24.564,6.645,53.337,0.803,0.004,80.75,158.265
1785989397,106298096,1785989397,106298096,60.215,5,848,480,59.606,58.593,1.071,57.522,24.23,9.198,16.951,7.143,33.292,1.007,0.006,58.821,118.472
1785989397,172976074,1785989397,172976074,47.501,5,848,480,45.79,44.893,1.021,43.871,8.65,12.194,17.472,5.555,35.221,0.892,0.005,53.473,99.29
1785989397,206323730,1785989397,206323730,63.061,5,848,480,62.562,61.828,0.981,60.846,10.636,14.283,27.504,8.423,50.21,0.729,0.005,66.4,128.999
1785989397,273019043,1785989397,273019043,60.575,5,848,480,59.998,58.934,0.956,57.978,22.858,11.566,17.532,6.022,35.12,1.058,0.006,62.844,122.889
1785989397,339713867,1785989397,339713867,66.08,5,848,480,65.382,64.517,1.082,63.435,30.78,8.315,20.262,4.078,32.655,0.858,0.007,56.848,122.494
1785989397,406408691,1785989397,406408691,70.598,5,848,480,68.611,67.761,1.252,66.509,21.835,11.62,24.584,8.469,44.674,0.845,0.005,57.529,126.172
1785989397,473103027,1785989397,473103027,67.3,5,848,480,66.79,60.401,0.819,59.582,20.619,16.091,17.316,5.555,38.962,6.376,0.014,59.959,126.805
1785989397,539797363,1785989397,539797363,55.386,5,848,480,54.883,44.33,0.917,43.413,8.203,11.448,17.968,5.794,35.21,10.545,0.008,60.545,115.486
1785989397,573144287,1785989397,573144287,71.642,5,848,480,69.237,68.369,10.668,57.701,9.406,21.03,20.046,7.218,48.295,0.863,0.005,92.886,153.756
1785989397,673184814,1785989397,673184814,56.758,5,848,480,50.58,49.748,2.588,47.16,10.204,14.028,17.243,5.685,36.957,0.826,0.006,59.876,110.477
1785989397,706531494,1785989397,706531494,57.699,5,848,480,54.767,53.996,3.879,50.117,11.771,17.024,17.15,4.173,38.346,0.766,0.005,80.039,134.833
1785989397,773224854,1785989397,773224854,56.049,5,848,480,55.511,54.683,7.275,47.408,16.982,8.738,17.221,4.467,30.426,0.823,0.005,68.634,124.183
1785989397,839917969,1785989397,839917969,40.649,5,848,480,40.24,39.525,1.013,38.512,7.547,9.537,17.307,4.121,30.965,0.71,0.005,57.861,98.138
1785989397,873264404,1785989397,873264404,55.685,5,848,480,53.763,53.018,1.347,51.671,10.921,18.07,17.216,5.464,40.75,0.741,0.004,66.687,120.473
1785989397,939957031,1785989397,939957031,40.165,5,848,480,39.756,39.0,0.898,38.103,7.166,9.23,17.196,4.51,30.937,0.751,0.005,54.157,93.95
1785989397,973303223,1785989397,973303223,62.643,5,848,480,61.146,60.35,0.916,59.434,9.76,18.275,19.098,12.302,49.674,0.79,0.005,62.072,123.25
1785989398,39995605,1785989398,39995605,42.594,5,848,480,42.17,41.308,0.963,40.345,7.407,10.985,17.298,4.655,32.938,0.856,0.006,56.942,99.153
1785989398,73341553,1785989398,73341553,64.436,5,848,480,62.48,61.812,1.556,60.257,20.828,9.648,17.504,12.278,39.429,0.663,0.005,67.741,130.234
1785989398,140033447,1785989398,140033447,57.84,5,848,480,57.445,56.74,10.349,46.391,13.608,8.699,17.205,6.879,32.783,0.699,0.005,63.904,121.389
1785989398,206765137,1785989398,206765137,64.057,5,848,480,63.632,62.897,0.946,61.95,7.567,18.302,22.793,13.288,54.383,0.73,0.005,55.043,118.709
1785989398,273538330,1785989398,273538330,63.183,5,848,480,61.828,61.011,0.936,60.075,12.617,23.124,16.98,7.354,47.458,0.812,0.005,53.264,115.122
