capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785989054,252052246,123.198,6.099,129.171,5,0
1785989054,318583252,125.556,1.159,126.621,5,0
1785989054,385164551,109.383,11.617,120.835,5,1
1785989054,418479492,117.069,1.286,118.199,5,1
1785989054,518421143,88.185,1.217,89.327,5,1
1785989054,585046387,88.091,1.423,89.434,5,1
1785989054,651669434,87.61,1.358,88.888,5,1
1785989054,751600586,91.903,1.254,93.082,5,1
1785989054,818218506,93.967,1.332,95.216,5,1
1785989054,851526855,224.766,1.771,226.446,5,1
1785989055,18060791,138.094,7.399,145.126,5,1
1785989055,51365967,159.624,1.598,161.13,5,1
1785989055,117975098,142.838,2.998,145.746,5,1
1785989055,151278809,179.847,2.53,182.291,5,1
1785989055,251186768,142.29,3.393,145.581,5,1
1785989055,351091553,108.423,2.127,110.454,5,1
1785989055,384453613,132.295,16.028,148.183,5,1
1785989055,451179688,138.391,7.423,145.71,5,1
1785989055,517907959,130.363,1.154,131.437,5,1
1785989055,584638672,127.479,5.381,132.782,5,1
1785989055,651372070,126.89,7.048,133.858,5,1
1785989055,718107666,125.773,3.308,128.984,5,1
1785989055,784845703,127.181,1.385,128.484,5,1
1785989055,851586182,126.275,5.092,131.289,5,1
1785989055,918329102,111.465,4.047,114.17,5,1
1785989055,951701416,176.965,6.413,183.29,5,1
1785989056,18447998,192.102,6.003,194.347,5,1
1785989056,151948486,126.803,3.777,130.5,5,1
1785989056,218702393,123.333,1.194,124.434,5,1
1785989056,252080078,152.788,1.581,154.284,5,1
1785989056,352216553,120.833,1.766,122.497,5,1
1785989056,418905273,107.54,11.885,119.288,5,1
1785989056,452249512,125.731,1.939,127.577,5,1
1785989056,518937500,102.872,3.329,106.025,5,1
1785989056,552281006,141.427,3.286,144.611,5,1
1785989056,618968018,127.674,2.037,129.609,5,1
1785989056,685654053,125.577,2.581,127.824,5,1
1785989056,752339844,158.573,1.775,160.259,5,1
1785989056,785682373,168.505,1.98,170.369,5,1
1785989056,885708984,127.214,7.144,134.257,5,1
1785989056,919050781,161.337,2.558,163.802,5,1
1785989057,19075684,155.255,2.7,157.858,5,1
1785989057,85758057,162.106,1.983,163.987,5,1
1785989057,185780273,120.179,2.152,121.981,5,1
1785989057,219120605,125.862,1.224,127.008,5,1
1785989057,319141113,92.127,1.762,93.81,5,1
1785989057,352481201,132.231,1.171,133.323,5,1
1785989057,419200195,140.764,10.197,150.845,5,1
1785989057,485920410,137.06,3.228,140.123,5,1
1785989057,552641846,124.444,2.069,126.437,5,1
1785989057,619364502,100.851,1.063,101.827,5,1
1785989057,686088135,100.546,1.658,102.114,5,1
1785989057,752812744,94.468,1.026,95.373,5,1
1785989057,852902100,86.859,1.025,87.812,5,1
1785989057,919629639,87.982,1.025,88.935,5,1
1785989057,986358398,91.98,1.164,93.065,5,1
1785989058,53088135,103.058,2.216,105.174,5,1
1785989058,86453613,123.125,1.444,124.482,5,1
1785989058,153185059,107.735,2.137,109.745,5,1
1785989058,186551270,128.639,0.961,129.526,5,1
1785989058,286651611,91.266,0.997,92.186,5,1
1785989058,353386230,86.925,1.179,88.016,5,1
1785989058,420087402,88.261,0.93,89.117,5,1
1785989058,486788086,85.736,4.534,90.173,5,1
