wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785989041.272,1,0.5584,0,2,64648,0,1193,0.6083,0,2,44972,0,587,,,0.6781,0,0,30216,0,2296,0.6282,0,2,23176,0,1084,0.5285,0,1,21320,0,1371,0.0,0,1,36880,0,485,0.75,1.0,0.9919,1.0,0.0,2131952,29359100,114160,1792,1197,1782,1782,1782,1783,856,1795,596,717,1200,1797,1251,0,858,840,839,1798,600,0,715,856,1796,1792,842,840,837,30619,31070,30542,15,1205,5016,6050000,0,,,,,,,,,,,
1785989042.377,2,0.067,0,2,66084,0,1193,0.3922,0,1,44972,0,938,,,0.6792,0,0,57108,0,3785,0.4305,0,2,43900,0,1349,0.6313,0,1,45568,0,2419,0.0191,0,1,37112,0,485,0.7483,1.0,1.0,1.0,0.0,2076124,29359100,99032,1794,1198,1782,1783,1782,1783,854,1796,597,717,1197,1802,1251,0,857,846,837,1798,600,0,714,857,1794,1792,841,841,839,30884,31101,31288,15,1207,5016,6050000,0,,,,,,,,,,,
1785989043.337,3,0.0416,0,2,66084,0,1193,0.5719,0,1,47964,0,1760,,,0.2704,0,0,58020,0,4233,0.6239,0,2,46912,0,1733,0.4991,0,0,46636,0,3268,0.0,0,1,37212,0,485,0.7474,0.9894,1.0,1.0,0.0,2064920,29359100,93700,1794,1197,1783,1783,1783,1784,855,1795,597,716,1197,1798,1250,0,858,841,841,1798,600,0,714,855,1796,1793,843,841,838,30417,31521,30402,15,1186,5016,5950000,0,,,,,,,,,,,
1785989044.351,4,0.0492,2,2,66260,0,1193,0.3247,0,2,47964,0,2206,,,0.0,0,0,58132,0,4233,0.364,0,0,69840,0,2327,0.4427,0,2,48012,0,3586,0.0098,0,1,37212,0,485,0.7506,1.0,1.0,1.0,0.0,2039908,29359100,81176,1792,1200,1781,1782,1781,1782,855,1794,596,717,1196,1802,1249,0,858,844,840,1797,600,0,714,854,1797,1793,840,841,839,31645,31552,31365,15,1193,5016,5990000,0,,,,,,,,,,,
1785989045.195,5,0.0308,0,2,66364,0,1193,0.5849,0,0,55100,0,3169,,,0.0103,0,0,58292,0,4233,0.5952,0,1,73768,0,3675,0.4926,0,2,66988,0,3972,0.0,0,1,37212,0,485,0.7466,1.0,1.0,1.0,0.0,2020972,29359100,71572,1793,1198,1782,1783,1782,1782,856,1796,597,716,1197,1800,1251,1,858,843,838,1798,600,0,716,854,1795,1792,840,841,844,30681,30837,30200,15,1192,5016,5990000,0,46905,40540,41545,53365,48612,26151,,,,,
1785989046.164,6,0.0096,0,2,66364,0,1193,0.8433,0,0,70112,0,3973,,,0.0192,0,0,58292,0,4233,0.0671,0,1,74224,0,3768,0.4792,0,2,74724,0,4675,0.0287,0,1,37488,0,485,0.4646,1.0,0.6322,0.2273,0.0,2010380,29359100,66488,1792,1198,1781,1781,1781,1782,854,1796,597,717,1198,1801,1251,1,858,844,842,1799,600,0,714,854,1796,1792,840,841,838,30713,30184,29562,15,1133,5016,5690000,0,,,,,,,,,,,
1785989047.155,7,0.0103,0,2,66364,0,1193,1.1423,0,0,118296,0,5018,,,0.0,0,0,58292,0,4233,0.0,0,2,74224,0,3770,0.0,0,2,74724,0,4675,0.0,0,1,37488,0,485,0.4351,1.0,0.2917,0.4583,0.0,1991052,29359100,56444,1793,1201,1782,1782,1781,1783,854,1797,596,715,1198,1801,1250,1,858,843,836,1799,598,0,715,855,1799,1794,840,841,838,30479,31816,31521,15,1122,5016,5630000,0,,,,,,,,,,,
1785989048.177,8,0.3816,0,2,81952,0,1290,0.8536,0,0,131220,0,6475,,,0.0201,0,0,58496,0,4233,0.1205,0,0,82420,0,3993,0.0502,0,2,75016,0,4746,0.0502,0,2,37488,0,601,0.5369,1.0,0.6078,0.53,0.0,1974428,29359100,51196,1793,1197,1782,1782,1782,1783,853,1794,596,715,1197,1801,1251,0,859,844,842,1799,600,0,715,856,1796,1790,841,841,839,30588,31769,30915,15,1150,5016,5860000,0,,,,,,,,,,,
1785989049.167,9,0.2157,0,2,88272,0,1290,0.8531,0,0,157200,0,8252,,,0.0098,0,0,58496,0,4233,0.304,0,1,93240,0,4536,0.0294,0,2,75376,0,4746,0.0196,0,2,37728,0,601,0.4961,0.99,0.5263,0.4574,0.0,1933524,29359100,26248,1793,1200,1782,1782,1782,1783,854,1794,597,716,1197,1799,1250,0,859,845,845,1799,600,0,715,856,1797,1791,841,840,838,31459,30837,30122,15,1256,5015,5880000,0,,,,,,,,,,,
1785989050.18,10,0.2183,0,2,88272,0,1290,0.0,0,0,157200,0,8252,,41656,0.0,0,0,58496,0,4233,0.2084,0,1,98828,0,4820,0.0,0,2,75376,0,4746,0.0,0,2,37728,0,601,0.4558,0.9714,0.4717,0.3981,0.0,1921400,29359100,14632,1794,1200,1782,1783,1783,1784,854,1799,596,715,1196,1799,1250,0,858,841,844,1797,599,0,715,856,1797,1794,842,841,839,31490,32313,30744,15,1133,5016,6340000,0,61975,111923,41010,76447,53174,26074,,0,0,1746,21933
