capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785992138,164478027,214.216,11.633,,,0
1785992138,231358887,244.187,0.615,,85.853,0
1785992138,365125977,2752.266,11.352,2764.105,2652.572,1
1785992140,396300293,755.189,0.549,755.711,23.303,1
1785992140,462859863,692.679,0.864,693.534,4.365,1
1785992140,529415283,630.465,1.182,631.628,4.659,1
1785992140,629240723,537.073,2.982,539.756,7.951,1
1785992140,729056885,444.684,0.971,445.64,5.7,1
1785992140,762327148,416.313,0.718,417.002,4.639,1
1785992140,795596191,386.799,0.565,387.343,3.609,1
1785992140,862131104,324.479,0.711,325.166,4.361,1
1785992140,895397217,295.429,0.608,296.013,4.116,1
1785992140,961926025,232.995,9.01,241.998,12.496,1
1785992140,995188965,212.134,1.378,213.47,4.743,1
1785992141,28450928,192.099,0.729,192.807,12.604,1
1785992141,95024170,170.215,0.722,170.922,44.685,1
1785992141,194950928,119.967,0.646,120.587,49.599,1
1785992141,261565674,95.874,0.661,96.518,42.542,1
1785992141,328178223,103.576,0.67,104.218,74.316,1
1785992141,361483643,122.457,0.827,123.265,52.344,1
1785992141,394788330,116.543,0.873,117.444,27.431,1
1785992141,428092773,126.976,0.667,127.622,43.544,1
1785992141,494699219,113.8,0.657,114.438,53.421,1
1785992141,528001709,141.007,0.739,141.723,60.589,1
1785992141,594604980,111.956,0.718,112.727,37.523,1
1785992141,627905762,117.051,0.748,117.777,38.432,1
1785992141,661205811,131.563,0.99,132.537,48.052,1
1785992141,727804199,104.972,2.199,107.161,41.208,1
1785992141,761102539,112.871,0.906,113.764,39.918,1
1785992141,794400391,136.287,0.913,137.173,56.707,1
1785992141,860994141,99.991,0.68,100.646,30.075,1
1785992141,894290283,114.941,0.658,115.576,48.228,1
1785992141,927585693,127.939,0.584,128.562,46.22,1
1785992141,960880371,131.116,0.65,131.743,36.536,1
1785992142,27468506,113.029,0.781,113.787,48.627,1
1785992142,60762939,130.927,0.907,131.81,51.318,1
1785992142,127416504,105.208,0.823,106.011,40.852,1
1785992142,160742676,113.255,0.717,113.948,41.271,1
1785992142,194068848,128.737,0.664,129.381,48.759,1
1785992142,260720703,104.622,0.724,105.329,42.595,1
1785992142,294046143,152.36,2.626,154.989,82.959,1
1785992142,360696289,128.72,0.598,129.293,40.986,1
1785992142,427345703,116.9,0.678,117.552,54.907,1
1785992142,460669922,128.411,0.656,129.04,44.814,1
1785992142,493994141,128.156,0.671,128.875,33.087,1
1785992142,560641602,115.695,0.656,116.328,54.172,1
1785992142,593965088,125.374,0.675,126.028,43.023,1
1785992142,660611084,98.978,0.725,99.68,40.298,1
1785992142,693933838,132.262,0.657,132.88,66.522,1
1785992142,760578613,104.437,5.536,109.971,43.714,1
1785992142,793900635,126.755,0.598,127.333,50.707,1
1785992142,860543945,97.791,0.845,98.622,37.925,1
1785992142,893865234,122.965,0.775,123.718,58.426,1
1785992142,927186279,127.877,0.696,128.552,38.154,1
1785992142,993827881,101.462,0.773,102.21,40.301,1
1785992143,27148193,110.158,0.778,110.922,42.022,1
1785992143,60468994,114.604,0.646,115.229,37.639,1
1785992143,93819092,132.074,0.594,132.646,50.768,1
1785992143,160519775,110.441,0.61,111.107,45.083,1
1785992143,193870117,127.958,0.628,128.565,50.884,1
1785992143,227220947,151.991,0.67,152.644,57.427,1
1785992143,293923096,103.966,0.964,104.916,18.967,1
1785992143,327274414,141.123,0.861,141.955,70.398,1
1785992143,393977783,121.439,0.667,122.085,46.837,1
1785992143,427329834,129.884,0.607,130.469,41.735,1
1785992143,494034180,114.28,0.717,114.963,51.196,1
1785992143,527386719,125.777,0.774,126.529,44.919,1
1785992143,594092285,111.723,3.681,115.646,55.558,1
1785992143,627445557,118.313,1.155,119.466,37.418,1
1785992143,660798828,124.209,0.737,124.922,38.832,1
1785992143,694152344,132.12,2.254,134.356,42.74,1
1785992143,760859863,114.979,0.637,115.594,47.99,1
1785992143,794213867,128.687,0.703,129.368,47.129,1
1785992143,860922607,97.169,0.593,97.738,35.081,1
1785992143,894277344,104.634,0.913,105.531,41.136,1
1785992143,927632324,133.287,0.659,133.922,61.756,1
1785992143,994342529,119.695,1.591,121.271,54.05,1
1785992144,27697998,125.926,0.573,126.478,38.573,1
1785992144,94389404,97.248,0.587,97.813,38.025,1
1785992144,127725342,113.354,0.733,114.066,49.586,1
1785992144,161060791,119.357,0.577,119.912,39.186,1
1785992144,194396240,143.765,0.693,144.438,57.854,1
1785992144,261066650,126.807,0.694,127.478,49.715,1
1785992144,294401367,136.518,0.949,137.438,43.292,1
1785992144,361070557,122.27,0.792,123.006,52.237,1
1785992144,394404785,156.339,0.694,157.01,67.343,1
1785992144,461072998,149.962,0.999,150.816,60.469,1
1785992144,527740234,134.294,0.903,135.177,51.032,1
1785992144,594406494,121.587,0.622,122.182,53.674,1
1785992144,627739502,127.09,0.79,127.755,38.903,1
1785992144,694404785,99.801,1.038,100.821,39.726,1
1785992144,727737305,106.267,0.903,107.143,39.659,1
1785992144,761069336,114.189,0.783,114.826,41.016,1
1785992144,794401367,130.791,0.828,131.585,50.088,1
1785992144,861064941,115.767,0.701,116.432,51.516,1
1785992144,894396240,107.086,0.789,107.862,24.75,1
1785992144,927727539,131.728,0.806,132.516,57.99,1
1785992144,994389404,100.104,0.582,100.66,34.813,1
1785992145,27719971,114.884,0.718,115.582,48.243,1
1785992145,61050781,129.768,0.807,130.562,48.309,1
1785992145,127825195,98.779,0.819,99.583,35.795,1
1785992145,161253418,105.014,0.845,105.838,39.688,1
1785992145,194681885,109.641,0.765,110.38,37.973,1
1785992145,228111084,127.616,0.703,128.296,51.346,1
1785992145,294970947,108.256,0.868,108.964,47.527,1
1785992145,361832764,104.776,0.712,105.469,63.364,1
1785992145,395264404,133.378,0.655,134.012,61.978,1
1785992145,462129150,119.531,0.761,120.278,53.125,1
1785992145,495562256,131.85,0.962,132.789,45.943,1
1785992145,562429932,110.342,5.623,115.968,50.029,1
1785992145,595864258,128.666,0.787,129.435,46.923,1
1785992145,662734863,115.618,2.057,117.66,55.08,1
1785992145,696170898,130.521,0.676,131.175,46.967,1
1785992145,763044434,111.604,0.95,112.542,48.226,1
1785992145,796481934,128.387,0.747,128.988,49.901,1
1785992145,863358398,101.545,0.846,102.441,40.249,1
1785992145,896797363,117.269,0.65,117.915,48.919,1
1785992145,930236816,126.133,0.674,126.785,42.383,1
1785992145,997117432,95.779,0.89,96.645,36.734,1
1785992146,30558350,99.529,0.743,100.248,37.048,1
1785992146,63999756,122.972,0.629,123.578,56.774,1
1785992146,97439453,129.668,0.625,130.268,40.13,1
1785992146,164138916,113.158,0.663,113.794,50.225,1
1785992146,197489014,117.329,0.602,117.908,37.466,1
1785992146,230838867,129.658,0.613,130.248,45.689,1
1785992146,297539551,105.393,0.759,106.134,42.581,1
1785992146,330890137,128.624,0.683,129.304,56.506,1
1785992146,397591309,117.919,0.689,118.624,56.003,1
1785992146,430942139,126.098,0.764,126.841,41.606,1
1785992146,497644287,106.557,0.751,107.272,47.128,1
1785992146,597698486,95.55,0.618,96.144,88.933,1
1785992146,631050293,121.916,3.355,125.286,62.447,1
1785992146,664402100,129.48,0.75,130.208,38.318,1
1785992146,731105957,113.124,0.685,113.784,50.279,1
1785992146,764458252,126.36,0.647,126.981,46.553,1
1785992146,831162842,100.811,0.922,101.713,41.427,1
1785992146,864515625,121.895,0.685,122.548,54.195,1
1785992146,897868164,129.268,0.711,129.952,40.756,1
1785992146,964573975,99.227,0.896,100.103,36.855,1
1785992146,997927246,102.673,0.598,103.244,36.498,1
1785992147,31280273,116.116,0.607,116.695,46.805,1
1785992147,64633789,128.319,0.559,128.853,45.512,1
1785992147,131316895,108.839,0.898,109.719,47.537,1
1785992147,164646240,130.072,0.989,131.054,54.657,1
1785992147,231304443,128.947,0.673,129.593,65.214,1
1785992147,264633057,126.776,0.656,127.408,31.142,1
1785992147,297961426,153.767,0.671,154.421,60.335,1
1785992147,364617676,132.034,0.567,132.58,44.824,1
1785992147,431272705,117.528,0.679,118.183,52.257,1
1785992147,464599854,130.202,0.665,130.845,45.99,1
1785992147,531253418,118.559,0.59,119.125,54.934,1
1785992147,564579834,134.756,0.869,135.588,49.783,1
1785992147,631232178,103.343,1.234,104.48,35.542,1
1785992147,664557861,111.525,0.594,112.094,40.949,1
1785992147,697883301,119.774,1.438,121.189,42.414,1
1785992147,731208496,134.157,2.084,136.208,48.344,1
1785992147,797858154,105.322,0.739,106.028,36.476,1
1785992147,831182617,130.221,0.657,130.856,58.152,1
1785992147,897830811,116.054,2.306,118.341,54.127,1
1785992147,931154541,129.465,0.802,130.137,45.123,1
1785992147,997801270,99.283,1.005,100.297,36.75,1
1785992148,31124268,112.335,1.506,113.777,46.85,1
1785992148,64447021,115.658,0.93,116.56,36.109,1
1785992148,131101807,95.131,0.705,95.81,45.911,1
1785992148,164433350,96.555,0.602,97.135,34.659,1
1785992148,197764648,123.013,0.588,123.579,59.775,1
1785992148,231095459,130.532,0.606,131.115,40.866,1
1785992148,297756836,127.197,0.621,127.797,63.341,1
1785992148,364417236,123.665,0.744,124.386,63.251,1
1785992148,397747314,158.754,1.048,159.781,68.707,1
1785992148,464406250,121.499,0.937,122.415,29.305,1
1785992148,531064697,115.501,1.036,116.218,60.466,1
1785992148,564393311,148.126,0.997,149.111,66.205,1
1785992148,631050293,111.214,0.588,111.778,29.345,1
1785992148,664378418,127.085,0.712,127.775,49.323,1
1785992148,731033936,101.734,0.714,102.372,41.253,1
1785992148,764361328,128.893,0.668,129.465,60.421,1
1785992148,831015625,110.453,0.651,111.079,48.266,1
1785992148,864342529,117.713,0.697,118.382,40.628,1
1785992148,897668945,135.083,0.752,135.809,50.757,1
1785992148,964321533,112.214,0.579,112.772,43.616,1
1785992148,997647461,136.076,0.838,136.891,57.44,1
1785992149,30973145,151.123,0.841,151.943,48.375,1
1785992149,97624512,133.116,0.608,133.701,48.417,1
1785992149,164293213,117.753,0.669,118.402,51.367,1
1785992149,197627441,127.533,0.592,128.102,43.039,1
1785992149,264295166,116.135,0.915,117.204,55.554,1
1785992149,297628662,118.915,0.775,119.688,36.011,1
1785992149,330961914,128.184,0.864,128.963,42.624,1
1785992149,397627930,118.515,0.589,119.075,56.783,1
1785992149,430960693,147.741,0.642,148.356,62.612,1
1785992149,497625488,136.978,0.772,137.684,55.991,1
1785992149,564289307,124.631,1.095,125.713,54.679,1
1785992149,597621094,140.844,0.846,141.679,49.304,1
1785992149,664283691,116.904,0.63,117.506,42.5,1
1785992149,697614746,116.732,0.793,117.499,33.32,1
1785992149,764276123,97.649,0.673,98.298,47.464,1
1785992149,797606689,117.283,0.754,118.005,53.037,1
1785992149,830936768,119.359,0.912,120.265,35.563,1
1785992149,864266846,129.733,0.657,130.306,43.398,1
1785992149,930926270,129.296,0.677,129.954,66.305,1
1785992149,997584717,101.308,0.695,101.978,38.684,1
1785992150,30913574,112.564,0.748,113.287,44.632,1
1785992150,64242432,122.477,0.629,123.083,43.131,1
1785992150,97571289,136.923,0.782,137.684,47.924,1
1785992150,164310303,121.206,0.596,121.781,50.842,1
1785992150,197680176,133.326,0.831,134.132,45.716,1
1785992150,264420898,121.717,0.706,122.402,55.011,1
1785992150,297791748,155.506,0.697,156.18,67.147,1
1785992150,364534180,131.223,0.665,131.867,42.435,1
1785992150,431277588,119.162,2.332,121.465,56.337,1
1785992150,464649902,130.813,0.614,131.417,43.316,1
1785992150,531395264,127.059,0.57,127.607,62.948,1
1785992150,564768555,144.169,0.612,144.755,50.52,1
1785992150,631515625,122.864,0.588,123.426,45.418,1
1785992150,664889648,132.795,0.806,133.587,43.525,1
1785992150,731638672,107.996,0.886,108.88,42.035,1
1785992150,765013428,128.371,0.753,129.103,53.614,1
1785992150,831764160,101.347,0.764,102.082,39.73,1
1785992150,865139893,121.592,0.741,122.314,53.603,1
1785992150,898516113,131.363,0.671,132.013,43.08,1
1785992150,965269043,120.893,0.645,121.514,56.257,1
1785992150,998645996,145.42,1.195,146.605,58.448,1
1785992151,65400879,113.88,0.918,115.191,34.933,1
1785992151,98778076,131.473,0.756,132.207,50.816,1
1785992151,165445068,101.093,0.83,101.9,36.363,1
1785992151,198778076,123.012,0.646,123.637,55.069,1
1785992151,232111084,132.821,0.777,133.572,43.267,1
1785992151,298776367,120.192,1.933,122.815,55.188,1
1785992151,332108643,133.568,0.792,134.338,45.577,1
1785992151,432104248,100.404,0.758,101.142,66.797,1
1785992151,465435791,130.889,0.743,131.605,63.797,1
1785992151,532098145,102.614,0.757,103.352,38.406,1
1785992151,565428955,116.35,0.772,117.093,47.073,1
1785992151,598759521,127.158,0.633,127.767,44.01,1
1785992151,665420166,100.302,0.644,100.921,39.814,1
1785992151,732079834,101.659,0.613,102.247,67.985,1
1785992151,765409424,105.963,0.63,106.565,37.646,1
1785992151,798738770,119.393,0.822,120.185,46.948,1
1785992151,832067871,120.767,1.829,122.644,35.715,1
1785992151,865396729,129.653,0.75,130.383,41.142,1
1785992151,932053955,109.76,2.17,111.93,48.174,1
1785992151,965382324,120.312,0.837,121.127,42.556,1
1785992151,998710449,133.453,0.925,134.347,46.543,1
1785992152,65365967,100.542,0.899,101.415,33.728,1
1785992152,98693848,130.97,0.753,131.698,63.613,1
1785992152,165363525,102.7,0.741,103.416,38.383,1
1785992152,198697998,119.447,0.943,120.375,50.291,1
1785992152,232032227,133.026,0.786,133.8,46.754,1
1785992152,298700195,115.384,0.814,116.169,49.04,1
1785992152,332033936,142.375,0.615,142.969,60.138,1
1785992152,398700928,129.402,0.71,130.091,53.792,1
1785992152,465366943,100.106,0.751,100.835,37.411,1
1785992152,498699463,103.361,0.74,103.967,36.464,1
1785992152,532031982,129.798,0.577,130.355,59.721,1
1785992152,598696533,105.904,0.725,106.661,42.916,1
1785992152,632028320,140.256,0.764,140.996,67.721,1
1785992152,665360107,161.867,0.759,162.604,54.94,1
1785992152,732022705,130.812,0.667,131.457,35.516,1
1785992152,798684814,104.561,0.821,105.288,40.489,1
1785992152,832015381,109.093,0.959,110.034,38.066,1
1785992152,865345947,133.888,1.054,134.925,58.227,1
1785992152,932006348,109.36,2.524,111.832,43.557,1
1785992152,965336182,130.294,0.578,130.907,52.366,1
1785992153,31995361,101.556,0.838,102.375,38.181,1
1785992153,65324707,123.693,0.589,124.259,55.218,1
1785992153,98654053,132.086,0.696,132.76,41.829,1
1785992153,165409424,111.132,0.983,112.099,46.08,1
1785992153,198787598,121.874,0.924,122.777,44.069,1
1785992153,232166016,127.192,0.6,127.767,38.37,1
1785992153,298924316,104.691,0.785,105.494,44.44,1
1785992153,332303955,154.734,0.68,155.395,83.321,1
1785992153,399064209,136.096,0.842,136.923,48.285,1
1785992153,465826172,125.777,0.678,126.433,56.278,1
1785992153,499207520,145.584,1.05,146.622,53.561,1
1785992153,565971680,128.753,0.68,129.348,49.501,1
1785992153,632737061,118.993,0.711,119.682,57.096,1
1785992153,666120361,140.163,0.872,141.007,54.709,1
1785992153,732888184,116.98,2.712,119.669,45.429,1
1785992153,766272461,130.155,2.855,133.024,46.709,1
1785992153,833042236,100.257,0.865,101.105,34.879,1
1785992153,866427734,109.564,0.716,110.253,42.538,1
1785992153,899813721,119.861,0.713,120.555,43.686,1
1785992153,933199951,130.017,0.648,130.643,43.478,1
1785992153,999973389,101.019,0.661,101.659,37.786,1
1785992154,33360840,118.027,0.675,118.681,50.411,1
1785992154,66748535,133.836,0.781,134.592,49.298,1
1785992154,133525391,113.771,0.666,114.424,46.599,1
1785992154,166915527,129.425,0.565,129.968,48.947,1
1785992154,233697266,113.223,0.896,114.095,50.897,1
1785992154,267088867,127.787,0.789,128.556,47.861,1
1785992154,300480957,145.391,0.796,146.165,51.0,1
1785992154,367266602,134.749,0.669,135.4,56.019,1
1785992154,434053955,137.236,0.875,138.093,69.477,1
1785992154,500843262,145.392,0.702,146.079,74.774,1
1785992154,534238770,172.731,0.749,173.46,60.78,1
1785992154,634427490,123.605,0.587,124.169,50.903,1
1785992154,667824951,133.931,0.714,134.62,43.847,1
1785992154,734620850,136.921,0.747,137.645,69.816,1
1785992154,801418457,107.124,0.71,107.812,36.97,1
1785992154,834818115,114.648,0.628,115.257,40.844,1
1785992154,868218262,128.246,0.625,128.851,46.996,1
1785992154,935019775,105.1,0.778,105.855,43.8,1
1785992154,968421143,130.975,0.625,131.578,59.129,1
1785992155,35225586,107.984,0.754,108.702,43.925,1
1785992155,68628418,130.564,0.588,131.114,55.819,1
1785992155,135458984,101.492,0.742,102.203,37.915,1
1785992155,168887695,113.508,0.925,114.418,45.637,1
1785992155,202316895,129.72,0.813,130.371,49.392,1
1785992155,269176514,104.024,3.663,108.034,44.131,1
1785992155,302607178,116.988,0.608,117.612,43.355,1
1785992155,336038086,138.036,0.609,138.62,54.484,1
1785992155,402901123,128.813,0.601,129.392,57.636,1
1785992155,469766113,103.1,0.647,103.719,41.192,1
1785992155,503199219,113.939,0.626,114.544,44.256,1
1785992155,536632813,126.986,0.572,127.533,46.426,1
1785992155,603500977,94.448,0.672,95.099,34.432,1
1785992155,636936035,117.617,0.646,118.264,56.577,1
1785992155,670371094,150.538,2.26,152.785,67.948,1
1785992155,737242920,110.957,1.149,112.085,26.18,1
1785992155,770679688,129.536,1.895,131.427,52.766,1
1785992155,837553955,97.926,0.635,98.538,34.021,1
1785992155,904430176,92.015,0.728,92.647,60.988,1
1785992155,937868896,94.367,0.746,95.092,35.883,1
1785992155,971308105,98.149,0.667,98.795,37.142,1
1785992156,4747803,105.107,0.667,105.756,40.399,1
1785992156,38187744,116.331,0.957,117.272,44.948,1
1785992156,71628174,142.527,0.754,143.257,59.433,1
1785992156,138408936,124.758,0.603,125.338,48.864,1
