stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785992138,164478027,1785992138,164478027,,5,848,480,115.713,114.781,24.522,90.258,33.537,32.583,18.733,5.406,56.722,0.927,0.006,59.593,175.315
1785992138,231358887,1785992138,231358887,124.711,5,848,480,56.784,55.878,15.757,40.121,2.761,12.15,19.544,5.666,37.36,0.899,0.006,176.344,233.154
1785992138,365125977,1785992138,365125977,65.353,5,848,480,64.027,63.049,3.999,59.05,9.298,27.58,17.683,4.489,49.752,0.972,0.006,100.664,164.748
1785992138,465456543,1785992138,465456543,100.201,5,848,480,98.552,97.654,5.336,92.318,2.887,39.479,41.761,8.191,89.431,0.893,0.005,66.034,164.597
1785992138,532345703,1785992138,532345703,53.633,5,848,480,52.988,52.143,4.266,47.877,3.845,21.096,17.164,5.772,44.033,0.84,0.005,98.308,151.334
1785992138,632683350,1785992138,632683350,66.719,5,848,480,63.84,62.785,1.358,61.427,24.016,15.059,16.993,5.358,37.411,1.051,0.004,53.839,117.813
1785992138,699577393,1785992138,699577393,47.553,5,848,480,47.036,46.133,4.751,41.382,8.364,10.239,17.061,5.718,33.018,0.897,0.006,51.297,98.384
1785992138,733024902,1785992138,733024902,76.575,5,848,480,70.017,68.752,14.298,54.454,2.897,24.222,19.909,7.427,51.557,1.257,0.008,71.474,141.523
1785992138,799921875,1785992138,799921875,43.484,5,848,480,42.596,41.794,4.07,37.724,4.609,11.177,17.662,4.276,33.115,0.798,0.004,75.453,118.085
1785992138,866820557,1785992138,866820557,37.736,5,848,480,36.488,35.697,1.187,34.51,2.621,10.143,17.424,4.322,31.889,0.787,0.004,52.404,88.928
1785992138,900270508,1785992138,900270508,37.615,5,848,480,37.208,36.304,1.094,35.21,2.709,10.185,17.925,4.391,32.501,0.887,0.017,55.854,93.111
1785992138,933721191,1785992138,933721191,55.579,5,848,480,55.048,54.261,1.173,53.087,5.534,14.95,16.935,15.668,47.553,0.783,0.004,60.131,115.216
1785992139,623535,1785992139,623535,35.408,5,848,480,34.992,34.25,1.221,33.029,2.352,8.997,17.437,4.244,30.678,0.738,0.004,48.811,83.776
1785992139,34075439,1785992139,34075439,68.979,5,848,480,67.617,66.842,1.011,65.831,3.279,19.725,27.106,15.72,62.551,0.771,0.004,51.599,119.262
1785992139,100761475,1785992139,100761475,58.28,5,848,480,57.86,57.112,0.943,56.169,5.787,18.272,17.442,14.669,50.382,0.744,0.005,52.943,110.853
1785992139,167222656,1785992139,167222656,47.754,5,848,480,47.119,46.2,1.037,45.163,2.673,19.741,17.752,4.997,42.49,0.913,0.006,44.982,92.153
1785992139,200449219,1785992139,200449219,49.196,5,848,480,47.347,46.51,6.179,40.331,2.877,9.039,22.481,5.934,37.454,0.833,0.004,60.787,108.111
1785992139,300114014,1785992139,300114014,76.069,5,848,480,45.112,44.155,2.638,41.517,3.991,8.979,17.359,11.187,37.525,0.952,0.005,39.376,84.519
1785992139,333330322,1785992139,333330322,38.368,5,848,480,37.906,36.936,0.96,35.976,2.57,10.634,17.517,5.255,33.405,0.965,0.005,51.717,89.672
1785992139,366544189,1785992139,366544189,56.664,5,848,480,53.227,52.35,4.92,47.43,7.398,15.423,19.488,5.121,40.032,0.869,0.008,59.876,113.125
