capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785992138,164478027,179.183,18.614,197.247,5,0
1785992138,231358887,236.348,1.802,238.053,5,0
1785992138,365125977,170.044,6.845,176.765,5,1
1785992138,465456543,168.848,1.638,170.377,5,1
1785992138,532345703,153.569,10.096,163.577,5,1
1785992138,632683350,120.926,4.533,122.003,5,1
1785992138,699577393,100.969,2.739,102.305,5,1
1785992138,733024902,144.946,5.367,150.228,5,1
1785992138,799921875,120.006,1.671,121.584,5,1
1785992138,866820557,94.031,2.047,95.953,5,1
1785992138,900270508,95.261,1.276,96.455,5,1
1785992138,933721191,120.089,1.883,121.892,5,1
1785992139,623535,88.775,1.929,90.619,5,1
1785992139,34075439,125.411,1.995,127.275,5,1
1785992139,100761475,113.419,1.493,114.77,5,1
1785992139,167222656,95.219,4.511,99.644,5,1
1785992139,200449219,110.503,1.426,111.59,5,1
1785992139,300114014,86.573,1.223,87.715,5,1
1785992139,333330322,92.194,8.185,100.281,5,1
1785992139,366544189,115.493,5.722,121.136,5,1
1785992139,399755371,142.503,28.818,171.188,5,1
1785992139,432963867,182.479,2.243,184.645,5,1
1785992139,565772705,101.349,2.078,103.337,5,1
1785992139,598968262,118.592,5.212,120.113,5,1
1785992139,632161377,151.81,1.602,153.326,5,1
1785992139,731725342,90.745,4.491,95.151,5,1
1785992139,764907959,113.632,5.192,118.731,5,1
1785992139,798088135,139.554,1.364,140.831,5,1
1785992139,864440918,122.898,1.715,124.525,5,1
1785992139,930783203,94.562,5.24,99.721,5,1
1785992139,963950439,106.277,1.316,107.51,5,1
1785992139,997114990,112.961,1.868,114.7,5,1
1785992140,30277100,122.169,1.389,123.478,5,1
1785992140,96732422,112.734,1.32,113.976,5,1
1785992140,130021729,146.672,6.828,153.417,5,1
1785992140,196597412,168.415,4.768,173.094,5,1
1785992140,296453613,138.262,7.222,145.393,5,1
1785992140,363019043,157.255,8.936,166.091,5,1
1785992140,396300293,186.959,21.949,204.502,5,1
1785992140,462859863,188.298,5.567,193.778,5,1
1785992140,529415283,181.921,2.753,184.588,5,1
1785992140,629240723,152.122,2.552,154.593,5,1
1785992140,729056885,93.749,1.5,95.084,5,1
1785992140,762327148,107.356,1.14,108.419,5,1
1785992140,795596191,129.915,1.422,131.258,5,1
1785992140,862131104,106.969,1.418,108.249,5,1
1785992140,895397217,127.542,1.296,128.76,5,1
1785992140,961926025,103.883,3.041,106.834,5,1
1785992140,995188965,122.056,12.764,134.694,5,1
1785992141,28450928,169.582,1.383,170.888,5,1
1785992141,95024170,160.816,1.115,161.855,5,1
1785992141,194950928,109.27,2.56,111.716,5,1
1785992141,261565674,88.385,1.09,89.401,5,1
1785992141,328178223,91.951,2.947,93.889,5,1
1785992141,361483643,99.946,1.257,101.117,5,1
1785992141,394788330,104.22,2.211,106.332,5,1
1785992141,428092773,119.804,1.169,120.891,5,1
1785992141,494699219,96.254,8.701,104.821,5,1
1785992141,528001709,122.196,1.486,123.604,5,1
