wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785992125.473,1,0.4686,12,2,56176,0,1163,0.4985,0,0,45012,0,1215,,,0.4985,0,0,29392,0,966,0.5284,0,2,21332,0,1366,0.5882,1,1,32196,0,1770,0.0,0,0,36872,0,217,0.7446,1.0,0.9829,0.9913,0.0,2066728,29359100,144636,1795,1201,1782,1783,1783,1784,855,1798,596,718,1200,1801,1249,1,857,843,843,1797,600,1,717,857,1798,1792,843,842,837,32547,33324,30386,15,1202,5016,6090000,0,,,,,,,,,,,
1785992126.549,2,0.2305,0,2,66220,0,1441,0.451,0,2,45012,0,1715,,,0.5512,0,0,52428,0,1605,0.6915,0,2,45812,0,2468,0.6915,0,1,46420,0,2836,0.02,0,0,37220,0,217,0.7506,1.0,1.0,1.0,0.0,2016340,29359100,138436,1794,1195,1782,1783,1782,1783,853,1796,597,719,1197,1803,1249,0,858,843,844,1800,600,0,715,858,1797,1792,839,841,838,32174,32205,32018,15,1215,5016,6100000,0,,,,,,,,,,,
1785992127.617,3,0.078,0,0,66228,0,1448,0.4878,0,2,46944,0,2499,,,0.4976,15,1,58004,0,2621,0.361,0,0,46724,0,2997,0.5951,1,1,48064,0,3840,0.0195,0,0,37220,0,223,0.7482,1.0,1.0,1.0,0.0,2002844,29359100,131988,1793,1198,1781,1781,1782,1783,854,1796,597,717,1196,1802,1250,0,859,845,842,1800,600,0,715,856,1794,1792,839,841,842,32205,32174,31614,15,1201,5016,6030000,0,,,,,,,,,,,
1785992128.588,4,0.0489,0,0,66228,0,1448,0.2835,0,0,48008,0,2884,,,0.1369,0,1,58004,0,2793,0.2933,0,0,47252,0,3375,0.3031,1,0,48752,0,4283,0.0,0,0,37220,0,223,0.7455,1.0,1.0,0.9895,0.0,1990100,29359100,126036,1794,1200,1783,1783,1783,1784,856,1796,596,717,1199,1803,1249,0,858,843,843,1799,599,0,714,859,1798,1794,838,841,838,31459,31707,31925,15,1188,5016,5970000,0,,,,,,,,,,,
1785992129.486,5,0.0306,0,0,66376,0,1451,0.5199,0,2,52308,0,3576,,,0.0204,0,1,58236,0,2793,0.5708,6,1,72660,0,4866,0.5607,14,0,74504,0,5280,0.0306,0,1,37344,0,228,0.739,0.9897,0.9688,0.9898,0.0,1951156,29359100,106536,1794,1200,1783,1782,1782,1783,856,1797,597,717,1198,1799,1249,0,858,844,839,1801,600,0,715,857,1797,1791,844,841,838,32562,31381,30961,15,1190,5016,5970000,0,47071,38080,41343,52033,53749,26200,,,,,
1785992130.407,6,0.0101,0,0,66376,0,1451,0.7506,7,2,64196,0,4023,,,0.0203,0,1,58364,0,2793,0.3246,8,0,74428,0,5489,0.2029,0,1,75096,0,5478,0.0101,0,1,37524,0,228,0.4522,0.4894,0.4524,0.8824,0.0,1945112,29359100,103188,1794,1199,1784,1784,1783,1784,853,1796,597,715,1197,1800,1250,0,858,844,839,1801,600,0,714,855,1797,1792,840,841,840,31303,32049,30821,15,1142,5016,5730000,0,,,,,,,,,,,
1785992131.433,7,0.0,0,0,66376,0,1451,1.1167,0,2,106240,0,4257,,,0.0,0,1,58364,0,2793,0.0,0,0,74428,0,5493,0.0,0,1,75096,0,5478,0.0,0,1,37524,0,228,0.3728,0.1735,0.297,1.0,0.0,1931700,29359100,96244,1794,1199,1783,1784,1784,1784,855,1797,598,718,1199,1799,1251,0,857,844,839,1798,600,0,715,856,1796,1793,842,842,841,32593,31878,31070,15,1115,5016,5600000,0,,,,,,,,,,,
1785992132.468,8,0.3071,0,1,70236,0,1523,1.0238,0,2,131000,0,4755,,,0.0,0,1,58364,0,2793,0.0205,0,1,74428,0,5499,0.0205,0,1,75200,0,5478,0.0512,0,0,37524,0,272,0.4483,0.3469,0.44,1.0,0.0,1936620,29359100,98256,1792,1196,1781,1782,1782,1782,856,1795,596,719,1198,1799,1249,0,857,846,838,1798,599,0,713,857,1798,1790,839,841,840,31909,31723,31350,15,1198,5016,6020000,0,,,,,,,,,,,
1785992133.422,9,0.3026,0,0,90716,0,1542,0.9279,0,2,159184,0,5720,,,0.0303,0,1,58572,0,2793,0.2723,0,0,88808,0,6046,0.0403,0,1,75420,0,5502,0.0504,0,0,37704,0,283,0.5699,0.6667,0.6277,0.9897,0.0,1874400,29359100,70072,1793,1199,1782,1783,1783,1784,856,1796,597,718,1195,1799,1248,0,857,844,836,1798,600,0,715,856,1798,1790,837,841,840,30837,31179,30137,15,1241,5015,6220000,0,,,,,,,,,,,
1785992134.429,10,0.3584,0,0,90716,0,1542,0.1195,0,2,160916,0,5779,,41732,0.0,0,1,58572,0,2793,0.2787,0,1,94316,0,6560,0.0,0,1,75420,0,5502,0.0,0,0,37704,0,283,0.5201,0.6286,0.6321,0.8224,0.0,1857612,29359100,62536,1794,1194,1782,1782,1782,1782,854,1797,596,718,1198,1800,1250,0,856,843,839,1799,600,0,716,857,1795,1791,842,841,837,31598,31443,32391,15,1206,5015,6050000,0,63756,114990,41088,71664,53190,26015,,2,0,764,21968
