capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785810078,625415527,253.009,6.168,,,0
1785810078,791865234,125.871,1.102,,34.254,0
1785810078,858438721,2795.397,49.943,2845.327,2784.938,1
1785810080,958738037,756.778,1.029,757.79,12.767,1
1785810081,25395264,695.154,0.622,695.755,4.627,1
1785810081,125453857,609.068,0.877,609.908,14.212,1
1785810081,158806641,582.254,0.754,582.99,6.427,1
1785810081,192159424,558.437,0.561,558.977,9.346,1
1785810081,258864990,494.892,0.619,495.489,3.217,1
1785810081,325570313,431.653,0.645,432.277,3.494,1
1785810081,392275879,376.073,0.754,376.808,11.232,1
1785810081,458981201,313.037,0.746,313.766,3.659,1
1785810081,525686523,250.205,0.725,250.903,3.849,1
1785810081,592391602,187.118,7.088,194.211,9.988,1
1785810081,659096680,131.527,1.909,133.427,5.93,1
1785810081,692449219,136.474,0.618,137.068,37.014,1
1785810081,759154297,125.564,0.691,126.235,55.865,1
1785810081,792506836,141.748,0.716,142.441,49.558,1
1785810081,859211914,130.421,0.729,131.134,55.392,1
1785810081,925916748,119.266,0.704,119.942,55.526,1
1785810081,959269043,153.517,0.615,154.11,67.521,1
1785810082,25973877,148.384,0.582,148.945,61.54,1
1785810082,59315918,159.295,0.755,160.015,44.407,1
1785810082,159341309,111.593,0.784,112.346,52.355,1
1785810082,192682861,153.702,0.622,154.297,75.299,1
1785810082,226024170,161.561,0.614,162.153,41.195,1
1785810082,359388672,121.755,0.667,122.404,93.611,1
1785810082,426070313,128.545,0.572,129.096,73.38,1
1785810082,492751465,98.614,0.662,99.254,36.838,1
1785810082,559432129,89.625,0.575,90.178,57.607,1
1785810082,626112061,90.189,0.752,90.898,67.398,1
1785810082,692791748,90.09,0.751,90.822,66.604,1
1785810082,759470947,88.615,0.697,89.29,65.148,1
1785810082,826149658,88.112,0.604,88.695,66.084,1
1785810082,892827881,92.978,0.725,93.726,71.666,1
1785810082,959505615,94.009,0.724,94.712,67.708,1
1785810083,26183105,89.78,0.579,90.34,62.304,1
1785810083,93076660,87.747,0.662,88.388,64.942,1
1785810083,159973145,93.755,0.568,94.298,72.807,1
1785810083,226873047,89.623,0.702,90.297,62.896,1
1785810083,293775635,90.735,0.638,91.351,67.959,1
1785810083,360681396,88.288,0.563,88.83,64.384,1
1785810083,427590332,87.717,0.643,88.339,66.418,1
1785810083,494502197,88.3,0.63,88.909,67.482,1
1785810083,561417236,86.137,0.568,86.672,64.677,1
1785810083,628335205,86.486,0.633,87.097,67.343,1
1785810083,695256348,86.587,0.667,87.233,67.057,1
1785810083,762180420,87.916,0.642,88.537,68.23,1
1785810083,829107666,85.264,0.609,85.853,64.243,1
1785810083,896037842,85.583,0.558,86.121,67.198,1
1785810083,962971191,85.596,0.557,86.132,66.945,1
1785810084,29905029,85.571,0.598,86.147,66.947,1
1785810084,96562256,85.541,0.577,86.097,66.608,1
1785810084,163218506,84.964,0.577,85.516,66.075,1
1785810084,229873779,87.009,0.596,87.58,68.719,1
1785810084,296527832,87.646,0.609,88.232,67.306,1
1785810084,363180664,97.872,0.719,98.57,76.98,1
1785810084,429832520,90.764,0.643,91.382,59.475,1
1785810084,496482910,85.904,0.671,86.555,61.823,1
1785810084,563132568,85.395,0.552,85.927,66.023,1
1785810084,629780762,85.967,0.675,86.623,67.343,1
1785810084,696427979,86.049,0.637,86.664,66.689,1
1785810084,763073975,87.396,0.732,88.119,68.06,1
1785810084,829718994,95.026,0.663,95.665,74.229,1
1785810084,896362793,87.582,0.635,88.195,59.177,1
1785810084,963005371,86.283,0.579,86.842,65.289,1
1785810085,29647705,86.466,0.608,87.052,66.852,1
1785810085,96312500,85.887,0.574,86.44,66.054,1
1785810085,162976318,86.212,0.568,86.76,66.983,1
1785810085,229639160,88.995,0.576,89.549,69.452,1
1785810085,296301025,91.561,0.628,92.168,69.28,1
1785810085,362962158,98.481,0.714,99.167,73.659,1
1785810085,429622314,88.219,0.7,88.898,56.392,1
1785810085,496281494,87.699,0.707,88.386,66.147,1
1785810085,562939941,86.172,0.58,86.73,65.003,1
1785810085,629597412,86.109,0.555,86.641,66.569,1
1785810085,696253906,86.666,0.643,87.288,67.303,1
1785810085,762909668,92.703,0.66,93.342,72.71,1
1785810085,829564453,95.007,0.815,95.809,69.108,1
1785810085,896218262,97.206,0.771,97.957,68.812,1
1785810085,962871094,97.306,1.715,99.018,67.686,1
1785810086,62872559,96.775,0.614,97.368,98.379,1
1785810086,129712402,89.346,0.831,90.155,59.63,1
1785810086,196553955,88.018,0.568,88.565,65.251,1
1785810086,263396973,91.444,0.565,91.982,70.261,1
1785810086,330241699,90.396,0.603,90.971,65.832,1
