stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785810078,625415527,1785810078,625415527,,1,848,480,148.735,147.868,52.19,95.678,17.639,57.664,17.262,3.113,78.039,0.859,0.008,74.111,222.866
1785810078,791865234,1785810078,791865234,58.665,1,848,480,45.555,44.607,2.249,42.358,12.386,9.71,17.163,3.099,29.972,0.939,0.008,69.508,115.086
1785810078,858438721,1785810078,858438721,49.227,1,848,480,48.821,48.143,1.054,47.089,7.397,16.731,20.301,2.659,39.692,0.669,0.008,48.876,97.733
1785810078,891724365,1785810078,891724365,49.949,1,848,480,48.458,47.809,1.799,46.01,16.127,8.946,17.318,3.62,29.883,0.641,0.009,65.922,114.402
1785810078,958292480,1785810078,958292480,42.82,1,848,480,42.144,41.393,3.943,37.451,7.39,9.929,17.332,2.8,30.061,0.743,0.007,48.469,90.65
1785810079,24856934,1785810079,24856934,60.349,1,848,480,38.291,37.515,1.836,35.679,6.664,8.651,17.201,3.162,29.014,0.768,0.008,46.119,84.439
1785810079,91554932,1785810079,91554932,73.843,1,848,480,44.171,42.896,2.86,40.036,6.994,11.881,17.834,3.327,33.042,1.26,0.015,47.393,91.674
1785810079,158253906,1785810079,158253906,72.103,1,848,480,46.521,40.104,1.273,38.832,8.843,9.663,17.146,3.179,29.988,6.404,0.013,50.45,97.006
1785810079,191603760,1785810079,191603760,61.703,1,848,480,60.665,59.955,3.86,56.095,25.22,9.77,17.318,3.788,30.875,0.699,0.01,64.641,125.348
1785810079,258304443,1785810079,258304443,40.056,1,848,480,39.617,38.906,0.913,37.993,9.714,8.648,16.965,2.665,28.279,0.702,0.008,59.038,98.697
1785810079,325006104,1785810079,325006104,66.634,1,848,480,46.437,45.772,1.022,44.75,6.508,18.065,17.103,3.073,38.242,0.655,0.009,52.166,98.632
1785810079,358357422,1785810079,358357422,60.386,1,848,480,54.275,53.593,0.913,52.68,13.122,18.948,17.848,2.761,39.557,0.675,0.007,71.365,125.658
1785810079,425060791,1785810079,425060791,49.096,1,848,480,48.695,47.993,1.092,46.9,8.918,13.934,19.468,4.579,37.982,0.694,0.008,59.32,108.054
1785810079,458412842,1785810079,458412842,49.376,1,848,480,48.072,47.409,1.08,46.329,17.366,8.983,16.974,3.007,28.963,0.655,0.007,75.972,124.078
1785810079,525117920,1785810079,525117920,45.307,1,848,480,44.885,44.143,3.454,40.689,11.379,9.133,16.689,3.488,29.311,0.731,0.011,57.757,102.7
1785810079,558470703,1785810079,558470703,45.616,1,848,480,44.326,43.666,3.39,40.277,10.426,8.975,17.692,3.183,29.851,0.651,0.008,70.582,114.951
1785810079,658531006,1785810079,658531006,71.736,1,848,480,41.614,40.606,3.157,37.449,7.646,8.549,17.302,3.952,29.803,0.999,0.009,44.988,86.631
1785810079,691885010,1785810079,691885010,54.134,1,848,480,46.97,46.124,2.25,43.873,14.717,9.19,16.854,3.112,29.156,0.836,0.01,60.41,107.45
1785810079,725239258,1785810079,725239258,45.855,1,848,480,45.307,44.652,7.277,37.374,7.866,9.13,17.387,2.991,29.508,0.647,0.008,74.556,119.905
1785810079,791948486,1785810079,791948486,64.767,1,848,480,64.186,63.435,3.638,59.798,13.55,17.361,16.643,12.244,46.247,0.743,0.008,53.735,117.962
1785810079,858658691,1785810079,858658691,57.109,1,848,480,56.684,55.988,2.799,53.189,8.671,18.726,16.961,8.831,44.518,0.689,0.007,51.66,108.361
1785810079,892014404,1785810079,892014404,59.09,1,848,480,57.001,56.262,1.476,54.787,16.709,18.545,16.703,2.829,38.078,0.73,0.009,77.062,134.1
1785810079,958726318,1785810079,958726318,48.829,1,848,480,48.323,47.673,0.941,46.732,13.017,10.386,19.116,4.213,33.715,0.643,0.007,67.846,116.203
1785810080,25439209,1785810080,25439209,37.323,1,848,480,36.93,36.282,1.05,35.232,6.784,8.646,17.133,2.669,28.448,0.641,0.007,49.847,86.818
1785810080,92109863,1785810080,92109863,62.042,1,848,480,35.995,35.36,0.887,34.472,6.216,8.512,16.987,2.757,28.256,0.629,0.007,46.167,82.185
1785810080,158779541,1785810080,158779541,68.636,1,848,480,37.936,37.261,2.432,34.829,6.622,8.45,17.051,2.707,28.208,0.666,0.008,46.193,84.154
1785810080,225447998,1785810080,225447998,67.467,1,848,480,40.21,39.552,1.749,37.803,9.02,8.631,17.344,2.808,28.783,0.65,0.008,44.722,84.956
1785810080,292115723,1785810080,292115723,66.884,1,848,480,39.425,38.758,2.288,36.47,8.006,8.656,17.032,2.776,28.464,0.659,0.008,45.723,85.175
1785810080,325449219,1785810080,325449219,64.629,1,848,480,50.958,50.288,2.247,48.041,15.066,12.454,16.913,3.608,32.975,0.662,0.008,65.493,116.467
1785810080,392115234,1785810080,392115234,44.535,1,848,480,44.079,43.426,1.05,42.375,10.07,11.636,17.082,3.588,32.305,0.645,0.008,50.218,94.377
1785810080,425447998,1785810080,425447998,50.728,1,848,480,49.363,48.683,1.27,47.413,10.349,16.768,17.173,3.123,37.064,0.671,0.009,62.338,111.736
1785810080,458780518,1785810080,458780518,50.006,1,848,480,49.485,48.836,3.635,45.2,15.766,8.995,17.159,3.28,29.434,0.642,0.008,78.881,128.405
1785810080,525444580,1785810080,525444580,57.941,1,848,480,57.502,56.828,6.1,50.728,14.996,15.793,17.117,2.822,35.732,0.666,0.008,62.14,119.681
1785810080,592107910,1785810080,592107910,51.295,1,848,480,50.863,49.83,1.048,48.781,17.71,11.049,16.909,3.114,31.072,1.022,0.011,53.414,104.382
1785810080,625439209,1785810080,625439209,44.281,1,848,480,42.474,41.793,2.375,39.418,6.817,11.641,17.297,3.663,32.602,0.673,0.008,72.76,115.265
1785810080,658770264,1785810080,658770264,47.145,1,848,480,44.536,43.698,2.714,40.984,9.621,10.719,17.038,3.607,31.363,0.829,0.009,84.529,129.082
1785810080,725431396,1785810080,725431396,61.595,1,848,480,52.798,45.153,3.682,41.472,11.721,8.933,17.057,3.761,29.751,7.63,0.015,71.199,124.047
1785810080,792091553,1785810080,792091553,44.096,1,848,480,43.463,42.528,2.6,39.928,9.236,10.924,16.823,2.944,30.692,0.925,0.01,57.948,101.459
