capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785810078,625415527,225.341,5.462,230.677,1,0
1785810078,791865234,116.992,1.037,117.939,1,0
1785810078,858438721,99.359,9.456,108.582,1,1
1785810078,891724365,116.72,0.965,117.566,1,1
1785810078,958292480,92.15,1.011,93.083,1,1
1785810079,24856934,86.056,1.11,87.093,1,1
1785810079,91554932,93.494,1.35,94.75,1,1
1785810079,158253906,93.251,1.179,94.356,1,1
1785810079,191603760,132.14,1.873,133.918,1,1
1785810079,258304443,100.36,1.082,101.372,1,1
1785810079,325006104,100.347,1.427,101.594,1,1
1785810079,358357422,127.526,1.294,128.73,1,1
1785810079,425060791,109.784,1.074,110.779,1,1
1785810079,458412842,125.989,1.098,127.012,1,1
1785810079,525117920,104.277,1.147,105.344,1,1
1785810079,558470703,116.371,1.045,117.343,1,1
1785810079,658531006,88.118,1.41,89.374,1,1
1785810079,691885010,110.341,1.264,111.524,1,1
1785810079,725239258,121.586,1.015,122.514,1,1
1785810079,791948486,120.059,1.121,121.095,1,1
1785810079,858658691,110.146,10.554,120.575,1,1
1785810079,892014404,135.907,1.016,136.839,1,1
1785810079,958726318,117.834,0.995,118.733,1,1
1785810080,25439209,88.327,0.872,89.122,1,1
1785810080,92109863,83.593,0.918,84.436,1,1
1785810080,158779541,85.473,0.966,86.367,1,1
1785810080,225447998,86.412,0.942,87.275,1,1
1785810080,292115723,86.595,0.897,87.417,1,1
1785810080,325449219,118.317,1.756,119.978,1,1
1785810080,392115234,96.002,1.693,97.609,1,1
1785810080,425447998,113.601,1.013,114.537,1,1
1785810080,458780518,130.441,1.543,131.828,1,1
1785810080,525444580,121.587,1.093,122.596,1,1
1785810080,592107910,105.756,1.024,106.702,1,1
1785810080,625439209,116.924,2.3,119.149,1,1
1785810080,658770264,133.223,4.138,137.269,1,1
1785810080,725431396,118.916,2.222,121.003,1,1
1785810080,792091553,104.244,1.074,105.162,1,1
1785810080,825421387,121.968,1.274,123.144,1,1
1785810080,892080322,94.317,11.097,105.236,1,1
1785810080,958738037,90.02,1.002,90.95,1,1
1785810081,25395264,87.055,0.821,87.803,1,1
1785810081,125453857,94.113,0.958,94.996,1,1
1785810081,158806641,112.431,3.008,115.275,1,1
1785810081,192159424,144.503,2.681,147.082,1,1
1785810081,258864990,128.275,9.704,137.9,1,1
1785810081,325570313,123.347,0.991,124.26,1,1
1785810081,392275879,99.525,0.976,100.421,1,1
1785810081,458981201,87.996,0.868,88.791,1,1
1785810081,525686523,85.915,0.943,86.785,1,1
1785810081,592391602,88.213,1.659,89.168,1,1
1785810081,659096680,94.806,5.188,99.917,1,1
1785810081,692449219,127.536,0.981,128.441,1,1
1785810081,759154297,113.626,1.229,114.78,1,1
1785810081,792506836,130.265,2.79,131.736,1,1
1785810081,859211914,119.569,2.56,122.051,1,1
1785810081,925916748,104.302,26.169,130.321,1,1
1785810081,959269043,145.618,1.349,146.882,1,1
1785810082,25973877,133.286,2.665,135.496,1,1
1785810082,59315918,151.559,0.956,152.437,1,1
1785810082,159341309,100.349,5.045,105.308,1,1
1785810082,192682861,141.136,1.315,142.367,1,1
1785810082,226024170,150.108,0.927,150.96,1,1
1785810082,359388672,100.525,2.86,103.299,1,1
1785810082,426070313,118.49,1.032,119.44,1,1
1785810082,492751465,91.844,0.896,92.626,1,1
1785810082,559432129,83.879,0.79,84.6,1,1
1785810082,626112061,84.304,0.887,85.122,1,1
1785810082,692791748,84.33,0.8,85.059,1,1
1785810082,759470947,81.807,0.831,82.564,1,1
1785810082,826149658,82.31,0.93,83.168,1,1
1785810082,892827881,87.173,0.79,87.893,1,1
1785810082,959505615,85.205,4.271,89.37,1,1
1785810083,26183105,83.98,0.789,84.698,1,1
1785810083,93076660,82.05,0.837,82.818,1,1
1785810083,159973145,87.302,0.874,88.105,1,1
1785810083,226873047,81.875,0.919,82.721,1,1
1785810083,293775635,84.614,0.843,85.382,1,1
1785810083,360681396,82.386,0.806,83.122,1,1
1785810083,427590332,82.034,0.774,82.738,1,1
1785810083,494502197,82.636,0.789,83.356,1,1
1785810083,561417236,80.471,0.828,81.227,1,1
1785810083,628335205,80.792,0.854,81.575,1,1
1785810083,695256348,80.558,0.941,81.428,1,1
1785810083,762180420,80.161,0.825,80.911,1,1
1785810083,829107666,79.604,0.79,80.323,1,1
1785810083,896037842,79.974,0.802,80.706,1,1
1785810083,962971191,79.787,0.807,80.524,1,1
1785810084,29905029,79.198,4.519,83.529,1,1
1785810084,96562256,79.75,0.841,80.52,1,1
1785810084,163218506,79.135,0.789,79.854,1,1
1785810084,229873779,79.15,0.922,79.996,1,1
1785810084,296527832,79.959,0.903,80.79,1,1
1785810084,363180664,89.011,0.868,89.807,1,1
1785810084,429832520,83.565,0.941,84.358,1,1
1785810084,496482910,80.216,0.803,80.947,1,1
1785810084,563132568,79.844,0.858,80.631,1,1
1785810084,629780762,80.326,0.85,81.108,1,1
1785810084,696427979,80.236,0.945,81.111,1,1
1785810084,763073975,80.625,1.0,81.552,1,1
1785810084,829718994,87.871,0.871,88.652,1,1
1785810084,896362793,81.8,0.793,82.523,1,1
1785810084,963005371,80.514,0.798,81.241,1,1
1785810085,29647705,79.815,4.545,84.254,1,1
1785810085,96312500,80.143,0.872,80.925,1,1
1785810085,162976318,80.311,0.892,81.034,1,1
1785810085,229639160,80.482,0.91,81.317,1,1
1785810085,296301025,82.821,0.935,83.683,1,1
1785810085,362962158,87.715,0.873,88.515,1,1
1785810085,429622314,82.112,0.802,82.843,1,1
1785810085,496281494,81.793,0.79,82.511,1,1
1785810085,562939941,80.401,0.83,81.161,1,1
1785810085,629597412,80.357,0.792,81.079,1,1
1785810085,696253906,80.985,0.863,81.78,1,1
1785810085,762909668,84.256,0.866,85.048,1,1
1785810085,829564453,88.245,1.241,89.406,1,1
1785810085,896218262,90.385,1.297,91.601,1,1
1785810085,962871094,89.117,1.675,90.716,1,1
1785810086,62872559,85.229,12.378,95.073,1,1
1785810086,129712402,83.517,0.908,84.311,1,1
1785810086,196553955,82.001,0.838,82.708,1,1
1785810086,263396973,85.523,0.925,86.29,1,1
1785810086,330241699,83.331,0.908,84.166,1,1
1785810086,397087891,80.978,0.854,81.762,1,1
1785810086,463935791,81.768,0.776,82.474,1,1
1785810086,530785156,83.67,0.782,84.383,1,1
1785810086,597636230,80.93,0.987,81.777,1,1
1785810086,664489014,80.09,0.771,80.791,1,1
1785810086,731343262,80.611,0.829,81.369,1,1
1785810086,798198975,80.149,0.891,80.968,1,1
1785810086,865056396,79.467,0.931,80.326,1,1
1785810086,931915283,80.896,0.799,81.624,1,1
1785810086,998775879,79.464,0.793,80.189,1,1
1785810087,65636230,79.256,0.789,79.976,1,1
1785810087,132340332,81.852,9.296,90.989,1,1
1785810087,199045166,79.137,0.93,80.0,1,1
1785810087,265750488,82.868,0.916,83.715,1,1
1785810087,332456543,82.166,0.88,82.913,1,1
1785810087,399163086,80.204,0.774,80.909,1,1
1785810087,465870361,83.384,0.952,84.267,1,1
1785810087,532578125,90.155,1.084,91.158,1,1
1785810087,565932129,99.884,1.171,100.973,1,1
1785810087,632640869,86.702,0.842,87.474,1,1
1785810087,699350098,84.236,1.088,85.25,1,1
1785810087,799415283,93.011,1.303,94.238,1,1
1785810087,832770508,135.745,1.06,136.724,1,1
1785810087,899481445,112.616,1.245,113.751,1,1
1785810087,966193115,89.908,0.823,90.662,1,1
1785810088,32905518,80.46,0.825,81.214,1,1
1785810088,99590576,81.03,0.791,81.753,1,1
1785810088,166247070,80.167,7.013,87.072,1,1
1785810088,232902832,79.33,0.862,80.066,1,1
1785810088,299557373,83.671,1.1,84.683,1,1
1785810088,366210938,79.848,0.8,80.579,1,1
1785810088,432863525,79.839,0.799,80.568,1,1
1785810088,499514893,79.494,0.787,80.212,1,1
1785810088,566165527,79.757,0.793,80.482,1,1
1785810088,632814941,79.339,0.794,80.064,1,1
1785810088,699463379,84.625,0.81,85.365,1,1
1785810088,766110596,79.559,0.787,80.262,1,1
1785810088,832757080,79.966,0.911,80.804,1,1
1785810088,899402344,79.767,0.792,80.491,1,1
1785810088,966046875,80.698,0.845,81.473,1,1
1785810089,32690186,80.455,0.801,81.187,1,1
1785810089,99341553,80.847,0.935,81.714,1,1
1785810089,165999512,79.973,0.799,80.705,1,1
1785810089,232656494,80.153,7.029,87.078,1,1
1785810089,299312500,83.789,1.052,84.764,1,1
1785810089,365967773,84.123,0.898,84.951,1,1
1785810089,432621826,80.222,0.792,80.946,1,1
1785810089,499274658,80.785,0.795,81.512,1,1
1785810089,565926758,81.834,0.919,82.679,1,1
1785810089,632577881,80.364,0.876,81.172,1,1
1785810089,699228027,80.99,0.938,81.854,1,1
1785810089,765877197,81.73,0.837,82.495,1,1
1785810089,799201172,100.494,1.05,101.468,1,1
1785810089,865848877,88.023,0.83,88.783,1,1
1785810089,932495361,82.143,0.832,82.908,1,1
1785810089,999141113,82.273,0.851,83.056,1,1
1785810090,65786377,81.046,0.767,81.727,1,1
