capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,depth_valid
1785810078,625415527,232.534,0.619,233.036,,0
1785810078,791865234,122.873,0.468,123.249,,0
1785810078,858438721,107.288,2685.558,2792.717,57.336,1
1785810080,958738037,701.097,3.107,704.028,-2042.963,1
1785810081,25395264,655.372,2.069,657.338,556.045,1
1785810081,125453857,559.683,1.954,561.544,455.986,1
1785810081,158806641,530.472,1.847,532.241,422.633,1
1785810081,192159424,501.39,2.183,503.46,389.281,1
1785810081,258864990,439.519,2.455,441.851,322.575,1
1785810081,325570313,383.673,2.512,386.058,255.87,1
1785810081,392275879,322.68,2.579,325.144,189.164,1
1785810081,458981201,261.341,2.174,263.387,122.459,1
1785810081,525686523,199.887,2.499,202.256,55.753,1
1785810081,592391602,138.886,2.851,141.589,-10.952,1
1785810081,659096680,101.229,2.497,103.596,-77.657,1
1785810081,692449219,130.026,2.308,132.222,-111.009,1
1785810081,759154297,118.474,2.18,120.538,88.936,1
1785810081,792506836,132.792,4.408,137.067,55.583,1
1785810081,859211914,125.292,2.514,127.677,-11.122,1
1785810081,925916748,107.963,2.41,110.262,-77.826,1
1785810081,959269043,149.184,2.32,151.346,88.805,1
1785810082,25973877,136.917,4.481,141.271,22.1,1
1785810082,59315918,154.324,2.445,156.661,-11.242,1
1785810082,159341309,107.033,2.49,109.401,-44.63,1
1785810082,192682861,144.281,7.44,151.569,55.31,1
1785810082,226024170,152.641,6.242,158.764,21.969,1
1785810082,359388672,105.859,11.84,117.573,-111.396,1
1785810082,426070313,123.548,3.123,126.555,21.841,1
1785810082,492751465,93.949,2.63,96.37,21.798,1
1785810082,559432129,85.718,1.962,87.588,-44.883,1
1785810082,626112061,86.159,1.965,88.028,21.713,1
1785810082,692791748,86.098,2.046,88.05,21.671,1
1785810082,759470947,83.749,2.886,86.524,21.628,1
1785810082,826149658,84.166,2.009,86.078,21.585,1
1785810082,892827881,88.907,2.07,90.842,21.543,1
1785810082,959505615,87.038,2.164,89.041,21.5,1
1785810083,26183105,85.837,1.967,87.709,21.462,1
1785810083,93076660,83.894,1.973,85.772,21.485,1
1785810083,159973145,89.237,2.546,91.681,21.444,1
1785810083,226873047,85.18,2.23,87.302,21.402,1
1785810083,293775635,86.556,2.061,88.515,21.361,1
1785810083,360681396,84.315,2.235,86.449,-45.545,1
1785810083,427590332,83.784,2.043,85.734,21.278,1
1785810083,494502197,84.474,1.965,86.343,21.236,1
1785810083,561417236,82.289,1.974,84.168,21.194,1
1785810083,628335205,82.59,2.069,84.514,21.152,1
1785810083,695256348,82.692,2.158,84.746,21.111,1
1785810083,762180420,83.761,2.201,85.856,21.069,1
1785810083,829107666,81.425,2.021,83.335,21.028,1
1785810083,896037842,81.722,2.031,83.658,20.986,1
1785810083,962971191,81.536,2.196,83.595,20.944,1
1785810084,29905029,81.076,2.168,83.136,20.832,1
1785810084,96562256,81.537,2.204,83.595,20.772,1
1785810084,163218506,81.022,2.199,83.12,20.73,1
1785810084,229873779,83.041,2.119,85.053,20.687,1
1785810084,296527832,82.039,2.083,84.021,20.644,1
1785810084,363180664,92.808,2.522,95.177,20.601,1
1785810084,429832520,85.532,2.741,88.084,-46.051,1
1785810084,496482910,81.97,2.153,84.025,20.516,1
1785810084,563132568,81.609,1.98,83.493,20.473,1
1785810084,629780762,82.165,2.018,84.041,20.43,1
1785810084,696427979,82.145,2.024,84.03,20.387,1
1785810084,763073975,82.744,2.365,84.994,20.344,1
1785810084,829718994,90.051,2.833,92.756,20.302,1
1785810084,896362793,83.623,2.019,85.505,20.259,1
1785810084,963005371,82.299,2.045,84.25,20.217,1
1785810085,29647705,81.708,2.145,83.73,20.192,1
1785810085,96312500,81.98,2.078,83.911,20.138,1
1785810085,162976318,82.227,2.259,84.385,20.095,1
1785810085,229639160,84.736,2.293,86.785,20.052,1
1785810085,296301025,86.548,2.762,89.196,20.01,1
1785810085,362962158,90.635,2.702,93.225,-46.652,1
1785810085,429622314,84.024,2.048,85.978,-113.312,1
1785810085,496281494,83.556,2.03,85.439,19.882,1
1785810085,562939941,82.259,1.974,84.138,19.839,1
1785810085,629597412,82.206,2.055,84.126,19.796,1
1785810085,696253906,82.794,1.978,84.677,19.754,1
1785810085,762909668,86.706,3.798,90.394,19.711,1
1785810085,829564453,90.576,2.088,92.566,-46.944,1
1785810085,896218262,92.57,2.201,94.654,-113.598,1
1785810085,962871094,91.433,2.176,93.488,-180.251,1
1785810086,62872559,90.08,2.252,92.215,52.973,1
1785810086,129712402,85.331,2.14,87.371,-13.867,1
1785810086,196553955,83.728,2.16,85.775,-13.91,1
1785810086,263396973,87.349,2.275,89.517,-13.953,1
1785810086,330241699,85.607,2.69,88.184,-13.996,1
1785810086,397087891,82.857,2.022,84.78,-14.039,1
1785810086,463935791,83.502,1.982,85.373,-14.082,1
1785810086,530785156,85.434,1.99,87.328,-14.124,1
1785810086,597636230,82.753,1.985,84.642,-14.168,1
1785810086,664489014,81.891,1.974,83.77,-14.21,1
1785810086,731343262,82.498,2.165,84.474,-14.254,1
1785810086,798198975,82.147,2.255,84.293,-14.296,1
