wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785810061.413,1,0.0991,86,0,22732,0,561,0.0694,87,0,19112,0,568,,,0.7435,4,1,30456,0,719,0.7435,0,2,32808,0,908,0.7831,3,0,33588,0,1549,0.0099,15,0,36540,0,417,0.7359,0.964,0.964,1.0,0.0,2061084,29359356,5756,1794,1191,1783,1783,1783,1784,854,1798,597,717,1198,1799,1250,0,858,858,849,1799,600,0,714,856,1795,1790,860,856,857,32080,32484,31645,15,1280,5016,6420000,0,,,,,,,,,,,
1785810062.404,2,0.3343,79,0,26668,0,828,0.0393,52,1,23132,0,693,,,0.1573,4,0,52180,0,910,0.8358,0,0,47400,0,1907,0.5998,0,0,46532,0,2137,0.0098,0,0,36752,0,417,0.631,0.9796,0.701,0.8557,0.0,2028932,29359356,3360,1795,1201,1784,1785,1784,1785,856,1796,596,716,1200,1803,1249,0,858,859,849,1799,601,0,716,856,1796,1792,856,857,855,31801,32702,31878,15,1267,5017,6360000,0,,,,,,,,,,,
1785810063.372,3,0.1219,76,2,32276,0,1008,0.0203,23,2,24288,0,725,,,0.2641,14,2,56584,0,1508,0.3352,9,2,70976,0,2482,0.1321,2,2,47140,0,2272,0.0305,0,1,36824,0,423,0.329,0.4526,0.4742,0.3958,0.0,2008932,29359356,3960,1794,1200,1783,1783,1783,1784,856,1798,596,720,1199,1801,1249,1,857,856,861,1798,600,0,715,858,1797,1794,857,858,860,32142,32562,30433,15,1185,5017,5950000,0,,,,,,,,,,,
1785810064.452,4,0.3143,110,2,46060,0,1219,0.0688,62,0,27756,0,877,,,0.275,9,0,57884,0,1848,0.2554,45,0,73204,0,2714,0.3438,0,1,47880,0,2699,0.0098,0,1,36824,0,423,0.3986,0.5093,0.5586,0.5315,0.0,1991612,29359356,3960,1795,1200,1783,1784,1784,1785,854,1795,597,718,1201,1800,1249,0,857,865,852,1798,600,0,714,855,1797,1792,861,857,855,33060,31117,31614,15,1303,5016,6540000,0,,,,,,,,,,,
1785810065.416,5,0.1701,65,2,62580,0,1612,0.1101,63,0,35908,0,1068,,,0.07,0,2,58280,0,1903,0.1801,11,2,73892,0,2813,0.4903,2,2,70188,0,3162,0.01,0,1,37016,0,423,0.4122,0.4286,0.5979,0.6263,0.0,1950368,29359356,17264,1795,1199,1783,1784,1783,1784,855,1799,598,717,1201,1803,1250,0,858,862,854,1800,601,0,714,856,1796,1796,857,857,853,32018,32609,31832,15,1300,5016,6500000,0,45605,26341,41479,53570,50247,26176,,,,,
1785810066.491,6,0.1698,28,1,65684,0,1613,0.6793,84,0,42388,0,1546,,,0.02,0,2,58408,0,1903,0.03,0,2,74108,0,2813,0.4695,17,0,74880,0,3837,0.01,0,1,37016,0,423,0.5,0.79,0.6311,0.5941,0.0,1946848,29359356,16844,1794,1199,1783,1784,1783,1784,855,1797,597,716,1199,1803,1252,0,858,858,860,1799,600,0,715,858,1796,1795,855,857,854,31661,32158,32003,15,1316,5016,6730000,0,,,,,,,,,,,
1785810067.458,7,0.0707,0,1,65684,0,1613,0.7166,54,2,49848,0,1852,,,0.0,0,2,58408,0,1903,0.0,0,2,74108,0,2815,0.0101,1,0,75036,0,3839,0.0101,0,1,37188,0,423,0.5105,0.5319,0.5543,0.9474,0.0,1938900,29359356,10712,1794,1200,1784,1783,1783,1784,853,1797,597,718,1197,1801,1248,0,856,857,851,1798,600,0,716,856,1799,1791,854,856,851,32904,32065,31194,15,1325,5016,6650000,0,,,,,,,,,,,
1785810068.396,8,0.0299,2,1,65948,0,1613,0.5978,88,1,60572,0,2374,,,0.0,0,2,58408,0,1903,0.01,0,2,74108,0,2818,0.0,0,0,75036,0,3839,0.0,0,1,37188,0,423,0.6505,0.7849,0.8526,0.9574,0.0,1930804,29359356,6716,1794,1199,1783,1784,1783,1784,853,1798,597,718,1197,1800,1250,0,860,860,854,1797,600,0,715,857,1798,1795,854,858,857,32935,31801,31521,15,1233,5017,6190000,0,,,,,,,,,,,
1785810069.366,9,0.0,0,1,65948,0,1613,0.5824,102,2,68756,0,2631,,,0.0,0,2,58408,0,1903,0.0,0,2,74108,0,2819,0.0,0,0,75036,0,3839,0.0,0,1,37188,0,423,0.3039,0.2396,0.3368,0.6458,0.0,1933700,29359356,3100,1794,1200,1783,1783,1783,1783,855,1798,597,717,1200,1802,1250,0,859,854,859,1798,600,0,715,856,1796,1792,859,858,858,32531,32671,30806,15,1298,5016,6520000,0,,,,,,,,,,,
1785810070.387,10,0.0,0,1,65948,0,1613,0.5577,197,1,97228,0,2910,,,0.0,0,2,58408,0,1903,0.0,0,0,74108,0,2820,0.0,0,0,75036,0,3839,0.0098,0,1,37188,0,423,0.2217,0.2277,0.2019,0.4476,0.0,1925372,29359356,5768,1794,1198,1783,1783,1783,1784,854,1796,597,717,1200,1801,1251,0,856,861,861,1799,599,0,715,857,1797,1791,858,858,851,31661,31661,32096,15,1198,5017,6020000,0,41293,73865,41443,53282,54286,26235,,,,,
