capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785810365,958657471,156.635,5.016,,,0
1785810366,26019287,126.576,0.65,,32.904,0
1785810366,127103027,2250.509,3.946,2254.444,2228.344,1
1785810367,765249756,642.871,1.909,644.761,28.478,1
1785810367,798419922,620.299,0.705,620.979,9.391,1
1785810367,864994873,557.361,0.582,557.915,3.514,1
1785810367,898280273,558.892,3.091,561.974,37.322,1
1785810367,964846924,504.967,0.771,505.705,10.315,1
1785810368,31407959,442.553,0.831,443.32,4.18,1
1785810368,64686523,413.135,0.601,413.733,3.671,1
1785810368,131239746,349.905,0.615,350.494,3.336,1
1785810368,197787354,286.554,0.604,287.134,3.186,1
1785810368,264329590,225.445,0.608,226.026,5.434,1
1785810368,330866455,172.089,0.787,172.855,13.355,1
1785810368,397397705,109.701,1.163,110.84,4.526,1
1785810368,430661377,116.896,0.579,117.436,39.862,1
1785810368,530444336,84.259,0.555,84.788,67.136,1
1785810368,596959473,86.8,0.763,87.539,69.265,1
1785810368,663468994,84.446,0.552,84.972,63.943,1
1785810368,729973389,88.137,0.589,88.701,70.232,1
1785810368,796476318,87.878,0.604,88.454,66.257,1
1785810368,863094238,89.118,2.056,91.15,69.311,1
1785810368,896401855,126.634,0.637,127.249,69.405,1
1785810368,963015381,98.094,0.783,98.854,38.217,1
1785810369,29625977,87.621,0.648,88.246,56.006,1
1785810369,96233398,84.523,0.596,85.094,63.455,1
1785810369,162837891,87.457,0.569,87.984,69.496,1
1785810369,229439453,85.502,0.576,86.053,64.67,1
1785810369,296038086,92.972,0.773,93.718,74.261,1
1785810369,362633545,93.234,0.664,93.874,66.754,1
1785810369,429226318,85.4,0.553,85.93,58.65,1
1785810369,495815918,86.109,0.577,86.66,67.319,1
1785810369,562402588,85.758,0.577,86.31,66.236,1
1785810369,628986084,85.031,0.664,85.675,65.946,1
1785810369,695566895,87.304,0.635,87.916,68.823,1
1785810369,762144531,108.532,1.088,109.603,88.253,1
1785810369,795446045,122.501,0.655,123.135,46.845,1
1785810369,862373535,90.989,0.653,91.621,35.414,1
1785810369,929305664,91.704,0.726,92.407,67.717,1
1785810369,996243164,89.208,0.572,89.755,64.288,1
1785810370,63185303,85.825,0.565,86.365,63.552,1
1785810370,130132568,87.828,0.566,88.371,68.952,1
1785810370,197084473,88.113,0.66,88.748,67.328,1
1785810370,264041504,86.482,0.619,87.077,65.286,1
1785810370,331003662,86.36,0.794,87.132,67.013,1
1785810370,364486328,114.39,0.922,115.282,61.634,1
1785810370,397970459,120.145,0.648,120.768,38.972,1
1785810370,464942383,91.317,0.583,91.878,38.083,1
1785810370,531919189,87.131,0.572,87.682,62.781,1
1785810370,598900879,86.254,0.649,86.882,66.181,1
1785810370,665887451,82.368,0.65,82.994,63.099,1
1785810370,732879150,92.321,0.631,92.931,76.928,1
1785810370,799856934,84.036,0.58,84.591,58.638,1
1785810370,866472168,85.565,0.795,86.338,68.36,1
1785810370,933084961,85.943,0.785,86.705,66.982,1
1785810370,999694824,84.725,0.558,85.258,65.163,1
1785810371,66302246,82.79,0.688,83.454,64.804,1
1785810371,132906982,88.162,0.897,89.038,72.186,1
1785810371,199509033,83.088,0.55,83.616,61.183,1
