stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785810365,958657471,1785810365,958657471,,1,848,480,73.475,72.39,7.859,64.531,27.075,17.142,17.07,3.245,37.456,1.075,0.01,62.173,135.783
1785810366,26019287,1785810366,26019287,52.33,1,848,480,42.952,42.347,1.019,41.328,10.571,9.948,18.081,2.729,30.757,0.6,0.006,77.661,120.629
1785810366,127103027,1785810366,127103027,62.307,1,848,480,39.328,38.7,1.774,36.926,8.335,8.534,17.15,2.907,28.591,0.622,0.006,42.505,81.86
1785810366,194519775,1785810366,194519775,69.533,1,848,480,43.821,43.162,2.381,40.782,6.282,8.434,23.253,2.812,34.5,0.652,0.007,40.136,84.093
1785810366,261958496,1785810366,261958496,91.299,1,848,480,67.48,66.852,11.757,55.095,11.429,21.589,16.908,5.168,43.666,0.621,0.007,40.329,107.836
1785810366,329419434,1785810366,329419434,68.074,1,848,480,67.671,62.63,6.483,56.147,6.927,29.56,16.764,2.896,49.22,5.03,0.012,40.743,108.477
1785810366,363158203,1785810366,363158203,47.591,1,848,480,47.09,46.394,3.455,42.939,12.971,9.897,17.371,2.701,29.968,0.69,0.006,75.173,122.302
1785810366,430652344,1785810366,430652344,43.112,1,848,480,42.662,41.978,1.418,40.56,11.46,9.075,16.654,3.37,29.099,0.677,0.008,55.218,97.939
1785810366,531934570,1785810366,531934570,78.85,1,848,480,37.759,37.124,1.682,35.441,6.196,8.429,17.321,3.495,29.246,0.63,0.005,37.701,75.492
1785810366,599483887,1785810366,599483887,68.23,1,848,480,40.73,39.923,2.031,37.892,7.553,8.399,18.877,3.063,30.339,0.799,0.008,35.416,76.174
1785810366,667054932,1785810366,667054932,65.456,1,848,480,39.334,38.618,3.266,35.352,6.228,8.519,17.238,3.366,29.124,0.709,0.007,34.699,74.055
1785810366,734648193,1785810366,734648193,68.379,1,848,480,40.134,39.451,3.407,36.044,6.769,8.85,17.246,3.178,29.275,0.677,0.007,34.683,74.844
1785810366,802251221,1785810366,802251221,70.346,1,848,480,44.299,43.642,1.825,41.816,10.184,9.413,17.369,4.85,31.632,0.651,0.006,33.258,77.574
1785810366,868741455,1785810366,868741455,60.382,1,848,480,38.521,37.917,2.059,35.858,6.703,8.452,17.531,3.172,29.155,0.598,0.006,32.926,71.464
1785810366,935220215,1785810366,935220215,75.326,1,848,480,46.833,46.14,1.85,44.29,6.696,17.063,17.351,3.181,37.594,0.686,0.007,33.462,80.321
