capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785810365,958657471,137.543,7.463,144.872,1,0
1785810366,26019287,122.023,0.988,122.935,1,0
1785810366,127103027,83.338,4.266,87.479,1,1
1785810366,194519775,85.468,0.947,86.338,1,1
1785810366,261958496,109.838,0.924,110.683,1,1
1785810366,329419434,105.725,0.942,106.591,1,1
1785810366,363158203,123.97,1.03,124.918,1,1
1785810366,430652344,99.456,1.635,101.012,1,1
1785810366,531934570,77.487,0.949,78.351,1,1
1785810366,599483887,78.416,1.275,79.609,1,1
1785810366,667054932,75.492,0.803,76.224,1,1
1785810366,734648193,76.279,2.752,78.952,1,1
1785810366,802251221,79.667,0.922,80.512,1,1
1785810366,868741455,73.405,0.877,74.206,1,1
1785810366,935220215,82.748,1.254,83.926,1,1
1785810366,968455566,112.225,2.057,114.194,1,1
1785810367,34917236,84.024,3.542,87.484,1,1
1785810367,101367920,78.661,0.964,79.552,1,1
1785810367,234234863,75.657,5.018,80.56,1,1
1785810367,300651367,100.59,1.14,101.597,1,1
1785810367,333855469,135.364,3.174,138.45,1,1
1785810367,400254883,117.563,1.977,119.465,1,1
1785810367,466643066,106.175,1.929,108.028,1,1
1785810367,533020020,85.637,0.871,86.428,1,1
1785810367,599385498,80.108,1.001,80.971,1,1
1785810367,665739746,76.33,0.953,77.206,1,1
1785810367,732082520,90.346,3.746,94.011,1,1
1785810367,765249756,108.296,2.101,110.078,1,1
1785810367,798419922,125.877,1.504,127.269,1,1
1785810367,864994873,105.029,0.932,105.884,1,1
1785810367,898280273,128.224,1.295,129.437,1,1
1785810367,964846924,102.275,3.022,105.213,1,1
1785810368,31407959,96.422,9.189,105.529,1,1
1785810368,64686523,124.296,1.312,125.534,1,1
1785810368,131239746,114.678,3.023,117.594,1,1
1785810368,197787354,90.842,1.357,92.122,1,1
1785810368,264329590,83.508,4.935,88.326,1,1
1785810368,330866455,94.667,1.041,95.625,1,1
1785810368,397397705,93.599,1.06,94.578,1,1
1785810368,430661377,110.288,0.946,111.094,1,1
1785810368,530444336,78.469,1.004,79.4,1,1
1785810368,596959473,81.148,0.863,81.939,1,1
1785810368,663468994,78.622,0.799,79.351,1,1
1785810368,729973389,79.997,0.881,80.803,1,1
1785810368,796476318,82.187,0.799,82.914,1,1
1785810368,863094238,79.018,1.489,80.422,1,1
1785810368,896401855,116.978,0.961,117.861,1,1
1785810368,963015381,91.521,1.043,92.49,1,1
1785810369,29625977,81.899,0.969,82.718,1,1
1785810369,96233398,78.121,1.069,79.116,1,1
1785810369,162837891,81.643,0.824,82.393,1,1
1785810369,229439453,79.627,0.852,80.408,1,1
1785810369,296038086,82.749,6.212,88.779,1,1
1785810369,362633545,87.377,0.794,88.1,1,1
1785810369,429226318,79.612,0.796,80.336,1,1
1785810369,495815918,79.946,0.801,80.676,1,1
1785810369,562402588,79.817,0.793,80.539,1,1
1785810369,628986084,79.334,0.839,80.103,1,1
1785810369,695566895,81.716,0.796,82.44,1,1
1785810369,762144531,96.194,1.017,97.135,1,1
1785810369,795446045,114.165,1.01,115.097,1,1
1785810369,862373535,84.975,0.888,85.791,1,1
1785810369,929305664,84.561,0.788,85.279,1,1
1785810369,996243164,83.368,0.781,84.076,1,1
1785810370,63185303,79.999,0.802,80.727,1,1
1785810370,130132568,81.534,0.875,82.335,1,1
1785810370,197084473,82.499,0.892,83.319,1,1
1785810370,264041504,80.763,0.891,81.583,1,1
1785810370,331003662,80.193,4.965,85.046,1,1
1785810370,364486328,98.455,7.246,105.616,1,1
1785810370,397970459,112.696,1.338,113.954,1,1
1785810370,464942383,85.389,0.805,86.121,1,1
1785810370,531919189,81.474,0.793,82.195,1,1
1785810370,598900879,80.627,0.868,81.423,1,1
1785810370,665887451,76.625,0.789,77.341,1,1
1785810370,732879150,80.629,0.864,81.417,1,1
1785810370,799856934,78.177,0.79,78.897,1,1
1785810370,866472168,79.854,0.84,80.622,1,1
1785810370,933084961,80.247,0.781,80.956,1,1
1785810370,999694824,76.719,0.872,77.518,1,1
1785810371,66302246,77.07,0.862,77.794,1,1
1785810371,132906982,80.568,0.927,81.417,1,1
1785810371,199509033,77.334,0.866,78.127,1,1
1785810371,266108398,76.594,1.025,77.547,1,1
1785810371,332705322,80.885,4.854,85.631,1,1
1785810371,399299561,81.288,0.797,82.014,1,1
1785810371,465890869,77.851,0.793,78.572,1,1
1785810371,532479736,81.734,0.783,82.445,1,1
1785810371,599066162,77.188,0.824,77.941,1,1
1785810371,665649658,78.082,0.793,78.803,1,1
1785810371,732230469,84.226,0.882,85.033,1,1
1785810371,798812988,81.423,0.801,82.152,1,1
1785810371,865452393,78.971,0.798,79.684,1,1
1785810371,932090088,83.459,0.995,84.378,1,1
1785810371,998726074,81.414,0.937,82.279,1,1
1785810372,65360107,80.725,2.22,82.865,1,1
1785810372,98676514,102.976,1.338,104.228,1,1
1785810372,165308105,81.819,0.916,82.659,1,1
1785810372,231937988,80.369,0.807,81.1,1,1
1785810372,331879150,85.772,11.95,97.607,1,1
1785810372,365192139,107.295,3.212,110.427,1,1
1785810372,398504639,117.23,0.796,117.955,1,1
1785810372,498439209,82.592,0.799,83.32,1,1
1785810372,565060059,78.696,0.916,79.538,1,1
1785810372,631679199,78.688,0.85,79.465,1,1
1785810372,698296631,82.1,0.793,82.823,1,1
1785810372,764912354,103.032,1.088,104.027,1,1
1785810372,798227051,113.237,1.034,114.192,1,1
1785810372,865070557,87.71,0.89,88.528,1,1
1785810372,931915771,84.788,0.93,85.637,1,1
1785810372,998762451,78.926,0.942,79.796,1,1
1785810373,65610840,79.187,0.879,79.99,1,1
1785810373,132460938,79.801,0.949,80.678,1,1
1785810373,199312744,80.018,1.097,81.013,1,1
1785810373,232739258,90.62,0.84,91.34,1,1
1785810373,299593262,83.415,0.971,84.311,1,1
1785810373,366449219,82.516,10.458,92.855,1,1
1785810373,433306641,83.856,0.832,84.616,1,1
1785810373,500165771,79.032,0.848,79.809,1,1
1785810373,567026611,78.224,0.885,79.039,1,1
1785810373,633888916,78.312,0.896,79.134,1,1
1785810373,700752930,78.455,0.873,79.257,1,1
1785810373,767618652,85.559,0.802,86.289,1,1
1785810373,867866211,77.585,0.786,78.3,1,1
1785810373,934682617,78.036,1.174,79.129,1,1
1785810373,968091309,90.209,0.979,91.101,1,1
1785810374,34909424,78.543,0.81,79.281,1,1
1785810374,101728271,78.8,0.806,79.519,1,1
1785810374,168548340,77.703,0.865,78.496,1,1
1785810374,235369141,77.894,1.011,78.831,1,1
1785810374,302191162,78.069,0.962,78.96,1,1
1785810374,369013916,85.694,5.816,91.347,1,1
1785810374,435837891,77.983,0.8,78.706,1,1
1785810374,502662598,77.408,0.859,78.193,1,1
1785810374,569488281,77.926,0.801,78.656,1,1
1785810374,636315186,77.053,0.924,77.904,1,1
1785810374,703142822,76.402,0.801,77.117,1,1
1785810374,803385010,75.968,0.809,76.702,1,1
1785810374,870001953,76.971,0.805,77.702,1,1
1785810374,936616699,79.312,1.167,80.404,1,1
1785810375,3229492,77.459,0.928,78.313,1,1
1785810375,69840576,77.902,0.842,78.658,1,1
1785810375,136449463,75.416,0.995,76.338,1,1
1785810375,169753418,87.844,0.786,88.559,1,1
1785810375,236359619,77.4,0.851,78.174,1,1
1785810375,302963623,77.966,0.858,78.75,1,1
1785810375,369565918,80.062,0.86,80.85,1,1
1785810375,436166260,77.177,8.234,85.289,1,1
1785810375,502764648,79.204,0.806,79.939,1,1
1785810375,569361328,77.618,0.921,78.468,1,1
1785810375,635955811,80.991,0.896,81.726,1,1
1785810375,702548340,79.686,0.889,80.504,1,1
1785810375,769139160,83.582,0.809,84.319,1,1
1785810375,835829102,78.277,0.803,79.007,1,1
1785810375,902617188,77.578,0.803,78.309,1,1
1785810375,969405518,83.058,0.786,83.771,1,1
1785810376,36194580,77.867,0.811,78.605,1,1
1785810376,102983887,79.907,0.946,80.703,1,1
1785810376,169773926,76.016,0.974,76.836,1,1
1785810376,236564453,81.359,0.851,82.134,1,1
1785810376,303355469,79.902,0.947,80.774,1,1
1785810376,370147217,82.23,0.849,83.006,1,1
1785810376,436939209,76.922,4.856,81.67,1,1
1785810376,503731689,76.727,0.782,77.439,1,1
1785810376,570524902,76.298,0.98,77.073,1,1
1785810376,637318604,79.892,0.835,80.656,1,1
1785810376,704112793,79.507,0.795,80.231,1,1
1785810376,804304199,77.17,0.819,77.918,1,1
1785810376,870919189,76.807,0.82,77.554,1,1
1785810376,937532471,80.475,0.916,81.315,1,1
1785810377,4143799,76.426,0.827,77.181,1,1
1785810377,70753418,80.06,0.809,80.797,1,1
1785810377,137361084,78.179,0.858,78.965,1,1
1785810377,203967041,75.799,0.859,76.55,1,1
1785810377,270571289,76.594,0.904,77.424,1,1
1785810377,337173584,78.51,1.103,79.539,1,1
1785810377,403773926,77.653,0.795,78.36,1,1
1785810377,470372803,76.579,4.251,80.723,1,1
1785810377,536969482,77.163,0.8,77.89,1,1
1785810377,603564697,79.398,0.791,80.117,1,1
1785810377,670157959,77.255,0.83,77.998,1,1
1785810377,736749268,87.607,1.051,88.573,1,1
1785810377,770044189,107.621,1.647,109.173,1,1
1785810377,803340332,120.356,1.026,121.304,1,1
1785810377,870029297,102.625,1.163,103.703,1,1
1785810377,903373779,122.804,0.869,123.595,1,1
1785810377,970062988,107.498,1.066,108.485,1,1
1785810378,36752441,90.081,0.845,90.853,1,1
1785810378,103442139,85.651,0.795,86.375,1,1
1785810378,170132324,81.48,0.863,82.273,1,1
1785810378,236822754,80.978,0.826,81.729,1,1
1785810378,303513184,82.129,0.881,82.933,1,1
1785810378,336858643,115.977,1.111,117.008,1,1
1785810378,403549805,92.124,0.829,92.878,1,1
1785810378,470241211,80.628,4.096,84.623,1,1
1785810378,536932861,77.175,0.793,77.896,1,1
1785810378,603624756,81.263,0.937,82.129,1,1
1785810378,670316895,78.12,0.809,78.857,1,1
1785810378,737009521,90.35,0.947,91.221,1,1
1785810378,770355713,112.911,1.459,114.285,1,1
1785810378,837063477,82.551,0.875,83.351,1,1
1785810378,903824219,79.055,0.796,79.78,1,1
1785810378,970609131,80.293,0.831,81.052,1,1
1785810379,37394531,77.239,0.853,78.02,1,1
1785810379,104180420,77.5,0.857,78.285,1,1
1785810379,170966797,77.506,0.938,78.372,1,1
1785810379,237753662,78.85,0.858,79.636,1,1
1785810379,304541016,80.679,0.858,81.463,1,1
1785810379,371328613,85.149,0.917,85.991,1,1
1785810379,438116943,78.335,0.78,79.044,1,1
1785810379,504905762,77.936,4.711,82.536,1,1
1785810379,571694824,76.801,0.877,77.605,1,1
1785810379,638484375,76.028,0.826,76.739,1,1
1785810379,705274658,81.447,0.805,82.182,1,1
1785810379,772065186,86.938,1.345,88.169,1,1
1785810379,805460693,102.611,1.014,103.545,1,1
1785810379,872227783,83.916,0.802,84.646,1,1
1785810379,938840332,76.887,0.871,77.683,1,1
1785810380,5451172,76.624,0.843,77.393,1,1
1785810380,72060059,76.799,0.966,77.692,1,1
1785810380,138667236,77.115,0.833,77.875,1,1
1785810380,205272461,77.824,0.788,78.542,1,1
1785810380,271875977,77.58,0.781,78.288,1,1
1785810380,338477783,84.069,0.957,84.948,1,1
1785810380,405077637,78.416,3.224,81.562,1,1
1785810380,471675781,78.686,0.865,79.479,1,1
1785810380,538272217,78.296,4.51,82.685,1,1
1785810380,604866699,77.018,4.614,77.899,1,1
1785810380,671459473,81.67,0.802,82.401,1,1
1785810380,738050537,78.468,0.943,79.332,1,1
1785810380,804639648,81.134,0.794,81.846,1,1
1785810380,871238770,82.025,0.81,82.764,1,1
1785810380,937847900,77.377,0.886,78.187,1,1
1785810381,4455322,78.745,1.591,80.247,1,1
1785810381,71060547,82.455,0.803,83.187,1,1
1785810381,137664307,79.549,0.921,80.397,1,1
1785810381,204266113,79.179,0.809,79.913,1,1
1785810381,270865967,79.832,0.817,80.578,1,1
1785810381,337463867,79.596,1.138,80.653,1,1
1785810381,404060059,79.932,0.863,80.718,1,1
1785810381,437357666,92.449,0.991,93.366,1,1
1785810381,503950928,80.84,0.8,81.553,1,1
1785810381,570542480,79.937,4.332,84.164,1,1
1785810381,637132324,80.063,0.799,80.791,1,1
1785810381,703720215,79.894,0.785,80.609,1,1
1785810381,770306152,90.038,1.016,90.975,1,1
1785810381,803598633,99.174,1.062,100.156,1,1
1785810381,870250000,82.658,0.804,83.39,1,1
1785810381,937009766,80.716,0.941,81.58,1,1
1785810382,3771729,79.917,0.834,80.679,1,1
1785810382,70535400,80.104,0.866,80.824,1,1
1785810382,137301270,83.167,0.798,83.893,1,1
1785810382,204069336,80.143,0.798,80.869,1,1
1785810382,270839355,79.749,0.832,80.507,1,1
1785810382,337611572,81.933,0.822,82.68,1,1
1785810382,404385498,79.873,0.844,80.643,1,1
1785810382,471161865,79.952,0.827,80.707,1,1
1785810382,537939941,81.533,0.791,82.253,1,1
1785810382,604720459,79.516,9.354,88.764,1,1
1785810382,671502686,79.764,0.899,80.592,1,1
1785810382,738287109,81.627,0.911,82.461,1,1
1785810382,805073486,81.01,0.936,81.875,1,1
1785810382,871788086,79.11,0.842,79.88,1,1
1785810382,938427979,80.213,0.936,81.071,1,1
1785810383,5066406,79.466,0.808,80.201,1,1
1785810383,71703857,79.232,0.881,80.042,1,1
1785810383,138339844,79.948,0.787,80.664,1,1
1785810383,204974609,79.439,0.806,80.174,1,1
1785810383,271608154,81.53,0.801,82.26,1,1
1785810383,338240234,85.866,1.046,86.837,1,1
1785810383,404871338,87.798,1.17,88.889,1,1
1785810383,438186279,116.18,0.906,117.003,1,1
1785810383,504815186,92.689,0.996,93.608,1,1
1785810383,538129150,113.088,1.253,114.261,1,1
1785810383,604756348,85.374,4.714,89.986,1,1
1785810383,671382080,82.585,0.803,83.316,1,1
1785810383,738006592,82.107,1.022,83.052,1,1
1785810383,804629883,80.922,0.796,81.627,1,1
1785810383,871268066,81.537,0.788,82.253,1,1
1785810383,937919922,80.981,1.034,81.937,1,1
1785810384,4570557,81.063,0.905,81.896,1,1
1785810384,71219971,81.331,0.906,82.165,1,1
1785810384,137868164,81.361,0.784,82.074,1,1
1785810384,204515137,81.216,0.784,81.928,1,1
1785810384,271161133,84.752,6.392,88.51,1,1
1785810384,337805908,87.425,1.291,88.636,1,1
1785810384,404449463,94.121,0.997,95.042,1,1
1785810384,437770996,115.536,1.02,116.476,1,1
1785810384,504412842,86.468,0.853,87.247,1,1
1785810384,571053467,82.909,0.848,83.687,1,1
1785810384,637693115,80.85,4.299,85.038,1,1
1785810384,704331543,81.359,0.788,82.076,1,1
1785810384,770968750,90.651,1.173,91.744,1,1
1785810384,804287109,107.407,0.947,108.278,1,1
1785810384,837623291,127.23,0.986,128.135,1,1
1785810384,904261963,105.076,1.338,106.296,1,1
1785810384,937580811,119.631,0.803,120.362,1,1
1785810385,37535400,82.64,0.806,83.374,1,1
1785810385,104170166,81.011,0.789,81.729,1,1
1785810385,170803467,81.882,0.864,82.675,1,1
1785810385,237435303,81.342,0.835,82.063,1,1
1785810385,304065918,81.499,1.002,82.429,1,1
1785810385,370695068,84.781,0.912,85.543,1,1
1785810385,437322998,82.729,0.843,83.497,1,1
1785810385,503949463,81.606,0.801,82.32,1,1
1785810385,570574707,81.377,0.881,82.187,1,1
1785810385,637198486,82.163,4.496,86.551,1,1
1785810385,703821045,81.773,0.798,82.499,1,1
1785810385,770442139,85.687,0.797,86.412,1,1
1785810385,837061768,83.231,0.804,83.948,1,1
1785810385,903785156,82.294,0.793,83.018,1,1
1785810385,970509277,83.838,0.779,84.547,1,1
1785810386,37234131,82.42,0.934,83.283,1,1
1785810386,103960205,82.397,0.843,83.169,1,1
1785810386,170687012,87.282,0.818,88.028,1,1
1785810386,237414551,82.015,0.782,82.726,1,1
1785810386,304143311,82.729,1.052,83.708,1,1
1785810386,370872803,84.467,2.68,87.067,1,1
1785810386,437603027,82.336,0.845,83.107,1,1
1785810386,504334473,81.884,0.798,82.611,1,1
1785810386,571066650,82.467,0.848,83.242,1,1
1785810386,637799561,81.712,4.571,86.179,1,1
1785810386,704533691,81.753,0.797,82.465,1,1
1785810386,771268555,83.802,0.829,84.56,1,1
1785810386,838003662,84.584,0.841,85.355,1,1
1785810386,904809570,81.919,0.935,82.782,1,1
1785810386,971616211,85.052,0.886,85.865,1,1
1785810387,38423828,81.923,0.803,82.655,1,1
1785810387,105232178,81.215,0.799,81.925,1,1
1785810387,172041504,85.277,0.794,86.0,1,1
1785810387,238851563,81.271,0.79,81.99,1,1
1785810387,305662598,81.622,0.84,82.387,1,1
1785810387,372474609,87.51,1.111,88.543,1,1
1785810387,439287354,81.363,0.843,82.132,1,1
1785810387,506100830,81.309,0.838,82.076,1,1
1785810387,572915527,81.179,0.858,81.967,1,1
1785810387,639730713,80.838,5.497,86.221,1,1
1785810387,706547119,80.867,0.842,81.638,1,1
1785810387,773364258,83.271,0.781,83.981,1,1
1785810387,840180664,80.18,0.795,80.905,1,1
1785810387,906970947,79.875,0.789,80.591,1,1
1785810387,973761963,81.293,0.789,82.012,1,1
1785810388,40553223,80.294,0.792,81.015,1,1
1785810388,107345459,80.517,0.849,81.295,1,1
1785810388,174138184,82.359,0.806,83.092,1,1
1785810388,240931396,80.063,0.801,80.793,1,1
1785810388,307725342,80.688,0.929,81.529,1,1
1785810388,374519775,81.442,0.861,82.228,1,1
1785810388,441314941,80.695,0.846,81.464,1,1
1785810388,508110596,81.356,0.873,82.143,1,1
1785810388,574906982,79.335,0.79,80.054,1,1
1785810388,641703857,79.496,4.208,83.604,1,1
1785810388,708501221,79.546,0.854,80.26,1,1
1785810388,775299561,83.131,0.856,83.916,1,1
1785810388,842096924,80.749,0.795,81.474,1,1
1785810388,908981689,79.242,0.787,79.958,1,1
1785810388,975869385,79.553,0.807,80.277,1,1
1785810389,42759766,78.846,0.797,79.572,1,1
1785810389,109653320,78.892,0.849,79.67,1,1
1785810389,176549561,78.127,0.926,78.982,1,1
1785810389,243448730,79.005,0.835,79.768,1,1
1785810389,310351074,79.73,0.875,80.53,1,1
1785810389,377256104,79.198,0.826,79.953,1,1
1785810389,444164063,77.823,0.855,78.606,1,1
1785810389,511074951,77.439,1.977,79.341,1,1
1785810389,577988770,76.571,0.834,77.331,1,1
1785810389,644905518,77.514,6.952,84.356,1,1
1785810389,711825195,76.827,0.91,77.664,1,1
1785810389,778747803,78.955,0.929,79.727,1,1
1785810389,845670654,76.49,0.793,77.212,1,1
1785810389,912380127,75.952,0.784,76.665,1,1
1785810389,979090088,77.767,0.788,78.483,1,1
1785810390,45800781,77.223,0.896,78.045,1,1
1785810390,112512207,76.498,0.794,77.221,1,1
1785810390,179224365,76.839,0.848,77.614,1,1
1785810390,245937012,76.31,0.801,77.038,1,1
1785810390,312650391,76.447,0.833,77.206,1,1
1785810390,379364502,81.796,0.913,82.636,1,1
1785810390,446079346,76.785,0.855,77.568,1,1
1785810390,512794678,76.103,0.974,77.002,1,1
1785810390,579510742,76.617,0.927,77.473,1,1
1785810390,646227539,76.62,4.864,81.323,1,1
1785810390,712945068,76.415,0.823,77.165,1,1
1785810390,779663330,76.254,0.795,76.978,1,1
1785810390,846382080,76.54,0.925,77.391,1,1
1785810390,913019287,76.241,0.797,76.966,1,1
1785810390,979655029,79.569,0.86,80.356,1,1
1785810391,46289551,77.158,0.8,77.888,1,1
1785810391,112922607,76.558,0.791,77.277,1,1
1785810391,179554199,77.294,0.865,78.089,1,1
1785810391,246184570,77.541,0.863,78.333,1,1
1785810391,312813232,83.916,1.194,84.874,1,1
1785810391,379440918,81.479,1.065,82.469,1,1
1785810391,446067139,77.466,0.946,78.341,1,1
1785810391,512691895,77.702,0.903,78.532,1,1
1785810391,579315186,77.512,0.792,78.232,1,1
1785810391,645937256,77.506,4.261,81.666,1,1
1785810391,712557861,77.719,0.849,78.496,1,1
1785810391,779177246,77.369,0.794,78.077,1,1
1785810391,845796143,77.607,0.788,78.324,1,1
1785810391,912516602,77.666,0.794,78.389,1,1
1785810391,979238037,78.441,0.783,79.152,1,1
1785810392,45959961,78.121,0.793,78.843,1,1
1785810392,112682861,78.969,0.806,79.704,1,1
1785810392,212769043,79.705,0.825,80.459,1,1
1785810392,279493896,77.822,0.832,78.581,1,1
1785810392,346219727,81.637,0.85,82.414,1,1
1785810392,412946533,80.804,0.864,81.597,1,1
1785810392,479674072,77.561,0.799,78.288,1,1
1785810392,546402344,78.623,0.841,79.39,1,1
1785810392,613131592,78.999,0.799,79.726,1,1
1785810392,679861572,79.24,4.432,83.569,1,1
1785810392,746592529,79.814,1.011,80.748,1,1
1785810392,813324219,77.74,0.866,78.534,1,1
1785810392,880016357,77.639,0.781,78.35,1,1
1785810392,946667236,81.462,0.824,82.214,1,1
1785810393,13317383,79.466,0.796,80.19,1,1
1785810393,79966064,78.259,0.793,78.981,1,1
1785810393,146613770,77.722,0.796,78.448,1,1
1785810393,213260498,78.069,0.821,78.816,1,1
1785810393,279906006,78.452,1.025,79.359,1,1
1785810393,346550293,83.777,0.938,84.589,1,1
1785810393,413193604,82.525,0.846,83.299,1,1
1785810393,479835938,78.219,0.8,78.948,1,1
1785810393,546477051,79.314,0.842,80.08,1,1
1785810393,613116943,79.741,0.791,80.461,1,1
1785810393,679755859,83.534,4.46,87.888,1,1
1785810393,746393555,83.833,0.797,84.558,1,1
1785810393,813030029,80.303,0.782,81.011,1,1
1785810393,879674805,78.907,0.93,79.693,1,1
1785810393,946325928,80.334,0.907,81.163,1,1
1785810394,12975586,79.832,0.869,80.627,1,1
1785810394,79624268,80.712,0.859,81.501,1,1
1785810394,146271973,81.495,0.943,82.363,1,1
1785810394,212918457,84.807,0.793,85.528,1,1
1785810394,279563721,79.674,0.814,80.417,1,1
1785810394,346208008,81.795,0.897,82.619,1,1
1785810394,412851074,82.136,0.792,82.856,1,1
1785810394,479492920,79.632,0.802,80.363,1,1
1785810394,546133789,80.873,0.862,81.662,1,1
1785810394,612773682,81.191,0.841,81.961,1,1
1785810394,679412109,85.006,6.676,91.575,1,1
1785810394,746049805,80.274,0.798,81.001,1,1
1785810394,812686035,81.294,0.792,82.014,1,1
1785810394,879373291,80.316,0.946,81.19,1,1
1785810394,946111572,81.989,0.856,82.774,1,1
1785810395,12850830,79.987,0.868,80.783,1,1
1785810395,79591309,81.019,0.882,81.831,1,1
1785810395,146333008,84.774,0.877,85.58,1,1
1785810395,213075928,81.297,0.792,82.016,1,1
1785810395,279819824,81.475,0.841,82.241,1,1
1785810395,346565186,85.877,0.976,86.781,1,1
1785810395,413311523,81.19,0.883,82.002,1,1
1785810395,480058838,80.883,0.795,81.606,1,1
1785810395,546807617,80.632,0.83,81.387,1,1
1785810395,613557373,79.352,0.793,80.075,1,1
1785810395,680308350,80.883,0.791,81.601,1,1
1785810395,747060547,84.335,6.907,91.137,1,1
1785810395,813813965,80.94,0.776,81.645,1,1
1785810395,880524170,80.504,0.795,81.227,1,1
1785810395,947191162,80.793,0.879,81.6,1,1
1785810396,13857178,79.46,0.912,80.18,1,1
1785810396,80522217,80.683,0.813,81.425,1,1
1785810396,147186523,81.702,0.85,82.482,1,1
1785810396,213850098,81.632,0.885,82.444,1,1
1785810396,280512695,79.568,0.791,80.288,1,1
1785810396,347174316,84.463,0.951,85.339,1,1
1785810396,413835449,82.242,0.801,82.971,1,1
1785810396,480495361,80.754,0.938,81.487,1,1
1785810396,547154785,81.455,0.841,82.223,1,1
1785810396,580484131,93.148,0.893,93.964,1,1
1785810396,647142090,80.441,0.807,81.177,1,1
1785810396,713799072,79.778,0.79,80.495,1,1
1785810396,780455566,81.683,9.36,90.936,1,1
1785810396,847111572,80.353,1.084,81.361,1,1
1785810396,913780518,79.963,0.979,80.871,1,1
1785810396,980448486,80.16,0.799,80.888,1,1
1785810397,47115967,80.125,1.12,81.17,1,1
1785810397,113782227,80.153,1.117,81.194,1,1
1785810397,180447998,84.703,0.952,85.581,1,1
1785810397,247112793,80.482,0.8,81.21,1,1
1785810397,313776611,82.466,1.062,83.449,1,1
1785810397,380439697,81.814,0.915,82.657,1,1
1785810397,447102051,80.856,0.957,81.74,1,1
1785810397,513763672,80.287,0.959,81.071,1,1
1785810397,580424316,81.889,1.197,82.834,1,1
1785810397,613754395,94.605,0.797,95.33,1,1
1785810397,680413818,81.723,0.817,82.469,1,1
1785810397,747072510,82.964,0.858,83.749,1,1
1785810397,813730225,82.219,4.727,86.841,1,1
1785810397,880393311,82.239,0.791,82.959,1,1
1785810397,947060547,82.471,0.885,83.284,1,1
1785810398,13727051,81.031,0.798,81.759,1,1
1785810398,80392578,81.097,0.782,81.809,1,1
1785810398,147057373,82.716,0.795,83.441,1,1
1785810398,213721191,83.07,0.989,83.986,1,1
1785810398,280384277,81.936,0.8,82.665,1,1
1785810398,347046631,82.505,0.841,83.271,1,1
1785810398,413708008,92.177,0.939,93.037,1,1
1785810398,447038330,108.005,0.954,108.876,1,1
1785810398,513698486,86.693,10.343,96.923,1,1
1785810398,580357910,81.482,1.017,82.423,1,1
1785810398,613687256,100.383,0.961,101.265,1,1
1785810398,680345215,85.041,0.797,85.769,1,1
1785810398,747002441,85.216,0.794,85.94,1,1
1785810398,813658936,82.473,6.676,89.044,1,1
1785810398,880336670,83.404,0.883,84.215,1,1
1785810398,947161377,83.732,0.889,84.548,1,1
1785810399,13987305,82.57,0.803,83.283,1,1
1785810399,80814453,82.7,0.894,83.419,1,1
1785810399,147642822,81.354,0.9,82.181,1,1
1785810399,214472412,81.942,0.838,82.708,1,1
1785810399,281302979,84.239,0.861,85.013,1,1
1785810399,348134766,91.838,0.788,92.556,1,1
