capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785810365,958657471,144.291,4.902,149.046,,100.898,0
1785810366,26019287,123.937,0.414,124.277,,100.888,0
1785810366,127103027,85.163,2163.157,2248.198,-0.196,67.178,1
1785810367,765249756,613.354,2.26,615.492,-1570.969,-1570.969,1
1785810367,798419922,591.161,2.792,593.817,331.355,331.355,1
1785810367,864994873,530.766,2.818,533.4,264.781,264.781,1
1785810367,898280273,505.761,2.793,508.417,231.495,231.495,1
1785810367,964846924,444.784,2.183,446.855,164.928,164.928,1
1785810368,31407959,395.404,3.041,398.323,98.367,364.356,1
1785810368,64686523,368.515,2.897,371.296,65.089,331.078,1
1785810368,131239746,307.792,2.225,309.899,-1.464,264.525,1
1785810368,197787354,246.967,2.669,249.31,-68.012,197.977,1
1785810368,264329590,186.122,2.308,188.314,131.435,131.435,1
1785810368,330866455,124.493,3.482,127.852,64.898,64.898,1
1785810368,397397705,96.486,3.295,99.633,-1.633,-1.633,1
1785810368,430661377,112.577,2.404,114.881,-34.897,98.065,1
1785810368,530444336,80.343,2.118,82.318,-1.718,64.755,1
1785810368,596959473,82.944,2.082,84.879,-1.76,64.707,1
1785810368,663468994,80.436,1.995,82.333,-1.802,64.66,1
1785810368,729973389,84.009,2.268,86.163,-1.844,64.613,1
1785810368,796476318,83.995,2.037,85.93,-1.89,64.686,1
1785810368,863094238,84.612,2.356,86.845,-1.932,64.64,1
1785810368,896401855,120.907,3.783,124.572,31.332,97.903,1
1785810368,963015381,93.395,2.273,95.476,31.289,31.289,1
1785810369,29625977,83.719,2.12,85.738,31.245,31.245,1
1785810369,96233398,80.372,2.121,82.381,31.201,31.201,1
1785810369,162837891,83.413,2.133,85.448,31.157,31.157,1
1785810369,229439453,81.525,2.095,83.517,31.114,31.114,1
1785810369,296038086,85.932,2.445,88.263,31.069,31.069,1
1785810369,362633545,89.24,2.119,91.255,31.026,31.026,1
1785810369,429226318,81.462,2.034,83.359,30.982,30.982,1
1785810369,495815918,81.755,2.237,83.889,-35.608,-35.608,1
1785810369,562402588,81.695,2.135,83.72,30.894,30.894,1
1785810369,628986084,81.143,2.057,83.103,30.851,30.851,1
1785810369,695566895,83.548,2.038,85.42,30.807,30.807,1
1785810369,762144531,100.709,5.465,105.847,30.764,30.764,1
1785810369,795446045,117.494,2.992,120.357,-2.538,64.346,1
1785810369,862373535,86.953,2.171,88.993,-2.581,64.309,1
1785810369,929305664,87.362,2.201,89.452,-2.623,64.272,1
1785810369,996243164,85.242,2.234,87.368,-2.666,64.233,1
1785810370,63185303,81.802,2.145,83.854,-2.709,-2.709,1
1785810370,130132568,83.559,2.372,85.822,64.157,64.157,1
1785810370,197084473,84.341,2.045,86.242,-2.795,64.12,1
1785810370,264041504,82.594,2.05,84.501,-2.837,64.082,1
1785810370,331003662,82.145,2.225,84.261,-2.881,64.044,1
1785810370,364486328,109.346,2.525,111.747,30.561,30.561,1
1785810370,397970459,115.143,2.714,117.727,-2.923,-2.923,1
1785810370,464942383,87.194,2.035,89.121,63.968,63.968,1
1785810370,531919189,83.246,2.042,85.146,-3.009,63.93,1
1785810370,598900879,82.43,1.997,84.331,-3.052,63.892,1
1785810370,665887451,78.444,2.06,80.409,-3.094,63.854,1
1785810370,732879150,88.289,2.129,90.308,-3.138,63.816,1
1785810370,799856934,79.991,2.225,82.108,-3.162,63.41,1
1785810370,866472168,81.634,1.983,83.524,-3.205,63.366,1
1785810370,933084961,81.968,2.163,84.02,-3.247,63.32,1
1785810370,999694824,78.669,4.083,82.653,-3.29,63.276,1
1785810371,66302246,78.787,2.001,80.695,-3.331,63.231,1
1785810371,132906982,82.388,3.981,86.257,-3.374,63.186,1
1785810371,199509033,79.008,2.147,81.05,-3.416,63.141,1
1785810371,266108398,78.565,2.01,80.478,-3.458,-3.458,1
1785810371,332705322,82.708,2.284,84.885,63.052,63.052,1
1785810371,399299561,83.048,2.044,84.947,-3.542,63.006,1
1785810371,465890869,79.808,2.201,81.908,-3.585,62.962,1
1785810371,532479736,83.54,2.04,85.486,-3.627,62.917,1
1785810371,599066162,79.042,2.094,81.042,-3.67,-3.67,1
1785810371,665649658,79.906,1.995,81.805,62.827,62.827,1
1785810371,732230469,88.604,4.781,93.202,-3.754,62.783,1
1785810371,798812988,83.165,2.077,85.15,-3.8,62.797,1
1785810371,865452393,80.715,1.982,82.605,-3.842,62.753,1
1785810371,932090088,85.487,2.022,87.391,-3.884,62.709,1
1785810371,998726074,83.314,1.997,85.217,-3.927,62.665,1
1785810372,65360107,84.472,2.577,86.923,-3.969,62.621,1
1785810372,98676514,105.485,2.846,108.199,29.304,29.304,1
1785810372,165308105,83.786,2.399,86.053,-37.327,-37.327,1
1785810372,231937988,82.123,2.186,84.132,29.218,29.218,1
1785810372,331879150,88.516,2.528,90.935,-4.138,62.444,1
1785810372,365192139,111.36,2.432,113.653,29.131,95.713,1
1785810372,398504639,119.003,2.112,120.98,-4.181,62.401,1
1785810372,498439209,84.358,2.052,86.317,29.045,29.045,1
1785810372,565060059,80.662,2.026,82.586,29.002,29.002,1
1785810372,631679199,80.516,2.046,82.466,28.96,28.96,1
1785810372,698296631,83.972,2.175,86.046,28.916,28.916,1
1785810372,764912354,107.622,3.331,110.803,28.873,28.873,1
1785810372,798227051,117.349,2.703,119.934,-4.441,-4.441,1
1785810372,865070557,89.646,2.151,91.688,62.311,62.311,1
1785810372,931915771,88.831,2.075,90.799,-4.535,62.269,1
1785810372,998762451,80.953,2.05,82.901,-4.578,62.229,1
1785810373,65610840,81.374,2.095,83.376,-4.62,62.187,1
1785810373,132460938,81.689,2.001,83.595,-4.663,62.146,1
1785810373,199312744,82.125,2.394,84.39,-4.705,62.105,1
1785810373,232739258,92.374,2.172,94.442,28.678,28.678,1
1785810373,299593262,85.385,2.445,87.718,28.637,28.637,1
1785810373,366449219,84.559,2.329,86.776,-38.219,-38.219,1
1785810373,433306641,85.603,2.06,87.565,28.553,28.553,1
1785810373,500165771,80.816,2.071,82.741,28.511,28.511,1
1785810373,567026611,80.004,2.1,82.003,28.469,28.469,1
1785810373,633888916,80.073,2.05,82.023,28.427,28.427,1
1785810373,700752930,80.275,1.99,82.17,28.386,28.386,1
1785810373,767618652,87.389,2.116,89.404,28.343,28.343,1
1785810373,867866211,79.311,2.047,81.211,-5.128,61.645,1
1785810373,934682617,80.932,2.158,82.983,-5.171,61.604,1
1785810373,968091309,92.115,2.271,94.269,28.195,28.195,1
1785810374,34909424,80.294,3.325,82.466,28.154,28.154,1
1785810374,101728271,80.564,1.985,82.453,28.111,28.111,1
1785810374,168548340,79.513,1.992,81.411,28.069,28.069,1
1785810374,235369141,81.47,2.053,83.417,28.027,28.027,1
1785810374,302191162,79.974,2.033,81.908,27.985,27.985,1
1785810374,369013916,87.59,2.569,90.047,27.942,27.942,1
1785810374,435837891,79.821,2.149,81.758,27.901,27.901,1
1785810374,502662598,79.238,2.091,81.232,27.858,27.858,1
1785810374,569488281,79.666,2.073,81.635,27.816,27.816,1
1785810374,636315186,78.938,1.991,80.836,27.773,27.773,1
1785810374,703142822,78.246,2.186,80.337,27.732,27.732,1
1785810374,803385010,77.805,1.985,79.695,-5.724,60.868,1
1785810374,870001953,78.752,2.041,80.697,-5.749,60.823,1
1785810374,936616699,84.227,1.956,86.093,-5.792,60.779,1
1785810375,3229492,79.412,2.18,81.492,-5.833,60.735,1
1785810375,69840576,79.709,1.98,81.595,-5.876,60.691,1
1785810375,136449463,77.382,2.35,79.607,-5.918,60.646,1
1785810375,169753418,89.771,2.68,92.345,27.343,27.343,1
1785810375,236359619,79.378,2.348,81.617,27.3,27.3,1
1785810375,302963623,81.635,2.04,83.556,27.257,27.257,1
1785810375,369565918,81.877,1.98,83.763,27.213,27.213,1
1785810375,436166260,79.033,2.094,81.022,27.171,27.171,1
1785810375,502764648,81.095,2.226,83.219,27.127,27.127,1
1785810375,569361328,79.406,2.07,81.377,27.084,27.084,1
1785810375,635955811,82.758,1.998,84.661,27.041,27.041,1
1785810375,702548340,81.546,2.096,83.541,26.998,26.998,1
1785810375,769139160,85.543,2.223,87.651,26.954,26.954,1
1785810375,835829102,80.143,2.134,82.182,26.992,26.992,1
1785810375,902617188,79.336,2.049,81.289,26.949,26.949,1
1785810375,969405518,84.856,2.061,86.776,26.908,26.908,1
1785810376,36194580,79.697,2.015,81.607,26.865,26.865,1
1785810376,102983887,81.703,2.033,83.64,26.823,26.823,1
1785810376,169773926,77.883,2.1,79.881,-39.967,-39.967,1
1785810376,236564453,83.191,2.102,85.185,26.739,26.739,1
1785810376,303355469,81.964,2.718,84.572,26.696,26.696,1
1785810376,370147217,84.021,2.088,86.01,26.654,26.654,1
1785810376,436939209,78.678,2.017,80.576,26.611,26.611,1
1785810376,503731689,78.457,2.009,80.368,26.569,26.569,1
1785810376,570524902,78.118,2.031,79.988,26.526,26.526,1
1785810376,637318604,81.677,2.112,83.654,26.484,26.484,1
1785810376,704112793,81.266,2.063,83.224,26.442,26.442,1
1785810376,804304199,79.005,2.256,81.143,-6.997,59.594,1
1785810376,870919189,78.679,2.035,80.565,-7.021,59.55,1
1785810376,937532471,83.226,2.131,85.255,-7.064,59.506,1
1785810377,4143799,80.025,1.978,81.908,-7.105,-7.105,1
1785810377,70753418,81.806,2.256,83.904,59.418,59.418,1
1785810377,137361084,80.064,2.037,82.008,-7.19,59.374,1
1785810377,203967041,77.662,1.991,79.541,-7.232,59.33,1
1785810377,270571289,80.112,2.06,82.071,-7.274,59.285,1
1785810377,337173584,80.568,2.115,82.582,-7.317,59.242,1
1785810377,403773926,79.466,2.083,81.45,-7.359,59.197,1
1785810377,470372803,78.388,2.07,80.361,-7.402,59.154,1
1785810377,536969482,78.981,2.353,81.231,-7.443,59.109,1
1785810377,603564697,81.165,2.052,83.116,-7.486,59.066,1
1785810377,670157959,79.042,2.038,80.987,-7.528,59.021,1
1785810377,736749268,90.022,2.291,92.198,-7.57,58.978,1
1785810377,770044189,110.206,2.948,113.029,25.683,92.319,1
1785810377,803340332,122.443,3.105,125.28,-7.614,59.022,1
1785810377,870029297,106.361,2.591,108.838,-7.667,58.98,1
1785810377,903373779,126.774,2.657,129.304,25.636,92.283,1
1785810377,970062988,112.534,2.349,114.772,25.594,92.241,1
1785810378,36752441,92.298,2.764,94.934,25.551,25.551,1
1785810378,103442139,87.418,2.017,89.336,-41.138,-41.138,1
1785810378,170132324,83.278,1.99,85.158,25.467,25.467,1
1785810378,236822754,82.781,2.024,84.709,25.425,25.425,1
1785810378,303513184,84.15,2.175,86.215,25.382,25.382,1
1785810378,336858643,120.623,2.602,123.049,-7.963,58.686,1
1785810378,403549805,93.924,2.69,96.487,-8.006,58.643,1
1785810378,470241211,84.222,4.739,88.856,-8.049,58.601,1
1785810378,536932861,79.007,2.177,81.08,-8.091,58.558,1
1785810378,603624756,83.148,2.114,85.159,-8.134,58.517,1
1785810378,670316895,79.872,2.112,81.882,-8.176,58.474,1
1785810378,737009521,94.695,2.408,96.979,-8.219,58.432,1
1785810378,770355713,115.359,2.699,117.842,25.086,91.761,1
1785810378,837063477,84.429,2.214,86.54,25.053,25.053,1
1785810378,903824219,80.802,1.99,82.679,25.035,25.035,1
1785810378,970609131,82.176,2.157,84.232,24.992,24.992,1
1785810379,37394531,79.068,2.304,81.274,24.951,24.951,1
1785810379,104180420,79.332,1.982,81.219,24.908,24.908,1
1785810379,170966797,79.371,1.973,81.252,24.866,24.866,1
1785810379,237753662,80.615,2.042,82.559,24.823,24.823,1
1785810379,304541016,83.157,3.232,86.279,24.781,24.781,1
1785810379,371328613,87.102,2.656,89.648,24.739,24.739,1
1785810379,438116943,80.099,1.987,81.989,-42.049,-42.049,1
1785810379,504905762,79.788,2.168,81.851,24.654,24.654,1
1785810379,571694824,78.612,2.003,80.519,24.612,24.612,1
1785810379,638484375,77.857,2.157,79.914,-42.178,-42.178,1
1785810379,705274658,83.237,2.176,85.305,24.527,24.527,1
1785810379,772065186,89.196,2.107,91.202,24.485,24.485,1
1785810379,805460693,105.542,2.009,107.452,-8.911,57.837,1
1785810379,872227783,85.744,1.99,87.641,-8.93,57.641,1
1785810379,938840332,78.8,2.667,81.349,-8.971,57.597,1
1785810380,5451172,78.429,2.11,80.438,-9.014,57.553,1
1785810380,72060059,78.746,2.023,80.672,-9.056,57.509,1
1785810380,138667236,78.998,2.424,81.314,-9.099,57.465,1
1785810380,205272461,79.655,1.986,81.543,-9.14,57.421,1
1785810380,271875977,79.33,2.136,81.328,-9.183,57.377,1
1785810380,338477783,87.165,2.184,89.236,-9.225,57.333,1
1785810380,405077637,80.387,2.276,82.562,-9.267,-9.267,1
1785810380,471675781,80.557,1.999,82.457,57.245,57.245,1
1785810380,538272217,80.102,2.269,82.255,-9.352,57.201,1
1785810380,604866699,79.139,2.061,81.1,-9.393,57.158,1
1785810380,671459473,83.412,2.039,85.357,-9.435,57.114,1
1785810380,738050537,80.894,2.336,83.113,-9.478,57.07,1
1785810380,804639648,82.98,2.065,84.904,-9.519,57.026,1
1785810380,871238770,83.808,2.063,85.776,-9.573,57.002,1
1785810380,937847900,79.354,2.179,81.423,-9.607,56.958,1
