wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785810354.432,1,0.5085,2,0,54172,0,490,0.5983,1,0,44996,0,842,,,0.4686,0,1,28960,0,629,0.0,0,1,3416,0,53,0.5484,0,1,22072,0,529,0.0,0,2,36724,0,288,0.7506,1.0,1.0,1.0,0.0,2059988,29359356,125984,1794,1198,1782,1783,1783,1783,853,1796,597,716,1200,1803,1250,1,857,864,852,1797,600,0,715,856,1796,1793,855,858,855,31769,31225,32469,15,1298,5016,6600000,0,,,,,,,,,,,
1785810355.594,2,0.2209,0,0,66060,0,571,0.7204,0,1,47548,0,1440,,,0.5475,0,1,52400,0,978,0.0,0,1,3416,0,53,0.6147,0,1,45796,0,920,0.0192,0,2,37064,0,288,0.75,1.0,1.0,1.0,0.0,1997356,29359356,109740,1794,1198,1783,1783,1782,1784,855,1798,596,717,1197,1800,1252,0,858,860,855,1799,599,0,715,856,1798,1791,853,857,848,32702,33230,30713,15,1325,5017,6650000,0,,,,,,,,,,,
1785810356.523,3,0.0516,0,2,66060,0,577,0.3508,0,1,47988,0,1620,,,0.485,0,1,57856,0,1681,0.0,0,1,3416,0,53,0.6191,0,0,47168,0,1391,0.031,0,0,37188,0,293,0.7459,0.9891,0.9892,1.0,0.0,1969432,29359356,96100,1794,1198,1783,1784,1783,1783,854,1798,597,717,1199,1800,1251,0,857,858,853,1799,600,0,714,855,1798,1792,855,857,858,32189,32749,31878,15,1300,5017,6620000,0,,,,,,,,,,,
1785810357.497,4,0.0495,0,2,66060,0,577,0.3566,0,0,52292,0,1901,,,0.1486,0,1,57976,0,1801,0.0,0,1,3416,0,53,0.3368,0,2,47956,0,1644,0.0297,0,1,37188,0,298,0.75,1.0,1.0,1.0,0.0,1957432,29359356,90892,1794,1197,1783,1784,1783,1784,855,1797,597,717,1198,1802,1250,0,858,856,853,1797,599,0,714,856,1796,1790,859,857,858,31738,31894,31288,15,1308,5017,6560000,0,,,,,,,,,,,
1785810358.399,5,0.0102,0,2,66244,0,577,0.7221,0,0,63532,0,2424,,,0.0,0,1,58104,0,1801,0.0,0,1,3416,0,53,0.4272,0,2,70144,0,1996,0.0,0,1,37188,0,298,0.6405,1.0,0.837,0.7263,0.0,1935620,29359356,80252,1795,1201,1784,1784,1783,1784,855,1797,597,718,1199,1802,1248,0,858,860,860,1798,601,0,714,857,1798,1793,855,856,860,31909,33992,31552,15,1271,5016,6380000,0,45518,47002,41508,885,49847,26218,,,,,
1785810359.417,6,0.01,0,2,66244,0,577,1.0649,0,2,103644,0,2747,,,0.01,0,1,58244,0,1801,0.0,0,1,3416,0,53,0.4279,0,1,74528,0,2221,0.0,0,1,37188,0,298,0.5473,0.4375,0.7755,0.9898,0.0,1919496,29359356,72192,1795,1197,1784,1784,1784,1785,856,1797,597,716,1196,1799,1250,0,858,859,854,1796,600,0,713,855,1798,1792,862,857,851,32997,32718,31661,15,1298,5017,6520000,0,,,,,,,,,,,
1785810360.393,7,0.0,0,2,66244,0,577,0.9683,0,2,130656,0,3222,,,0.0,0,1,58244,0,1801,0.0,0,1,3416,0,53,0.0303,0,1,74804,0,2224,0.0101,0,1,37364,0,298,0.3808,0.2632,0.25,1.0,0.0,1926572,29359356,69216,1794,1197,1783,1783,1783,1784,854,1797,596,714,1198,1801,1251,0,858,853,856,1799,600,0,713,857,1798,1789,854,858,856,31847,32345,31365,15,1253,5016,6290000,0,,,,,,,,,,,
1785810361.475,8,0.3898,0,0,77784,0,612,0.9549,0,2,157608,0,4655,,,0.039,0,1,58352,0,1801,0.0,0,1,3416,0,53,0.0585,0,1,75060,0,2252,0.0877,0,0,37476,0,374,0.4871,0.6321,0.514,0.8073,0.0,1913768,29359356,70172,1794,1197,1783,1783,1783,1783,856,1797,597,715,1197,1799,1248,0,856,860,854,1799,600,0,715,855,1798,1794,859,857,853,31583,33775,31474,15,1223,5016,6140000,0,,,,,,,,,,,
1785810362.418,9,0.2141,0,0,87464,0,612,0.1733,0,2,160892,0,4700,,41652,0.0,0,1,58352,0,1801,0.0,0,1,3416,0,53,0.0,0,1,75060,0,2252,0.0,0,0,37476,0,374,0.4477,0.4348,0.8737,0.4674,0.0,1879728,29359356,54208,1794,1198,1783,1784,1783,1785,856,1796,596,717,1199,1801,1249,0,859,860,857,1798,600,0,715,856,1797,1793,859,857,860,33044,32142,31894,15,1307,5016,6560000,0,,,,,,,,1,0,312,
1785810363.403,10,0.2804,0,0,87464,0,612,0.0401,0,2,160892,0,4700,1.0015,50028,0.01,0,1,58352,0,1801,0.0,0,1,3416,0,53,0.0,0,1,75060,0,2252,0.0,0,0,37476,0,374,0.4373,0.4286,1.0,0.3137,0.0,1875980,29359356,52604,1794,1198,1782,1783,1783,1784,855,1798,597,717,1200,1799,1251,0,857,856,859,1796,599,0,716,855,1799,1793,854,857,858,32111,33262,31474,15,1333,5016,6690000,0,60839,112799,41158,886,53139,26017,0,1,0,476,25891
1785810364.423,11,0.2628,0,0,87464,0,612,0.0292,0,2,160892,0,4700,0.9636,66832,0.0,0,1,58352,0,1801,0.0,0,1,3416,0,53,0.0,0,1,75060,0,2252,0.0,0,0,37476,0,374,0.416,0.2234,1.0,0.433,0.0,1869680,29359356,49504,1793,1199,1782,1782,1782,1783,856,1797,597,717,1199,1803,1250,0,857,860,852,1798,600,0,717,857,1797,1791,860,857,864,32686,31909,32111,15,1211,5017,6070000,0,,,,,,,0,1,0,632,
1785810365.399,12,0.2666,0,0,87464,0,612,0.0308,0,2,160892,0,4700,1.0766,107956,0.0,0,1,58352,0,1801,0.0,0,1,3416,0,53,0.0,0,1,75060,0,2252,0.0103,0,0,37476,0,374,0.4297,0.7938,0.5521,0.3895,0.0101,1854312,29359356,41816,1794,1198,1783,1783,1782,1784,855,1795,597,717,1197,1800,1251,0,858,857,858,1797,600,0,716,856,1797,1793,856,858,853,33262,31692,32360,15,1227,5017,6160000,0,,,,,,,0,0,0,1736,
1785810366.424,13,0.2832,0,0,87464,0,612,0.205,0,1,169124,0,4786,0.6347,140496,0.0391,0,1,58352,0,1829,0.0,0,1,3416,0,53,0.0293,0,2,75060,0,2269,0.0,0,0,37476,0,374,0.4568,0.802,0.57,0.4646,0.0,1805212,29359356,6692,1793,1199,1783,1783,1783,1784,855,1796,597,720,1199,1801,1250,0,858,857,854,1799,599,0,714,856,1797,1789,858,857,855,32904,33199,32003,15,1350,5016,6770000,0,,,,,,,0,1,0,2623,
1785810367.435,14,0.3165,0,0,87464,0,612,0.3267,0,0,169840,0,4958,0.245,140496,0.0715,0,0,58352,0,1915,0.0,0,1,3416,0,53,0.0,0,2,75060,0,2269,0.0,0,0,37476,0,374,0.5473,0.6837,0.65,0.8529,0.0,1791116,29359356,1576,1793,1199,1783,1783,1783,1784,855,1797,596,716,1202,1799,1249,1,857,860,849,1799,600,0,715,855,1796,1792,855,856,861,33060,33153,31816,15,1588,5016,7970000,0,,,,,,,0,0,0,3099,
1785810368.448,15,0.2778,0,0,87464,0,612,0.3373,0,0,169152,0,5135,0.2976,140496,0.1091,0,0,58812,0,2063,0.0,0,1,3416,0,53,0.0496,0,1,75512,0,2337,0.0,0,0,37476,0,374,0.5802,0.6762,0.7547,0.8972,0.0,1783960,29359356,324,1794,1199,1783,1783,1783,1783,856,1798,597,719,1201,1804,1249,0,858,860,861,1798,600,0,714,856,1795,1791,855,857,860,32951,32453,32562,15,1447,5016,7260000,0,57220,100566,41190,886,53607,26008,0,1,0,3737,80351
1785810369.388,16,0.2758,0,0,87464,0,612,0.2963,0,2,169032,0,5254,0.2248,140496,0.0715,0,0,58812,0,2136,0.0,0,1,3416,0,53,0.0715,0,0,75512,0,2404,0.0,0,0,37476,0,374,0.3671,0.4706,0.5862,0.407,0.0,1783008,29359356,488,1794,1198,1782,1783,1782,1784,856,1796,597,717,1196,1799,1250,0,858,855,855,1795,600,0,715,855,1796,1794,860,857,847,32313,32096,30821,15,1386,5017,6950000,0,,,,,,,0,0,0,3982,
1785810370.435,17,0.3018,0,0,87464,0,612,0.3213,0,1,169172,0,5427,0.2628,140496,0.0779,0,0,58812,0,2174,0.0,0,1,3416,0,53,0.0681,0,1,75512,0,2478,0.0,0,0,37476,0,374,0.3726,0.47,0.5385,0.4906,0.0,1782624,29359356,1400,1794,1198,1782,1783,1783,1783,854,1796,597,717,1199,1800,1251,0,858,858,858,1798,600,0,714,857,1797,1789,856,857,855,31940,32593,31521,15,1453,5016,7290000,0,,,,,,,0,0,0,4259,
1785810371.43,18,0.2923,0,0,87464,0,612,0.3125,0,1,169296,0,5582,0.2419,140496,0.0706,0,0,58812,0,2250,0.0,0,1,3416,0,53,0.0706,0,0,75512,0,2543,0.0,0,0,37476,0,374,0.3622,0.5052,0.4949,0.4479,0.0,1782944,29359356,1400,1793,1203,1782,1783,1782,1784,855,1797,597,719,1197,1801,1250,1,859,860,860,1796,600,0,714,855,1796,1791,852,857,854,32391,33293,31630,15,1323,5016,6640000,0,,,,,,,0,1,0,4508,
1785810372.402,19,0.2907,0,0,87464,0,612,0.3007,0,2,169296,0,5738,0.2406,140496,0.0702,0,2,58812,0,2287,0.0,0,1,3416,0,53,0.0702,0,2,75512,0,2597,0.0,0,0,37476,0,374,0.3592,0.4583,0.4592,0.5408,0.0,1783432,29359356,1400,1794,1201,1782,1782,1784,1784,856,1798,597,716,1200,1802,1250,1,859,860,858,1797,600,0,716,857,1799,1793,862,857,848,31738,32484,32671,15,1276,5017,7050000,0,,,,,,,0,0,0,4739,
1785810373.389,20,0.2843,0,0,87464,0,612,0.3249,0,0,169196,0,5874,0.2741,140496,0.0812,0,0,58812,0,2379,0.0,0,1,3416,0,53,0.0711,0,0,75512,0,2666,0.0,0,0,37476,0,374,0.3802,0.4433,0.5686,0.5098,0.0,1782168,29359356,1224,1793,1196,1782,1783,1782,1783,854,1796,596,714,1199,1801,1249,0,859,858,859,1798,600,0,714,854,1797,1790,859,856,856,32609,33541,32298,15,1243,5016,6250000,0,57232,100726,41274,886,53699,26008,0,1,0,4980,80351
1785810374.424,21,0.3027,0,0,87464,0,612,0.293,0,1,169196,0,6047,0.2344,140496,0.0684,0,0,58812,0,2461,0.0,0,1,3416,0,53,0.0684,0,1,75512,0,2747,0.0,0,0,37476,0,374,0.3513,0.4688,0.4388,0.5,0.0,1781656,29359356,1100,1793,1195,1782,1782,1782,1782,856,1799,597,716,1195,1800,1248,0,860,856,860,1797,599,0,713,855,1797,1793,860,856,851,32111,31769,32267,15,1551,5016,7780000,0,,,,,,,0,2,0,5207,
1785810375.413,22,0.3045,0,0,87464,0,612,0.3045,0,0,169196,0,6202,0.2335,140496,0.0711,0,2,58812,0,2531,0.0,0,1,3416,0,53,0.0711,0,0,75512,0,2800,0.0102,0,0,37476,0,374,0.3529,0.4479,0.4433,0.5204,0.0,1782040,29359356,984,1794,1199,1783,1783,1783,1784,854,1796,596,717,1199,1802,1251,0,859,866,855,1800,600,0,716,855,1796,1793,857,857,854,32982,33075,32422,15,1315,5017,6600000,0,,,,,,,0,0,0,5371,
1785810376.386,23,0.283,0,0,87464,0,612,0.2931,0,0,169196,0,6358,0.2325,140496,0.0708,0,0,58812,0,2607,0.0,0,1,3416,0,53,0.0505,0,0,75512,0,2868,0.0,0,0,37476,0,374,0.3482,0.4624,0.4,0.5361,0.0,1782040,29359356,984,1794,1199,1782,1783,1782,1784,854,1798,598,716,1197,1800,1250,0,858,858,868,1797,600,0,714,857,1796,1793,857,857,859,33184,31940,32018,15,1281,5016,6430000,0,,,,,,,0,0,0,5556,
1785810377.423,24,0.3035,0,0,87464,0,612,0.2937,0,0,169196,0,6522,0.235,140496,0.0685,0,0,58812,0,2657,0.0,0,1,3416,0,53,0.0685,0,0,75512,0,2937,0.0,0,0,37476,0,374,0.3447,0.44,0.4615,0.4902,0.0,1782584,29359356,984,1793,1201,1782,1782,1782,1783,854,1796,596,716,1197,1799,1250,0,858,858,860,1797,600,0,714,854,1796,1792,858,858,855,32422,33230,31754,15,1237,5017,6210000,0,,,,,,,0,1,0,5800,
1785810378.411,25,0.3044,0,0,87464,0,612,0.3348,0,2,169308,0,6699,0.2739,140496,0.0812,0,2,58812,0,2708,0.0,0,1,3416,0,53,0.0812,0,0,75512,0,3015,0.0,0,0,37476,0,374,0.399,0.5294,0.5588,0.5192,0.0,1782028,29359356,1868,1795,1201,1784,1784,1784,1785,855,1795,597,716,1196,1801,1251,0,858,857,850,1798,600,0,713,854,1798,1792,857,856,857,32189,33091,31878,15,1843,5016,9250000,0,57236,100850,41338,886,53763,26008,0,2,0,6125,80351
