capture_sec,capture_nanosec,base_in_age_ms,base_compute_ms,true_e2e_ms,output_period_ms,target_valid
1785992031,736127686,199.643,5.626,,,0
1785992031,836150879,154.967,0.724,,50.414,0
1785992031,902838379,3978.339,8.856,3987.166,3898.225,1
1785992035,240627686,662.886,0.628,663.491,14.113,1
1785992035,307569824,627.021,0.657,627.657,31.105,1
1785992035,374515869,574.949,1.757,576.727,15.971,1
1785992035,407990479,556.93,0.556,557.458,14.254,1
1785992035,508419434,464.97,10.19,475.148,18.108,1
1785992035,541897705,455.037,4.25,459.272,17.602,1
1785992035,575376953,428.513,0.6,429.088,3.309,1
1785992035,642338135,364.801,0.688,365.454,3.325,1
1785992035,675820313,335.012,0.662,335.65,3.679,1
1785992035,742787354,271.925,0.681,272.579,3.896,1
1785992035,776272217,249.066,0.716,249.732,10.635,1
1785992035,843244873,185.645,0.678,186.301,3.539,1
1785992035,910066162,135.564,0.653,136.193,16.715,1
1785992035,976738281,126.898,2.026,128.913,59.379,1
1785992036,43409180,99.468,0.598,100.044,37.82,1
1785992036,110079346,111.518,0.655,112.145,78.77,1
1785992036,143414063,115.315,0.681,115.967,37.156,1
1785992036,176748291,131.004,0.71,131.691,49.058,1
1785992036,243416260,109.181,1.054,110.21,45.18,1
1785992036,310083252,108.81,1.108,109.897,66.357,1
1785992036,343416260,119.077,0.899,119.955,43.395,1
1785992036,376749023,118.544,0.845,119.362,32.74,1
1785992036,410081543,128.922,0.702,129.607,43.575,1
1785992036,476745850,106.015,1.015,107.002,44.053,1
1785992036,510077637,112.955,2.397,113.944,40.274,1
1785992036,543409180,112.123,0.872,112.973,32.366,1
1785992036,576740479,126.073,0.623,126.674,47.038,1
1785992036,643402100,100.095,1.239,100.938,40.92,1
1785992036,676732666,102.169,0.742,102.885,35.276,1
1785992036,710062744,117.483,0.857,118.317,48.766,1
1785992036,743392578,130.155,2.932,133.108,48.08,1
1785992036,810051758,103.345,0.628,103.954,37.546,1
1785992036,843380859,122.647,0.776,123.404,52.778,1
1785992036,876710449,114.43,0.78,115.185,25.113,1
1785992036,910045898,124.165,0.604,124.735,42.886,1
1785992036,976716064,97.688,0.724,98.387,40.319,1
1785992037,10050781,115.49,0.602,116.067,51.018,1
1785992037,43385254,144.281,0.633,144.886,62.152,1
1785992037,110053467,135.134,0.824,135.934,57.715,1
1785992037,176720947,113.285,0.702,113.966,44.701,1
1785992037,210054199,130.516,0.59,131.084,50.453,1
1785992037,276720215,106.925,1.222,108.134,43.704,1
1785992037,310052979,149.523,0.609,150.107,75.317,1
1785992037,376717529,134.694,0.643,135.315,51.869,1
1785992037,410049316,150.68,0.619,151.278,49.297,1
1785992037,510043945,128.879,1.934,130.809,79.511,1
1785992037,543374756,145.59,0.62,146.188,48.726,1
1785992037,576705566,164.376,0.62,164.971,52.113,1
1785992037,610036133,198.94,0.654,199.571,67.93,1
1785992037,676696533,212.679,0.767,213.43,80.509,1
1785992037,743356201,187.271,0.587,187.836,41.077,1
1785992037,843343750,165.344,0.798,166.119,78.267,1
