stamp_sec,stamp_nanosec,capture_sec,capture_nanosec,detect_period_ms,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1785992031,736127686,1785992031,736127686,,5,848,480,68.77,67.668,19.154,48.514,8.69,17.731,17.302,4.791,39.824,1.092,0.01,103.13,171.939
1785992031,836150879,1785992031,836150879,66.085,5,848,480,51.155,50.145,2.684,47.461,2.698,19.964,20.444,4.354,44.763,1.002,0.008,86.8,137.993
1785992031,902838379,1785992031,902838379,55.157,5,848,480,53.166,52.41,3.911,48.499,5.752,13.69,20.144,8.912,42.746,0.749,0.007,73.263,133.903
1785992031,969531494,1785992031,969531494,68.116,5,848,480,58.988,58.208,4.854,53.354,5.299,15.619,22.633,9.804,48.056,0.772,0.008,68.865,127.878
1785992032,36225098,1785992032,36225098,51.384,5,848,480,50.945,50.015,6.704,43.311,6.374,8.806,17.001,11.13,36.937,0.92,0.01,61.58,112.579
1785992032,69571777,1785992032,69571777,48.387,5,848,480,44.784,43.32,3.775,39.544,4.064,10.028,17.398,8.055,35.481,1.455,0.009,82.796,127.614
1785992032,136265381,1785992032,136265381,63.928,5,848,480,63.489,62.591,6.858,55.733,7.805,16.852,17.11,13.965,47.928,0.89,0.008,61.306,124.856
1785992032,202959229,1785992032,202959229,74.876,5,848,480,71.732,70.839,5.157,65.682,14.209,11.271,26.019,14.182,51.472,0.886,0.008,61.25,133.022
1785992032,269653076,1785992032,269653076,55.163,5,848,480,54.696,53.964,3.03,50.934,5.7,21.916,17.26,6.058,45.234,0.725,0.007,66.752,121.491
1785992032,336346924,1785992032,336346924,49.983,5,848,480,48.585,47.856,0.953,46.903,6.19,18.345,17.269,5.099,40.713,0.722,0.006,56.161,104.771
1785992032,369694092,1785992032,369694092,42.56,5,848,480,42.147,41.121,5.135,35.986,2.476,9.901,17.483,6.126,33.51,1.018,0.008,71.8,114.002
1785992032,403041260,1785992032,403041260,44.678,5,848,480,40.511,39.748,5.579,34.169,3.261,9.074,17.266,4.568,30.908,0.745,0.018,84.802,125.33
1785992032,469735596,1785992032,469735596,37.433,5,848,480,37.01,36.256,0.968,35.287,3.341,10.32,17.474,4.152,31.946,0.748,0.006,59.004,96.056
1785992032,503082764,1785992032,503082764,38.603,5,848,480,37.263,36.312,0.934,35.378,4.242,10.301,16.824,4.012,31.137,0.943,0.007,64.017,101.328
1785992032,569777100,1785992032,569777100,52.066,5,848,480,36.434,35.724,2.796,32.928,2.431,8.529,17.218,4.749,30.496,0.704,0.007,50.229,86.681
1785992032,603124512,1785992032,603124512,35.206,5,848,480,34.808,34.068,0.777,33.291,2.273,8.705,17.147,5.166,31.018,0.733,0.007,53.692,88.541
1785992032,636471924,1785992032,636471924,36.758,5,848,480,36.34,35.456,1.101,34.356,4.347,8.3,17.323,4.385,30.008,0.877,0.007,55.572,91.956
1785992032,669819336,1785992032,669819336,38.804,5,848,480,38.281,37.579,0.9,36.679,3.899,11.197,17.436,4.148,32.781,0.696,0.006,59.088,97.407
1785992032,703166748,1785992032,703166748,56.432,5,848,480,55.963,55.196,0.978,54.218,5.188,16.147,16.778,16.106,49.03,0.76,0.007,64.489,120.491
1785992032,769861572,1785992032,769861572,39.363,5,848,480,38.961,38.28,0.953,37.327,2.497,9.192,17.214,8.423,34.829,0.675,0.006,54.159,93.262
1785992032,803208984,1785992032,803208984,39.0,5,848,480,37.364,36.313,0.918,35.395,2.895,10.783,17.455,4.262,32.5,1.046,0.005,61.421,98.817
1785992032,869904053,1785992032,869904053,58.532,5,848,480,35.687,34.676,0.901,33.774,2.392,9.41,17.274,4.698,31.383,1.003,0.008,54.939,90.658
1785992032,903276367,1785992032,903276367,37.369,5,848,480,36.947,36.266,0.981,35.285,2.502,9.16,17.878,5.744,32.783,0.674,0.007,57.66,94.644
1785992032,936649658,1785992032,936649658,36.407,5,848,480,35.914,35.159,0.936,34.223,2.461,9.783,17.336,4.643,31.762,0.747,0.008,61.729,97.801
1785992032,970023438,1785992032,970023438,48.235,5,848,480,47.658,46.546,1.168,45.378,7.442,11.277,17.683,8.976,37.936,1.103,0.01,64.848,112.564
1785992033,3397705,1785992033,3397705,41.619,5,848,480,41.138,40.386,1.408,38.978,3.361,9.125,17.602,8.891,35.618,0.746,0.006,79.609,120.79
1785992033,70148438,1785992033,70148438,68.849,5,848,480,68.416,67.586,1.316,66.271,12.13,21.508,16.766,15.867,54.141,0.823,0.006,54.43,122.882
1785992033,136901611,1785992033,136901611,62.827,5,848,480,59.305,58.526,3.73,54.796,12.608,15.594,18.353,8.241,42.188,0.772,0.007,59.632,118.957
1785992033,203656982,1785992033,203656982,40.44,5,848,480,40.028,39.337,2.173,37.164,2.642,10.76,17.618,6.143,34.522,0.685,0.006,52.575,92.654
1785992033,237035889,1785992033,237035889,41.569,5,848,480,39.834,37.552,0.914,36.637,2.638,11.027,17.671,5.301,34.0,2.274,0.008,60.97,100.846
1785992033,270415039,1785992033,270415039,44.952,5,848,480,44.439,43.652,2.547,41.106,4.485,11.574,17.226,7.821,36.621,0.779,0.008,67.931,112.409
1785992033,303795166,1785992033,303795166,58.723,5,848,480,58.224,57.29,1.364,55.926,3.488,30.299,17.162,4.977,52.439,0.926,0.008,79.489,137.769
1785992033,370556885,1785992033,370556885,55.396,5,848,480,54.917,54.13,1.373,52.757,10.443,18.192,17.447,6.676,42.314,0.782,0.006,71.428,126.379
1785992033,437321045,1785992033,437321045,39.679,5,848,480,39.229,38.522,1.608,36.915,5.621,9.97,17.075,4.248,31.293,0.702,0.004,60.028,99.296
1785992033,504087891,1785992033,504087891,54.915,5,848,480,38.637,37.608,2.222,35.385,3.656,8.91,17.138,5.682,31.729,1.02,0.01,48.812,87.465
1785992033,537472168,1785992033,537472168,37.056,5,848,480,36.572,35.823,2.026,33.797,2.607,8.962,18.099,4.129,31.19,0.743,0.007,54.507,91.121
1785992033,570856934,1785992033,570856934,37.165,5,848,480,36.709,35.895,0.874,35.02,2.468,10.413,17.395,4.744,32.553,0.807,0.007,58.151,94.902
1785992033,604242432,1785992033,604242432,52.885,5,848,480,52.357,51.58,1.319,50.261,6.341,17.844,16.792,9.284,43.92,0.769,0.008,62.08,114.406
1785992033,637628662,1785992033,637628662,48.162,5,848,480,47.737,46.975,0.917,46.058,4.059,10.699,17.387,13.913,41.999,0.755,0.007,81.397,129.177
1785992033,704402588,1785992033,704402588,65.658,5,848,480,65.217,64.387,0.908,63.479,8.194,17.939,16.786,20.561,55.286,0.822,0.007,62.804,128.062
1785992033,771179199,1785992033,771179199,42.451,5,848,480,42.029,40.702,1.652,39.051,3.228,12.434,17.426,5.963,35.823,1.317,0.01,61.667,103.8
1785992033,804568604,1785992033,804568604,47.85,5,848,480,45.905,44.848,1.319,43.528,4.056,12.204,17.238,10.031,39.472,1.049,0.009,72.271,118.205
1785992033,871347656,1785992033,871347656,44.0,5,848,480,38.613,36.872,1.185,35.687,2.879,10.311,17.256,5.241,32.808,1.734,0.008,56.78,95.423
1785992033,904717285,1785992033,904717285,44.999,5,848,480,43.459,42.047,1.153,40.894,3.701,13.662,17.179,6.352,37.193,1.402,0.011,63.561,107.081
