capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785992031,736127686,181.391,7.411,188.668,5,0
1785992031,836150879,141.602,4.038,145.49,5,0
1785992031,902838379,128.161,4.993,133.041,5,1
1785992031,969531494,130.668,5.347,135.934,5,1
1785992032,36225098,118.219,12.208,130.342,5,1
1785992032,69571777,137.454,3.839,140.824,5,1
1785992032,136265381,127.14,5.633,132.69,5,1
1785992032,202959229,159.536,1.737,161.18,5,1
1785992032,269653076,124.93,2.035,126.191,5,1
1785992032,336346924,107.229,1.04,108.194,5,1
1785992032,369694092,116.568,3.551,120.031,5,1
1785992032,403041260,127.738,1.252,128.91,5,1
1785992032,469735596,98.226,1.499,99.625,5,1
1785992032,503082764,103.419,1.341,104.671,5,1
1785992032,569777100,89.585,1.198,90.706,5,1
1785992032,603124512,92.135,1.534,93.588,5,1
1785992032,636471924,93.877,1.29,94.988,5,1
1785992032,669819336,99.318,1.257,100.473,5,1
1785992032,703166748,128.886,2.514,131.313,5,1
1785992032,769861572,95.183,1.672,96.616,5,1
1785992032,803208984,100.683,1.196,101.8,5,1
1785992032,869904053,92.587,1.303,93.799,5,1
1785992032,903276367,96.615,1.143,97.676,5,1
1785992032,936649658,100.51,7.132,107.471,5,1
1785992032,970023438,114.732,1.332,115.982,5,1
1785992033,3397705,123.482,1.484,124.875,5,1
1785992033,70148438,125.242,3.282,128.44,5,1
1785992033,136901611,120.842,1.516,122.256,5,1
1785992033,203656982,94.428,1.658,96.009,5,1
1785992033,237035889,102.898,2.019,104.825,5,1
1785992033,270415039,114.803,1.354,116.057,5,1
1785992033,303795166,142.597,5.644,148.154,5,1
1785992033,370556885,128.353,1.787,130.057,5,1
1785992033,437321045,101.058,1.245,102.22,5,1
1785992033,504087891,89.26,1.474,90.62,5,1
1785992033,537472168,93.055,1.245,94.218,5,1
1785992033,570856934,97.087,1.83,98.829,5,1
1785992033,604242432,116.534,1.704,118.152,5,1
1785992033,637628662,131.502,1.386,132.804,5,1
1785992033,704402588,130.231,3.179,133.327,5,1
1785992033,771179199,105.731,1.667,107.309,5,1
1785992033,804568604,120.162,1.241,121.323,5,1
1785992033,871347656,97.316,1.716,98.95,5,1
1785992033,904717285,109.168,1.736,110.811,5,1
1785992033,938087158,117.44,18.076,135.376,5,1
1785992033,971457031,135.812,4.829,140.55,5,1
1785992034,38197510,153.025,1.414,154.322,5,1
1785992034,138309570,121.785,1.281,122.984,5,1
1785992034,205052002,89.881,1.478,91.285,5,1
1785992034,271794922,87.732,1.261,88.909,5,1
1785992034,305166748,97.664,5.14,102.714,5,1
1785992034,338538574,109.705,1.722,111.312,5,1
1785992034,371910645,117.124,1.354,118.396,5,1
1785992034,405282959,132.91,2.238,135.051,5,1
1785992034,472028076,110.242,1.525,111.611,5,1
1785992034,505400879,125.568,1.362,126.848,5,1
1785992034,572147217,103.627,1.847,105.36,5,1
1785992034,605520508,128.923,1.355,130.116,5,1
1785992034,672267822,109.924,1.672,111.489,5,1
1785992034,705641602,125.721,1.233,126.869,5,1
